	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.BJ.A28T.01A.11R.A16R.07	TCGA.EM.A2CL.01A.11R.A180.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.EM.A1CV.11A.11R.A13Y.07	TCGA.BJ.A2N9.11A.11R.A18C.07	GTEX.S4Q7.0326.SM.3K2B1	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YB5K.0526.SM.5LUAS	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
CD86	3.32	215.77	3.32	126.12	204.07	151.22	256.78	260.38	132.44	100.13	9.93	182.55	124.37	107.38	7.0	152.28	271.48	48.87	62.12	105.15	9.27	16.39	14.56	26.28	16.88	32.59	16.15	17.51	22.59	34.51	40.93	97.36	20.26	75.64	15.45	18.29	30.12	8.19	191.67	22.59	53.19	16.51	96.68	18.56	15.34	6.06	129.69	31.0	10.24	23.76	18.16
CLEC10A	3.69	384.34	3.23	204.07	145.02	147.06	218.79	819.3	234.57	92.7	24.81	275.28	301.33	128.79	12.18	307.69	223.41	121.79	30.34	187.71	16.75	0.48	115.97	70.01	19.39	69.03	8.38	46.5	24.63	153.34	53.19	309.83	22.1	176.29	11.21	11.91	87.03	13.72	454.09	44.57	81.71	18.43	155.5	5.23	10.31	3.86	197.09	40.36	4.78	379.04	35.0
CLEC12A	3.66	141.02	5.5	63.45	49.56	29.91	50.98	67.59	60.82	28.24	2.39	63.45	76.17	22.92	2.25	51.71	75.11	11.47	17.13	19.97	6.41	9.34	13.52	4.39	16.51	36.01	15.0	6.46	4.9	25.91	2.66	25.17	26.47	6.89	2.43	3.76	11.21	4.74	87.65	14.89	8.78	3.53	35.0	4.66	7.69	7.0	77.79	5.87	2.58	5.73	0.95
CLEC7A	5.02	327.56	10.63	226.54	220.32	151.22	291.04	341.51	148.09	88.26	21.47	260.38	189.02	187.71	2.81	181.28	332.14	82.87	121.79	121.79	36.27	7.88	27.44	36.01	23.08	32.82	42.71	23.25	23.93	52.08	82.87	49.21	43.94	114.36	16.27	41.52	39.79	21.63	305.55	50.63	55.89	15.22	111.99	17.51	27.64	11.04	141.02	71.5	47.17	74.06	34.75
CORO1A	90.77	2758.13	98.04	1733.13	3372.43	2335.28	5006.93	5479.15	2287.2	2287.2	132.44	2997.45	3060.45	1529.73	94.01	3847.29	2367.9	412.0	470.14	775.05	172.65	57.89	218.79	483.38	154.42	351.14	301.33	358.54	265.87	995.0	309.83	1437.15	204.07	967.76	271.48	373.81	1044.52	234.57	2303.12	260.38	551.56	127.89	915.51	99.43	159.9	142.01	1457.23	403.5	400.71	693.58	108.9
CR1	0.62	44.57	1.07	16.88	35.5	20.26	85.82	105.15	39.5	27.25	1.1	49.91	50.27	31.9	0.67	26.47	14.24	1.68	5.06	18.97	2.46	2.56	2.68	1.69	1.68	9.27	3.69	4.21	3.63	1.71	3.26	12.45	1.39	20.71	2.25	10.08	6.62	0.6	6.57	11.04	12.09	3.89	16.75	0.33	0.28	1.51	20.26	11.55	2.89	1.58	0.06
CSF1R	27.25	825.0	29.91	339.14	660.68	470.14	500.46	915.51	423.61	223.41	56.28	490.14	371.22	426.57	31.67	438.59	575.03	183.82	212.78	351.14	25.17	28.45	68.55	149.12	66.65	150.17	111.21	90.77	114.36	142.01	111.21	366.09	75.64	329.84	63.0	108.9	193.01	40.36	376.41	181.28	212.78	63.0	305.55	49.91	35.5	44.25	463.65	162.14	24.63	244.57	57.89
CST7	57.08	713.11	29.48	463.65	587.13	392.44	723.08	769.69	518.15	497.0	28.24	612.11	384.34	301.33	28.86	860.08	466.88	22.1	43.63	61.25	141.02	57.89	70.01	125.24	13.93	44.57	80.57	30.12	33.06	242.88	248.0	162.14	74.58	194.36	31.22	116.78	343.89	36.27	514.56	105.15	67.59	46.5	176.29	6.73	7.17	16.15	283.05	59.97	429.54	71.5	59.97
CTLA4	0.46	110.43	0.0	59.97	87.65	38.67	123.5	161.02	61.68	43.94	1.23	220.32	178.77	53.95	3.06	134.3	305.55	4.54	18.56	6.67	14.35	2.36	3.2	10.16	2.97	0.0	11.73	3.89	13.52	44.57	5.45	33.54	23.93	14.45	6.06	5.41	19.68	2.66	234.57	4.17	4.28	10.0	43.94	3.76	2.1	1.68	11.13	6.46	8.45	10.96	14.45
CXCR6	2.07	307.69	4.98	98.04	159.9	121.79	170.25	332.14	267.73	190.34	15.0	202.66	101.54	138.1	19.53	176.29	248.0	52.45	57.89	193.01	17.13	12.83	13.62	57.08	28.65	51.35	69.52	10.88	58.71	40.07	6.78	37.05	29.48	120.94	13.22	34.02	178.77	4.86	231.32	45.85	76.71	40.36	104.42	32.59	36.01	52.45	165.57	68.07	15.11	41.22	16.75
CYBB	14.78	848.22	20.86	339.14	406.31	325.29	733.19	529.06	320.8	195.72	23.76	470.14	271.48	323.03	10.96	341.51	312.0	102.97	147.06	267.73	13.22	15.68	43.02	68.55	38.12	100.83	43.02	76.17	55.49	59.13	57.89	307.69	30.12	258.57	37.32	45.53	134.3	27.44	341.51	99.43	82.29	28.45	279.14	26.86	22.92	42.11	260.38	155.5	24.46	63.0	21.94
CYTH4	14.35	373.81	13.72	211.31	435.55	293.07	463.65	669.92	264.03	241.19	22.26	323.03	295.11	209.84	14.35	351.14	295.11	105.15	101.54	129.69	29.06	44.89	29.27	60.82	14.56	76.71	38.95	66.65	29.48	92.05	82.29	169.07	38.12	137.14	31.45	33.06	98.04	16.03	190.34	105.89	63.89	44.57	108.14	9.78	14.35	18.29	142.01	146.03	33.78	71.0	17.25
CYTIP	11.38	476.71	20.11	371.22	470.14	253.23	679.29	1104.13	351.14	265.87	20.86	723.08	480.04	314.17	27.05	575.03	381.68	54.72	45.53	82.87	293.07	29.48	75.64	82.29	17.38	37.32	40.64	30.56	28.04	248.0	194.36	121.79	105.15	56.68	17.64	31.22	198.47	10.88	291.04	34.51	44.25	46.5	301.33	7.46	28.45	23.08	116.78	38.4	244.57	46.18	63.89
DAPP1	1.17	138.1	1.28	72.01	105.89	66.65	218.79	234.57	93.35	87.03	3.82	159.9	144.01	81.14	1.5	92.7	151.22	8.38	14.78	26.86	9.2	3.32	4.31	20.11	1.01	13.32	3.23	10.39	5.36	28.45	11.55	55.49	11.64	12.27	2.43	11.82	22.59	2.14	137.14	16.39	10.88	5.77	111.21	1.01	1.25	1.11	49.21	10.55	7.69	19.53	2.03
DOCK2	15.56	460.44	23.76	234.57	389.72	277.2	642.59	688.78	323.03	228.13	21.32	426.57	341.51	244.57	15.34	403.5	397.93	46.18	76.17	125.24	59.97	8.45	47.5	100.83	12.64	63.45	50.63	37.59	31.22	105.15	69.03	128.79	77.25	115.97	15.8	38.12	83.45	9.85	237.86	53.57	70.01	30.78	151.22	10.96	11.21	19.53	150.17	100.83	85.22	60.82	29.06
DOK2	19.11	432.53	18.97	199.85	412.0	199.85	368.65	435.55	260.38	185.11	25.35	305.55	251.48	183.82	17.64	400.71	232.94	80.57	57.89	110.43	33.54	17.64	23.93	63.45	13.32	50.98	43.63	55.49	43.32	96.68	53.57	106.63	28.65	124.37	30.12	36.79	70.51	17.25	256.78	85.82	69.52	15.22	59.13	8.92	23.08	9.06	204.07	53.95	101.54	73.54	16.27
DOK3	31.22	384.34	24.63	215.77	497.0	291.04	698.41	616.37	264.03	205.5	23.25	361.04	371.22	234.57	28.45	314.17	339.14	78.34	107.38	138.1	38.95	12.0	42.41	88.88	42.71	129.69	48.52	72.01	76.17	77.25	40.36	137.14	48.52	194.36	51.71	86.43	74.06	47.5	173.85	134.3	59.13	29.91	115.97	35.76	20.56	32.59	242.88	104.42	50.63	58.71	11.47
EBI3	3.08	165.57	6.01	127.89	267.73	120.94	186.4	242.88	85.82	57.08	6.57	194.36	129.69	65.72	8.45	195.72	175.07	31.67	45.85	60.82	12.0	13.22	3.03	27.84	38.67	73.03	25.17	10.96	27.25	8.19	21.01	60.82	13.22	88.26	22.43	31.67	36.53	9.06	211.31	30.12	76.71	4.1	66.18	11.04	20.26	7.22	88.88	43.63	0.75	23.59	7.11
EMR1	1.41	17.0	2.58	3.99	22.59	14.67	11.73	12.45	12.55	7.28	0.91	6.41	6.11	11.73	0.0	11.91	14.03	1.27	2.03	11.04	0.88	2.18	2.27	1.27	0.52	7.46	1.97	2.05	0.0	2.03	3.69	2.81	0.89	3.23	1.38	2.39	7.11	1.28	5.28	7.51	3.92	1.68	6.01	1.99	0.51	0.0	14.14	0.54	1.19	0.87	0.0
EOMES	1.43	84.63	1.57	55.1	56.28	37.05	119.26	101.54	93.35	47.5	1.68	80.57	33.54	65.26	2.43	62.56	38.12	2.14	4.9	7.22	3.76	3.92	2.03	11.3	0.93	7.69	10.55	2.66	4.1	22.26	8.71	13.22	13.42	3.59	1.95	3.47	21.78	1.75	49.56	20.11	16.03	3.11	33.06	1.31	1.99	0.21	16.88	2.25	21.16	8.78	4.7
EVI2A	10.16	392.44	5.5	190.34	371.22	237.86	454.09	486.75	301.33	169.07	16.75	463.65	327.56	199.85	10.31	353.59	429.54	55.49	38.67	92.05	63.45	29.48	21.32	71.5	20.11	64.34	27.44	31.45	49.91	72.52	72.52	153.34	34.02	78.34	24.11	36.53	72.52	17.25	444.72	30.56	69.52	22.59	105.15	21.01	4.94	31.22	312.0	37.59	66.18	43.32	30.12
EVI2B	12.45	1030.12	13.52	356.05	738.29	454.09	947.83	1175.27	660.68	435.55	29.7	878.17	587.13	400.71	18.97	603.67	738.29	76.71	123.5	166.73	115.16	22.1	37.59	88.26	45.53	144.01	33.3	30.56	73.03	173.85	73.54	343.89	55.1	118.43	35.25	58.3	118.43	20.86	848.22	108.14	112.77	38.67	291.04	23.59	33.3	43.02	748.61	86.43	166.73	113.56	18.7
FAM78A	16.63	205.5	13.62	110.43	186.4	141.02	260.38	316.37	161.02	127.0	18.29	231.32	138.1	100.13	10.31	154.42	150.17	18.84	43.94	59.97	23.93	6.52	30.12	47.17	36.53	45.21	25.72	23.59	49.91	59.13	7.75	121.79	21.32	33.3	27.44	22.59	60.82	29.91	131.51	58.3	35.76	24.11	65.72	19.25	12.0	15.34	98.04	36.01	13.72	44.89	16.75
FCER1G	159.9	4123.49	165.57	2148.82	3982.99	2997.45	3190.46	2956.17	1628.26	1225.22	198.47	2468.49	1359.57	1594.73	122.64	2758.13	3665.02	603.67	669.92	1322.37	139.07	358.54	102.25	406.31	202.66	688.78	460.44	493.56	583.07	269.6	974.5	1081.39	351.14	2104.58	543.96	599.49	866.07	211.31	1794.29	521.76	909.17	185.11	1023.0	122.64	218.79	204.07	2104.58	981.29	246.28	441.64	173.85
FCGR2A	27.84	928.3	37.05	406.31	915.51	518.15	764.36	808.0	599.49	262.2	67.12	493.56	420.68	473.41	44.57	493.56	651.58	182.55	194.36	381.68	68.55	38.95	50.27	112.77	69.52	165.57	108.9	94.67	102.97	189.02	190.34	299.25	147.06	563.18	35.76	82.29	249.73	30.56	341.51	169.07	154.42	71.0	435.55	58.3	35.0	43.63	384.34	258.57	143.01	187.71	77.79
FCGR2B	10.47	551.56	6.36	190.34	397.93	229.72	412.0	896.64	376.41	255.0	29.27	406.31	307.69	253.23	19.97	356.05	417.77	148.09	142.01	353.59	23.42	8.99	69.52	112.77	19.68	149.12	14.14	116.78	99.43	151.22	102.25	540.19	44.25	381.68	35.25	23.42	122.64	16.15	412.0	153.34	180.02	28.24	432.53	7.69	27.44	20.71	279.14	94.67	15.22	287.01	48.18
FCGR3A	72.52	1225.22	45.21	532.74	1721.16	733.19	1066.48	995.0	1015.93	329.84	71.5	791.35	346.29	723.08	18.16	748.61	1359.57	157.68	198.47	497.0	65.26	26.1	26.67	199.85	70.01	209.84	104.42	177.53	106.63	69.52	169.07	334.46	59.55	429.54	66.65	205.5	518.15	38.67	450.94	287.01	166.73	56.28	368.65	41.81	50.63	63.89	753.83	187.71	136.19	73.54	34.26
FCRL2	0.0	63.45	0.0	13.52	58.71	36.01	87.03	195.72	29.7	22.75	0.27	57.89	76.71	23.76	0.0	45.21	124.37	0.91	5.06	1.89	3.06	0.45	1.28	7.0	2.2	0.0	0.0	4.17	0.0	33.54	1.69	46.5	0.0	1.38	0.0	23.59	17.9	1.35	37.32	6.46	4.66	1.38	77.79	0.0	0.0	1.41	23.59	0.0	0.85	2.14	1.73
FERMT3	51.71	1167.14	69.52	693.58	1313.23	854.13	1651.0	1359.57	575.03	536.45	65.26	961.07	748.61	511.0	65.26	1119.56	753.83	255.0	220.32	332.14	65.26	35.76	136.19	297.17	113.56	167.9	195.72	78.89	234.57	229.72	103.69	283.05	144.01	493.56	142.01	244.57	320.8	67.12	688.78	193.01	305.55	98.73	432.53	55.1	78.89	61.68	460.44	291.04	104.42	312.0	67.12
FGR	81.14	500.46	55.1	371.22	406.31	480.04	490.14	616.37	211.31	198.47	51.35	638.15	312.0	234.57	38.95	334.46	307.69	176.29	103.69	229.72	154.42	49.21	31.22	104.42	63.89	158.79	92.7	64.8	80.01	101.54	269.6	50.63	105.15	140.04	156.59	183.82	58.71	66.65	299.25	60.39	118.43	51.71	320.8	37.32	50.98	115.97	258.57	193.01	155.5	65.72	42.41
FPR3	4.5	353.59	4.94	153.34	202.66	108.14	379.04	283.05	182.55	63.89	14.78	231.32	115.97	139.07	6.01	169.07	291.04	49.91	59.97	130.6	9.27	13.93	6.73	53.57	8.99	43.94	19.97	25.54	31.0	30.56	65.72	124.37	27.05	88.26	15.34	28.04	48.18	8.65	172.65	50.27	73.54	11.47	130.6	18.56	7.06	7.0	195.72	46.5	6.06	90.14	29.91
FYB	5.36	412.0	10.79	178.77	163.28	119.26	470.14	463.65	234.57	151.22	14.56	348.71	218.79	211.31	7.57	234.57	255.0	42.41	33.54	90.77	75.11	2.81	18.29	42.41	4.58	22.1	16.03	55.49	22.26	132.44	32.59	140.04	41.52	53.19	9.34	28.45	92.7	3.92	141.02	37.32	34.51	13.62	136.19	4.58	3.89	10.16	73.03	40.93	73.03	34.02	15.91
GAPT	0.65	96.68	0.99	53.57	102.97	72.52	143.01	353.59	98.73	94.01	4.86	154.42	125.24	76.17	0.45	125.24	43.63	14.03	20.86	29.27	7.46	2.29	28.24	21.94	11.47	15.34	6.89	19.11	12.64	34.26	16.03	52.08	10.24	33.78	4.7	7.69	19.82	1.73	114.36	5.68	35.25	11.21	42.41	6.94	5.41	2.48	97.36	5.19	8.38	40.64	4.31
GBP5	8.06	656.11	8.06	432.53	389.72	150.17	536.45	536.45	287.01	167.9	12.36	260.38	195.72	211.31	8.38	384.34	514.56	16.51	101.54	59.13	17.9	18.43	31.22	57.08	8.13	24.46	34.75	13.62	16.39	131.51	129.69	75.11	38.4	43.02	8.99	20.41	93.35	7.28	579.04	52.08	40.07	19.39	142.01	7.46	6.62	5.41	52.08	26.67	116.78	31.9	9.27
GNA15	6.52	164.42	12.55	85.82	130.6	85.82	118.43	121.79	57.49	43.32	10.39	59.97	81.71	51.35	11.21	103.69	117.6	39.22	34.26	64.34	1.68	29.48	3.47	20.71	4.7	19.82	40.36	37.59	28.04	19.11	55.49	38.4	11.38	98.73	42.11	9.63	44.57	11.21	55.89	28.86	33.06	13.12	62.56	8.0	10.79	2.66	72.52	52.82	2.89	32.82	7.57
GPR34	4.54	185.11	5.11	80.01	144.01	98.73	152.28	242.88	115.97	73.03	8.13	206.94	108.14	146.03	11.64	86.43	98.73	90.14	87.65	94.67	4.46	6.21	18.43	34.75	32.82	48.87	30.12	27.05	64.8	22.92	18.84	98.73	13.83	76.71	36.53	27.05	40.64	31.67	170.25	55.1	58.3	13.22	96.68	32.59	26.28	20.56	205.5	71.5	3.32	52.08	13.12
GPR65	3.86	150.17	3.89	56.68	120.94	91.41	141.02	172.65	129.69	67.59	10.0	117.6	111.99	63.89	2.39	106.63	79.45	7.11	10.79	37.85	25.35	3.89	12.74	11.13	5.45	13.83	13.12	19.25	12.18	23.93	34.75	25.91	18.16	43.94	3.96	11.21	35.5	2.41	80.57	25.72	9.13	8.78	35.25	2.01	2.56	3.35	64.34	19.39	17.13	26.47	10.39
GPSM3	104.42	981.29	115.97	599.49	1191.69	842.36	1540.37	1819.35	854.13	769.69	77.25	1104.13	769.69	583.07	63.45	1369.04	890.44	135.24	187.71	329.84	163.28	84.04	122.64	214.27	106.63	214.27	140.04	172.65	108.14	260.38	212.78	423.61	197.09	287.01	145.02	129.69	281.09	86.43	813.63	289.02	181.28	98.04	395.18	42.41	105.89	71.5	563.18	241.19	181.28	140.04	88.88
GZMA	15.68	567.1	17.64	312.0	595.34	356.05	603.67	583.07	591.22	303.44	24.28	503.95	273.37	285.03	17.0	543.96	242.88	22.43	52.82	94.01	56.68	6.41	43.63	124.37	27.44	69.03	60.39	86.43	37.85	98.04	73.03	112.77	59.55	127.89	12.36	38.67	291.04	32.13	595.34	124.37	78.34	24.63	175.07	10.39	14.45	19.97	305.55	27.64	33.54	71.0	39.79
HAVCR2	3.76	325.29	6.84	151.22	205.5	156.59	251.48	204.07	144.01	73.03	14.56	249.73	100.13	114.36	7.63	170.25	239.52	40.36	47.5	94.67	10.96	13.93	10.31	27.64	14.78	32.13	14.14	19.68	32.13	28.86	76.71	56.68	20.26	69.52	15.68	14.56	59.55	10.39	206.94	31.22	53.19	8.45	90.77	6.73	11.47	6.62	128.79	34.26	23.59	20.86	5.92
HCK	19.68	525.39	19.68	297.17	392.44	318.57	403.5	483.38	220.32	190.34	27.64	283.05	273.37	201.25	12.36	343.89	293.07	77.79	73.54	172.65	37.59	18.97	9.78	57.89	26.47	71.0	43.63	96.01	66.18	45.21	83.45	169.07	32.82	217.27	46.84	81.14	195.72	17.13	214.27	81.71	96.68	22.1	249.73	15.45	16.03	11.13	281.09	166.73	27.64	52.82	13.83
HCLS1	170.25	2224.63	163.28	1127.35	1936.53	1313.23	2855.44	2915.45	1572.76	1216.75	151.22	2335.28	1617.0	1119.56	95.34	1977.24	1909.85	466.88	460.44	896.64	303.44	117.6	206.94	679.29	217.27	497.0	423.61	253.23	497.0	358.54	429.54	503.95	373.81	791.35	277.2	363.56	432.53	115.97	1594.73	397.93	785.88	228.13	830.75	141.02	127.89	121.79	1175.27	551.56	473.41	295.11	165.57
HCST	86.43	1304.15	48.18	642.59	1268.46	954.43	1498.22	1135.2	1104.13	780.44	73.54	1183.45	629.35	629.35	100.83	1551.09	902.89	223.41	273.37	450.94	159.9	105.89	193.01	241.19	105.89	199.85	237.86	156.59	103.69	438.59	255.0	518.15	183.82	438.59	127.0	125.24	309.83	96.68	890.44	201.25	220.32	51.35	384.34	18.29	135.24	120.94	607.87	105.89	138.1	454.09	134.3
HLA-DQB2	7.63	305.55	10.88	400.71	395.18	293.07	346.29	693.58	187.71	121.79	24.99	303.44	316.37	293.07	7.0	234.57	211.31	3.41	3.96	53.57	52.08	21.78	8.78	106.63	19.11	13.72	19.39	140.04	29.06	135.24	49.56	29.91	7.75	117.6	3.41	31.22	146.03	21.32	265.87	208.38	94.01	73.54	187.71	9.78	72.01	23.25	307.69	28.24	36.79	73.03	11.21
IGSF21	2.23	29.27	0.68	25.35	100.13	104.42	39.79	74.06	54.33	46.18	6.21	57.08	25.54	70.51	5.02	41.52	122.64	18.56	28.04	48.52	2.58	2.63	3.23	21.01	23.93	28.65	11.3	5.54	13.62	15.56	7.34	17.38	9.7	18.56	8.78	15.22	28.86	7.51	50.98	35.0	35.25	9.27	47.5	11.47	6.01	6.52	56.68	22.26	2.46	14.67	6.52
IKZF1	4.62	248.0	8.45	127.89	205.5	140.04	457.25	432.53	249.73	181.28	11.04	366.09	234.57	176.29	10.39	217.27	224.97	30.34	35.0	87.65	24.81	2.12	11.3	34.51	17.38	25.72	29.91	84.63	20.86	79.45	26.86	76.17	32.36	30.56	12.55	27.84	80.01	13.32	293.07	43.63	47.5	25.54	122.64	5.5	15.68	7.69	55.89	37.32	44.57	48.87	8.51
IKZF3	1.69	178.77	1.87	44.57	45.85	37.05	173.85	159.9	105.89	56.28	8.38	147.06	78.89	94.01	2.73	46.18	131.51	5.15	18.29	21.01	8.45	0.0	3.35	11.3	4.06	18.03	26.47	1.6	16.75	24.28	3.86	39.5	8.71	14.45	3.41	14.67	37.32	1.58	35.25	5.73	10.24	18.03	80.57	2.03	1.03	3.23	27.25	21.16	13.32	6.01	1.51
IL10RA	23.93	647.07	48.87	412.0	620.67	400.71	629.35	934.76	497.0	281.09	43.32	529.06	518.15	297.17	45.53	591.22	854.13	111.99	145.02	173.85	66.18	42.11	47.84	206.94	71.5	148.09	101.54	73.03	115.97	239.52	50.63	236.21	140.04	180.02	55.49	82.87	162.14	40.93	435.55	149.12	141.02	71.0	248.0	32.36	21.78	53.57	223.41	105.89	65.26	166.73	59.55
IL12RB1	3.14	97.36	1.46	67.12	124.37	81.14	169.07	157.68	80.57	53.57	4.31	85.22	92.05	58.71	3.44	120.1	84.63	14.67	27.25	22.75	12.83	0.74	10.39	12.83	4.28	4.28	9.34	5.73	4.1	25.72	17.25	38.67	17.64	19.39	9.7	8.71	30.56	4.35	49.56	19.68	10.71	1.22	54.72	2.68	5.59	1.27	40.07	13.83	16.75	24.11	5.02
IL2RG	24.46	1721.16	29.7	921.88	1340.84	791.35	2004.85	2287.2	1066.48	884.29	49.21	1259.69	947.83	599.49	40.93	1457.23	1674.06	57.08	144.01	190.34	177.53	45.53	31.67	277.2	37.05	100.13	74.06	98.04	79.45	403.5	180.02	555.41	159.9	99.43	63.45	81.14	397.93	39.5	1519.15	199.85	159.9	48.87	974.5	8.19	31.22	36.27	454.09	64.8	201.25	301.33	59.13
ITGB2	127.89	2240.11	100.83	1437.15	1857.6	1551.09	2209.26	2224.63	1167.14	1015.93	108.9	1697.45	1111.82	947.83	82.29	1844.76	2090.03	277.2	320.8	954.43	131.51	231.32	86.43	435.55	150.17	500.46	265.87	244.57	202.66	241.19	157.68	665.29	186.4	728.11	128.79	220.32	780.44	109.66	1870.53	323.03	476.71	109.66	808.0	62.56	73.03	72.52	1674.06	490.14	137.14	260.38	75.11
KLHL6	4.35	201.25	4.31	95.34	159.9	87.65	460.44	283.05	143.01	64.8	7.11	277.2	143.01	124.37	2.97	88.26	343.89	15.91	39.22	24.46	17.64	9.13	11.91	67.59	15.56	4.06	15.0	22.75	10.55	59.97	14.35	46.84	12.0	16.51	14.14	17.0	35.0	5.59	120.1	25.72	15.8	17.51	224.97	6.67	3.2	7.57	49.91	14.89	21.78	14.14	8.65
LAIR1	21.94	825.0	36.27	438.59	842.36	497.0	791.35	1151.06	420.68	285.03	31.0	743.43	429.54	400.71	18.16	507.46	665.29	155.5	177.53	343.89	30.12	40.64	32.13	68.07	51.35	123.5	70.01	61.68	88.26	76.17	88.26	256.78	62.56	312.0	69.03	65.72	181.28	39.5	381.68	171.45	108.9	55.1	265.87	18.43	55.89	40.64	379.04	156.59	25.54	129.69	25.72
LAPTM5	190.34	4358.66	142.01	2417.67	5219.6	3820.7	7230.1	5751.61	3280.18	2758.13	351.14	5751.61	2935.74	2609.3	217.27	4210.15	7642.41	909.17	830.75	2255.7	483.38	170.25	438.59	1073.91	271.48	2075.59	638.15	397.93	860.08	1407.55	579.04	2400.97	808.0	2627.46	291.04	688.78	1059.11	327.56	3955.48	890.44	1733.13	301.33	2335.28	239.52	872.1	212.78	2627.46	1870.53	684.02	708.18	629.35
LAT2	24.46	536.45	15.0	299.25	536.45	414.87	660.68	738.29	339.14	237.86	24.63	387.02	392.44	251.48	16.15	438.59	441.64	82.87	112.77	102.97	40.93	17.38	46.18	92.05	52.08	77.25	30.78	76.17	28.45	76.17	65.26	206.94	39.79	102.25	48.18	46.84	153.34	38.95	341.51	71.5	87.65	28.24	150.17	30.78	22.43	15.0	218.79	85.22	37.05	115.97	25.35
LAX1	0.21	136.19	1.58	37.85	74.06	28.45	94.67	115.16	76.71	27.05	1.2	82.29	45.53	38.4	1.13	57.08	190.34	2.63	27.64	3.53	6.31	1.39	1.0	25.17	2.07	9.48	9.34	5.32	3.41	47.17	1.0	32.36	7.22	6.11	1.77	8.06	14.45	0.0	63.45	21.94	6.01	13.32	71.5	0.0	0.14	4.82	40.64	6.84	12.45	14.56	0.57
LCP1	40.36	1909.85	63.0	1104.13	1477.58	1127.35	2855.44	2502.97	1397.83	1059.11	96.01	1745.2	1295.13	995.0	49.21	1572.76	1697.45	141.02	242.88	748.61	229.72	53.57	55.1	165.57	60.39	218.79	117.6	206.94	111.21	208.38	262.2	1066.48	163.28	567.1	70.01	185.11	733.19	51.71	1397.83	256.78	381.68	68.55	1151.06	43.63	50.63	63.0	1111.82	309.83	215.77	220.32	46.18
LILRB4	5.96	708.18	10.63	532.74	616.37	497.0	575.03	397.93	297.17	183.82	16.27	599.49	223.41	323.03	5.54	450.94	327.56	78.89	161.02	251.48	17.25	37.05	22.43	73.54	19.82	77.25	60.39	53.95	92.05	57.89	70.01	253.23	69.52	180.02	85.22	30.56	95.34	14.35	323.03	115.97	111.99	21.94	127.0	30.12	13.22	48.18	368.65	74.06	15.34	82.87	20.26
LRRC25	7.22	161.02	11.13	80.57	178.77	121.79	158.79	153.34	88.88	34.02	13.22	143.01	87.65	69.03	5.54	110.43	88.88	31.22	43.02	94.67	7.51	12.18	0.89	23.76	21.47	50.63	22.26	32.13	21.16	19.25	20.11	54.33	10.08	81.71	15.22	30.78	54.33	13.32	89.51	48.87	54.72	13.93	83.45	10.71	10.47	9.93	126.12	44.57	11.04	19.53	6.16
LST1	61.68	1073.91	41.22	616.37	759.08	848.22	638.15	1191.69	587.13	403.5	67.59	684.02	532.74	361.04	34.02	915.51	591.22	115.16	231.32	281.09	94.67	75.11	74.58	99.43	35.5	165.57	161.02	187.71	73.54	217.27	381.68	409.15	186.4	368.65	100.83	146.03	277.2	81.71	679.29	237.86	209.84	37.85	358.54	16.75	52.82	51.71	353.59	182.55	191.67	366.09	43.32
