	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A9UU.01A.11R.A42T.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.L5.A4OF.01A.11R.A260.31	TCGA.LN.A4A3.01A.11R.A260.31	TCGA.IG.A3I8.01A.11R.A24K.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NH.01A.11R.A37I.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.CV.7180.01A.11R.2016.07	TCGA.CN.6988.01A.11R.1915.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CN.A641.01A.11R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	GTEX.13CF3.0426.SM.5IJEU	GTEX.12WSL.2126.SM.5GCNG	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.8369.01A.11R.2343.13	TCGA.VQ.A94R.01A.11R.A414.31
AC016745.1	0.0	0.66	0.0	3.96	3.03	3.59	4.46	6.73	3.47	4.03	9.34	5.11	2.92	1.48	4.03	2.92	1.25	1.06	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	1.13	18.43	20.26	10.88
AL353608.1	0.0	0.66	0.0	3.96	3.03	3.59	4.46	6.73	3.47	4.03	9.34	5.11	2.92	1.48	4.03	2.92	1.25	1.06	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	1.13	18.43	20.26	10.88
AL590452.1	0.72	0.84	0.48	7.88	3.32	2.89	5.32	6.31	2.71	7.46	6.31	11.21	1.83	0.34	2.25	2.1	0.0	1.16	0.54	0.0	0.0	0.61	0.0	0.87	0.53	0.0	0.0	2.23	1.31	53.19	31.9	20.56
AL626787.1	3.69	0.71	2.89	16.63	12.93	12.64	19.39	25.17	1.73	19.68	20.71	34.26	8.85	7.82	4.03	2.32	3.59	0.78	6.52	2.05	2.94	0.0	7.69	3.69	2.43	2.16	0.0	3.17	12.0	37.05	9.13	80.57
ALS2CR12	13.93	5.28	7.57	55.49	13.22	26.47	37.59	34.02	15.34	44.89	27.05	17.77	13.83	14.89	14.89	19.97	2.46	2.76	8.78	0.0	1.57	3.44	0.0	1.57	6.21	4.17	0.0	22.75	22.59	28.24	26.47	13.52
ARHGEF7	239.52	267.73	223.41	842.36	543.96	703.28	633.73	866.07	607.87	813.63	848.22	902.89	521.76	490.14	713.11	536.45	193.01	232.94	441.64	271.48	228.13	301.33	297.17	293.07	273.37	450.94	0.0	353.59	454.09	1191.69	961.07	1551.09
ATP5L2	0.0	0.0	0.0	0.66	0.0	2.61	0.19	4.35	0.16	1.16	0.14	0.92	2.1	1.17	0.79	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56	10.31	1.17
B3GAT2	8.65	0.75	1.14	16.88	8.71	6.52	13.52	16.63	14.03	14.14	13.72	21.32	6.41	7.17	5.96	5.23	1.14	2.48	3.41	1.36	4.98	3.47	19.82	2.27	3.29	4.78	0.0	3.47	2.97	23.25	13.72	24.11
BRINP3	0.0	0.0	0.0	114.36	68.07	34.26	10.31	43.94	0.0	1.2	12.74	6.57	1.3	1.22	0.0	2.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	0.0	0.0	0.0	6.01	0.04	25.54	2.14	63.45
BTN2A1	73.03	151.22	229.72	688.78	366.09	503.95	555.41	890.44	312.0	503.95	595.34	693.58	438.59	406.31	583.07	387.02	100.83	218.79	204.07	87.65	146.03	126.12	187.71	201.25	140.04	96.68	0.0	571.05	215.77	536.45	470.14	395.18
