	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7183.11A.01R.2016.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.55.7227.01A.11R.2039.07	TCGA.97.7553.01A.21R.2039.07	GTEX.Y5V5.0826.SM.4VBQD	GTEX.QDT8.0926.SM.32PL2	GTEX.X4EO.0926.SM.3P5Z2	GTEX.Q734.0626.SM.2I3EF	GTEX.12KS4.0726.SM.5FQSX	GTEX.ZC5H.0926.SM.5CVMZ	TCGA.85.7710.11A.01R.2125.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.AF.5654.01A.01R.1660.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.FP.8210.01A.11R.2343.13	TCGA.RD.A7BW.01A.11R.A32D.31
ACAP1	151.22	182.55	309.83	237.86	381.68	147.06	129.69	518.15	293.07	63.45	624.99	571.05	514.56	555.41	381.68	3820.7	909.17	327.56	551.56	2796.65	194.36	205.5	104.42	63.45	108.9	269.6	85.22	178.77	58.71	19.68	802.41	579.04
AKAP5	1.71	13.03	29.06	10.39	35.25	3.59	9.56	37.05	4.78	0.57	61.25	16.75	47.17	98.04	171.45	105.89	61.25	30.34	51.35	74.06	2.53	6.57	2.27	1.43	1.62	4.98	3.47	1.81	2.81	0.54	41.22	43.94
ARHGAP25	151.22	112.77	195.72	151.22	323.03	108.14	113.56	255.0	135.24	48.18	780.44	293.07	620.67	343.89	2537.92	1806.78	1088.92	283.05	603.67	1331.57	15.68	23.59	23.25	155.5	55.89	86.43	175.07	223.41	65.26	33.54	532.74	295.11
ARHGAP4	62.12	450.94	656.11	387.02	624.99	256.78	432.53	1044.52	366.09	40.93	1651.0	571.05	1096.5	1143.1	1540.37	6699.25	1350.18	1183.45	1259.69	2224.63	73.03	96.01	123.5	161.02	38.67	231.32	161.02	183.82	86.43	61.68	1104.13	656.11
ARHGAP9	98.04	191.67	493.56	242.88	540.19	189.02	201.25	638.15	320.8	49.21	1175.27	647.07	1030.12	1233.75	796.86	2271.4	3081.75	567.1	1119.56	2739.08	21.47	17.0	58.3	249.73	63.45	142.01	191.67	158.79	44.89	61.25	1369.04	723.08
ATP8B4	12.55	34.51	46.18	43.94	59.55	28.45	26.28	79.45	15.56	14.56	161.02	75.64	90.14	43.63	231.32	55.1	78.89	95.34	157.68	79.45	43.94	21.78	12.64	39.79	7.57	13.72	40.93	11.82	32.36	21.16	108.9	109.66
BIN2	71.0	71.5	138.1	82.87	167.9	59.97	78.89	218.79	80.57	40.07	909.17	307.69	607.87	796.86	1857.6	1397.83	1191.69	426.57	2816.11	1051.79	10.16	9.63	33.78	154.42	14.78	41.22	88.26	74.06	18.97	16.63	420.68	438.59
BTK	17.25	74.06	180.02	74.06	165.57	45.85	48.87	183.82	150.17	23.08	555.41	226.54	713.11	981.29	3768.09	947.83	1225.22	551.56	1340.84	1745.2	2.48	9.48	12.0	105.89	18.84	19.68	36.27	26.1	15.45	21.78	403.5	132.44
BTN2A2	105.89	153.34	514.56	185.11	444.72	169.07	124.37	255.0	111.99	75.11	1073.91	237.86	571.05	738.29	728.11	995.0	785.88	271.48	607.87	1143.1	120.1	31.22	58.3	43.32	77.79	84.04	89.51	153.34	56.68	23.08	320.8	251.48
C19orf35	2.51	9.06	9.78	5.92	14.67	3.38	9.06	20.11	1.16	0.52	130.6	26.67	20.11	13.03	18.29	15.91	27.44	12.83	26.1	29.06	0.4	0.4	2.03	10.08	2.97	2.53	7.34	1.57	1.16	4.94	51.35	18.56
CCDC88A	3.47	70.01	158.79	197.09	281.09	54.33	195.72	297.17	51.71	32.36	423.61	251.48	444.72	366.09	1467.37	395.18	373.81	373.81	269.6	500.46	11.04	13.22	47.84	90.14	59.13	69.03	59.97	40.93	33.3	31.45	376.41	373.81
CD37	84.04	361.04	954.43	212.78	759.08	186.4	206.94	791.35	872.1	82.87	3901.01	1498.22	2997.45	5872.48	9025.81	26614.89	7180.15	2502.97	9945.68	8778.97	41.81	45.53	39.22	688.78	60.82	271.48	305.55	202.66	57.08	59.97	4210.15	1733.13
CD53	170.25	463.65	921.88	392.44	967.76	220.32	334.46	1191.69	547.75	223.41	5147.73	2319.15	3820.7	4836.35	7485.11	9945.68	7803.01	3443.31	5255.91	8022.41	43.63	58.71	84.04	1832.01	100.13	348.71	486.75	211.31	132.44	194.36	2502.97	1977.24
CD84	11.55	48.52	84.63	36.01	92.7	17.0	41.22	140.04	39.5	4.86	785.88	187.71	400.71	85.22	167.9	1697.45	438.59	123.5	129.69	389.72	2.58	5.87	4.21	64.8	14.03	6.78	43.02	14.24	2.86	1.79	289.02	209.84
CEACAM4	0.78	59.97	18.7	24.99	70.51	5.73	19.39	38.4	9.27	3.63	111.99	69.52	63.0	49.56	239.52	85.22	88.26	60.39	93.35	84.04	0.0	0.97	6.46	28.65	0.0	7.51	16.39	3.38	20.86	7.94	77.79	17.64
CEP170	66.65	204.07	356.05	348.71	780.44	204.07	186.4	435.55	148.09	68.07	591.22	417.77	698.41	503.95	775.05	409.15	507.46	759.08	616.37	703.28	92.7	53.19	166.73	209.84	115.16	201.25	135.24	88.88	94.67	136.19	583.07	559.28
CORO1A	514.56	599.49	1883.54	629.35	1508.65	346.29	559.28	1628.26	1001.93	351.14	4066.71	2209.26	2835.7	2047.0	2434.5	7382.04	4972.34	1313.23	2645.74	9088.59	52.82	64.34	142.01	1457.23	305.55	854.13	642.59	1340.84	293.07	201.25	2701.35	1819.35
CYTH4	44.89	106.63	189.02	96.01	190.34	59.97	131.51	318.57	117.6	14.67	718.08	361.04	624.99	246.28	759.08	1044.52	669.92	423.61	269.6	1008.9	8.92	22.92	16.03	146.03	17.0	69.03	59.97	114.36	29.27	20.26	444.72	271.48
DLEU7	0.0	5.92	10.31	8.06	20.41	1.41	4.1	15.22	1.19	3.41	50.63	14.35	26.28	15.91	23.25	24.81	38.12	16.75	26.28	16.03	0.0	0.23	4.74	8.71	2.25	0.0	3.76	2.81	1.99	0.87	16.63	23.59
DOCK8	121.79	291.04	318.57	295.11	353.59	148.09	117.6	423.61	281.09	73.54	1023.0	497.0	660.68	961.07	2367.9	1651.0	1857.6	267.73	1066.48	1295.13	237.86	297.17	18.84	258.57	146.03	206.94	131.51	351.14	86.43	123.5	563.18	291.04
EVI2B	41.52	134.3	249.73	124.37	283.05	76.17	92.7	329.84	133.36	66.65	1923.14	733.19	1277.29	1844.76	7230.1	3742.05	2875.3	444.72	2537.92	2609.3	9.78	7.17	16.63	525.39	14.24	55.1	149.12	91.41	41.22	31.67	1977.24	1183.45
EVL	389.72	1199.98	1127.35	1378.57	1685.71	785.88	1096.5	2004.85	1407.55	361.04	2796.65	1721.16	2417.67	3168.41	3257.52	10659.59	5255.91	2935.74	2434.5	5292.48	2178.83	2178.83	202.66	353.59	277.2	915.51	638.15	698.41	466.88	341.51	3349.13	3395.89
FAM78A	11.91	55.89	90.14	38.67	96.68	26.86	51.71	105.89	39.5	5.77	400.71	127.0	246.28	327.56	164.42	575.03	819.3	120.94	275.28	507.46	6.11	5.68	8.99	90.14	9.7	47.17	31.22	18.84	18.43	14.78	312.0	142.01
FGD2	241.19	229.72	214.27	113.56	264.03	132.44	163.28	329.84	185.11	115.97	1066.48	242.88	532.74	791.35	2193.99	780.44	1259.69	483.38	624.99	1540.37	3.29	6.21	23.25	147.06	71.5	57.89	85.82	52.82	129.69	32.36	536.45	176.29
FKBP15	403.5	480.04	432.53	473.41	409.15	503.95	447.82	497.0	438.59	232.94	703.28	587.13	842.36	620.67	1081.39	842.36	915.51	595.34	703.28	890.44	285.03	234.57	236.21	486.75	384.34	198.47	543.96	486.75	376.41	273.37	466.88	529.06
