	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.WFG7.1826.SM.3GIL1	GTEX.YB5E.1826.SM.5IFI4
ABCD3	743.43	336.79	532.74	764.36	476.71	348.71	371.22	438.59	591.22	163.28	242.88	392.44	371.22	423.61	414.87	651.58	423.61	624.99	651.58	236.21	303.44	493.56	371.22	195.72	532.74	392.44	466.88	567.1	368.65	718.08	264.03	426.57	624.99	579.04	536.45	228.13	503.95	305.55	738.29	674.59	476.71	624.99	480.04	890.44	848.22
AFF4	1001.93	195.72	500.46	967.76	441.64	297.17	366.09	363.56	466.88	167.9	351.14	460.44	379.04	379.04	384.34	728.11	307.69	703.28	684.02	172.65	205.5	543.96	228.13	241.19	423.61	406.31	429.54	743.43	379.04	842.36	234.57	403.5	890.44	555.41	423.61	387.02	518.15	293.07	525.39	674.59	514.56	638.15	463.65	791.35	791.35
AGL	351.14	107.38	177.53	343.89	167.9	99.43	159.9	187.71	226.54	72.01	170.25	267.73	161.02	199.85	224.97	346.29	135.24	373.81	403.5	70.01	114.36	221.86	114.36	69.03	167.9	180.02	215.77	297.17	146.03	432.53	88.88	190.34	423.61	299.25	130.6	77.25	193.01	128.79	293.07	332.14	251.48	305.55	211.31	518.15	343.89
API5	1286.18	305.55	1023.0	1477.58	796.86	660.68	813.63	665.29	928.3	591.22	674.59	860.08	603.67	848.22	909.17	1233.75	813.63	1199.98	1199.98	642.59	603.67	974.5	642.59	769.69	836.53	575.03	890.44	1175.27	571.05	1477.58	480.04	988.12	1407.55	1088.92	733.19	796.86	738.29	808.0	1350.18	1331.57	1037.29	1216.75	1044.52	1745.2	1167.14
APPBP2	620.67	204.07	339.14	599.49	303.44	198.47	293.07	236.21	334.46	140.04	212.78	381.68	248.0	279.14	320.8	551.56	323.03	493.56	620.67	177.53	183.82	329.84	211.31	194.36	314.17	258.57	258.57	579.04	265.87	567.1	201.25	303.44	563.18	361.04	271.48	281.09	392.44	241.19	403.5	529.06	366.09	514.56	305.55	607.87	395.18
ARFGEF2	463.65	102.25	309.83	473.41	242.88	127.89	223.41	156.59	332.14	85.82	164.42	255.0	182.55	256.78	228.13	336.79	248.0	332.14	325.29	80.01	111.21	356.05	158.79	142.01	241.19	195.72	253.23	587.13	267.73	447.82	131.51	229.72	511.0	447.82	258.57	162.14	305.55	163.28	412.0	409.15	312.0	444.72	293.07	567.1	414.87
ARID4A	220.32	57.89	120.94	303.44	75.11	55.1	100.13	81.71	134.3	48.18	76.71	115.97	85.82	80.01	107.38	228.13	105.89	152.28	137.14	43.32	51.35	131.51	91.41	70.01	103.69	85.22	100.83	142.01	105.89	193.01	64.34	123.5	209.84	114.36	106.63	68.55	112.77	65.72	143.01	162.14	151.22	159.9	170.25	237.86	126.12
ASH1L	454.09	106.63	273.37	540.19	120.94	108.9	237.86	212.78	318.57	108.14	189.02	307.69	139.07	209.84	241.19	414.87	255.0	309.83	320.8	120.1	110.43	299.25	140.04	132.44	236.21	177.53	224.97	361.04	198.47	466.88	136.19	291.04	454.09	289.02	202.66	159.9	223.41	142.01	269.6	356.05	358.54	371.22	255.0	497.0	325.29
ATRX	511.0	109.66	267.73	642.59	229.72	121.79	224.97	176.29	325.29	94.67	231.32	353.59	206.94	223.41	223.41	507.46	246.28	387.02	444.72	98.04	115.97	271.48	139.07	134.3	258.57	193.01	267.73	356.05	208.38	500.46	122.64	275.28	521.76	314.17	226.54	175.07	260.38	142.01	293.07	368.65	316.37	358.54	334.46	543.96	532.74
C12orf29	423.61	204.07	249.73	486.75	283.05	187.71	231.32	287.01	353.59	136.19	181.28	312.0	249.73	305.55	239.52	363.56	195.72	426.57	366.09	191.67	229.72	271.48	297.17	221.86	253.23	341.51	277.2	392.44	241.19	438.59	234.57	244.57	392.44	309.83	269.6	258.57	305.55	226.54	392.44	358.54	249.73	334.46	312.0	353.59	473.41
