	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A11A.11A.11R.A131.07	GTEX.144GM.1326.SM.5LU5E	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
APOBEC3H	11.04	62.12	39.79	56.28	35.5	111.21	165.57	79.45	26.47	74.06	104.42	52.08	67.59	67.59	27.25	42.71	19.25	8.78	3.89	4.9	2.1	7.94	0.0	0.0	0.0	0.09
C21orf119	109.66	92.05	193.01	94.01	42.41	395.18	264.03	110.43	195.72	228.13	182.55	153.34	170.25	148.09	88.26	145.02	100.83	97.36	111.99	84.63	41.81	118.43	116.78	64.8	0.0	0.26
CARD16	279.14	1331.57	1059.11	909.17	848.22	1359.57	1388.16	1268.46	947.83	2451.44	1331.57	1066.48	1923.14	1242.34	718.08	708.18	995.0	450.94	165.57	423.61	93.35	228.13	353.59	249.73	0.0	0.2
CEP112	38.67	348.71	198.47	220.32	327.56	295.11	197.09	273.37	320.8	351.14	334.46	281.09	312.0	301.33	195.72	167.9	178.77	33.3	29.91	96.68	86.43	66.18	66.65	46.18	0.0	0.49
CIR1	358.54	785.88	748.61	674.59	532.74	759.08	981.29	802.41	981.29	796.86	769.69	595.34	915.51	674.59	796.86	638.15	921.88	368.65	303.44	283.05	297.17	361.04	454.09	379.04	536.45	432.53
COA5	660.68	656.11	764.36	785.88	647.07	1051.79	1111.82	954.43	769.69	995.0	813.63	571.05	1159.07	830.75	842.36	733.19	961.07	674.59	595.34	567.1	341.51	872.1	825.0	403.5	0.0	0.56
COL23A1	9.48	2956.17	1216.75	1096.5	802.41	7280.4	131.51	4066.71	2335.28	4937.99	4268.94	3847.29	5329.3	3257.52	1662.49	3325.99	2855.44	6.06	4.21	14.35	8.06	2.56	17.51	4.78	0.0	0.41
CTD-2369P2.12	119.26	208.38	320.8	244.57	258.57	848.22	486.75	373.81	180.02	759.08	389.72	312.0	620.67	713.11	332.14	309.83	301.33	111.21	155.5	133.36	74.58	54.33	95.34	217.27	0.0	0.54
CWC15	738.29	1175.27	1167.14	974.5	684.02	2075.59	1259.69	1350.18	1277.29	1662.49	1242.34	967.76	1295.13	1551.09	995.0	1540.37	961.07	753.83	559.28	693.58	587.13	591.22	647.07	441.64	0.0	0.66
DGCR14	152.28	316.37	258.57	312.0	242.88	318.57	334.46	329.84	291.04	444.72	353.59	251.48	447.82	343.89	262.2	279.14	329.84	141.02	171.45	138.1	193.01	70.01	197.09	232.94	0.0	0.51
