	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.1399R.1226.SM.5P9GF	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.55.8208.01A.11R.2241.07	TCGA.69.8255.01A.11R.2287.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.44.7660.01A.11R.2066.07	TCGA.95.7043.01A.11R.1949.07	TCGA.55.7995.01A.11R.2187.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.PWOO.0726.SM.2I3EB	TCGA.60.2709.01A.21R.1820.07	TCGA.NC.A5HJ.01A.11R.A26W.07	TCGA.90.7964.01A.21R.2187.07	TCGA.66.2737.01A.01R.0980.07	TCGA.NC.A5HE.01A.11R.A26W.07	TCGA.77.8007.11A.01R.2187.07	TCGA.MX.A666.01A.11R.A31P.31	TCGA.D7.8570.01A.11R.2343.13
ABCA3	117.6	483.38	536.45	334.46	40.64	52.82	13.12	18.97	7.88	29.48	15.56	18.16	60.39	27.44	51.35	18.84	16.27	26.28	19.82	35.76	25.54	31.0	15.11	9.48	23.93	9.13	105.89	16.39	15.22	16.88	16.15	35.25	19.68	44.57	583.07	316.37	5995.9	47.84	16.03	457.25	124.37	4450.27	6121.9	13492.72	435.55	1806.78	332.14	80.01	103.69	4450.27	62.56	39.5
ABCB9	45.85	74.58	122.64	54.72	57.89	21.01	76.71	19.25	9.06	39.79	17.77	40.93	58.3	24.99	94.01	17.0	25.54	7.88	39.5	22.92	4.03	42.41	22.75	11.47	14.89	12.74	43.32	12.36	4.58	10.88	29.06	10.0	12.64	3.92	72.52	167.9	111.21	87.65	264.03	87.65	122.64	46.18	119.26	123.5	83.45	466.88	139.07	77.25	109.66	71.0	177.53	99.43
AC137932.1	9.27	4.5	15.45	3.92	6.41	21.78	14.03	5.54	8.71	5.15	9.13	8.85	12.27	6.31	2.68	14.35	6.21	10.96	2.68	3.59	6.84	12.36	5.15	10.39	5.23	8.51	5.06	6.57	5.73	4.1	6.57	3.41	2.92	1.27	19.39	30.78	34.02	4.17	36.27	21.47	29.7	6.78	9.56	14.24	21.94	12.64	24.81	24.28	28.65	12.55	44.25	25.91
AGO3	165.57	148.09	73.54	60.82	63.89	29.06	67.59	44.25	47.5	21.78	29.48	23.42	75.64	59.97	25.17	38.12	43.32	25.35	32.13	55.49	23.08	42.41	26.67	45.53	50.27	32.59	66.18	31.9	67.59	50.98	85.22	53.19	54.72	45.85	90.14	141.02	100.83	108.9	423.61	90.14	136.19	84.04	178.77	71.0	93.35	154.42	208.38	169.07	77.79	132.44	281.09	140.04
ALDH1L2	114.36	289.02	10.0	62.56	7.4	8.06	6.67	5.92	2.1	1.23	3.35	2.25	19.39	0.99	7.46	1.06	3.56	5.41	3.26	1.2	0.99	10.96	1.22	0.36	1.43	0.91	2.16	0.79	5.77	0.73	1.1	5.82	2.81	1.06	75.64	81.71	44.89	16.15	65.26	18.7	54.72	17.13	186.4	76.71	105.15	31.9	32.59	221.86	92.05	57.08	66.18	66.65
ANKDD1A	72.01	65.26	36.53	54.72	49.21	22.92	17.9	19.25	14.56	20.56	30.12	14.56	46.84	21.94	23.93	13.72	38.67	24.11	26.47	8.65	13.03	40.36	8.71	12.83	22.1	14.03	33.54	10.88	16.88	12.45	7.75	13.93	14.14	4.13	109.66	167.9	177.53	16.39	104.42	53.95	141.02	45.53	69.03	71.0	59.97	126.12	76.17	57.89	246.28	95.34	75.64	38.95
AP3M2	242.88	246.28	151.22	163.28	106.63	156.59	231.32	47.17	43.63	93.35	147.06	47.84	180.02	130.6	100.83	71.5	50.27	72.01	59.55	53.95	154.42	143.01	34.26	45.53	26.86	30.34	178.77	33.3	22.59	81.14	34.26	39.79	15.68	62.56	341.51	612.11	239.52	125.24	297.17	241.19	325.29	135.24	320.8	133.36	384.34	450.94	277.2	483.38	325.29	215.77	293.07	264.03
ARHGAP11A	121.79	303.44	25.17	25.72	40.64	48.87	74.06	44.57	113.56	29.7	39.22	33.78	155.5	44.89	101.54	45.85	20.86	37.85	20.71	65.72	9.7	25.72	6.84	7.11	3.99	3.41	52.45	16.63	7.0	62.56	1.55	84.63	8.92	15.11	130.6	497.0	43.63	102.25	242.88	258.57	281.09	40.36	78.89	145.02	182.55	490.14	140.04	199.85	221.86	64.8	540.19	176.29
ARHGAP11B	70.51	101.54	21.78	33.3	26.28	33.78	38.95	26.86	28.45	21.78	24.63	14.14	69.03	32.59	25.91	35.0	15.56	10.96	21.01	43.02	7.17	21.01	5.87	6.36	2.71	4.1	58.3	2.48	2.46	12.55	2.16	12.55	7.34	5.41	105.15	366.09	48.52	38.12	115.97	76.71	145.02	56.28	82.87	51.35	94.67	220.32	122.64	89.51	183.82	59.97	316.37	157.68
ATP6V0A2	256.78	264.03	125.24	153.34	143.01	78.89	112.77	98.04	107.38	72.01	91.41	97.36	217.27	94.67	53.19	53.95	163.28	84.63	73.54	96.68	59.97	89.51	52.82	78.89	108.14	70.51	105.15	55.1	61.25	93.35	92.7	88.26	65.26	105.15	271.48	312.0	253.23	642.59	312.0	162.14	332.14	197.09	178.77	156.59	244.57	320.8	193.01	323.03	175.07	273.37	470.14	260.38
