	TCGA.BA.5556.01A.01R.1514.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CN.6996.01A.11R.1915.07	TCGA.CV.6938.01A.11R.1915.07	TCGA.CN.4733.01A.02R.1873.07	TCGA.CN.6017.01A.11R.1686.07	TCGA.CN.5363.01A.01R.1436.07	TCGA.CN.6995.01A.31R.2016.07	TCGA.CR.7377.01A.11R.2016.07	TCGA.D6.6515.01A.21R.1873.07	TCGA.CQ.6219.01A.11R.1915.07	TCGA.CQ.5327.01A.01R.1686.07	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.SUCS.0626.SM.32PM5	GTEX.13G51.0426.SM.5K7Z5	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.33.4589.01A.01R.1443.07
ABCA5	101.54	41.52	87.03	127.0	72.01	56.68	197.09	57.49	52.45	92.05	88.88	36.27	94.67	218.79	237.86	137.14	409.15	271.48	616.37	177.53	182.55	547.75	507.46	397.93	371.22	60.82	480.04	140.04	255.0	248.0	293.07	187.71	178.77	146.03	116.78	115.16	55.1
ABCA9	7.17	0.8	34.26	18.97	3.38	18.84	44.89	12.93	3.35	17.9	19.11	4.13	7.17	153.34	81.14	49.91	71.5	77.79	86.43	209.84	89.51	161.02	234.57	84.04	134.3	23.25	90.14	76.71	125.24	58.3	106.63	115.16	80.01	69.03	58.71	64.8	0.68
AC135178.1	1.99	3.0	10.31	7.22	1.1	4.17	19.68	7.69	6.11	5.54	8.0	7.51	2.41	36.79	21.78	13.83	39.22	27.44	60.39	78.89	64.34	41.81	76.17	51.35	76.71	26.1	25.54	12.93	38.12	19.68	59.13	35.0	22.92	20.11	27.84	17.51	0.83
ACSM3	20.26	10.47	35.5	10.16	30.78	19.25	19.82	11.04	20.56	33.54	43.94	24.99	10.39	669.92	191.67	356.05	166.73	713.11	81.71	84.04	312.0	187.71	152.28	76.71	164.42	59.55	231.32	47.5	389.72	237.86	95.34	669.92	64.34	660.68	67.59	93.35	12.74
AL590452.1	0.0	0.84	0.56	0.89	0.0	0.0	1.04	1.23	1.22	0.53	0.93	0.84	0.0	3.29	0.15	4.35	3.63	1.23	7.57	4.28	1.43	1.69	3.26	0.62	1.31	0.0	5.19	2.07	4.35	1.58	1.06	2.18	4.62	1.28	1.04	2.66	0.0
AL627171.2	0.0	0.0	0.57	1.3	0.0	1.06	0.0	0.88	0.0	0.0	0.96	0.49	0.0	0.78	5.11	1.39	2.01	0.62	5.77	2.58	2.73	1.45	1.89	2.25	3.96	1.16	2.92	6.26	9.56	3.79	0.95	1.0	1.99	4.03	6.52	5.82	0.0
ANKRD20A2	0.0	1.69	1.64	0.0	0.0	0.47	0.0	0.0	0.0	0.43	0.43	0.0	0.0	0.24	1.25	4.13	20.11	0.0	9.06	14.67	5.77	0.77	9.85	6.73	15.68	0.39	4.74	7.17	3.86	5.77	4.03	3.06	10.08	26.67	1.48	8.32	0.0
ANKRD36	15.68	59.55	44.25	50.98	32.13	31.0	33.3	39.79	49.21	16.63	42.11	27.44	36.79	112.77	137.14	96.01	151.22	108.14	171.45	111.21	113.56	153.34	159.9	115.16	318.57	52.45	327.56	108.14	217.27	183.82	122.64	62.12	143.01	142.01	97.36	159.9	80.57
ARC	4.24	11.91	22.26	7.88	1.53	6.31	21.63	4.54	7.22	21.78	8.0	2.1	2.27	293.07	38.67	14.14	96.01	36.01	14.56	287.01	162.14	125.24	215.77	51.35	27.25	96.68	34.51	145.02	21.32	36.79	96.68	66.18	72.52	389.72	59.97	43.63	1.01
ARHGEF6	124.37	12.18	409.15	197.09	74.58	275.28	353.59	77.25	73.03	220.32	289.02	108.14	83.45	802.41	563.18	518.15	698.41	226.54	1104.13	2004.85	836.53	974.5	1437.15	616.37	988.12	376.41	1950.0	490.14	995.0	878.17	1794.29	381.68	769.69	529.06	785.88	595.34	29.06
