	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.Y5V6.2026.SM.5IFHO	TCGA.CW.6087.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.GL.A9DE.11A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.YL.A8SL.01B.21R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.V1.A9O9.01A.11R.A41O.07	TCGA.FC.7708.01A.11R.2118.07	TCGA.KK.A8II.01A.11R.A36G.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.YL.A8SP.01B.11R.A37L.07	TCGA.VN.A88Q.01A.11R.A352.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.VP.A87K.01A.11R.A352.07
ACIN1	1167.14	1066.48	884.29	1104.13	1769.57	1322.37	1477.58	1088.92	769.69	1037.29	785.88	1427.22	1030.12	884.29	1216.75	1295.13	884.29	1806.78	1467.37	1340.84	2004.85	1322.37	2240.11	2255.7	2502.97	1844.76	2240.11	2796.65	2502.97	2384.37	2255.7	2720.15	2434.5
AHSA2	201.25	265.87	107.38	134.3	269.6	249.73	142.01	323.03	96.68	209.84	87.65	260.38	127.89	66.18	178.77	226.54	73.54	587.13	507.46	204.07	698.41	0.0	1883.54	1369.04	1322.37	733.19	603.67	1529.73	1977.24	1135.2	1277.29	1081.39	1233.75
AL118506.1	7.06	4.1	1.55	6.46	4.9	8.06	7.51	3.66	9.41	3.47	0.0	1.53	3.29	0.0	2.48	10.88	2.97	3.92	0.0	6.73	17.0	0.0	13.62	41.22	48.87	12.36	17.13	33.3	26.1	28.24	22.75	5.82	10.79
ANKRD10	995.0	995.0	941.27	733.19	1030.12	934.76	1208.34	1233.75	629.35	902.89	543.96	954.43	638.15	514.56	830.75	775.05	656.11	1605.83	1313.23	759.08	1781.89	0.0	2720.15	3349.13	1662.49	2004.85	3443.31	3928.15	1977.24	2537.92	3665.02	2915.45	2895.31
ARGLU1	902.89	878.17	1286.18	529.06	1030.12	785.88	1233.75	1519.15	423.61	791.35	575.03	1233.75	599.49	764.36	1015.93	848.22	738.29	1857.6	1397.83	563.18	2075.59	1111.82	3349.13	3235.01	1769.57	1870.53	4123.49	3665.02	3124.78	3018.3	2485.67	3690.52	2664.15
ATAT1	151.22	150.17	136.19	103.69	209.84	161.02	206.94	191.67	63.0	126.12	108.9	161.02	106.63	124.37	161.02	142.01	105.89	229.72	177.53	140.04	228.13	0.0	890.44	444.72	583.07	368.65	629.35	432.53	392.44	698.41	733.19	532.74	511.0
BRD1	332.14	297.17	295.11	246.28	417.77	316.37	269.6	351.14	218.79	217.27	153.34	287.01	232.94	137.14	264.03	271.48	224.97	376.41	353.59	295.11	348.71	0.0	591.22	583.07	599.49	460.44	518.15	599.49	620.67	483.38	693.58	575.03	595.34
CCNL2	674.59	878.17	571.05	403.5	595.34	967.76	525.39	748.61	197.09	551.56	295.11	698.41	432.53	258.57	563.18	669.92	273.37	2193.99	1572.76	713.11	1605.83	0.0	5594.3	3955.48	4038.61	2209.26	4010.71	4543.8	4704.07	3982.99	4388.98	3443.31	3955.48
CHTF18	85.22	82.87	71.0	39.22	178.77	65.26	72.52	108.14	28.04	14.78	37.85	63.45	35.76	43.94	60.82	85.82	34.26	186.4	111.21	72.52	121.79	0.0	688.78	223.41	358.54	177.53	400.71	409.15	438.59	463.65	363.56	323.03	476.71
CLK3	748.61	981.29	1104.13	743.43	1388.16	796.86	1051.79	1183.45	595.34	718.08	507.46	934.76	896.64	684.02	825.0	819.3	543.96	1407.55	1127.35	1023.0	1322.37	0.0	1923.14	1844.76	1529.73	1594.73	2287.2	2018.8	1477.58	2004.85	2004.85	1769.57	1963.57
