	TCGA.C8.A12P.01A.11R.A115.07	TCGA.AC.A6IX.01A.12R.A32P.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AN.A0XN.01A.21R.A109.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.E9.A1NG.01A.21R.A14M.07	TCGA.E2.A1IJ.01A.11R.A144.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.DM.A1DA.01A.11R.A155.07	TCGA.AA.3492.01A.01R.1410.07	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.CN.4728.01A.01R.1436.07	TCGA.38.4625.01A.01R.1206.07
ADAMTSL2	94.67	87.65	353.59	172.65	285.03	251.48	500.46	26.67	24.28	25.35	26.28	61.25	275.28	0.0
AFAP1	297.17	295.11	447.82	473.41	525.39	441.64	376.41	36.53	96.68	124.37	77.79	110.43	435.55	0.0
AL139147.1	2.32	5.28	22.59	18.03	14.45	12.45	5.19	0.24	0.0	0.0	0.0	0.12	16.88	0.0
BACE1	389.72	366.09	665.29	679.29	693.58	507.46	514.56	166.73	169.07	110.43	131.51	329.84	595.34	0.0
BICC1	167.9	135.24	486.75	480.04	381.68	500.46	256.78	1.43	40.36	10.24	36.79	100.13	334.46	36.53
C14orf37	78.89	66.65	271.48	175.07	258.57	159.9	102.25	7.51	43.02	15.22	15.91	10.31	144.01	0.0
CCDC50	547.75	540.19	764.36	629.35	684.02	748.61	567.1	195.72	309.83	353.59	473.41	454.09	567.1	0.0
CNTN4	98.73	81.71	493.56	76.71	111.21	242.88	103.69	1.04	74.58	3.26	14.89	5.59	100.83	0.0
COL6A3	5672.41	8421.31	20030.74	20737.16	23986.58	16157.44	11504.21	67.12	1127.35	1008.9	1167.14	3690.52	18689.27	1286.18
COLEC12	258.57	480.04	1183.45	327.56	785.88	1216.75	307.69	3.5	248.0	6.78	28.86	76.71	1044.52	0.0
DAAM2	97.36	150.17	260.38	214.27	307.69	267.73	181.28	0.37	28.65	21.94	46.18	38.95	180.02	0.0
DIP2C	169.07	183.82	373.81	279.14	285.03	249.73	239.52	9.34	30.12	17.38	73.54	92.05	202.66	0.0
DLEU7	15.11	7.28	38.4	39.79	24.11	62.12	22.43	0.0	1.99	3.11	3.32	6.41	20.11	0.0
DSE	305.55	301.33	674.59	967.76	796.86	974.5	521.76	95.34	277.2	43.32	80.01	417.77	669.92	0.0
EDNRA	241.19	297.17	796.86	854.13	872.1	764.36	395.18	51.71	808.0	31.0	63.45	102.25	384.34	0.0
ESM1	301.33	127.0	165.57	525.39	397.93	866.07	159.9	102.25	0.0	24.81	37.85	40.64	125.24	0.0
EVC	146.03	164.42	532.74	358.54	497.0	376.41	327.56	11.04	22.75	9.41	22.26	96.01	358.54	0.0
FAM26E	48.52	34.02	141.02	155.5	144.01	158.79	108.9	1.35	8.92	5.59	11.82	19.97	58.71	0.0
FAP	1159.07	1259.69	3540.14	2609.3	4671.57	2855.44	2573.36	14.56	44.25	201.25	299.25	723.08	1832.01	0.0
FKBP7	466.88	599.49	1242.34	1127.35	1119.56	1066.48	753.83	8.78	85.22	93.35	166.73	194.36	616.37	0.0
FKBP9	2720.15	1832.01	4736.79	3325.99	3280.18	3372.43	2816.11	674.59	1225.22	1268.46	1081.39	1175.27	3039.3	947.83
FRZB	128.79	332.14	718.08	239.52	397.93	607.87	503.95	41.22	46.5	8.78	41.52	28.65	50.63	0.0
GABRB2	7.28	4.46	103.69	53.95	47.5	98.04	37.85	0.0	0.57	0.0	0.0	0.0	14.14	0.0
GLT8D1	1001.93	1417.35	2193.99	1540.37	1923.14	2555.58	2384.37	412.0	1199.98	460.44	954.43	559.28	1467.37	1350.18
GLT8D2	305.55	444.72	1883.54	1143.1	1806.78	1674.06	1457.23	31.67	143.01	28.45	126.12	209.84	967.76	0.0
GNB1	4388.98	3589.58	4543.8	4972.34	5292.48	6037.61	4836.35	2193.99	3190.46	2573.36	3212.66	3443.31	5219.6	2895.31
GRM5	0.96	1.6	0.4	1.14	2.56	2.46	0.37	0.0	0.0	0.0	0.0	0.27	1.45	0.0
GXYLT2	181.28	285.03	1183.45	785.88	633.73	518.15	842.36	7.94	40.36	4.54	10.88	28.86	480.04	69.52
HEG1	514.56	529.06	1183.45	1059.11	1059.11	1304.15	928.3	303.44	88.88	43.94	56.68	194.36	967.76	0.0
HIP1	432.53	343.89	629.35	450.94	624.99	490.14	466.88	38.12	142.01	93.35	53.19	212.78	295.11	0.0
HSD17B6	229.72	61.25	387.02	684.02	656.11	785.88	358.54	24.99	47.84	9.06	41.81	44.57	123.5	0.0
HTRA1	6079.61	8901.53	20593.91	14765.09	25708.25	15180.22	13123.73	511.0	4481.23	830.75	1216.75	2609.3	12853.63	0.0
KCNJ6	5.54	0.69	13.22	1.58	24.63	24.11	7.28	0.0	0.0	0.0	0.68	1.81	5.15	0.0
KCTD16	0.29	2.25	4.82	4.62	2.2	2.12	1.43	0.0	0.44	0.0	0.74	0.16	1.46	0.0
KERA	11.21	46.84	201.25	5.92	43.32	27.44	50.63	0.0	1.69	0.0	0.21	6.73	52.45	0.0
KLF12	66.65	63.45	193.01	170.25	130.6	180.02	100.13	9.78	8.13	6.89	5.63	20.56	172.65	0.0
KRT6A	23.59	6.16	19.11	63.0	24.11	9540.5	31.67	2.01760973986E9	2.41604469791E9	10.08	8.85	358098.26	115696.65	0.0
METTL11B	11.91	4.17	23.59	20.86	16.75	27.05	11.21	0.0	0.0	0.0	1.91	2.94	29.48	0.0
MSRB3	356.05	423.61	1037.29	1066.48	1183.45	1331.57	785.88	12.18	58.71	29.91	114.36	246.28	698.41	0.0
NETO1	43.94	0.42	177.53	224.97	159.9	94.01	28.24	0.0	6.62	0.0	0.0	9.34	92.05	0.0
NUAK1	102.25	221.86	616.37	518.15	514.56	384.34	277.2	18.16	269.6	20.71	30.34	94.01	264.03	39.79
PDGFC	346.29	285.03	1313.23	1963.57	1001.93	1769.57	941.27	17.9	119.26	19.97	98.04	117.6	1030.12	253.23
PDGFRA	353.59	267.73	1119.56	567.1	802.41	854.13	665.29	35.5	346.29	30.34	150.17	170.25	603.67	195.72
PLXDC2	624.99	718.08	2351.53	1923.14	1628.26	2240.11	1733.13	217.27	195.72	47.84	151.22	341.51	1073.91	0.0
