	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.2H.A9GM.01A.11R.A37I.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CX.7085.01A.21R.2016.07	GTEX.144GM.1326.SM.5LU5E	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13CF3.0426.SM.5IJEU	GTEX.12WSL.2126.SM.5GCNG	GTEX.X15G.2126.SM.4PQZR	GTEX.1445S.2926.SM.5O993
AAAS	2090.03	819.3	928.3	1757.34	2520.38	1001.93	381.68	327.56	525.39	346.29	480.04	0.0	0.48	587.13	656.11	1051.79	575.03
AIFM3	60.82	48.87	44.25	85.82	94.67	12.55	8.78	11.82	18.16	1.5	6.84	0.0	0.51	43.32	36.53	61.25	16.63
AP1G2	1519.15	1950.0	2796.65	2739.08	1259.69	2591.27	595.34	2591.27	1199.98	373.81	84.63	0.0	1.33	567.1	2255.7	1923.14	1378.57
ARL16	796.86	497.0	872.1	708.18	825.0	934.76	351.14	543.96	273.37	249.73	275.28	0.0	0.71	540.19	206.94	909.17	343.89
ARL2	8840.04	2537.92	2400.97	4210.15	2193.99	1819.35	1437.15	1015.93	1674.06	176.29	186.4	0.0	0.79	1806.78	1745.2	3419.52	2032.85
ARV1	265.87	438.59	463.65	665.29	656.11	529.06	228.13	258.57	226.54	224.97	218.79	0.0	0.0	356.05	381.68	514.56	323.03
ATP5SL	1277.29	733.19	1159.07	1397.83	1844.76	1233.75	718.08	486.75	684.02	607.87	529.06	0.0	0.65	860.08	1104.13	1037.29	684.02
BANF1	12502.12	5594.3	5831.91	6561.36	6699.25	4268.94	2935.74	1508.65	2367.9	1923.14	2591.27	0.0	0.62	4671.57	3742.05	7911.95	2133.97
C17orf70	559.28	334.46	525.39	521.76	669.92	616.37	218.79	271.48	334.46	444.72	185.11	0.0	0.67	444.72	366.09	503.95	256.78
C1orf52	318.57	429.54	490.14	348.71	669.92	444.72	209.84	287.01	339.14	186.4	172.65	0.0	0.74	438.59	303.44	403.5	351.14
CACTIN	521.76	476.71	409.15	521.76	567.1	503.95	242.88	209.84	323.03	147.06	100.13	0.0	0.72	287.01	356.05	616.37	265.87
CHTOP	1437.15	1417.35	1477.58	1757.34	2573.36	1225.22	647.07	878.17	866.07	547.75	540.19	0.0	0.79	1111.82	1191.69	2004.85	1127.35
CIZ1	2875.3	1583.71	2485.67	2573.36	1936.53	2287.2	1477.58	961.07	1359.57	525.39	198.47	0.0	0.85	796.86	2319.15	2061.24	1096.5
COL11A2	26.47	19.39	18.84	14.56	47.84	11.04	5.87	5.77	2.78	0.87	2.1	0.0	0.71	7.63	3.63	29.7	8.58
COX20	1745.2	713.11	2627.46	1304.15	3039.3	1051.79	417.77	454.09	438.59	320.8	1143.1	0.0	0.83	669.92	679.29	2004.85	728.11
DTX3	305.55	679.29	909.17	2090.03	2240.11	454.09	127.0	124.37	191.67	7.28	38.95	0.0	0.78	265.87	231.32	547.75	187.71
EIF2B1	854.13	775.05	909.17	961.07	1685.71	866.07	529.06	507.46	638.15	312.0	309.83	0.0	0.36	733.19	728.11	1001.93	674.59
EPS15L1	555.41	791.35	669.92	713.11	563.18	633.73	567.1	656.11	457.25	102.25	129.69	0.0	0.83	1001.93	406.31	872.1	629.35
FAM212A	872.1	325.29	253.23	376.41	163.28	1096.5	96.01	215.77	129.69	16.51	3.63	0.0	0.23	112.77	204.07	353.59	137.14
FAM27E3	84.04	21.47	60.82	35.5	50.63	30.56	3.53	3.29	3.79	4.7	3.47	0.0	0.49	11.82	17.9	88.26	5.87
FLRT1	15.22	13.72	7.51	23.76	21.63	4.46	0.68	2.78	1.75	0.06	0.13	0.0	0.33	0.79	6.57	10.08	2.1
GAS8	376.41	295.11	406.31	518.15	392.44	470.14	73.03	221.86	128.79	110.43	71.5	0.0	0.54	262.2	409.15	376.41	283.05
