	TCGA.BT.A20O.01A.21R.A14Y.07	TCGA.K4.A5RJ.01A.11R.A28M.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.B8.5551.01A.01R.1541.07	TCGA.B8.5162.01A.01R.1420.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.ZS.A9CE.01A.11R.A37K.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11GSP.0626.SM.5986T	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	TCGA.78.8648.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07
CSF1R	2032.85	2193.99	3168.41	2271.4	5479.15	3443.31	1883.54	2895.31	57.49	137.14	26.1	135.24	2835.7	679.29	19.68	13.52	28.65	40.93	63.45	28.45	16.03	215.77	115.16	34.02	17.9	1832.01	271.48	249.73	890.44	86.43	81.14	1233.75	124.37	166.73	339.14	490.14	253.23	1216.75	1350.18	151.22	1127.35	201.25	209.84	96.01	1806.78	1447.15
CSF2RB	547.75	316.37	325.29	299.25	660.68	265.87	136.19	301.33	7.22	12.18	6.31	9.48	91.41	116.78	9.85	3.5	5.82	7.75	7.34	5.5	2.73	17.77	12.64	5.73	3.63	187.71	37.85	24.81	48.87	20.11	7.69	47.5	13.42	152.28	22.1	38.4	9.13	42.11	55.1	11.21	65.72	17.64	13.62	7.06	316.37	327.56
CTLA4	199.85	181.28	224.97	71.0	102.97	46.5	18.16	43.63	3.99	1.22	0.84	8.13	15.91	115.16	0.53	1.85	4.35	0.0	0.51	0.0	0.78	10.0	1.08	4.28	0.0	30.12	24.81	36.27	4.82	12.36	39.79	0.99	5.36	7.69	24.46	77.25	3.63	3.96	6.01	43.32	4.9	21.32	18.7	9.7	118.43	89.51
CTSW	1277.29	1331.57	1457.23	1199.98	1199.98	638.15	403.5	265.87	12.27	44.57	38.4	54.72	460.44	503.95	5.82	17.25	22.43	46.5	40.93	11.73	7.17	114.36	92.7	20.71	7.63	457.25	551.56	152.28	134.3	89.51	279.14	163.28	105.15	41.81	164.42	180.02	323.03	186.4	70.01	281.09	159.9	154.42	61.25	147.06	629.35	289.02
CXCR3	503.95	400.71	511.0	417.77	397.93	414.87	62.12	262.2	11.82	8.92	5.28	14.89	83.45	163.28	3.66	1.48	9.27	5.54	12.09	0.64	2.61	23.93	4.17	5.11	6.84	40.64	17.0	6.67	52.82	9.85	22.59	30.56	6.16	26.67	19.68	27.64	24.63	28.45	37.59	28.24	112.77	9.78	0.0	2.71	183.82	103.69
CXCR6	587.13	480.04	260.38	674.59	638.15	529.06	202.66	199.85	12.83	3.92	8.71	15.0	151.22	346.29	4.54	1.27	13.72	4.06	7.63	3.79	3.92	36.53	14.56	4.66	3.96	260.38	31.0	74.06	105.15	76.17	10.0	59.55	32.13	24.46	38.12	285.03	9.93	136.19	65.72	38.95	97.36	30.56	22.26	4.39	343.89	106.63
CXorf21	83.45	42.41	193.01	185.11	171.45	231.32	88.26	139.07	1.62	2.34	0.99	2.63	62.56	36.53	0.37	0.93	1.95	1.75	2.58	2.81	0.28	14.67	4.39	1.28	0.72	76.17	24.81	16.63	35.76	7.34	7.57	25.72	9.41	15.11	8.38	30.78	13.72	23.25	20.11	12.64	85.82	21.47	7.63	11.13	132.44	127.0
CYBB	2895.31	1923.14	2400.97	2148.82	4802.93	3847.29	802.41	1268.46	17.77	27.05	5.92	39.22	529.06	518.15	13.32	6.78	7.63	24.63	13.22	11.73	4.9	75.11	38.4	8.38	6.84	974.5	180.02	269.6	463.65	28.45	52.82	713.11	72.01	105.15	72.52	214.27	82.87	480.04	575.03	57.08	536.45	124.37	108.14	15.11	1143.1	1397.83
CYTH4	733.19	669.92	1088.92	583.07	1286.18	743.43	591.22	1183.45	38.4	69.03	20.56	69.52	591.22	392.44	14.67	12.0	29.7	27.05	29.27	16.03	13.72	78.34	37.59	26.1	12.93	381.68	113.56	71.0	110.43	53.57	23.25	133.36	46.18	79.45	84.04	126.12	40.93	115.97	181.28	60.82	161.02	68.55	81.14	29.27	616.37	769.69
DNAJC5B	105.89	35.5	54.72	366.09	97.36	155.5	441.64	395.18	3.53	1.6	3.03	4.43	5.23	74.06	1.55	1.22	1.55	1.36	4.03	2.92	1.73	7.4	1.0	1.25	0.15	59.55	36.79	14.45	28.65	5.15	14.67	22.92	0.0	0.0	10.88	11.64	0.0	12.45	10.08	0.0	20.26	8.99	23.76	9.85	159.9	246.28
DOCK10	1806.78	346.29	1059.11	656.11	878.17	728.11	211.31	457.25	15.91	10.08	9.34	25.91	244.57	161.02	2.84	1.97	11.3	41.52	57.49	58.71	4.35	38.95	25.91	8.71	3.11	275.28	120.1	81.71	163.28	84.63	86.43	124.37	159.9	176.29	60.82	105.89	44.57	176.29	161.02	45.21	163.28	57.49	136.19	20.41	323.03	224.97
DOCK2	1457.23	575.03	1350.18	954.43	1551.09	1175.27	665.29	1051.79	18.16	31.9	14.35	30.78	395.18	361.04	6.89	8.06	9.13	15.0	16.27	10.16	7.11	72.01	33.78	12.83	5.63	518.15	162.14	144.01	141.02	111.99	76.17	162.14	62.12	37.59	125.24	329.84	92.05	155.5	163.28	178.77	215.77	229.72	169.07	89.51	674.59	688.78
DOK1	575.03	318.57	559.28	529.06	759.08	693.58	525.39	872.1	29.27	57.49	22.43	45.21	435.55	178.77	128.79	11.3	39.79	35.0	96.68	27.44	15.34	62.56	32.59	23.76	15.56	400.71	51.71	50.27	114.36	34.02	19.68	129.69	43.94	36.01	46.84	52.82	98.04	115.97	260.38	43.32	371.22	55.1	45.85	35.5	559.28	660.68
EMP3	5672.41	2119.22	3018.3	3955.48	7695.57	5366.37	4972.34	7032.37	320.8	182.55	194.36	361.04	6652.97	988.12	248.0	68.07	223.41	91.41	253.23	143.01	89.51	674.59	239.52	140.04	180.02	1769.57	1369.04	902.89	860.08	583.07	228.13	373.81	336.79	1208.34	414.87	698.41	361.04	438.59	595.34	299.25	1417.35	373.81	277.2	195.72	4298.64	6381.92
ETV6	185.11	262.2	351.14	493.56	476.71	307.69	231.32	264.03	43.02	64.8	55.1	59.97	163.28	220.32	126.12	37.59	74.58	120.94	74.06	65.26	42.11	95.34	67.59	68.07	120.94	136.19	130.6	152.28	74.58	150.17	54.33	75.11	120.94	137.14	81.71	74.58	57.49	82.29	63.45	98.73	109.66	106.63	98.04	73.54	426.57	305.55
EVI2B	1277.29	791.35	1674.06	2104.58	1540.37	2178.83	988.12	1313.23	29.7	35.76	18.29	52.45	371.22	395.18	10.55	14.35	15.56	24.81	30.34	21.16	9.78	74.06	47.17	21.32	9.13	718.08	204.07	275.28	473.41	255.0	61.68	262.2	111.21	39.5	275.28	299.25	65.72	224.97	273.37	267.73	371.22	140.04	156.59	193.01	1259.69	819.3
FAM105A	343.89	392.44	441.64	303.44	529.06	406.31	224.97	307.69	11.04	8.06	12.27	17.77	153.34	105.89	3.63	3.89	3.69	22.75	9.63	10.96	0.96	14.14	9.34	10.55	2.29	144.01	43.32	65.72	43.02	17.9	6.78	29.48	22.43	19.82	36.53	56.68	17.77	44.25	66.18	29.27	59.13	9.13	20.11	8.19	232.94	503.95
FCGR1A	3280.18	2468.49	3419.52	4512.4	3280.18	3018.3	1662.49	4123.49	9.56	43.94	7.94	90.14	120.1	988.12	7.28	20.56	34.26	13.03	45.85	42.41	13.72	101.54	7.88	17.25	12.45	688.78	27.84	81.71	206.94	43.94	0.0	145.02	18.84	96.68	94.01	108.14	40.36	47.84	79.45	16.51	518.15	36.79	51.71	45.53	1015.93	1697.45
FCGR1B	660.68	480.04	915.51	890.44	1322.37	669.92	356.05	819.3	6.36	12.27	9.48	24.63	29.27	211.31	20.56	0.0	8.38	5.11	5.02	6.57	4.5	26.28	14.56	2.76	2.81	154.42	19.97	39.5	35.5	22.26	0.0	56.28	27.44	34.75	17.9	20.56	9.85	27.64	49.56	0.0	70.51	4.24	16.51	15.0	316.37	201.25
FCGR2A	4802.93	3325.99	3639.7	5366.37	4937.99	5255.91	2609.3	4268.94	33.54	148.09	40.64	150.17	1437.15	1127.35	48.52	51.71	44.57	356.05	88.26	111.21	46.18	297.17	24.81	115.97	1073.91	603.67	224.97	217.27	279.14	171.45	40.64	132.44	62.56	218.79	194.36	102.97	67.59	155.5	133.36	81.14	723.08	134.3	176.29	119.26	3349.13	2319.15
FCRL6	187.71	124.37	162.14	171.45	138.1	148.09	49.21	64.34	6.78	12.93	7.28	8.0	126.12	80.01	14.67	3.35	2.34	8.06	4.31	2.12	1.51	9.63	9.7	8.13	2.63	50.27	68.07	44.89	31.0	44.25	26.67	20.71	42.11	14.14	81.71	152.28	61.25	22.1	26.28	91.41	23.42	26.1	41.22	12.74	92.05	68.55
FERMT3	6699.25	1883.54	1963.57	1628.26	2875.3	2018.8	2627.46	3303.0	136.19	169.07	63.0	189.02	1369.04	1359.57	62.56	27.64	96.68	68.55	149.12	78.34	44.89	384.34	127.89	91.41	57.49	1225.22	190.34	231.32	264.03	155.5	90.14	503.95	135.24	1096.5	120.94	291.04	197.09	493.56	414.87	161.02	981.29	303.44	199.85	72.52	2287.2	2573.36
FGD2	493.56	463.65	785.88	460.44	540.19	432.53	665.29	460.44	19.97	23.93	10.39	16.51	454.09	289.02	9.13	11.04	10.63	22.43	25.91	13.72	6.11	51.35	27.84	10.39	4.9	392.44	84.04	72.52	166.73	34.75	31.67	171.45	71.5	38.12	111.99	171.45	78.34	212.78	244.57	73.54	169.07	59.55	105.89	19.39	463.65	607.87
FGD3	341.51	325.29	400.71	295.11	376.41	287.01	249.73	309.83	29.06	31.22	12.27	23.59	232.94	228.13	19.53	5.02	18.7	7.4	37.59	6.01	6.62	46.18	19.82	9.41	12.55	301.33	59.13	81.14	82.87	73.03	32.13	87.65	39.5	51.35	84.63	242.88	37.32	72.52	53.57	75.11	123.5	46.84	76.17	59.13	371.22	373.81
FGR	384.34	1225.22	500.46	651.58	395.18	249.73	1467.37	934.76	34.02	36.79	27.05	49.91	194.36	583.07	18.16	16.51	16.75	30.56	32.13	13.12	19.11	76.71	47.84	27.84	18.16	334.46	241.19	84.04	92.05	92.7	26.1	93.35	117.6	358.54	111.21	177.53	87.03	98.04	58.71	64.8	94.67	108.9	123.5	95.34	1340.84	2417.67
FMNL1	1923.14	915.51	1923.14	1081.39	1508.65	934.76	884.29	1250.98	81.14	84.04	38.67	125.24	656.11	647.07	34.02	15.56	45.21	27.84	82.29	27.64	26.1	156.59	43.63	31.0	18.84	642.59	723.08	373.81	177.53	182.55	91.41	109.66	107.38	236.21	293.07	595.34	77.25	108.14	74.58	248.0	279.14	248.0	384.34	157.68	1721.16	1605.83
FPR2	100.13	41.52	69.03	67.12	152.28	87.65	5.87	5.45	0.34	1.07	0.35	2.46	23.08	21.94	0.0	1.68	0.0	3.72	0.0	0.37	0.32	8.13	0.95	0.68	0.0	58.71	18.16	6.62	17.38	2.41	0.0	33.54	1.87	35.25	12.74	4.13	5.92	16.03	9.34	7.88	32.36	5.92	18.56	15.22	85.82	37.59
FPR3	1359.57	738.29	1331.57	1781.89	2209.26	2664.15	753.83	2032.85	18.97	31.9	9.13	32.36	518.15	346.29	13.52	8.38	12.27	13.12	14.78	25.91	8.45	76.17	20.56	11.82	4.62	616.37	92.05	175.07	353.59	88.26	19.25	166.73	110.43	64.34	93.35	234.57	66.18	295.11	246.28	104.42	387.02	67.59	92.05	20.11	1037.29	2104.58
GMFG	2875.3	3124.78	3639.7	4095.0	3257.52	4639.29	2875.3	4298.64	341.51	400.71	332.14	406.31	2367.9	1407.55	139.07	202.66	239.52	221.86	373.81	226.54	158.79	860.08	392.44	305.55	148.09	3325.99	995.0	909.17	1417.35	638.15	447.82	1844.76	403.5	575.03	583.07	1477.58	819.3	988.12	1437.15	339.14	1096.5	454.09	559.28	429.54	2591.27	2976.74
GMIP	579.04	373.81	728.11	447.82	733.19	429.54	384.34	547.75	33.54	63.89	56.68	52.82	305.55	273.37	63.45	11.3	52.45	42.71	39.5	46.5	31.67	123.5	23.93	35.5	35.0	287.01	87.03	59.55	115.97	32.36	53.95	112.77	42.41	65.72	55.89	102.25	30.12	120.94	152.28	66.18	158.79	52.45	78.34	23.76	567.1	629.35
GNGT2	412.0	389.72	287.01	454.09	258.57	473.41	303.44	384.34	9.27	30.56	16.27	31.67	217.27	129.69	3.66	11.13	9.93	12.0	20.11	18.97	5.41	44.25	21.16	11.38	11.13	221.86	63.45	91.41	85.22	16.15	57.08	108.14	49.56	44.57	31.45	36.79	58.3	102.25	176.29	45.85	115.97	71.5	26.1	4.7	209.84	277.2
GPR132	291.04	141.02	260.38	149.12	223.41	127.0	119.26	136.19	2.63	3.76	2.32	6.78	76.71	57.08	0.99	0.82	2.29	1.68	4.5	1.3	0.45	13.72	6.26	3.29	2.16	101.54	32.13	15.22	18.7	45.21	1.68	18.97	12.55	30.34	10.79	30.56	2.51	9.34	19.97	70.01	104.42	20.11	18.29	21.94	165.57	141.02
GPSM3	1685.71	1437.15	2434.5	2032.85	1991.0	2018.8	1639.59	2303.12	96.68	120.94	69.03	183.82	1088.92	733.19	36.79	43.63	77.25	55.49	105.89	55.49	35.0	271.48	129.69	75.64	30.12	1697.45	480.04	368.65	429.54	241.19	124.37	764.36	162.14	279.14	291.04	651.58	232.94	536.45	536.45	450.94	860.08	223.41	241.19	291.04	1639.59	1594.73
GZMH	1844.76	1037.29	1286.18	872.1	669.92	934.76	133.36	291.04	44.89	44.89	66.65	44.89	209.84	400.71	7.4	7.88	35.5	29.06	33.54	8.78	14.56	67.59	36.53	21.16	8.45	170.25	202.66	47.84	40.36	244.57	39.79	65.26	86.43	18.29	153.34	1277.29	62.12	62.56	198.47	251.48	150.17	94.01	89.51	148.09	638.15	197.09
HAPLN3	909.17	1066.48	947.83	579.04	660.68	571.05	27.44	351.14	12.36	7.46	17.64	23.59	65.72	205.5	9.56	0.71	10.08	8.65	21.63	7.0	1.51	39.22	8.65	16.75	2.71	69.52	66.18	45.53	12.83	12.93	13.72	9.2	12.74	173.85	12.64	46.18	14.03	5.73	2.94	50.98	92.05	15.11	13.32	10.71	974.5	260.38
HAVCR2	1191.69	718.08	1628.26	1427.22	1286.18	1286.18	1199.98	1605.83	26.1	23.76	8.38	32.82	1594.73	332.14	8.51	10.0	9.63	19.25	26.86	12.18	8.78	53.95	28.04	14.14	5.23	356.05	177.53	181.28	199.85	28.45	12.0	129.69	24.11	85.22	58.71	114.36	40.93	223.41	155.5	25.72	195.72	86.43	115.16	75.64	665.29	1286.18
HCK	1225.22	1313.23	1359.57	1605.83	2485.67	1369.04	1242.34	2224.63	45.53	66.18	19.68	62.12	698.41	583.07	17.77	17.51	15.56	27.44	27.05	28.65	12.27	150.17	56.68	29.48	10.63	995.0	159.9	105.15	329.84	71.5	50.27	435.55	59.97	334.46	105.15	199.85	108.9	397.93	463.65	72.01	366.09	171.45	186.4	111.21	1008.9	1143.1
HCLS1	4181.07	2287.2	4388.98	3874.05	3982.99	4481.23	1733.13	3303.0	143.01	171.45	99.43	178.77	3212.66	1199.98	94.01	60.82	103.69	115.16	164.42	123.5	53.19	473.41	215.77	102.97	53.57	2537.92	909.17	536.45	808.0	480.04	211.31	764.36	420.68	412.0	591.22	1159.07	368.65	1191.69	1143.1	435.55	780.44	486.75	642.59	373.81	2335.28	2319.15
HK3	473.41	1073.91	115.97	287.01	400.71	441.64	688.78	412.0	14.14	18.16	24.81	37.05	392.44	376.41	1.27	20.26	8.58	23.59	17.77	17.38	13.42	122.64	100.83	13.52	10.47	543.96	111.99	95.34	220.32	22.43	49.56	373.81	94.01	170.25	159.9	175.07	105.15	273.37	384.34	85.22	341.51	141.02	130.6	44.57	743.43	1167.14
HPSE	432.53	167.9	143.01	392.44	265.87	373.81	138.1	253.23	4.98	9.48	1.1	9.63	61.68	92.7	2.41	1.91	1.99	7.28	3.63	10.31	2.16	12.74	8.06	4.62	0.54	113.56	41.81	18.43	56.68	11.47	4.94	64.8	10.71	40.07	12.55	23.76	11.47	57.89	61.68	7.51	67.12	12.45	19.53	4.5	246.28	403.5
ICOS	112.77	113.56	94.01	53.57	78.89	73.54	5.54	26.67	3.89	0.43	0.8	5.32	14.78	51.71	0.49	0.0	2.89	0.44	0.46	0.45	0.4	3.44	0.56	0.78	0.0	15.56	15.22	25.35	4.9	13.22	23.08	0.42	3.89	13.62	16.39	32.82	4.5	0.42	1.89	55.1	7.34	9.48	3.47	1.83	30.78	28.24
IGSF6	872.1	854.13	872.1	1909.85	1191.69	1427.22	1313.23	2148.82	65.26	37.59	30.34	36.01	346.29	684.02	8.06	16.75	6.94	39.5	36.53	25.91	13.42	84.04	64.8	23.08	7.0	620.67	173.85	172.65	339.14	61.68	101.54	441.64	66.65	127.89	103.69	277.2	55.1	403.5	532.74	128.79	423.61	129.69	119.26	34.75	753.83	954.43
IKBKE	409.15	332.14	279.14	206.94	429.54	187.71	173.85	273.37	43.32	116.78	2.66	80.57	78.89	246.28	52.45	1.25	43.63	34.26	38.12	30.78	1.66	39.5	12.09	17.64	16.27	189.02	29.7	25.91	40.93	19.11	17.38	60.39	10.31	2.97	58.71	110.43	19.82	55.49	34.75	90.14	185.11	18.84	9.85	5.87	242.88	140.04
IL10	81.71	94.01	139.07	78.34	130.6	185.11	87.65	149.12	2.27	2.68	0.74	3.29	223.41	45.53	3.56	0.09	5.19	1.11	0.84	0.0	0.67	4.5	6.26	5.06	0.0	38.95	45.21	26.86	10.08	4.43	4.21	11.91	0.0	23.59	28.86	21.01	0.0	41.81	19.11	5.92	27.44	12.74	19.11	18.84	107.38	379.04
IL10RA	1427.22	954.43	2287.2	1819.35	2061.24	2075.59	1143.1	1651.0	26.86	52.08	104.42	68.07	1259.69	633.73	65.26	12.18	21.94	17.64	21.78	17.13	11.64	113.56	68.55	29.7	14.14	1313.23	220.32	199.85	412.0	162.14	92.7	466.88	130.6	88.26	244.57	620.67	155.5	353.59	503.95	217.27	409.15	205.5	148.09	64.34	1350.18	1397.83
IL18	1467.37	1135.2	1208.34	1199.98	1295.13	1388.16	1794.29	1277.29	33.06	37.05	9.78	49.21	368.65	435.55	47.84	8.19	34.02	12.83	36.01	24.63	20.11	98.73	40.64	104.42	25.17	1322.37	76.71	323.03	275.28	28.04	8.99	249.73	107.38	40.64	339.14	204.07	53.95	441.64	334.46	212.78	753.83	62.56	133.36	23.93	551.56	1135.2
IL21R	417.77	190.34	381.68	163.28	547.75	285.03	29.91	102.25	1.57	1.25	1.6	3.69	14.24	67.12	3.92	0.47	0.85	4.98	1.36	2.46	0.46	6.41	3.06	0.84	0.54	66.18	29.48	23.08	17.51	1.77	11.91	16.39	4.03	6.31	22.1	57.49	10.16	16.15	6.52	71.0	43.32	12.18	18.7	14.24	173.85	68.55
IL2RA	878.17	890.44	98.73	444.72	343.89	457.25	147.06	77.25	1.77	4.28	1.45	2.51	158.79	111.21	0.87	4.06	2.48	1.53	0.41	6.73	0.0	7.34	0.97	3.79	0.41	15.0	7.75	0.0	2.16	6.26	3.11	22.75	2.07	28.86	17.77	6.21	4.06	9.06	3.79	2.61	0.0	3.35	18.03	7.69	336.79	108.14
IL2RB	947.83	473.41	1143.1	595.34	698.41	483.38	241.19	279.14	30.56	12.0	15.56	23.25	429.54	497.0	6.26	7.88	9.27	23.76	16.39	2.92	4.31	53.57	78.89	7.34	4.7	373.81	269.6	507.46	136.19	141.02	90.14	221.86	323.03	58.71	120.94	256.78	343.89	198.47	171.45	217.27	73.03	128.79	87.03	30.12	412.0	187.71
ITGAX	466.88	289.02	995.0	961.07	603.67	529.06	2148.82	1923.14	60.39	61.25	31.0	73.54	309.83	753.83	24.28	26.28	28.65	22.75	80.57	23.08	29.27	92.7	19.53	33.78	23.93	220.32	366.09	109.66	91.41	81.14	39.79	68.07	66.65	412.0	118.43	209.84	50.98	70.51	48.87	53.57	137.14	81.14	212.78	111.99	2351.53	3690.52
ITGB2	6471.02	5479.15	8078.22	6250.56	7966.99	7081.29	7749.1	12415.75	158.79	211.31	97.36	232.94	2178.83	2434.5	60.39	87.03	154.42	175.07	181.28	98.04	117.6	493.56	264.03	191.67	158.79	4450.27	1066.48	514.56	1183.45	329.84	220.32	1991.0	218.79	441.64	616.37	1427.22	511.0	1628.26	928.3	543.96	2133.97	551.56	400.71	255.0	8022.41	5913.33
JAKMIP1	181.28	96.01	177.53	75.11	117.6	72.01	11.82	33.54	5.19	0.91	1.3	4.58	12.0	50.98	1.04	0.0	6.62	0.54	4.28	1.36	0.85	7.06	1.16	0.88	1.41	4.54	3.11	0.46	8.71	7.22	7.88	2.76	8.25	3.29	6.46	42.41	3.08	4.82	7.57	34.75	5.36	11.13	4.62	11.73	55.49	22.59
KIAA0226L	95.34	65.72	239.52	198.47	237.86	199.85	166.73	211.31	5.77	9.13	2.29	14.35	444.72	70.01	1.68	1.39	4.66	2.81	4.74	3.29	3.29	31.9	9.34	3.0	1.6	103.69	147.06	56.28	23.93	37.85	13.22	43.32	12.18	73.03	23.93	40.93	14.03	18.43	70.51	42.71	57.89	45.53	169.07	2.71	148.09	336.79
LAIR1	2627.46	2178.83	2485.67	3491.39	2915.45	2895.31	2271.4	3325.99	52.45	82.29	30.12	96.68	878.17	1008.9	26.1	18.03	21.78	381.68	51.35	37.85	25.54	109.66	25.54	35.0	15.68	785.88	113.56	92.7	323.03	52.82	25.35	256.78	87.03	120.94	112.77	102.97	77.79	208.38	206.94	50.63	559.28	38.4	55.89	45.21	1857.6	3419.52
LAPTM5	13123.73	9025.81	15715.58	20310.37	18819.27	19482.97	15824.9	20170.07	358.54	409.15	201.25	791.35	5995.9	4671.57	151.22	137.14	256.78	320.8	493.56	327.56	167.9	974.5	412.0	271.48	128.79	4152.18	1781.89	1167.14	1757.34	633.73	444.72	1977.24	409.15	733.19	693.58	1331.57	490.14	1977.24	1417.35	688.78	2271.4	780.44	1111.82	540.19	13681.08	16960.78
LAT2	708.18	444.72	1250.98	587.13	1151.06	808.0	647.07	1059.11	133.36	61.25	23.59	119.26	525.39	297.17	57.08	16.88	156.59	59.97	66.18	55.49	17.9	129.69	204.07	55.1	60.82	587.13	460.44	194.36	249.73	366.09	78.34	457.25	169.07	177.53	318.57	316.37	287.01	473.41	165.57	170.25	497.0	127.0	122.64	417.77	642.59	395.18
LCP2	2303.12	1417.35	3589.58	3060.45	3081.75	2591.27	1135.2	1487.87	77.25	52.08	52.08	76.71	941.27	764.36	40.07	19.97	50.98	55.49	67.12	35.25	26.47	173.85	88.26	37.32	33.3	1628.26	1023.0	651.58	651.58	202.66	198.47	603.67	236.21	429.54	351.14	647.07	283.05	497.0	599.49	486.75	551.56	262.2	438.59	169.07	1322.37	1286.18
LGALS9	5872.48	3768.09	5329.3	6745.86	9025.81	5954.47	6037.61	9215.48	616.37	299.25	242.88	563.18	2627.46	3280.18	118.43	94.01	941.27	152.28	281.09	127.89	181.28	624.99	277.2	166.73	748.61	4836.35	830.75	559.28	1857.6	171.45	117.6	1697.45	295.11	305.55	400.71	738.29	389.72	1572.76	1651.0	2875.3	2119.22	351.14	332.14	63.45	4268.94	6561.36
LILRA5	102.25	55.89	201.25	334.46	173.85	121.79	206.94	363.56	5.02	11.91	9.56	20.26	130.6	100.13	7.22	6.67	1.64	5.41	1.53	8.85	3.29	64.34	16.75	7.4	1.89	265.87	163.28	50.63	80.01	46.84	19.82	223.41	16.63	108.9	65.26	80.01	26.86	61.68	33.78	20.86	64.34	57.08	77.79	78.89	309.83	137.14
LILRA6	351.14	185.11	281.09	435.55	376.41	260.38	571.05	486.75	13.42	11.13	5.73	11.91	82.87	144.01	4.03	6.73	5.63	14.45	8.78	6.06	8.25	24.99	13.52	13.72	4.31	161.02	61.25	34.26	46.5	16.15	4.9	37.85	8.13	101.54	33.78	39.22	20.71	37.85	9.93	20.11	69.03	27.64	77.79	17.9	723.08	1225.22
LILRB1	579.04	400.71	624.99	450.94	934.76	518.15	336.79	500.46	21.47	17.51	20.26	21.32	392.44	301.33	2.86	4.86	8.85	8.06	22.75	5.41	5.15	49.21	37.59	7.82	4.66	305.55	65.72	71.0	163.28	22.43	34.26	149.12	52.08	28.65	81.14	181.28	90.77	112.77	199.85	31.67	264.03	67.59	64.34	10.55	500.46	473.41
LILRB2	808.0	575.03	854.13	616.37	1104.13	759.08	447.82	764.36	43.94	46.18	25.17	47.84	651.58	412.0	14.45	14.45	13.93	22.26	57.08	14.24	8.19	118.43	45.85	17.77	10.08	423.61	232.94	81.14	97.36	52.82	26.47	182.55	47.5	159.9	165.57	178.77	56.68	150.17	348.71	63.45	189.02	84.63	91.41	77.25	764.36	532.74
LILRB4	4010.71	3794.3	1832.01	2193.99	2915.45	1883.54	2956.17	3847.29	25.72	39.22	17.64	33.3	579.04	1051.79	7.11	13.93	17.0	23.93	19.82	25.35	26.67	84.63	31.67	17.64	5.59	406.31	124.37	146.03	318.57	39.5	31.45	366.09	68.07	77.79	150.17	204.07	66.65	239.52	332.14	62.56	262.2	93.35	112.77	30.78	3443.31	3491.39
LOXL3	135.24	104.42	258.57	223.41	253.23	242.88	129.69	221.86	19.25	18.16	11.21	12.27	122.64	69.03	14.45	5.11	8.58	12.09	20.41	9.63	4.98	24.28	9.27	7.22	6.36	63.45	10.88	26.28	31.45	11.21	6.06	31.22	31.45	19.25	23.25	23.08	25.35	26.86	55.1	15.91	52.82	21.47	14.35	5.77	309.83	214.27
LPAR5	146.03	61.25	339.14	206.94	376.41	277.2	161.02	262.2	1.68	7.0	2.05	6.26	241.19	32.36	44.89	0.65	33.54	4.24	3.0	3.23	0.96	16.51	7.11	2.63	3.0	138.1	12.55	8.85	103.69	7.0	1.93	71.0	14.89	72.52	21.47	17.25	16.27	78.34	104.42	16.75	94.01	8.71	14.14	10.79	81.14	95.34
LRRC25	414.87	536.45	486.75	638.15	872.1	775.05	540.19	1023.0	21.63	21.32	10.31	34.75	490.14	262.2	11.73	9.13	2.78	16.75	19.39	14.24	13.83	60.82	38.12	17.51	6.26	406.31	81.71	87.03	161.02	57.49	18.97	248.0	34.02	106.63	76.17	100.83	24.28	218.79	214.27	28.04	214.27	67.12	82.87	28.45	503.95	497.0
