	TCGA.BT.A20O.01A.21R.A14Y.07	TCGA.K4.A5RJ.01A.11R.A28M.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.B8.5551.01A.01R.1541.07	TCGA.B8.5162.01A.01R.1420.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.ZS.A9CE.01A.11R.A37K.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11GSP.0626.SM.5986T	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	TCGA.78.8648.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07
ARL11	57.89	55.1	62.56	78.89	105.15	80.01	77.25	108.9	3.26	3.69	1.16	1.77	57.08	20.86	1.75	2.29	1.75	2.86	1.64	0.91	1.36	5.77	4.06	0.51	0.0	43.32	6.57	5.02	20.56	4.58	2.46	26.47	7.75	4.24	5.19	6.52	4.54	19.25	26.47	3.69	13.12	6.52	8.06	1.75	49.91	70.01
ASB2	105.15	84.04	318.57	104.42	198.47	107.38	47.17	125.24	8.92	5.92	4.03	6.52	66.18	83.45	9.34	3.47	10.0	1.0	6.84	0.58	4.43	16.51	13.42	4.62	3.17	43.63	31.0	29.48	62.12	7.69	14.67	9.2	82.29	6.78	4.06	40.93	11.04	9.06	26.67	9.41	18.16	6.31	10.71	3.32	77.79	58.3
BASP1	1437.15	406.31	1059.11	1457.23	1001.93	1340.84	1037.29	981.29	22.43	13.72	10.39	25.91	2163.77	366.09	7.28	3.79	9.48	12.0	18.84	16.63	4.06	127.89	100.83	21.32	14.14	2018.8	624.99	295.11	293.07	123.5	28.45	769.69	182.55	185.11	171.45	209.84	84.04	486.75	395.18	37.32	334.46	158.79	660.68	156.59	1857.6	1037.29
BTK	361.04	264.03	511.0	507.46	591.22	532.74	616.37	665.29	13.32	33.54	15.45	29.06	339.14	172.65	5.45	4.46	4.21	7.4	15.45	8.71	9.78	35.0	18.97	12.74	21.16	262.2	121.79	77.79	92.7	96.01	12.83	167.9	36.01	43.94	84.63	80.01	19.53	90.77	98.73	114.36	117.6	57.89	29.91	11.55	493.56	780.44
BTLA	92.05	50.63	68.07	105.15	105.15	61.68	21.32	30.56	2.27	79.45	1.97	0.0	4.43	48.18	4.86	1.87	0.45	0.0	1.35	0.48	1.83	9.13	1.1	0.45	0.0	29.06	7.28	21.32	12.27	14.24	5.41	2.51	26.67	14.14	5.41	22.59	15.68	12.27	3.96	1.25	12.64	7.82	3.72	0.78	32.82	34.75
C1orf162	1709.26	1143.1	2855.44	3820.7	3212.66	3955.48	1594.73	2133.97	68.55	94.67	52.45	111.99	1697.45	738.29	79.45	37.05	40.07	52.82	112.77	63.0	33.06	346.29	251.48	56.68	60.82	1662.49	397.93	490.14	688.78	154.42	117.6	607.87	503.95	86.43	307.69	624.99	220.32	669.92	555.41	239.52	476.71	299.25	954.43	212.78	1437.15	3794.3
C1orf54	1662.49	1167.14	1467.37	1733.13	1388.16	2451.44	1023.0	1617.0	202.66	119.26	86.43	128.79	490.14	599.49	78.89	46.18	109.66	90.77	130.6	84.04	71.0	265.87	169.07	103.69	53.57	836.53	244.57	507.46	361.04	204.07	180.02	514.56	314.17	297.17	149.12	329.84	178.77	412.0	514.56	239.52	368.65	293.07	121.79	172.65	921.88	1044.52
C3AR1	1233.75	1066.48	1313.23	1745.2	1709.26	1923.14	1781.89	2367.9	24.99	48.18	11.38	35.0	511.0	346.29	12.0	11.3	11.13	26.28	25.91	24.81	15.11	52.08	22.26	18.29	4.54	497.0	71.5	76.17	293.07	55.1	15.91	228.13	48.87	68.07	76.71	129.69	74.58	299.25	267.73	38.12	291.04	66.18	80.01	38.95	1059.11	1030.12
C5AR1	1088.92	339.14	1096.5	1519.15	753.83	1369.04	1540.37	2319.15	24.46	29.7	13.22	48.87	567.1	612.11	46.18	30.34	28.24	59.55	37.32	66.65	25.17	201.25	36.53	33.78	46.18	392.44	551.56	211.31	100.83	117.6	81.71	90.14	39.22	110.43	249.73	102.25	229.72	100.83	81.71	84.63	206.94	193.01	264.03	182.55	1832.01	1781.89
CARD9	143.01	193.01	198.47	129.69	228.13	155.5	175.07	223.41	15.34	17.0	10.24	14.67	145.02	110.43	3.72	5.23	12.55	8.45	13.52	7.17	8.78	46.5	15.0	7.82	11.21	151.22	31.9	39.22	42.11	11.21	20.11	25.91	30.78	12.18	33.3	56.28	29.48	46.5	28.24	16.39	85.82	19.25	37.32	2.76	152.28	191.67
