	TCGA.C4.A0F7.01A.11R.A084.07	TCGA.VS.A9U6.01A.11R.A42T.07	TCGA.C5.A8YQ.01A.11R.A37O.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CQ.6220.01A.11R.1915.07	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.P4PQ.0526.SM.2HMKR	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.13PL7.1726.SM.5J2NX	GTEX.1399S.1726.SM.5L3DI	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	TCGA.43.A56V.01A.11R.A26W.07	TCGA.77.A5GB.01B.11R.A27Q.07	TCGA.94.A4VJ.01A.11R.A24Z.07	TCGA.NC.A5HQ.01A.11R.A26W.07	TCGA.56.7579.01A.11R.2045.07
ADGB	0.35	0.53	0.0	0.0	0.0	0.0	0.0	0.0	5.28	21.32	68.55	84.63	126.12	31.9	15.56	40.93	0.0	60.82	56.28	120.1	162.14	10.88	3.32	101.54	92.7	8.32	14.03	6.52	67.59	3.56	58.71	1.97	0.79	3.14	0.15	0.0
AKAP14	2.12	0.0	6.11	0.0	0.0	0.0	0.0	18.43	0.0	14.56	146.03	429.54	651.58	62.12	36.53	69.03	9.34	112.77	197.09	503.95	638.15	9.34	13.52	334.46	314.17	75.11	28.65	15.22	90.77	0.0	78.34	1.75	4.98	3.92	3.96	0.0
ANKRD66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.71	0.0	7.75	118.43	264.03	312.0	29.91	39.79	44.89	0.0	89.51	126.12	444.72	547.75	7.75	5.15	165.57	163.28	13.12	31.0	0.0	103.69	9.06	72.52	0.39	1.89	1.53	0.0	0.13
APOBEC4	0.0	0.0	0.34	0.0	0.0	0.0	0.0	4.43	3.47	3.41	47.17	148.09	214.27	7.57	12.93	55.49	4.54	24.81	44.57	96.68	144.01	7.82	3.32	72.52	63.45	11.64	10.71	3.41	51.35	7.88	28.04	5.63	0.71	1.33	0.19	0.0
C10orf107	3.86	5.87	0.19	0.0	0.0	0.43	0.48	11.04	68.55	17.38	82.29	403.5	366.09	124.37	54.72	48.52	13.93	139.07	106.63	249.73	693.58	31.22	21.63	293.07	120.1	236.21	81.71	21.94	98.04	43.32	82.87	2.71	1.13	5.23	2.16	0.73
C11orf88	0.0	0.0	0.0	0.71	0.33	0.27	1.66	17.77	11.73	18.29	1037.29	2537.92	2627.46	226.54	131.51	141.02	10.24	738.29	503.95	2178.83	3280.18	46.5	50.63	2018.8	1721.16	339.14	241.19	25.91	656.11	23.42	571.05	15.68	10.71	11.91	16.27	48.18
C18orf63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.68	3.08	5.82	3.35	2.61	2.34	9.93	2.66	7.06	4.24	1.58	1.22	2.03	7.11	0.0	1.17	4.86	2.73	3.82	3.26	2.32	6.06	3.35	7.46	0.0	0.0	0.0	0.2	0.0
C1orf141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.41	0.0	0.0	10.63	26.67	59.13	5.36	4.78	8.65	0.0	24.28	0.0	43.63	61.68	5.5	2.01	42.11	30.78	3.41	2.07	2.07	9.27	5.54	15.68	0.88	0.0	0.0	0.0	0.0
C1orf158	0.71	0.0	0.0	0.0	0.0	0.0	0.0	3.86	0.0	0.0	109.66	241.19	325.29	26.28	49.56	31.0	7.06	73.03	150.17	305.55	336.79	10.08	3.79	149.12	218.79	35.5	33.54	0.0	91.41	3.92	107.38	2.94	0.47	0.67	1.68	0.0
C1orf173	0.0	0.0	0.0	0.06	0.0	0.0	0.0	5.15	2.78	9.93	110.43	214.27	256.78	26.28	30.12	28.45	2.76	108.9	108.9	389.72	476.71	19.53	4.94	237.86	198.47	29.48	23.08	2.73	77.79	7.75	79.45	0.55	1.13	2.34	0.55	0.0
