	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.AO.A0JC.01A.11R.A056.07	GTEX.13O61.1226.SM.5KM21	TCGA.BB.7864.01A.11R.2232.07	TCGA.38.4625.01A.01R.1206.07	TCGA.44.2657.01A.01R.1107.07	TCGA.85.A4PA.01A.11R.A24Z.07	TCGA.85.7710.11A.01R.2125.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.VQ.AA6I.01A.11R.A414.31	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6802.01A.11R.1884.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.13U4I.2526.SM.5SI8Z
ABCD2	68.07	88.88	6.89	0.75	0.0	19.11	19.53	36.27	0.0	0.27	0.47	0.79	5.23	34.75	22.59	5.19	12.45	6.36	1.68	9.27	3.29	2.53	1.27	4.86	12.27	26.86	9.27	14.89	3.53	6.46	12.93	19.25
AC008964.1	872.1	2209.26	27.25	7.46	0.0	341.51	915.51	543.96	5.11	10.47	17.77	22.1	99.43	848.22	500.46	165.57	117.6	156.59	75.11	273.37	255.0	212.78	78.34	107.38	142.01	476.71	189.02	81.71	70.01	164.42	327.56	708.18
ACAP1	2682.69	3491.39	142.01	135.24	0.0	1268.46	8421.31	2796.65	205.5	126.12	113.56	89.51	180.02	1977.24	981.29	323.03	551.56	518.15	77.25	211.31	279.14	71.5	57.08	432.53	314.17	1709.26	638.15	406.31	248.0	698.41	1015.93	1757.34
AGAP2	376.41	392.44	54.33	6.11	65.72	142.01	441.64	224.97	6.06	5.87	4.39	9.78	39.22	323.03	131.51	85.82	108.14	151.22	20.56	77.79	48.18	108.9	47.17	87.65	92.7	198.47	91.41	79.45	17.0	67.59	173.85	244.57
ANXA2R	220.32	361.04	30.78	40.36	0.0	130.6	368.65	159.9	16.39	5.92	9.41	7.28	17.13	125.24	86.43	53.19	37.32	33.3	16.03	45.21	22.92	27.25	6.26	37.32	18.29	149.12	38.67	23.59	36.53	29.7	116.78	144.01
ARHGAP25	1662.49	2701.35	56.68	20.56	0.0	688.78	1757.34	1331.57	23.59	21.16	23.25	44.89	125.24	1037.29	587.13	293.07	248.0	185.11	97.36	249.73	234.57	164.42	70.51	260.38	202.66	708.18	339.14	237.86	159.9	182.55	500.46	842.36
ARHGAP30	2018.8	1733.13	95.34	48.52	0.0	693.58	2047.0	1628.26	24.63	25.72	19.68	53.95	116.78	995.0	579.04	293.07	299.25	251.48	82.87	224.97	224.97	125.24	80.01	323.03	293.07	665.29	379.04	217.27	59.13	231.32	503.95	802.41
ARHGAP9	2875.3	4607.24	204.07	35.5	0.0	1745.2	7280.4	2739.08	17.0	22.59	39.5	65.26	231.32	2573.36	1378.57	429.54	447.82	651.58	214.27	511.0	723.08	307.69	158.79	591.22	339.14	2193.99	591.22	514.56	163.28	441.64	1594.73	1733.13
BIN2	1051.79	1806.78	67.12	14.78	0.0	521.76	1175.27	1051.79	9.63	11.13	14.67	17.38	119.26	890.44	518.15	301.33	353.59	202.66	107.38	218.79	187.71	167.9	73.03	223.41	283.05	738.29	351.14	366.09	121.79	323.03	511.0	928.3
CCR5	503.95	490.14	11.82	6.52	0.0	260.38	151.22	164.42	1.71	1.71	3.56	13.72	48.87	182.55	220.32	127.89	39.22	88.26	33.78	133.36	100.13	53.19	20.11	51.35	99.43	169.07	127.0	51.71	50.98	96.68	91.41	470.14
CCR6	764.36	483.38	0.0	0.96	0.0	104.42	253.23	384.34	1.41	1.46	1.35	6.36	24.46	165.57	127.0	100.13	88.26	41.81	25.72	87.03	50.27	37.32	13.42	61.68	63.89	164.42	56.28	38.95	11.64	41.22	96.01	267.73
CD2	2956.17	4736.79	66.65	34.02	0.0	1167.14	1685.71	1044.52	2.03	4.54	6.62	30.12	256.78	1697.45	1030.12	579.04	318.57	473.41	166.73	651.58	435.55	351.14	94.67	295.11	532.74	1340.84	642.59	441.64	473.41	607.87	928.3	2209.26
CD226	159.9	152.28	3.86	1.71	0.0	104.42	85.22	99.43	1.23	1.85	1.75	7.0	19.39	68.07	45.21	31.0	23.08	25.54	16.63	64.8	35.5	34.75	5.87	19.68	39.22	75.11	43.02	35.25	26.1	36.01	57.08	56.68
