	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.R6.A6XG.01B.11R.A336.31	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	TCGA.85.A4PA.01A.11R.A24Z.07	TCGA.HU.A4HB.01A.12R.A251.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.BR.6564.01A.12R.1884.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.IN.7808.01A.11R.2203.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.CG.4460.01A.01R.1157.13	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.VQ.A928.01A.11R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
AC008964.1	872.1	2209.26	11.38	27.25	16.03	915.51	343.89	101.54	848.22	42.71	500.46	117.6	221.86	148.09	117.6	75.11	114.36	34.26	669.92	61.25	63.89	24.81	44.57	78.34	154.42	142.01	476.71	189.02	164.42	327.56
ACAP1	2682.69	3491.39	26.1	142.01	156.59	8421.31	830.75	242.88	1977.24	178.77	981.29	389.72	500.46	384.34	551.56	77.25	269.6	109.66	1540.37	212.78	92.05	93.35	139.07	57.08	441.64	314.17	1709.26	638.15	698.41	1015.93
AIM2	563.18	599.49	6.36	11.04	5.32	567.1	226.54	53.57	514.56	11.04	223.41	64.34	72.01	33.54	50.98	24.28	21.94	13.12	291.04	24.81	27.64	3.66	5.19	12.64	57.08	45.53	356.05	110.43	43.32	283.05
ALOX5	1407.55	1304.15	66.18	507.46	186.4	2664.15	808.0	688.78	1721.16	109.66	1313.23	356.05	660.68	361.04	486.75	320.8	397.93	155.5	1159.07	170.25	226.54	75.64	409.15	199.85	432.53	638.15	1066.48	759.08	343.89	825.0
APBB1IP	1216.75	1417.35	13.93	147.06	68.55	1030.12	656.11	339.14	1286.18	205.5	665.29	343.89	376.41	226.54	264.03	108.9	165.57	159.9	954.43	161.02	198.47	30.12	84.04	148.09	297.17	246.28	624.99	346.29	316.37	547.75
ARHGAP25	1662.49	2701.35	105.15	56.68	77.79	1757.34	575.03	241.19	1037.29	113.56	587.13	307.69	323.03	167.9	248.0	97.36	218.79	86.43	1081.39	101.54	112.77	43.32	76.71	70.51	275.28	202.66	708.18	339.14	182.55	500.46
ARHGAP9	2875.3	4607.24	41.52	204.07	64.34	7280.4	1268.46	341.51	2573.36	90.77	1378.57	518.15	603.67	476.71	447.82	214.27	341.51	126.12	2148.82	237.86	480.04	145.02	217.27	158.79	547.75	339.14	2193.99	591.22	441.64	1594.73
ARHGDIB	19082.0	29327.18	1447.15	1417.35	718.08	19348.38	7433.4	2895.31	12589.08	780.44	5366.37	4543.8	3639.7	3419.52	3168.41	1781.89	3081.75	1605.83	9409.14	1340.84	1417.35	1388.16	1250.98	1096.5	3235.01	2777.33	9540.5	5076.84	3589.58	10296.45
ARL11	74.06	182.55	2.36	5.28	4.58	124.37	45.85	40.93	107.38	2.63	25.72	21.94	22.26	11.82	9.63	7.22	19.53	9.41	71.5	3.92	32.82	3.11	5.73	6.73	25.72	6.94	60.39	29.48	7.82	64.8
BCL2A1	836.53	1096.5	2.56	5.68	0.0	1159.07	521.76	229.72	1417.35	20.71	346.29	497.0	140.04	68.07	148.09	420.68	209.84	209.84	698.41	73.03	193.01	38.67	256.78	51.71	154.42	96.01	1037.29	172.65	138.1	866.07
BEND4	41.52	31.9	0.0	1.04	0.0	38.4	20.56	5.96	59.97	0.67	22.1	4.62	7.34	1.87	7.57	1.01	4.46	0.0	17.0	1.03	0.75	0.39	0.39	1.14	7.46	5.63	18.29	7.57	3.35	14.35
BIN2	1051.79	1806.78	16.63	67.12	43.32	1175.27	463.65	182.55	890.44	45.21	518.15	356.05	279.14	165.57	353.59	107.38	149.12	82.29	743.43	116.78	95.34	31.0	67.59	73.03	312.0	283.05	738.29	351.14	323.03	511.0
BTK	1498.22	2004.85	13.32	114.36	74.06	1963.57	559.28	138.1	1119.56	18.16	638.15	197.09	164.42	121.79	194.36	59.55	117.6	48.52	693.58	58.71	72.52	22.75	51.35	37.05	197.09	175.07	647.07	271.48	126.12	555.41
BTLA	607.87	928.3	0.59	3.69	4.7	412.0	153.34	24.99	301.33	5.28	114.36	48.52	45.21	16.88	59.55	3.69	9.7	14.67	185.11	14.24	12.0	1.23	6.46	5.23	28.24	31.45	175.07	65.72	45.85	122.64
C11orf89	154.42	78.89	0.0	10.08	13.12	267.73	63.45	26.47	143.01	4.98	83.45	15.45	32.13	21.47	21.16	3.53	13.32	2.71	83.45	12.55	3.79	4.74	9.78	3.32	47.17	17.25	82.29	30.12	2.84	24.28
C1orf200	6.16	17.38	0.12	0.0	0.0	28.24	16.75	1.55	27.05	0.56	10.08	3.23	2.05	6.21	2.84	0.0	4.06	0.33	34.02	3.96	0.65	1.2	0.62	0.0	2.34	0.83	4.17	1.71	0.0	7.11
C1orf228	536.45	1757.34	20.86	58.71	31.67	1991.0	307.69	47.5	480.04	12.18	232.94	116.78	59.13	30.34	49.21	22.92	47.84	34.02	373.81	35.0	29.7	39.22	30.34	34.26	46.18	38.95	295.11	59.13	40.36	309.83
CCL19	25530.66	38430.46	0.0	7.11	10.79	13872.08	2255.7	460.44	4239.45	8.38	2018.8	490.14	400.71	1407.55	540.19	67.59	145.02	291.04	11424.74	20.11	31.67	1.79	66.18	80.01	656.11	343.89	7695.57	1819.35	718.08	6426.31
