	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.AC.A3QQ.01B.06R.A22O.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.B6.A0IB.01A.11R.A034.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.55.7815.01A.11R.2170.07	TCGA.38.4625.01A.01R.1206.07.1
AACS	1617.0	476.71	529.06	518.15	647.07	381.68	1721.16	808.0	1508.65	587.13	483.38	878.17	728.11	511.0	638.15	651.58	287.01	277.2	423.61	0.26
ABCB6	366.09	412.0	334.46	181.28	223.41	295.11	733.19	320.8	796.86	237.86	140.04	684.02	312.0	928.3	1044.52	660.68	224.97	155.5	647.07	0.92
AC120194.1	842.36	125.24	0.0	551.56	629.35	37.59	842.36	334.46	1151.06	429.54	0.0	518.15	540.19	1936.53	264.03	444.72	718.08	660.68	1605.83	0.54
ADCK5	202.66	147.06	103.69	87.65	69.52	93.35	285.03	94.01	201.25	122.64	104.42	131.51	139.07	194.36	289.02	187.71	21.78	35.5	11.73	0.64
AGR2	113315.62	46986.85	27938.14	22535.88	20310.37	8840.04	92680.9	17927.91	88905.42	53973.86	10084.54	24490.61	41475.31	65990.84	31650.8	23169.48	5366.37	7130.55	32540.65	0.02
AKR7A2	3235.01	872.1	1397.83	981.29	1551.09	981.29	2287.2	1119.56	1844.76	1322.37	511.0	1923.14	1487.87	2240.11	1378.57	1733.13	679.29	890.44	470.14	0.16
ASL	1540.37	555.41	511.0	320.8	341.51	733.19	1135.2	571.05	1119.56	567.1	214.27	507.46	1001.93	607.87	1628.26	954.43	182.55	417.77	105.89	0.41
ASMTL	384.34	346.29	341.51	180.02	277.2	166.73	368.65	285.03	417.77	237.86	84.04	309.83	291.04	348.71	486.75	392.44	102.25	153.34	72.52	0.6
ASNA1	3982.99	2287.2	2004.85	1662.49	1909.85	2133.97	2502.97	2271.4	3955.48	2287.2	559.28	2335.28	1832.01	1709.26	2209.26	3124.78	698.41	1242.34	825.0	0.21
ATAD3A	500.46	361.04	279.14	108.9	113.56	172.65	371.22	249.73	429.54	212.78	110.43	543.96	223.41	327.56	460.44	529.06	67.59	141.02	74.06	0.68
ATG4D	285.03	532.74	293.07	389.72	423.61	463.65	547.75	457.25	848.22	514.56	343.89	688.78	490.14	575.03	651.58	559.28	199.85	205.5	195.72	0.97
ATP5B	21468.49	9540.5	8718.32	8538.88	9344.14	8305.36	9151.82	9606.86	16045.82	10084.54	9740.98	10959.3	7537.18	8778.97	8840.04	10733.74	8963.45	9025.81	12853.63	1.43
B9D1	1437.15	518.15	135.24	299.25	511.0	183.82	693.58	500.46	808.0	429.54	185.11	642.59	291.04	813.63	612.11	159.9	198.47	295.11	226.54	0.0
BAD	2451.44	2133.97	1331.57	808.0	1135.2	1407.55	2537.92	1936.53	2224.63	1268.46	444.72	2133.97	1572.76	2018.8	3168.41	2209.26	525.39	642.59	237.86	0.73
BANP	457.25	267.73	256.78	253.23	202.66	258.57	334.46	223.41	392.44	291.04	444.72	287.01	318.57	275.28	289.02	397.93	191.67	118.43	187.71	0.37
BSG	16960.78	10808.41	13968.57	5292.48	6121.9	11189.6	14361.31	8718.32	15075.35	8191.0	3081.75	15075.35	9945.68	17558.94	16611.71	11345.82	2739.08	6745.86	1467.37	1.31
BTBD6	1191.69	679.29	518.15	759.08	713.11	854.13	1167.14	785.88	1183.45	819.3	543.96	921.88	842.36	1008.9	1059.11	1175.27	525.39	397.93	629.35	0.59
C19orf24	961.07	1015.93	860.08	1073.91	928.3	1467.37	1369.04	1286.18	2816.11	1369.04	279.14	1651.0	1674.06	1617.0	2555.58	2061.24	476.71	438.59	89.51	0.15
C19orf57	162.14	50.27	100.13	92.7	74.58	95.34	214.27	130.6	228.13	100.13	63.45	155.5	115.16	31.67	96.68	186.4	108.14	22.26	6.52	0.45
C1orf122	1417.35	1191.69	1340.84	599.49	1304.15	759.08	1991.0	915.51	2417.67	547.75	183.82	1378.57	848.22	1572.76	1467.37	1001.93	603.67	738.29	620.67	0.72
C1orf170	98.04	37.32	20.11	34.75	45.85	31.67	62.56	29.27	97.36	26.28	11.55	80.01	31.9	97.36	181.28	61.25	19.68	18.03	0.0	0.66
C1orf86	1304.15	775.05	688.78	555.41	511.0	830.75	1519.15	743.43	1340.84	703.28	186.4	1519.15	928.3	1151.06	1199.98	1030.12	249.73	353.59	141.02	0.92
C21orf2	718.08	343.89	204.07	118.43	209.84	224.97	497.0	351.14	423.61	234.57	183.82	279.14	339.14	438.59	327.56	353.59	87.65	148.09	28.04	0.69
C9orf16	1781.89	1277.29	1044.52	1167.14	1199.98	1617.0	2240.11	1662.49	3081.75	1407.55	490.14	1991.0	1268.46	1769.57	2739.08	1991.0	785.88	1781.89	206.94	0.83
CAPNS1	10225.32	7589.61	7433.4	6699.25	8901.53	9025.81	9606.86	7857.29	12853.63	8718.32	3540.14	11189.6	6983.79	8421.31	10084.54	12244.81	8421.31	7230.1	6037.61	854.13
CCDC28B	283.05	153.34	102.25	100.13	101.54	92.05	181.28	82.87	214.27	176.29	620.67	241.19	143.01	258.57	656.11	256.78	36.27	88.88	43.94	0.58
CD151	20451.65	14765.09	5594.3	5751.61	7230.1	8963.45	17437.64	9409.14	16727.26	7642.41	1909.85	7032.37	8718.32	5995.9	12764.83	10225.32	4358.66	4736.79	1135.2	1977.24
CDK2AP2	1216.75	848.22	1662.49	902.89	1151.06	1059.11	2855.44	1674.06	3901.01	1561.89	287.01	1594.73	2133.97	2255.7	2224.63	3349.13	551.56	1806.78	571.05	0.65
CHID1	5183.54	2835.7	1832.01	1340.84	1674.06	1781.89	3901.01	2090.03	3146.52	1870.53	583.07	3235.01	1832.01	4181.07	3419.52	2485.67	1286.18	1331.57	928.3	0.53
