	TCGA.LL.A740.01A.21R.A32P.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.BH.A0BZ.01A.31R.A12P.07	TCGA.A2.A0EY.01A.11R.A034.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.ZAJG.0626.SM.5HL8X	GTEX.X4EP.2926.SM.3P5YQ	GTEX.11EMC.2026.SM.5A5JV	GTEX.13NZ8.0126.SM.5IJCT	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AAR2	954.43	1088.92	1104.13	1059.11	1572.76	890.44	718.08	890.44	890.44	599.49	693.58	674.59	503.95	490.14	125.24
AMDHD2	813.63	1208.34	532.74	819.3	1551.09	595.34	118.43	470.14	336.79	211.31	155.5	323.03	155.5	0.0	0.14
AP1M2	2193.99	3874.05	2400.97	3467.27	4010.71	1745.2	96.68	1427.22	2537.92	836.53	540.19	909.17	638.15	0.0	0.0
APOD	450134.56	783730.52	1857.6	348306.01	602247.76	338781.54	43537.38	539026.74	602247.76	696613.03	175363.84	881742.8	851707.37	0.0	0.87
ATP6AP1	3639.7	4607.24	6207.38	5366.37	5255.91	3060.45	1447.15	2502.97	3303.0	2319.15	1369.04	2400.97	1561.89	0.0	0.78
ATP6V0C	5517.27	13306.94	5791.62	7130.55	8901.53	3491.39	2004.85	3303.0	3639.7	3768.09	2367.9	2720.15	3372.43	0.0	0.87
BMP8A	37.59	48.18	21.78	13.42	46.5	7.69	0.49	4.1	9.85	2.03	5.87	7.28	3.29	0.0	0.43
BOLA2	473.41	575.03	1605.83	373.81	435.55	195.72	57.49	154.42	150.17	129.69	100.13	63.0	176.29	0.0	0.29
C1orf106	571.05	830.75	785.88	497.0	947.83	253.23	7.28	215.77	154.42	59.55	92.05	52.82	78.89	0.0	0.28
C3orf83	108.14	141.02	73.03	106.63	117.6	53.95	6.01	41.52	106.63	45.85	23.76	47.17	22.75	0.0	0.06
C6orf1	1044.52	961.07	1519.15	1015.93	988.12	698.41	460.44	476.71	525.39	414.87	703.28	791.35	559.28	0.0	0.64
C8orf76	974.5	521.76	1119.56	995.0	1594.73	371.22	466.88	366.09	409.15	275.28	297.17	221.86	316.37	0.0	0.67
CCDC64	379.04	271.48	629.35	476.71	813.63	167.9	11.64	133.36	221.86	52.45	24.99	135.24	52.82	0.0	0.57
CCT3	4575.41	7130.55	9673.69	8078.22	8247.98	3901.01	2133.97	3665.02	4836.35	3690.52	2451.44	3018.3	3690.52	0.0	0.55
CEACAM21	26.86	26.28	79.45	44.25	40.64	20.26	26.67	19.97	3.92	44.89	28.65	7.17	6.11	0.0	0.2
CERS4	6250.56	5517.27	255.0	4210.15	10296.45	4388.98	563.18	4836.35	5995.9	1936.53	1250.98	3540.14	1991.0	0.0	0.68
COMMD5	1242.34	890.44	1313.23	1159.07	1745.2	563.18	232.94	493.56	525.39	466.88	334.46	444.72	480.04	0.0	0.3
COX7A2	8247.98	5872.48	8718.32	6699.25	8191.0	3443.31	5517.27	4123.49	4836.35	5112.16	3690.52	4328.55	4066.71	0.0	0.99
DAK	1733.13	2417.67	1628.26	1963.57	1923.14	1617.0	435.55	1259.69	1883.54	1066.48	748.61	1991.0	540.19	0.0	0.43
DCAF11	1561.89	688.78	1709.26	1617.0	1936.53	1304.15	629.35	1295.13	1628.26	981.29	785.88	1216.75	1051.79	0.0	0.32
EDARADD	206.94	587.13	791.35	1498.22	967.76	161.02	22.59	139.07	239.52	183.82	138.1	414.87	201.25	0.0	0.13
EDEM2	571.05	733.19	934.76	830.75	967.76	483.38	373.81	438.59	529.06	406.31	638.15	376.41	341.51	0.0	0.49
ENY2	4152.18	2163.77	4066.71	3665.02	5479.15	1685.71	2104.58	1769.57	1844.76	2319.15	2319.15	1781.89	2255.7	0.0	1.0
EPPK1	297.17	348.71	318.57	764.36	713.11	260.38	3.69	173.85	279.14	143.01	303.44	126.12	86.43	2.86	77.25
FAM103A1	764.36	567.1	941.27	647.07	872.1	575.03	351.14	417.77	559.28	500.46	409.15	536.45	426.57	0.0	0.0
FAM173A	674.59	1407.55	759.08	738.29	896.64	429.54	120.94	303.44	403.5	312.0	141.02	348.71	376.41	0.0	0.55
FAM195A	595.34	1183.45	518.15	995.0	1111.82	387.02	123.5	281.09	301.33	244.57	172.65	307.69	279.14	0.0	0.52
FAM83H	1051.79	928.3	1896.65	1135.2	1572.76	497.0	30.56	303.44	500.46	231.32	181.28	305.55	163.28	0.0	0.0
