	TCGA.BH.A204.11A.53R.A157.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.BH.A1EN.11A.23R.A13Q.07	GTEX.YJ8O.2226.SM.5IFHW	TCGA.BJ.A2N9.01A.11R.A18C.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.11EM3.0126.SM.5985K	GTEX.11EQ9.0626.SM.5A5K1	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.11TTK.0826.SM.5N9EG	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
ABCC9	656.11	713.11	373.81	884.29	29.7	74.58	31.9	35.5	87.65	91.41	63.89	197.09	112.77	117.6	89.51	70.51	161.02	40.07	92.05	55.49	92.7	193.01	32.13	28.65	107.38	32.36	24.28	26.28	80.57	38.12	73.03	72.01	93.35
ANO6	2701.35	2417.67	2209.26	2555.58	171.45	633.73	212.78	195.72	612.11	441.64	88.26	420.68	373.81	571.05	279.14	239.52	616.37	285.03	497.0	320.8	329.84	514.56	170.25	111.21	152.28	190.34	147.06	185.11	305.55	205.5	269.6	236.21	232.94
ARHGAP23	518.15	571.05	708.18	718.08	81.71	137.14	129.69	199.85	463.65	80.01	32.82	341.51	358.54	271.48	165.57	193.01	157.68	105.89	173.85	99.43	348.71	199.85	107.38	55.1	127.89	88.88	72.52	76.71	134.3	148.09	325.29	85.22	122.64
BMPR2	591.22	559.28	620.67	1437.15	126.12	463.65	255.0	275.28	414.87	438.59	143.01	320.8	314.17	420.68	379.04	241.19	397.93	217.27	293.07	255.0	279.14	353.59	199.85	217.27	224.97	303.44	212.78	269.6	293.07	281.09	293.07	236.21	264.03
C3orf70	40.93	134.3	59.13	432.53	6.73	25.54	14.03	13.62	25.54	20.11	2.66	21.94	26.47	50.27	20.41	24.28	47.5	6.36	18.16	15.56	12.64	33.54	10.47	11.13	18.16	11.64	7.46	9.7	26.67	10.88	11.3	6.73	22.1
CALCRL	1733.13	1551.09	813.63	1044.52	109.66	896.64	409.15	642.59	660.68	490.14	64.34	532.74	688.78	802.41	429.54	329.84	647.07	384.34	400.71	299.25	361.04	693.58	140.04	224.97	329.84	242.88	232.94	334.46	728.11	547.75	616.37	152.28	547.75
CALHM2	1216.75	1259.69	1369.04	1023.0	211.31	283.05	361.04	417.77	624.99	358.54	42.11	684.02	525.39	738.29	493.56	363.56	486.75	264.03	497.0	275.28	567.1	480.04	162.14	249.73	241.19	127.0	190.34	166.73	651.58	277.2	348.71	158.79	329.84
CDH11	514.56	651.58	579.04	1199.98	37.59	301.33	85.22	58.3	373.81	220.32	1.83	141.02	178.77	438.59	242.88	46.84	271.48	23.42	373.81	126.12	137.14	140.04	15.0	8.99	48.87	26.28	5.36	30.34	237.86	16.51	91.41	29.06	49.56
CHRDL1	6983.79	6745.86	3874.05	52135.28	18.43	1909.85	409.15	234.57	1427.22	1111.82	4.06	1081.39	995.0	4869.99	363.56	497.0	3303.0	486.75	5711.87	624.99	813.63	669.92	212.78	55.49	110.43	61.68	93.35	86.43	928.3	139.07	336.79	221.86	791.35
CTC-786C10.1	75.11	64.34	45.53	66.65	7.4	12.93	21.01	17.0	38.12	10.55	4.74	24.99	39.5	21.01	8.99	23.25	17.9	8.65	26.67	24.99	37.59	35.0	9.06	1.22	14.14	2.41	2.86	8.92	41.22	17.9	26.47	2.25	3.79
