	TCGA.K4.A3WV.11A.21R.A22U.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.BH.A1FU.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.AN.A0FD.01A.11R.A034.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0H7.11A.13R.A089.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.BH.A1FH.11B.42R.A13Q.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.13N11.1726.SM.5J1OJ	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.Y5V5.2126.SM.4WWFO	GTEX.1399U.1826.SM.5PNZ1	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	GTEX.S4UY.1426.SM.4AD6Y	TCGA.V1.A9ZR.01A.11R.A41O.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.FL.A1YT.11A.12R.A32Y.07	TCGA.FL.A1YL.11A.11R.A16F.07	TCGA.FL.A1YN.11A.11R.A32Y.07	TCGA.FL.A1YV.11A.12R.A32Y.07	TCGA.AJ.A3NH.11A.11R.A22K.07	TCGA.N5.A4RF.01A.11R.A28V.07	GTEX.13N11.1126.SM.5KM41	GTEX.UPIC.1526.SM.4IHLU	GTEX.13U4I.1926.SM.5LU39	GTEX.1117F.2426.SM.5EGGH	GTEX.12WSK.2026.SM.5CVNB	GTEX.Q734.1626.SM.48U1B	GTEX.XYKS.1626.SM.4BRUQ
ANKRD17	511.0	743.43	426.57	214.27	1594.73	1119.56	579.04	633.73	423.61	669.92	878.17	595.34	318.57	802.41	463.65	551.56	470.14	599.49	420.68	775.05	332.14	595.34	656.11	934.76	775.05	587.13	353.59	514.56	1081.39	532.74	775.05	518.15	500.46	651.58	988.12	514.56	674.59	866.07	718.08	279.14	791.35	329.84	559.28	819.3	543.96	603.67	518.15	1008.9	603.67	769.69	802.41	1259.69	769.69	764.36	1088.92	743.43	325.29	775.05	540.19	698.41	743.43	872.1	679.29	511.0	915.51	1008.9	738.29	1088.92	660.68	1151.06	466.88	915.51	1081.39	669.92	688.78	1015.93	567.1	563.18	607.87	1059.11	211.31	796.86	371.22	665.29	316.37	583.07	358.54	521.76	199.85	395.18	441.64	507.46	384.34	563.18	279.14	438.59	312.0	490.14	329.84	285.03	493.56	551.56
AP1G1	466.88	1044.52	389.72	287.01	2047.0	1135.2	536.45	703.28	555.41	819.3	1151.06	718.08	669.92	373.81	423.61	466.88	1467.37	651.58	358.54	728.11	616.37	616.37	902.89	713.11	493.56	1498.22	638.15	713.11	1023.0	693.58	536.45	1088.92	620.67	698.41	785.88	563.18	842.36	872.1	819.3	287.01	825.0	314.17	947.83	1151.06	466.88	688.78	511.0	921.88	624.99	698.41	988.12	1066.48	595.34	941.27	728.11	866.07	441.64	616.37	460.44	947.83	1167.14	1059.11	1023.0	583.07	981.29	995.0	748.61	988.12	1519.15	638.15	497.0	543.96	1119.56	559.28	1457.23	921.88	603.67	1378.57	435.55	878.17	135.24	775.05	316.37	1639.59	346.29	1208.34	438.59	432.53	384.34	392.44	412.0	444.72	387.02	483.38	232.94	473.41	223.41	417.77	366.09	166.73	647.07	353.59
APOOL	71.0	211.31	27.84	53.95	285.03	318.57	119.26	73.03	97.36	256.78	193.01	208.38	100.83	37.32	57.08	57.08	172.65	59.55	43.94	128.79	87.03	94.01	133.36	287.01	75.64	180.02	45.85	171.45	218.79	87.03	126.12	159.9	46.5	52.45	85.82	91.41	112.77	162.14	145.02	21.47	170.25	27.25	99.43	177.53	50.27	88.88	52.08	102.25	75.11	127.89	183.82	275.28	64.8	171.45	197.09	167.9	23.59	94.01	51.35	142.01	140.04	170.25	171.45	51.71	124.37	194.36	67.59	161.02	122.64	221.86	91.41	43.63	177.53	35.0	180.02	215.77	51.71	110.43	98.73	106.63	81.71	273.37	37.32	182.55	127.89	265.87	39.79	39.79	15.22	25.35	42.11	45.21	33.54	41.22	54.72	105.89	32.36	30.78	29.27	67.59	37.32	40.07
ARPP19	1059.11	2018.8	674.59	660.68	4769.75	1745.2	961.07	1159.07	1508.65	1819.35	2591.27	2047.0	738.29	1051.79	1081.39	1015.93	2133.97	1119.56	1135.2	1277.29	872.1	981.29	2209.26	2935.74	638.15	1088.92	1277.29	1208.34	2193.99	830.75	1313.23	660.68	974.5	1350.18	1369.04	647.07	1159.07	1721.16	1277.29	429.54	2502.97	934.76	1322.37	1883.54	866.07	902.89	1096.5	2319.15	1457.23	1477.58	1594.73	2148.82	1242.34	1769.57	1733.13	1594.73	981.29	1447.15	1427.22	1551.09	1605.83	1806.78	2367.9	1051.79	2555.58	1639.59	1233.75	1331.57	1832.01	1950.0	1233.75	830.75	1242.34	1359.57	2351.53	1605.83	921.88	1073.91	1936.53	1529.73	1175.27	4152.18	616.37	1745.2	1304.15	2664.15	802.41	775.05	529.06	961.07	890.44	896.64	791.35	802.41	713.11	1143.1	890.44	902.89	1242.34	1088.92	909.17	703.28
ASH1L	214.27	890.44	318.57	116.78	638.15	470.14	551.56	373.81	232.94	503.95	387.02	629.35	224.97	134.3	229.72	447.82	536.45	269.6	287.01	738.29	224.97	429.54	426.57	902.89	241.19	457.25	269.6	476.71	486.75	395.18	555.41	633.73	170.25	376.41	320.8	193.01	417.77	476.71	373.81	85.82	476.71	318.57	397.93	748.61	173.85	323.03	267.73	813.63	361.04	371.22	547.75	780.44	341.51	532.74	651.58	579.04	171.45	426.57	295.11	521.76	412.0	633.73	511.0	249.73	1008.9	688.78	368.65	764.36	884.29	660.68	271.48	642.59	684.02	232.94	967.76	438.59	454.09	753.83	379.04	540.19	109.66	743.43	277.2	813.63	146.03	651.58	273.37	221.86	94.01	353.59	356.05	309.83	283.05	221.86	69.03	133.36	205.5	293.07	176.29	218.79	191.67	144.01
ASPH	2417.67	4836.35	3639.7	878.17	9808.75	5831.91	3235.01	1605.83	7485.11	981.29	3018.3	18304.63	2075.59	703.28	947.83	995.0	4450.27	1909.85	2451.44	3419.52	1135.2	3190.46	1639.59	2573.36	599.49	1417.35	1519.15	6121.9	5831.91	902.89	7966.99	1119.56	3060.45	2701.35	2004.85	1832.01	2720.15	3515.68	4543.8	470.14	2384.37	2451.44	1096.5	5219.6	2627.46	2018.8	2468.49	5633.22	4671.57	3491.39	4095.0	2935.74	2367.9	2976.74	2976.74	3467.27	2777.33	4328.55	3690.52	3280.18	2520.38	3103.19	6207.38	2835.7	7081.29	6745.86	5711.87	3874.05	5672.41	10084.54	4010.71	2163.77	2367.9	3081.75	5219.6	2895.31	3257.52	2485.67	4298.64	8247.98	5041.77	6887.62	1639.59	2224.63	2627.46	5329.3	1059.11	629.35	638.15	780.44	884.29	819.3	995.0	921.88	511.0	1143.1	775.05	612.11	438.59	1923.14	361.04	738.29
AZIN1	947.83	1909.85	1295.13	1159.07	2163.77	3325.99	1397.83	1519.15	2997.45	6079.61	2163.77	4836.35	3168.41	1819.35	1225.22	842.36	2555.58	1250.98	1191.69	1594.73	1233.75	1437.15	1369.04	2875.3	896.64	1313.23	890.44	1073.91	6516.03	836.53	1883.54	1417.35	1605.83	1721.16	1936.53	1519.15	1628.26	2209.26	4066.71	353.59	1662.49	1427.22	1313.23	1781.89	1208.34	1896.65	1417.35	2335.28	1417.35	1417.35	2178.83	2451.44	1427.22	2133.97	1662.49	1605.83	872.1	1397.83	1487.87	1487.87	1594.73	2287.2	2384.37	1359.57	1304.15	1896.65	988.12	1628.26	842.36	2451.44	1378.57	684.02	1697.45	1088.92	1745.2	1757.34	599.49	753.83	1819.35	1757.34	1175.27	3212.66	780.44	1183.45	1175.27	1963.57	1104.13	915.51	470.14	872.1	836.53	890.44	748.61	1286.18	902.89	1199.98	753.83	759.08	587.13	780.44	1183.45	813.63
BPNT1	633.73	902.89	808.0	638.15	1322.37	1277.29	988.12	764.36	780.44	981.29	1467.37	1794.29	733.19	642.59	587.13	934.76	1561.89	669.92	921.88	1191.69	521.76	780.44	480.04	1806.78	848.22	1175.27	1088.92	1127.35	1183.45	1437.15	703.28	1733.13	599.49	802.41	1498.22	403.5	629.35	909.17	813.63	269.6	890.44	967.76	1023.0	669.92	607.87	713.11	665.29	1059.11	620.67	902.89	860.08	1037.29	579.04	532.74	902.89	884.29	353.59	785.88	854.13	961.07	693.58	679.29	753.83	559.28	808.0	1295.13	753.83	988.12	708.18	1191.69	698.41	563.18	532.74	759.08	693.58	819.3	423.61	473.41	320.8	791.35	1143.1	1769.57	435.55	679.29	1159.07	981.29	381.68	379.04	312.0	356.05	435.55	412.0	409.15	444.72	262.2	438.59	432.53	332.14	214.27	497.0	444.72	441.64
C2orf69	114.36	318.57	119.26	81.14	358.54	258.57	215.77	194.36	262.2	312.0	239.52	236.21	441.64	132.44	185.11	98.73	159.9	143.01	140.04	248.0	241.19	194.36	251.48	248.0	80.01	226.54	121.79	173.85	241.19	141.02	159.9	171.45	172.65	223.41	307.69	169.07	165.57	244.57	154.42	45.85	299.25	181.28	187.71	253.23	100.83	155.5	212.78	351.14	166.73	237.86	231.32	307.69	166.73	151.22	176.29	169.07	83.45	153.34	232.94	208.38	217.27	224.97	406.31	140.04	202.66	215.77	176.29	187.71	181.28	242.88	201.25	122.64	137.14	215.77	291.04	149.12	92.7	132.44	295.11	176.29	197.09	279.14	100.13	94.01	218.79	279.14	128.79	90.77	81.14	129.69	147.06	110.43	127.0	102.97	96.01	104.42	118.43	163.28	162.14	122.64	60.39	115.16
CAND1	802.41	2303.12	703.28	902.89	3742.05	2178.83	1331.57	961.07	1159.07	3564.78	1233.75	2451.44	1111.82	1233.75	1081.39	733.19	1832.01	813.63	947.83	1936.53	1199.98	1529.73	1572.76	2032.85	769.69	1936.53	1023.0	1340.84	3467.27	941.27	1378.57	1388.16	967.76	1295.13	1757.34	764.36	1151.06	2178.83	1259.69	518.15	1963.57	775.05	1427.22	1697.45	928.3	1066.48	974.5	8479.89	1096.5	1322.37	1477.58	2400.97	1104.13	1447.15	1572.76	1498.22	665.29	1159.07	1001.93	1437.15	1427.22	1685.71	2004.85	1023.0	2104.58	2032.85	1674.06	2682.69	2287.2	1286.18	540.19	1277.29	1857.6	825.0	1388.16	1963.57	854.13	1697.45	1073.91	1628.26	718.08	1721.16	599.49	2209.26	708.18	2075.59	909.17	684.02	587.13	703.28	733.19	764.36	759.08	860.08	872.1	902.89	555.41	1037.29	733.19	555.41	848.22	785.88
