	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.E7.A5KF.01A.11R.A28M.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.BT.A20N.01A.11R.A14Y.07	TCGA.FT.A61P.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.EK.A2R7.01A.11R.A18M.07	TCGA.C5.A1M9.01A.11R.A13Y.07	TCGA.DS.A0VM.01A.11R.A10U.07	TCGA.05.5715.01A.01R.1628.07	TCGA.05.5429.01A.01R.1628.07	TCGA.78.7540.01A.11R.2066.07	GTEX.1313W.0926.SM.5EQ56	GTEX.12584.1426.SM.5EGJ9	GTEX.11NV4.1126.SM.5HL6J	GTEX.14DAR.0226.SM.5S2PR	GTEX.13G51.0426.SM.5K7Z5	GTEX.ZVT3.0926.SM.5GICK	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07
AURKA	103.69	193.01	348.71	356.05	208.38	921.88	72.01	297.17	220.32	60.39	164.42	884.29	514.56	473.41	249.73	525.39	866.07	878.17	279.14	232.94	283.05	412.0	107.38	234.57	540.19	1322.37	164.42	1167.14	981.29	769.69	190.34	267.73	142.01	76.17	32.13	26.1	22.59	31.67	41.22	52.45	23.25	21.16	22.75	11.91	49.91	20.71	18.97	36.27	27.64
BIRC5	151.22	231.32	507.46	1051.79	253.23	1127.35	69.03	507.46	599.49	94.67	214.27	1277.29	915.51	647.07	279.14	961.07	988.12	1104.13	334.46	921.88	748.61	429.54	178.77	299.25	967.76	1268.46	301.33	878.17	1208.34	1388.16	403.5	679.29	100.83	52.08	48.52	53.95	13.03	29.48	24.11	50.63	18.84	17.25	21.78	15.56	76.17	10.96	30.34	48.87	33.78
BUB1B	88.88	35.5	303.44	307.69	141.02	309.83	30.78	226.54	299.25	43.94	78.89	193.01	156.59	275.28	121.79	193.01	409.15	226.54	201.25	90.77	223.41	106.63	68.55	92.05	271.48	450.94	145.02	665.29	579.04	400.71	127.0	136.19	40.93	22.59	72.01	40.07	6.46	12.0	12.83	34.26	17.77	15.68	21.47	7.34	26.67	24.28	23.59	28.86	29.06
CCNB2	140.04	108.9	733.19	808.0	343.89	1127.35	113.56	633.73	769.69	151.22	281.09	947.83	878.17	988.12	435.55	909.17	1397.83	954.43	603.67	392.44	486.75	318.57	202.66	301.33	1051.79	1540.37	426.57	1313.23	1417.35	890.44	387.02	579.04	275.28	66.18	61.25	26.86	23.59	12.74	62.56	82.87	33.54	59.97	36.79	43.32	122.64	56.68	52.08	65.26	41.52
CCNF	112.77	44.89	334.46	172.65	157.68	246.28	111.99	159.9	199.85	99.43	123.5	273.37	267.73	293.07	194.36	159.9	267.73	275.28	177.53	224.97	363.56	255.0	166.73	109.66	318.57	559.28	138.1	265.87	323.03	267.73	93.35	67.12	51.35	31.67	53.57	29.48	22.75	24.81	25.17	33.06	18.7	17.25	11.3	8.51	25.54	18.03	18.43	30.12	20.26
CDCA2	25.91	22.59	82.87	100.83	39.5	137.14	8.58	71.0	87.03	22.43	20.11	78.34	60.39	155.5	80.57	129.69	373.81	104.42	111.99	85.82	159.9	56.28	48.87	69.52	96.68	275.28	32.82	341.51	157.68	172.65	50.27	71.5	25.54	6.62	13.22	4.21	4.66	8.92	3.03	7.63	3.32	5.77	1.53	2.29	7.57	2.94	6.78	8.99	5.73
CDCA3	241.19	134.3	796.86	780.44	221.86	1059.11	102.97	674.59	444.72	133.36	312.0	1151.06	708.18	896.64	346.29	543.96	1081.39	934.76	318.57	802.41	518.15	463.65	368.65	232.94	941.27	1175.27	435.55	1519.15	1159.07	1250.98	176.29	403.5	131.51	38.4	43.32	12.09	5.63	14.45	24.63	65.26	51.35	37.59	26.28	34.51	99.43	44.57	75.64	62.56	57.49
CDCA5	74.06	84.04	273.37	397.93	104.42	543.96	46.18	201.25	287.01	25.54	212.78	791.35	470.14	336.79	159.9	420.68	629.35	703.28	163.28	303.44	334.46	209.84	69.52	392.44	642.59	902.89	173.85	669.92	1015.93	896.64	201.25	312.0	83.45	30.78	71.5	17.38	17.64	13.12	26.1	47.5	19.68	24.28	23.93	9.2	48.52	16.63	24.11	42.41	28.86
CDCA8	89.51	62.56	392.44	397.93	134.3	493.56	50.27	307.69	271.48	66.65	158.79	423.61	283.05	417.77	204.07	348.71	698.41	563.18	214.27	723.08	242.88	262.2	130.6	239.52	381.68	902.89	177.53	961.07	651.58	684.02	226.54	463.65	183.82	25.91	37.05	22.59	23.93	9.85	25.35	35.0	36.01	18.7	16.75	14.67	43.32	18.7	21.78	35.5	31.9
CDK1	387.02	199.85	1216.75	988.12	325.29	1540.37	121.79	1030.12	854.13	228.13	521.76	813.63	954.43	1697.45	603.67	1037.29	3589.58	974.5	1208.34	642.59	1096.5	764.36	287.01	551.56	1216.75	1819.35	642.59	2367.9	2701.35	1806.78	214.27	813.63	133.36	93.35	115.16	58.3	30.12	115.16	84.63	88.26	58.3	55.49	32.82	41.52	90.77	63.0	94.01	71.0	78.89
