	TCGA.AR.A250.01A.31R.A169.07	TCGA.AR.A0U2.01A.11R.A109.07	TCGA.C8.A1HK.01A.21R.A13Q.07	TCGA.A2.A0CX.01A.21R.A00Z.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.BR.8361.01A.11R.2343.13	TCGA.HU.A4GT.01A.21R.A251.31
AKT1	3103.19	4903.87	2609.3	2976.74	1037.29	1322.37	1447.15	967.76	2224.63	1508.65	2555.58	1721.16	1685.71	2224.63
ANKRD50	397.93	6250.56	376.41	529.06	175.07	297.17	39.79	40.93	109.66	37.59	22.59	32.36	84.63	91.41
ARFGEF1	1369.04	1242.34	1745.2	1073.91	947.83	961.07	423.61	246.28	373.81	327.56	129.69	339.14	723.08	466.88
AZIN1	2209.26	5219.6	2875.3	2255.7	1769.57	1183.45	1081.39	444.72	785.88	595.34	514.56	1051.79	1427.22	2075.59
BPTF	1313.23	1583.71	1781.89	819.3	521.76	543.96	379.04	287.01	460.44	262.2	80.57	223.41	647.07	738.29
BRAP	387.02	397.93	400.71	297.17	241.19	361.04	152.28	226.54	185.11	148.09	113.56	139.07	320.8	323.03
C4orf46	242.88	275.28	251.48	120.1	90.14	51.71	13.52	16.63	44.89	13.72	11.91	14.03	91.41	143.01
C8orf33	503.95	638.15	1417.35	878.17	143.01	599.49	341.51	466.88	420.68	299.25	351.14	293.07	579.04	1051.79
CANT1	4836.35	4298.64	6079.61	2915.45	2468.49	791.35	242.88	368.65	373.81	303.44	361.04	277.2	1487.87	2075.59
CERS6	1857.6	4450.27	1617.0	941.27	231.32	264.03	175.07	76.71	242.88	162.14	75.64	135.24	988.12	759.08
CHAF1B	185.11	248.0	166.73	165.57	72.52	46.5	9.2	11.91	26.86	5.63	8.58	3.86	66.18	123.5
CHD4	2591.27	3847.29	4268.94	3257.52	3257.52	2555.58	1923.14	2075.59	1844.76	1066.48	1030.12	1135.2	2148.82	2178.83
CPSF6	1044.52	1561.89	1340.84	1059.11	536.45	563.18	309.83	199.85	486.75	229.72	232.94	205.5	693.58	947.83
CSRNP2	470.14	406.31	842.36	780.44	105.89	127.89	88.88	58.3	112.77	66.18	32.82	51.35	271.48	154.42
DENR	1594.73	1709.26	1950.0	1119.56	1487.87	1066.48	346.29	305.55	525.39	309.83	212.78	329.84	607.87	1088.92
DHX9	2645.74	3467.27	2997.45	3325.99	1685.71	2319.15	1242.34	1111.82	1286.18	830.75	693.58	866.07	2573.36	2627.46
DONSON	759.08	417.77	679.29	493.56	152.28	128.79	104.42	265.87	277.2	146.03	96.68	136.19	232.94	463.65
DTL	237.86	753.83	312.0	351.14	305.55	27.05	1.07	9.7	29.06	1.03	9.27	3.56	217.27	194.36
DYNC1H1	4358.66	5711.87	7803.01	4769.75	5006.93	4671.57	1477.58	1781.89	1909.85	1388.16	1135.2	1304.15	4010.71	2367.9
DYNC1LI1	764.36	1369.04	813.63	708.18	329.84	511.0	242.88	190.34	295.11	237.86	132.44	197.09	688.78	277.2
EIF4A3	3419.52	3060.45	3146.52	2133.97	4481.23	2303.12	759.08	1250.98	896.64	728.11	785.88	679.29	1819.35	2209.26
FAM111B	397.93	348.71	426.57	167.9	674.59	35.76	1.46	45.85	26.86	4.06	0.33	3.99	51.71	115.97
FKBP4	6935.54	4836.35	7382.04	6516.03	3349.13	2664.15	1551.09	1529.73	1551.09	1870.53	1896.65	1322.37	5872.48	4066.71
G2E3	389.72	540.19	336.79	151.22	88.26	87.03	40.36	22.43	81.14	37.05	13.93	38.67	220.32	201.25
GPATCH2	511.0	343.89	384.34	543.96	117.6	106.63	63.89	73.03	79.45	46.18	19.39	29.06	153.34	145.02
GSK3A	2468.49	1540.37	2451.44	1477.58	967.76	941.27	647.07	934.76	775.05	571.05	825.0	599.49	1397.83	1397.83
GSPT1	2855.44	4095.0	3639.7	3395.89	2367.9	1268.46	825.0	967.76	1151.06	769.69	759.08	693.58	2047.0	1950.0
HAUS6	214.27	293.07	255.0	226.54	76.17	52.82	40.93	26.67	110.43	45.85	15.91	54.72	249.73	176.29
HNRNPF	7382.04	5995.9	6207.38	6887.62	4481.23	3690.52	2537.92	2209.26	3212.66	2178.83	2209.26	2468.49	4607.24	5255.91
HNRNPK	12076.21	12244.81	15607.02	11267.44	9673.69	9740.98	5831.91	3146.52	6935.54	4419.52	3928.15	4181.07	9215.48	8778.97
HNRNPU	5751.61	5112.16	7230.1	6652.97	2739.08	2875.3	2075.59	1685.71	2468.49	1467.37	1059.11	1286.18	5672.41	4181.07
KRT6A	52.45	18.56	1.43	8.32	2.01760973986E9	2.41604469791E9	0.0	0.0	7.51	0.0	0.0	0.0	1.95	10.79
LYPLA1	2609.3	3614.55	2664.15	1259.69	2875.3	1870.53	1023.0	470.14	1088.92	1066.48	490.14	974.5	1870.53	1806.78
MAPKAPK5	878.17	1417.35	1001.93	813.63	287.01	647.07	423.61	368.65	497.0	366.09	253.23	438.59	872.1	860.08
MCM4	1135.2	2061.24	2520.38	2520.38	1950.0	1457.23	89.51	95.34	305.55	77.25	134.3	102.97	2104.58	1417.35
MCM6	791.35	1313.23	718.08	743.43	947.83	186.4	25.91	110.43	279.14	45.85	87.65	65.72	571.05	536.45
MLF1IP	842.36	1977.24	384.34	684.02	1594.73	647.07	35.25	33.06	191.67	17.64	17.51	23.08	175.07	309.83
MRPL19	1175.27	1183.45	1923.14	1447.15	796.86	575.03	647.07	532.74	775.05	808.0	738.29	633.73	819.3	890.44
NUP107	651.58	1216.75	684.02	660.68	283.05	438.59	190.34	154.42	262.2	138.1	94.67	153.34	497.0	540.19
PKIB	1037.29	1081.39	775.05	1001.93	96.01	124.37	63.89	22.75	65.72	98.73	31.9	44.89	105.89	246.28
PLEKHF2	2701.35	6426.31	5555.65	1119.56	269.6	490.14	236.21	100.13	202.66	145.02	96.68	129.69	275.28	559.28
PNO1	438.59	693.58	651.58	647.07	176.29	305.55	144.01	255.0	264.03	121.79	117.6	121.79	500.46	348.71
POLR3K	647.07	1066.48	460.44	819.3	211.31	206.94	163.28	201.25	202.66	190.34	201.25	198.47	248.0	470.14
PRKDC	1896.65	2935.74	3901.01	3060.45	2303.12	1781.89	551.56	295.11	872.1	426.57	409.15	423.61	1963.57	1001.93
RAB39B	9.93	109.66	88.88	14.35	2.94	1.71	0.56	0.79	3.79	1.53	0.48	0.54	6.78	1.75
RAD23B	3847.29	7180.15	4152.18	4066.71	4328.55	2303.12	2720.15	1295.13	3190.46	2104.58	2032.85	1896.65	3820.7	3081.75
