	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.AO.A1KO.01A.31R.A13Q.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.E2.A1LB.11A.22R.A144.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A1FN.11A.34R.A13Q.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0E1.11A.13R.A089.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.E9.A1N5.11A.41R.A14D.07	TCGA.BH.A0HA.11A.31R.A12P.07	GTEX.ZC5H.2626.SM.5J2MG	TCGA.DD.A4NS.01A.11R.A311.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.131YS.1626.SM.5HL6C	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ALB	1167.14	1950.0	4903.87	356.05	182.55	363.56	108.9	8.65	808.0	62.56	339.14	595.34	182.55	441.64	432.53	19348.38	682276.92	1.450452687E7	2.094351026E7	5.228884881E7	3.286389077E7	7.343680617E7	3.286389077E7	1.138002091E7	2.372656541E7	8805660.77	1.460541384E7	2.8412057E7	1.748967224E7	1.940600651E7	2.669377385E7	2.596383117E7	1.24530853E7	2.8412057E7	1.228163998E7	1.076615575E7	0.0	0.68
ANAPC1	241.19	417.77	329.84	224.97	220.32	358.54	305.55	269.6	507.46	271.48	361.04	392.44	361.04	426.57	373.81	361.04	175.07	82.29	95.34	144.01	51.71	114.36	102.97	87.03	88.88	112.77	102.25	69.52	67.59	88.88	62.56	122.64	97.36	114.36	127.0	59.97	0.0	0.71
BCLAF1	1183.45	2417.67	2090.03	1628.26	1340.84	2209.26	2502.97	1467.37	3168.41	1806.78	3018.3	2915.45	2701.35	2591.27	2976.74	2434.5	679.29	363.56	325.29	902.89	241.19	603.67	412.0	429.54	356.05	511.0	432.53	201.25	329.84	669.92	244.57	473.41	435.55	669.92	775.05	226.54	0.0	0.74
BDP1	273.37	447.82	351.14	318.57	264.03	429.54	466.88	348.71	674.59	201.25	412.0	540.19	529.06	500.46	529.06	392.44	171.45	90.14	95.34	183.82	66.65	142.01	98.73	132.44	67.59	134.3	115.97	38.4	86.43	127.89	58.71	94.67	97.36	170.25	163.28	55.1	0.0	0.56
BPTF	921.88	1397.83	1073.91	1015.93	825.0	1457.23	1388.16	1151.06	1896.65	884.29	1277.29	1794.29	1427.22	1322.37	1529.73	1369.04	543.96	220.32	244.57	529.06	171.45	358.54	363.56	249.73	144.01	341.51	307.69	242.88	182.55	529.06	358.54	323.03	339.14	441.64	325.29	167.9	0.0	0.73
C21orf88	182.55	185.11	25.35	18.03	34.26	392.44	249.73	49.91	236.21	165.57	269.6	218.79	133.36	124.37	414.87	518.15	22.1	0.0	2.92	12.09	11.55	14.56	2.58	21.01	11.55	10.79	4.06	3.5	4.82	0.0	4.06	0.0	3.79	12.64	7.69	2.2	0.0	0.0
C2orf15	361.04	599.49	624.99	346.29	334.46	665.29	493.56	476.71	693.58	470.14	249.73	559.28	525.39	470.14	463.65	1378.57	279.14	193.01	194.36	603.67	171.45	122.64	379.04	389.72	307.69	231.32	258.57	249.73	87.03	159.9	343.89	218.79	215.77	303.44	123.5	178.77	0.0	0.45
C2orf70	36.53	42.71	28.86	15.22	12.83	49.91	15.22	14.14	31.45	28.45	29.06	31.22	15.0	64.8	47.5	96.01	5.77	4.54	0.37	27.64	0.0	13.93	11.91	6.67	7.22	1.19	1.27	7.11	0.39	0.0	5.87	7.82	0.0	6.06	0.3	0.0	0.0	0.0
CAMKK2	753.83	595.34	529.06	785.88	854.13	813.63	759.08	748.61	607.87	532.74	708.18	728.11	669.92	791.35	651.58	638.15	536.45	651.58	473.41	232.94	397.93	511.0	414.87	281.09	426.57	518.15	497.0	236.21	447.82	325.29	400.71	432.53	312.0	450.94	356.05	373.81	0.0	0.62
CEP135	69.03	92.7	87.03	80.57	52.82	75.64	100.13	82.87	172.65	58.71	98.73	105.89	125.24	87.65	145.02	117.6	35.5	8.71	9.78	28.04	6.31	26.86	15.0	15.22	6.57	15.34	11.47	6.06	5.73	36.27	10.39	19.68	12.93	23.25	19.82	3.35	0.0	0.51
