	TCGA.LL.A740.01A.21R.A32P.07	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.A2.A0EY.01A.11R.A034.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.ZAJG.0626.SM.5HL8X	GTEX.13NZ8.0126.SM.5IJCT	TCGA.A6.3809.01A.01R.A278.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AKT1	3716.2	1769.57	4512.4	4802.93	1745.2	3639.7	2240.11	2133.97	2319.15	2255.7	1617.0	1175.27	2133.97	1096.5
APOD	450134.56	932018.1	783730.52	348306.01	561916.97	602247.76	338781.54	539026.74	602247.76	696613.03	851707.37	60.39	0.0	0.87
ARHGEF18	368.65	295.11	341.51	525.39	211.31	423.61	358.54	287.01	325.29	218.79	157.68	145.02	0.0	0.54
BAHD1	406.31	199.85	490.14	414.87	291.04	423.61	384.34	381.68	334.46	299.25	154.42	97.36	0.0	0.58
BCL2L1	2224.63	967.76	2720.15	2335.28	1991.0	2758.13	2163.77	1583.71	2193.99	1059.11	2090.03	780.44	0.0	0.61
C11orf84	591.22	293.07	389.72	571.05	265.87	447.82	301.33	291.04	275.28	358.54	244.57	215.77	0.0	0.58
C19orf67	1.06	0.0	0.8	2.53	0.0	1.06	0.79	0.41	0.0	0.56	0.0	0.0	0.0	0.0
C20orf195	9.06	2.51	8.0	7.4	6.62	7.4	5.96	6.73	5.77	3.23	3.76	0.0	0.0	0.01
C8orf82	500.46	214.27	521.76	444.72	414.87	417.77	353.59	358.54	318.57	169.07	183.82	102.97	0.0	0.47
CALM3	4836.35	3395.89	4671.57	7032.37	2609.3	4512.4	4543.8	3690.52	4671.57	3060.45	4903.87	4388.98	0.0	0.89
CD276	3212.66	1794.29	3443.31	3039.3	1457.23	3540.14	2148.82	902.89	1457.23	1015.93	1857.6	599.49	0.0	0.43
CHMP6	575.03	309.83	518.15	521.76	251.48	769.69	511.0	423.61	543.96	301.33	234.57	201.25	0.0	0.39
CRIP2	4802.93	3564.78	7749.1	9344.14	2351.53	4937.99	4239.45	3349.13	3491.39	1378.57	5183.54	84.04	0.0	1.07
EFNA4	967.76	473.41	1322.37	1259.69	463.65	1135.2	466.88	351.14	525.39	384.34	260.38	51.35	0.0	0.55
EGLN2	2193.99	583.07	1519.15	2075.59	1151.06	2004.85	1529.73	1313.23	1407.55	1023.0	1883.54	961.07	0.0	0.95
EPS8L1	1733.13	830.75	1806.78	1583.71	802.41	1832.01	1313.23	941.27	1540.37	718.08	571.05	33.3	0.0	0.93
ESPN	1427.22	356.05	1216.75	988.12	30.78	1397.83	457.25	138.1	277.2	579.04	57.49	0.0	0.0	0.0
FAM159A	14.78	3.38	35.76	22.26	9.41	11.91	17.13	8.85	10.55	11.55	3.82	1.43	0.0	0.13
FDX1L	825.0	441.64	866.07	830.75	325.29	587.13	457.25	387.02	332.14	314.17	563.18	129.69	0.0	0.21
FUOM	563.18	74.06	444.72	571.05	209.84	543.96	329.84	262.2	138.1	346.29	134.3	819.3	0.0	0.45
GATSL1	20.26	9.27	4.58	24.81	10.88	24.11	13.12	14.56	7.69	4.82	0.0	0.0	0.0	0.0
GGACT	202.66	91.41	169.07	208.38	194.36	165.57	108.9	106.63	156.59	67.12	20.86	64.34	0.0	0.0
GLI4	297.17	142.01	400.71	403.5	279.14	221.86	303.44	273.37	123.5	193.01	105.15	70.01	0.0	0.82
GMIP	483.38	183.82	500.46	358.54	183.82	368.65	234.57	167.9	181.28	148.09	90.77	56.68	0.0	0.52
GNPTG	2148.82	1183.45	2178.83	2555.58	1583.71	2609.3	1819.35	1605.83	1662.49	1030.12	1104.13	718.08	0.0	0.88
HDDC3	660.68	220.32	759.08	896.64	334.46	647.07	555.41	518.15	536.45	348.71	559.28	417.77	0.0	0.08
HES2	249.73	58.71	73.54	273.37	11.3	265.87	105.89	2.81	30.12	28.04	12.74	8.99	0.0	0.13
IQSEC2	246.28	176.29	269.6	414.87	264.03	287.01	256.78	264.03	190.34	156.59	163.28	116.78	0.0	0.45
ITGBL1	1268.46	426.57	1407.55	1059.11	775.05	941.27	503.95	279.14	336.79	441.64	836.53	25.54	0.0	0.34
LHB	9.63	1.58	2.53	5.63	1.68	7.51	2.89	2.12	3.17	3.35	1.38	8.51	0.0	0.51
MFSD3	860.08	74.58	1199.98	961.07	813.63	555.41	423.61	376.41	429.54	249.73	105.15	28.24	0.0	0.45
MIF4GD	842.36	525.39	563.18	728.11	656.11	921.88	633.73	547.75	599.49	466.88	395.18	371.22	0.0	0.62
NBPF9	406.31	163.28	444.72	753.83	309.83	575.03	379.04	417.77	400.71	387.02	563.18	633.73	0.0	1.06
NKIRAS2	825.0	529.06	656.11	974.5	567.1	890.44	718.08	624.99	679.29	633.73	536.45	320.8	607.87	275.28
OLFM2	511.0	214.27	769.69	379.04	258.57	353.59	265.87	363.56	228.13	145.02	157.68	19.68	0.0	0.3
OPLAH	583.07	100.83	947.83	460.44	279.14	571.05	363.56	299.25	285.03	255.0	68.07	46.5	0.0	0.71
PEX11G	253.23	69.03	417.77	205.5	92.05	180.02	189.02	170.25	214.27	82.87	27.05	23.25	0.0	0.0
PIGQ	1175.27	387.02	2018.8	2148.82	371.22	1561.89	830.75	684.02	748.61	651.58	417.77	148.09	0.0	0.73
PMVK	1662.49	884.29	2018.8	2004.85	733.19	1508.65	1159.07	1183.45	1467.37	1183.45	830.75	193.01	0.0	0.25
PRSS36	63.0	38.4	71.5	55.89	45.21	52.08	55.1	58.3	33.78	25.54	35.0	7.0	0.0	0.0
PTRH1	423.61	208.38	884.29	629.35	143.01	483.38	312.0	264.03	309.83	414.87	208.38	113.56	0.0	0.33
RAB43	514.56	297.17	603.67	500.46	323.03	507.46	406.31	303.44	356.05	264.03	170.25	27.44	0.0	0.49
