	GTEX.11ONC.2026.SM.5HL61	GTEX.YJ8O.1426.SM.5PNV9	GTEX.XUZC.1526.SM.4BRV4	GTEX.139T6.1426.SM.5P9J7	GTEX.OXRL.1426.SM.3NM9E	GTEX.12ZZY.2726.SM.5EQ45	GTEX.11P81.1426.SM.5P9JN	GTEX.11PRG.2026.SM.5GU5F	GTEX.12WSD.2626.SM.5EGJE	GTEX.147JS.2626.SM.5S2UX	GTEX.11P81.1126.SM.5GU5G	GTEX.11EI6.2626.SM.5PNVT	GTEX.13U4I.2426.SM.5LU34	GTEX.145ME.0826.SM.5O9AF	GTEX.13NYB.1326.SM.5K7Y1	GTEX.145MF.1526.SM.5LU95	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.QV44.0326.SM.4R1KD	GTEX.ZZPU.0426.SM.5GZYH	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZE7O.3026.SM.51MS4	GTEX.11EI6.2426.SM.5PNVS
ALB	22.92	12.45	13.83	0.0	11.82	4.35	7.46	7.46	12.27	1.71	7.34	2.81	18.56	4.06	183.82	186.4	1.450452687E7	2.094351026E7	5.228884881E7	3.286389077E7	7.343680617E7	3.286389077E7	2.372656541E7	1.460541384E7	6719860.18	2.8412057E7	1.748967224E7	1.940600651E7	9770492.48	2.669377385E7	2.596383117E7	1.24530853E7	2.8412057E7	1.228163998E7	7103013.5	0.0	0.68	7.46	2.66
ANGPTL7	154.42	1001.93	65.26	102.97	43.63	802.41	120.1	780.44	587.13	221.86	69.52	460.44	112.77	103.69	591.22	220.32	0.0	1.41	22.92	11.38	1.55	0.27	11.82	2.81	0.0	4.58	15.34	18.43	5.15	0.0	0.51	1.39	2.89	0.0	0.0	0.0	0.0	679.29	1233.75
ANK3	638.15	1322.37	403.5	460.44	429.54	1242.34	435.55	896.64	728.11	669.92	738.29	693.58	392.44	511.0	511.0	563.18	163.28	165.57	361.04	127.0	351.14	62.12	177.53	113.56	78.89	178.77	273.37	312.0	232.94	100.83	146.03	236.21	536.45	289.02	108.14	0.0	0.02	2956.17	2163.77
ANTXR1	1806.78	995.0	759.08	738.29	629.35	1628.26	842.36	2178.83	1617.0	1242.34	866.07	1540.37	575.03	1216.75	2319.15	2720.15	55.1	212.78	136.19	62.56	126.12	53.57	46.18	65.26	16.03	29.91	71.0	113.56	165.57	59.97	29.7	260.38	320.8	152.28	27.05	0.0	0.44	3955.48	2701.35
ARHGDIG	199.85	291.04	118.43	113.56	165.57	954.43	104.42	529.06	253.23	325.29	172.65	212.78	104.42	163.28	559.28	189.02	1.08	0.85	5.5	9.13	12.09	1.71	1.17	3.92	2.36	5.87	7.34	0.0	0.0	2.27	3.59	10.79	10.24	2.92	1.69	0.0	0.26	142.01	231.32
ARMCX1	708.18	674.59	397.93	511.0	493.56	684.02	603.67	595.34	587.13	656.11	656.11	660.68	454.09	507.46	1037.29	791.35	42.41	81.14	35.5	29.91	121.79	33.3	12.74	55.49	19.53	34.26	27.84	75.11	110.43	61.25	60.82	111.99	120.94	90.14	24.11	0.0	0.59	2032.85	1572.76
ASAP2	518.15	743.43	236.21	307.69	265.87	647.07	318.57	1051.79	638.15	579.04	438.59	620.67	426.57	392.44	460.44	718.08	6.01	37.85	50.27	27.25	81.71	36.79	8.19	52.08	42.11	16.63	4.21	63.89	24.11	53.95	21.16	11.91	19.68	71.0	88.88	0.0	0.62	1268.46	728.11
ATP6V1G2	94.01	175.07	58.71	84.63	105.15	209.84	93.35	182.55	163.28	141.02	118.43	128.79	61.25	95.34	169.07	85.82	18.97	17.64	21.01	28.04	9.13	13.22	3.32	10.55	2.58	22.26	10.79	4.39	21.78	18.97	2.51	7.94	22.26	14.45	25.17	0.0	0.29	414.87	204.07
BAI3	52.08	163.28	48.52	55.89	49.91	150.17	43.94	127.0	96.68	80.57	73.03	85.82	44.89	55.89	113.56	86.43	4.82	14.24	13.22	15.45	7.69	7.88	2.46	8.32	0.64	4.54	4.24	3.63	12.45	7.69	17.0	7.06	19.68	12.0	6.46	0.0	0.25	348.71	267.73
BGLAP	256.78	180.02	30.56	60.82	182.55	543.96	42.41	351.14	595.34	226.54	60.39	271.48	33.06	149.12	64.8	93.35	7.0	16.03	1.81	16.63	13.42	10.39	9.41	3.03	1.73	8.85	30.34	18.97	14.03	6.89	7.28	13.72	14.03	35.0	4.5	0.0	0.39	237.86	323.03
C14orf64	220.32	150.17	48.18	63.45	28.65	185.11	58.71	129.69	55.1	31.0	65.72	14.67	45.53	33.3	27.84	21.78	11.73	62.56	8.19	10.55	63.45	3.56	19.11	9.85	0.0	4.82	41.81	13.32	2.81	4.24	0.0	45.53	13.72	53.57	2.53	0.0	0.13	185.11	301.33
CADM2	63.0	167.9	41.81	54.72	28.65	127.0	50.27	153.34	96.68	58.71	82.87	105.15	40.93	40.07	429.54	90.77	7.17	10.79	4.21	7.57	4.35	1.23	6.84	14.56	0.0	30.56	16.51	3.92	17.9	5.82	18.7	20.56	21.63	7.28	0.77	0.0	0.14	1639.59	842.36
CASP12	31.0	31.0	13.72	12.74	13.83	33.78	23.76	57.49	13.62	29.06	25.54	27.84	13.03	20.71	108.14	50.27	3.44	6.11	0.0	1.46	2.56	2.61	0.0	3.5	0.0	9.56	2.43	0.82	2.36	1.23	0.0	5.77	5.96	2.14	1.53	0.0	0.08	123.5	74.58
CMTM5	142.01	260.38	70.01	46.84	70.51	281.09	108.14	269.6	199.85	182.55	114.36	171.45	87.03	88.26	307.69	180.02	10.16	6.46	8.45	2.27	9.34	2.97	3.11	4.35	3.76	0.0	0.0	4.03	8.06	4.31	0.0	4.03	5.73	3.06	1.99	0.0	0.21	1467.37	1119.56
FAM69C	26.67	46.18	10.88	15.8	20.86	49.56	11.21	39.5	35.0	27.64	23.76	21.01	7.17	9.34	31.45	39.22	5.63	10.08	0.0	6.36	2.12	0.0	3.44	3.92	2.86	29.06	12.18	7.22	0.0	11.73	22.26	5.41	0.0	5.73	4.78	0.0	0.13	37.05	33.78
FLRT1	52.82	102.25	71.5	50.27	43.32	133.36	47.5	151.22	100.13	81.14	55.1	88.88	43.94	26.1	103.69	58.71	1.33	12.36	0.46	1.69	6.78	10.55	1.2	1.23	1.62	2.41	6.06	0.65	3.76	2.2	0.41	2.89	1.95	2.86	10.08	0.0	0.33	256.78	336.79
FOXD3	64.34	87.03	30.12	33.06	18.16	121.79	39.5	171.45	52.08	62.56	44.57	75.64	51.35	23.59	178.77	114.36	0.0	2.16	1.23	0.0	4.94	0.0	0.44	0.55	0.0	1.36	0.0	0.83	5.54	0.17	0.0	1.16	2.29	0.74	0.0	0.0	0.21	796.86	438.59
GAB1	536.45	775.05	262.2	457.25	363.56	909.17	438.59	728.11	595.34	514.56	665.29	665.29	371.22	325.29	759.08	651.58	75.64	135.24	127.89	101.54	171.45	98.04	61.68	84.63	29.27	96.01	120.1	199.85	101.54	96.68	87.65	167.9	138.1	212.78	90.14	0.0	0.3	1583.71	941.27
GPBP1	1183.45	1378.57	1023.0	848.22	1059.11	1540.37	769.69	1594.73	1037.29	1088.92	1008.9	1322.37	995.0	860.08	1437.15	1143.1	587.13	733.19	693.58	595.34	656.11	713.11	563.18	595.34	392.44	708.18	473.41	896.64	583.07	511.0	497.0	616.37	693.58	684.02	511.0	713.11	130.6	1685.71	1519.15
GPM6B	450.94	1639.59	327.56	260.38	356.05	1250.98	283.05	1127.35	896.64	656.11	432.53	728.11	244.57	329.84	1529.73	708.18	6.31	10.16	31.45	10.16	52.08	22.75	6.31	5.77	4.94	4.82	13.32	10.47	44.89	20.41	14.24	7.46	12.55	6.78	8.65	0.0	0.37	5594.3	2855.44
GPR37L1	16.75	62.56	26.67	20.56	16.03	117.6	20.86	89.51	102.97	60.39	26.86	42.41	37.85	13.32	43.63	10.96	5.19	0.37	1.07	0.0	1.08	0.0	0.01	4.06	0.38	0.01	0.04	1.31	1.93	1.75	0.44	1.31	1.51	0.01	0.28	0.0	0.09	92.7	131.51
