	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.145MO.1526.SM.5QGQC	GTEX.U3ZH.1126.SM.4DXUG	GTEX.XQ8I.1626.SM.4BOOI	GTEX.UPK5.1326.SM.4IHLE	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.14753.1626.SM.5NQ9L	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.A8FO.11A.11R.A36G.07	GTEX.13O21.1126.SM.5N9EV
ABCA7	460.44	242.88	275.28	327.56	567.1	18.16	33.3	49.91	110.43	264.03	173.85
AC004017.1	17.77	33.54	56.28	48.87	82.87	9.27	0.0	0.0	14.35	27.64	13.03
ADRA2B	0.0	100.83	86.43	111.99	128.79	24.63	23.59	13.52	26.86	30.12	42.41
AHDC1	947.83	500.46	981.29	463.65	599.49	53.19	63.45	33.06	164.42	320.8	169.07
AL161915.1	22.59	66.65	78.89	91.41	72.52	2.51	0.99	4.28	30.34	38.4	32.59
ANKRD52	73.54	334.46	547.75	426.57	575.03	37.32	54.72	12.64	149.12	236.21	267.73
ANKS6	49.21	320.8	591.22	400.71	624.99	24.99	17.0	70.51	205.5	149.12	199.85
AP2A1	559.28	1617.0	1487.87	1709.26	1769.57	738.29	928.3	748.61	954.43	1359.57	1023.0
ATG4B	647.07	1733.13	2240.11	1896.65	2335.28	373.81	547.75	301.33	1313.23	1617.0	1322.37
ATN1	507.46	3955.48	4239.45	4239.45	5479.15	197.09	223.41	106.63	1233.75	2434.5	2255.7
CABIN1	289.02	1331.57	2451.44	1397.83	2032.85	131.51	163.28	111.99	457.25	708.18	967.76
CAPN11	9.63	10.39	21.16	39.22	41.22	0.83	0.31	0.0	4.03	6.57	17.38
CASKIN2	172.65	591.22	785.88	748.61	848.22	117.6	190.34	82.29	205.5	511.0	358.54
CCM2L	31.67	77.79	153.34	221.86	258.57	26.1	24.28	10.08	66.65	89.51	141.02
CEP170B	1088.92	603.67	703.28	764.36	620.67	55.49	64.34	41.81	283.05	514.56	305.55
CIITA	58.3	125.24	197.09	164.42	291.04	58.3	37.85	8.78	111.99	60.39	117.6
COL6A1	97.36	21768.19	33688.23	21768.19	34876.28	954.43	262.2	1467.37	2796.65	10154.69	6471.02
COL6A2	102.97	24153.43	37379.55	26800.01	33922.56	981.29	253.23	616.37	6607.01	17681.08	11909.94
COLGALT1	269.6	1286.18	1583.71	1769.57	2075.59	283.05	460.44	253.23	438.59	703.28	718.08
CORO7	187.71	759.08	848.22	802.41	848.22	85.82	180.02	92.05	182.55	273.37	234.57
CRTC1	55.89	283.05	392.44	291.04	368.65	47.17	57.08	49.91	169.07	267.73	236.21
DBN1	205.5	2335.28	3103.19	2537.92	2451.44	143.01	89.51	21.47	866.07	1407.55	830.75
DGKQ	237.86	246.28	258.57	249.73	285.03	33.3	38.12	42.11	111.21	182.55	125.24
DOT1L	395.18	214.27	301.33	273.37	297.17	47.5	62.56	69.03	104.42	135.24	121.79
DVL1	1127.35	1340.84	1322.37	1769.57	1709.26	141.02	187.71	366.09	620.67	1044.52	638.15
EHBP1L1	791.35	4481.23	6607.01	4937.99	7130.55	105.89	132.44	77.79	872.1	2502.97	1745.2
EHMT1	708.18	872.1	1208.34	988.12	1183.45	253.23	339.14	305.55	555.41	642.59	759.08
FAM195A	387.02	1572.76	1709.26	1304.15	1936.53	343.89	674.59	1175.27	684.02	775.05	587.13
FAM65C	6.89	532.74	371.22	599.49	791.35	38.67	10.0	30.34	73.03	51.71	55.1
