	TCGA.G4.6321.01A.11R.1723.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.WQUQ.2526.SM.4MVNO	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XUJ4.2026.SM.4BOOW	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.WQUQ.2626.SM.4MVNP	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.XBEW.1926.SM.4SOJO	GTEX.1128S.1626.SM.5H12O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.139YR.2126.SM.5KM11	GTEX.11EQ9.1526.SM.5PNY7	GTEX.1122O.1526.SM.5N9CL	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.12KS4.2426.SM.5LU8P	GTEX.14DAR.1526.SM.5RQIX	GTEX.ZTSS.1126.SM.5985O	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.V955.1626.SM.4JBHJ	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.13NYB.1326.SM.5K7Y1	GTEX.11DYG.1926.SM.5H12I	GTEX.13OW6.1626.SM.5IJD5	GTEX.11O72.1926.SM.5PNW1
AARSD1	514.56	1268.46	791.35	842.36	616.37	559.28	830.75	603.67	830.75	607.87	708.18	607.87	825.0	567.1	842.36	603.67	830.75	967.76	525.39	368.65	1023.0	579.04	551.56	651.58	536.45	536.45	764.36	583.07	555.41	612.11	988.12	555.41	441.64	954.43	909.17	629.35	543.96	507.46	414.87	480.04	571.05	1259.69	603.67	896.64	583.07	785.88	414.87	974.5	679.29	708.18	753.83	392.44	1030.12	476.71	961.07	674.59	728.11	563.18	764.36	813.63	1135.2	599.49	819.3	748.61	884.29	1119.56	854.13	967.76	775.05	607.87	612.11	1081.39	1457.23	1508.65	1199.98
ADAMTS10	30.12	703.28	111.21	113.56	68.07	69.03	52.08	66.65	129.69	97.36	87.65	76.71	92.7	42.41	63.0	54.72	56.28	209.84	40.64	25.72	180.02	113.56	37.32	32.59	46.84	34.75	86.43	26.86	60.82	54.33	226.54	50.98	100.13	165.57	220.32	68.07	102.25	58.71	30.78	23.76	96.68	423.61	74.06	68.55	113.56	262.2	43.32	170.25	72.01	100.83	140.04	38.12	116.78	59.55	170.25	44.25	144.01	114.36	34.51	251.48	397.93	54.33	147.06	66.65	151.22	346.29	198.47	152.28	255.0	87.65	29.91	591.22	624.99	616.37	688.78
AKT3	30.34	884.29	124.37	61.25	128.79	46.18	20.71	51.71	106.63	147.06	65.26	41.22	122.64	37.05	56.68	35.0	76.17	193.01	67.12	21.78	246.28	316.37	35.25	33.06	45.85	25.91	77.79	37.05	74.58	42.41	253.23	44.57	72.01	100.13	193.01	68.55	135.24	28.65	49.91	23.93	63.45	289.02	53.57	118.43	83.45	267.73	41.52	208.38	35.76	96.68	303.44	44.57	127.89	26.86	169.07	57.49	93.35	76.17	22.92	226.54	248.0	53.95	133.36	61.25	191.67	224.97	166.73	249.73	403.5	73.03	25.54	536.45	460.44	514.56	629.35
ANKRD53	3.69	74.58	23.76	17.77	15.11	13.62	2.89	11.3	15.11	19.68	8.78	18.7	28.65	18.84	31.45	10.24	7.69	49.56	6.01	8.85	25.54	25.91	4.31	26.28	22.92	13.42	43.63	6.94	21.16	12.55	66.18	11.21	18.97	29.06	11.13	20.26	14.14	10.55	4.5	7.0	9.63	43.32	5.45	22.59	18.29	37.32	3.03	40.93	5.5	22.26	31.9	15.8	22.26	10.71	79.45	5.54	29.48	26.28	25.91	33.78	33.78	5.82	26.28	12.27	16.15	38.95	10.88	35.25	43.63	31.22	11.91	107.38	88.26	124.37	50.98
ANTXR1	108.9	1304.15	417.77	320.8	226.54	129.69	59.13	108.14	198.47	244.57	116.78	111.21	470.14	110.43	239.52	68.55	194.36	551.56	148.09	36.53	400.71	470.14	162.14	52.45	96.68	83.45	114.36	96.01	156.59	145.02	651.58	102.25	120.94	275.28	698.41	111.21	285.03	73.54	146.03	50.63	130.6	1950.0	82.87	303.44	389.72	343.89	115.16	656.11	130.6	141.02	551.56	93.35	339.14	55.1	909.17	58.71	323.03	189.02	84.04	460.44	1651.0	90.77	301.33	177.53	583.07	651.58	229.72	368.65	470.14	182.55	69.03	2319.15	1721.16	2351.53	1709.26
ARHGEF6	49.21	460.44	232.94	121.79	125.24	102.25	43.63	74.58	104.42	131.51	84.04	82.87	153.34	106.63	114.36	52.82	64.8	197.09	65.26	19.39	163.28	248.0	65.26	46.18	100.13	63.89	105.89	36.27	84.04	104.42	264.03	65.26	102.25	157.68	220.32	80.57	129.69	78.34	57.89	39.22	155.5	563.18	89.51	85.82	153.34	255.0	60.82	171.45	93.35	101.54	181.28	55.1	136.19	70.01	273.37	59.13	195.72	151.22	54.33	277.2	392.44	55.49	129.69	77.25	244.57	371.22	224.97	147.06	217.27	88.88	53.19	343.89	395.18	389.72	395.18
ARMCX3	583.07	866.07	490.14	420.68	373.81	258.57	128.79	301.33	412.0	567.1	248.0	202.66	463.65	334.46	258.57	343.89	211.31	575.03	325.29	71.5	753.83	723.08	171.45	215.77	341.51	273.37	303.44	194.36	329.84	339.14	684.02	211.31	403.5	336.79	454.09	320.8	441.64	277.2	283.05	236.21	493.56	796.86	253.23	457.25	540.19	651.58	186.4	954.43	307.69	432.53	733.19	199.85	764.36	173.85	1104.13	214.27	563.18	299.25	194.36	896.64	1030.12	221.86	454.09	379.04	713.11	656.11	536.45	529.06	693.58	291.04	157.68	1250.98	974.5	1191.69	1044.52
ASAP1	226.54	902.89	228.13	105.89	115.97	108.14	32.59	113.56	126.12	142.01	84.63	93.35	153.34	98.04	108.9	72.01	100.83	242.88	105.15	53.95	211.31	176.29	99.43	63.45	80.57	88.88	113.56	76.71	96.01	84.04	223.41	107.38	99.43	141.02	223.41	89.51	180.02	98.73	99.43	75.11	139.07	381.68	125.24	131.51	201.25	323.03	85.22	185.11	83.45	134.3	242.88	107.38	161.02	95.34	438.59	85.82	144.01	132.44	69.52	202.66	299.25	110.43	161.02	78.34	190.34	264.03	140.04	209.84	202.66	161.02	68.55	412.0	497.0	559.28	607.87
ASXL1	295.11	1923.14	493.56	392.44	381.68	312.0	181.28	368.65	463.65	497.0	403.5	397.93	426.57	291.04	414.87	244.57	438.59	579.04	303.44	231.32	559.28	698.41	244.57	361.04	309.83	224.97	314.17	271.48	323.03	303.44	688.78	381.68	339.14	414.87	563.18	376.41	366.09	287.01	312.0	395.18	379.04	521.76	429.54	379.04	400.71	780.44	400.71	518.15	318.57	420.68	642.59	343.89	470.14	368.65	718.08	441.64	406.31	607.87	249.73	521.76	733.19	329.84	633.73	329.84	511.0	753.83	713.11	616.37	555.41	432.53	264.03	703.28	1159.07	1073.91	1304.15
ATP8B2	66.18	647.07	389.72	161.02	173.85	132.44	40.07	134.3	176.29	218.79	103.69	72.01	182.55	71.5	127.89	87.03	106.63	366.09	81.71	18.84	507.46	316.37	65.26	104.42	127.0	49.21	124.37	44.57	94.01	77.79	387.02	99.43	132.44	212.78	253.23	141.02	135.24	87.03	53.19	23.25	223.41	412.0	205.5	155.5	190.34	651.58	64.34	371.22	93.35	205.5	361.04	100.13	237.86	86.43	395.18	51.71	193.01	206.94	75.64	297.17	473.41	71.5	217.27	111.99	253.23	420.68	283.05	295.11	470.14	118.43	43.02	679.29	928.3	896.64	718.08
