	TCGA.BT.A20R.11A.11R.A16R.07	GTEX.12WSK.2226.SM.5GCO5	TCGA.B8.5552.11A.01R.1672.07	TCGA.CZ.5987.11A.01R.1672.07	GTEX.OHPM.0526.SM.2YUMJ	GTEX.P4QT.1526.SM.3NMCT	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.EM.A3AI.01A.11R.A206.07	GTEX.Y111.1926.SM.4SOIS	GTEX.W5X1.0426.SM.3GILB	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.13FLV.0226.SM.5J2OF	GTEX.13FHP.0926.SM.5L3EC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13FTY.0726.SM.5J2OH	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.11NUK.1026.SM.5HL5J	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
AAAS	493.56	490.14	379.04	529.06	441.64	567.1	738.29	1909.85	1242.34	1199.98	1001.93	802.41	967.76	674.59	1467.37	1519.15	1151.06	1216.75	743.43	1477.58	902.89	813.63	1030.12	1447.15	1030.12	1233.75	995.0	988.12	974.5	961.07	780.44	1104.13	1088.92	808.0	1651.0	1651.0	1617.0	1259.69	1167.14	1259.69	1037.29	1437.15	813.63	1519.15	995.0	954.43	1331.57	909.17	1143.1	878.17	909.17	1286.18	1119.56	842.36	1191.69	896.64	764.36	934.76	878.17	884.29	1757.34	1508.65	947.83	1051.79	1369.04	1437.15	902.89	1037.29	1397.83	967.76	921.88	1378.57	1008.9	1529.73	860.08
ACBD4	271.48	181.28	158.79	269.6	172.65	318.57	507.46	1175.27	884.29	791.35	521.76	423.61	460.44	397.93	813.63	791.35	361.04	713.11	599.49	915.51	423.61	392.44	748.61	836.53	511.0	769.69	470.14	547.75	356.05	665.29	438.59	571.05	450.94	316.37	1059.11	1088.92	1127.35	1066.48	579.04	842.36	571.05	780.44	417.77	723.08	595.34	406.31	866.07	547.75	579.04	466.88	412.0	1088.92	669.92	555.41	759.08	514.56	384.34	463.65	423.61	397.93	934.76	769.69	559.28	591.22	775.05	679.29	351.14	603.67	728.11	759.08	684.02	961.07	470.14	872.1	373.81
ADAMTS13	26.86	21.47	20.86	27.44	10.63	22.1	52.82	234.57	193.01	144.01	111.99	50.98	74.58	52.45	177.53	181.28	72.52	122.64	105.15	246.28	60.82	63.0	120.1	231.32	79.45	123.5	76.17	80.01	53.57	96.68	54.72	120.1	58.3	47.5	173.85	164.42	132.44	180.02	98.04	139.07	57.08	169.07	50.27	152.28	109.66	92.05	175.07	56.28	144.01	78.89	48.87	148.09	97.36	59.55	139.07	79.45	46.18	66.18	62.12	52.82	135.24	229.72	66.18	116.78	158.79	187.71	55.1	118.43	166.73	111.21	72.52	132.44	49.56	206.94	69.52
ADCK5	62.56	47.5	35.5	57.89	57.08	94.67	105.89	253.23	182.55	140.04	166.73	123.5	145.02	123.5	182.55	209.84	134.3	143.01	76.71	212.78	115.16	98.73	114.36	218.79	189.02	209.84	141.02	177.53	100.83	158.79	104.42	146.03	145.02	93.35	220.32	193.01	220.32	185.11	166.73	182.55	149.12	209.84	111.21	180.02	189.02	182.55	197.09	102.97	202.66	157.68	138.1	183.82	127.89	92.7	128.79	122.64	87.65	96.01	134.3	145.02	206.94	224.97	145.02	176.29	170.25	185.11	96.68	220.32	164.42	195.72	135.24	181.28	171.45	201.25	122.64
AMDHD2	234.57	379.04	71.5	198.47	226.54	134.3	429.54	780.44	723.08	825.0	567.1	476.71	988.12	500.46	656.11	718.08	555.41	460.44	397.93	928.3	343.89	551.56	563.18	759.08	825.0	616.37	559.28	733.19	429.54	785.88	532.74	514.56	612.11	435.55	902.89	902.89	890.44	808.0	543.96	723.08	518.15	1286.18	500.46	642.59	1127.35	500.46	825.0	521.76	1008.9	500.46	480.04	848.22	693.58	470.14	603.67	503.95	441.64	444.72	514.56	780.44	819.3	718.08	507.46	748.61	759.08	723.08	486.75	974.5	723.08	480.04	406.31	872.1	420.68	620.67	500.46
ANKMY1	76.17	96.01	91.41	129.69	171.45	67.12	197.09	198.47	353.59	297.17	197.09	161.02	204.07	191.67	251.48	312.0	249.73	186.4	198.47	454.09	327.56	165.57	218.79	309.83	193.01	293.07	187.71	180.02	161.02	190.34	155.5	194.36	204.07	150.17	341.51	289.02	341.51	323.03	260.38	273.37	197.09	363.56	177.53	209.84	172.65	185.11	267.73	155.5	212.78	143.01	195.72	336.79	199.85	185.11	297.17	218.79	161.02	183.82	138.1	131.51	299.25	289.02	139.07	194.36	305.55	343.89	194.36	214.27	212.78	171.45	195.72	264.03	189.02	232.94	163.28
ANKS3	209.84	142.01	113.56	226.54	138.1	176.29	379.04	748.61	802.41	665.29	403.5	403.5	403.5	409.15	599.49	764.36	358.54	529.06	420.68	825.0	293.07	258.57	395.18	785.88	423.61	583.07	363.56	486.75	336.79	432.53	307.69	395.18	376.41	279.14	703.28	669.92	698.41	579.04	503.95	483.38	406.31	595.34	314.17	708.18	417.77	435.55	583.07	341.51	543.96	406.31	426.57	733.19	426.57	312.0	493.56	470.14	267.73	381.68	351.14	320.8	842.36	902.89	447.82	460.44	764.36	674.59	314.17	547.75	607.87	454.09	466.88	780.44	409.15	808.0	309.83
AP4M1	295.11	343.89	265.87	277.2	325.29	241.19	454.09	974.5	409.15	532.74	525.39	507.46	587.13	423.61	575.03	642.59	525.39	332.14	514.56	785.88	384.34	450.94	620.67	500.46	651.58	529.06	429.54	555.41	583.07	567.1	450.94	460.44	480.04	309.83	521.76	563.18	536.45	532.74	381.68	551.56	447.82	780.44	466.88	547.75	457.25	616.37	656.11	529.06	540.19	435.55	417.77	738.29	616.37	587.13	738.29	454.09	429.54	476.71	420.68	450.94	493.56	688.78	454.09	447.82	525.39	633.73	497.0	848.22	603.67	500.46	518.15	599.49	507.46	406.31	406.31
APBB3	194.36	157.68	169.07	117.6	64.8	180.02	500.46	1467.37	1023.0	1508.65	571.05	463.65	620.67	579.04	1199.98	1628.26	656.11	802.41	563.18	1583.71	379.04	583.07	878.17	1447.15	802.41	961.07	629.35	665.29	547.75	902.89	529.06	769.69	633.73	363.56	1519.15	1561.89	1572.76	1199.98	629.35	1037.29	665.29	1467.37	361.04	1313.23	753.83	583.07	1498.22	651.58	1277.29	483.38	629.35	1397.83	775.05	457.25	1313.23	567.1	334.46	743.43	366.09	497.0	1508.65	1467.37	490.14	884.29	1030.12	1508.65	536.45	1233.75	1151.06	878.17	629.35	1104.13	665.29	1127.35	571.05
ARSA	444.72	325.29	389.72	316.37	575.03	397.93	1127.35	854.13	1519.15	860.08	988.12	1143.1	1388.16	1216.75	1397.83	1819.35	915.51	1059.11	743.43	1508.65	665.29	521.76	884.29	1199.98	1437.15	1427.22	1175.27	1286.18	819.3	1059.11	1096.5	1159.07	947.83	854.13	1216.75	1437.15	2224.63	1159.07	1023.0	1286.18	1059.11	1540.37	921.88	1561.89	1477.58	1594.73	1159.07	1388.16	1268.46	1819.35	1044.52	1313.23	961.07	813.63	1277.29	921.88	780.44	967.76	954.43	1037.29	1119.56	1250.98	981.29	1487.87	1225.22	1242.34	1023.0	1437.15	1769.57	1233.75	775.05	1369.04	988.12	1369.04	718.08
