	GTEX.14C38.2626.SM.5RQI4	TCGA.KL.8332.11A.01R.2315.07	GTEX.N7MS.1626.SM.3LK5F	TCGA.HE.7128.01A.11R.1965.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.BW.A5NP.01A.11R.A27V.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.P44H.1126.SM.48TBU	GTEX.1313W.0926.SM.5EQ56	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZT9X.0326.SM.51MTE	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.131XE.0726.SM.5HL9K	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.18.3411.01A.01R.0980.07	TCGA.90.7964.01A.21R.2187.07	TCGA.77.8007.11A.01R.2187.07
CYTH4	5183.54	30.34	9.13	470.14	591.22	283.05	1183.45	178.77	301.33	320.8	170.25	486.75	209.84	312.0	579.04	199.85	713.11	38.4	232.94	95.34	185.11	150.17	120.94	309.83	55.49	221.86	116.78	112.77	19.82	392.44	46.18	38.95	325.29	69.03	27.84	53.57	34.26	131.51	32.59	189.02	24.46	81.71	84.04	154.42	231.32	23.76	67.59	529.06	116.78	204.07	42.11	33.3	182.55	23.25	81.14	96.68	142.01	115.97	76.17	37.05	769.69	57.08	563.18	559.28	3742.05	400.71	503.95	536.45	343.89	141.02	836.53	368.65	1175.27	327.56	438.59	651.58	633.73	551.56	387.02	406.31	366.09	291.04	273.37	567.1	164.42	199.85	748.61
DCP2	684.02	124.37	228.13	281.09	273.37	297.17	223.41	138.1	118.43	74.06	165.57	163.28	72.52	163.28	194.36	299.25	199.85	167.9	127.0	90.77	127.89	89.51	73.03	209.84	108.9	96.01	70.01	136.19	33.78	205.5	59.13	70.51	205.5	87.03	189.02	85.82	51.35	80.01	96.01	150.17	102.25	124.37	118.43	120.1	135.24	178.77	95.34	163.28	81.71	73.54	60.82	49.56	103.69	51.71	81.14	65.72	115.97	92.7	64.34	88.88	275.28	94.01	249.73	218.79	500.46	400.71	361.04	180.02	206.94	279.14	220.32	187.71	283.05	249.73	163.28	244.57	358.54	133.36	199.85	234.57	164.42	166.73	387.02	224.97	198.47	119.26	244.57
DISC1	111.99	9.7	7.22	146.03	77.79	36.01	88.26	26.28	32.13	36.53	18.97	56.68	23.25	42.41	59.55	32.59	48.87	20.26	14.45	14.78	7.94	11.91	8.0	28.45	9.13	12.93	8.13	21.94	4.24	19.53	3.92	4.62	23.76	12.18	5.02	21.78	7.69	13.62	4.21	26.28	108.9	2.73	12.55	299.25	28.45	4.03	3.03	35.5	18.56	20.71	4.1	10.55	7.94	2.07	14.78	6.67	10.31	17.0	11.55	6.57	52.08	13.03	31.45	27.64	223.41	57.89	49.56	46.84	31.9	33.06	67.59	79.45	86.43	30.56	47.5	81.14	56.28	37.05	23.42	96.68	34.02	33.3	25.91	60.39	47.5	31.22	35.0
DOCK2	1832.01	8.71	9.41	796.86	665.29	389.72	1051.79	231.32	293.07	521.76	186.4	679.29	190.34	289.02	567.1	303.44	518.15	18.16	156.59	92.7	51.71	130.6	88.88	142.01	44.25	96.68	73.54	138.1	20.86	361.04	28.45	9.41	318.57	31.9	29.48	32.13	41.22	85.82	38.4	209.84	30.56	19.68	49.56	63.0	155.5	17.9	30.78	473.41	113.56	120.1	90.14	53.19	72.52	76.17	129.69	63.45	133.36	155.5	85.82	61.68	688.78	49.91	638.15	733.19	2956.17	2004.85	713.11	1199.98	579.04	242.88	1883.54	743.43	2148.82	1199.98	1268.46	1088.92	1191.69	1037.29	536.45	314.17	775.05	1159.07	1594.73	954.43	114.36	189.02	656.11
DOK3	1477.58	17.13	11.55	532.74	633.73	379.04	909.17	191.67	267.73	403.5	191.67	466.88	323.03	343.89	447.82	185.11	518.15	48.87	165.57	121.79	75.64	122.64	95.34	299.25	35.25	96.01	67.12	118.43	11.13	323.03	35.0	19.39	204.07	68.55	45.53	24.81	44.57	122.64	46.5	239.52	40.93	30.78	19.68	69.03	144.01	86.43	36.79	616.37	92.05	137.14	38.12	29.27	220.32	26.28	66.65	58.71	100.83	59.97	37.59	66.65	1096.5	92.05	563.18	928.3	3768.09	1073.91	387.02	780.44	866.07	185.11	2520.38	595.34	1950.0	1359.57	1183.45	414.87	693.58	1151.06	507.46	547.75	1331.57	902.89	629.35	915.51	105.89	195.72	638.15
DPEP2	98.73	43.94	23.59	1059.11	848.22	808.0	915.51	283.05	283.05	642.59	180.02	656.11	144.01	463.65	738.29	289.02	854.13	11.04	88.88	48.52	16.51	74.06	49.91	61.25	21.78	44.25	30.34	67.12	7.75	122.64	17.51	4.74	123.5	15.68	20.11	17.25	29.7	52.45	12.55	99.43	13.22	20.71	24.11	16.75	84.04	9.48	25.35	351.14	98.73	32.82	62.12	64.8	88.88	26.1	80.01	19.97	24.11	125.24	175.07	31.67	988.12	13.42	656.11	583.07	3124.78	1088.92	351.14	444.72	1844.76	366.09	567.1	348.71	1662.49	3540.14	287.01	460.44	884.29	400.71	902.89	1639.59	813.63	2335.28	1628.26	1870.53	46.5	68.55	412.0
ELMO2	2591.27	293.07	320.8	713.11	693.58	551.56	620.67	409.15	463.65	595.34	444.72	738.29	503.95	567.1	656.11	339.14	571.05	327.56	287.01	361.04	332.14	293.07	180.02	353.59	255.0	325.29	289.02	234.57	265.87	595.34	229.72	269.6	381.68	343.89	208.38	236.21	228.13	239.52	417.77	426.57	341.51	138.1	248.0	341.51	361.04	211.31	253.23	500.46	277.2	234.57	307.69	190.34	366.09	96.68	228.13	253.23	381.68	256.78	187.71	195.72	759.08	575.03	497.0	555.41	1369.04	703.28	612.11	493.56	540.19	842.36	660.68	872.1	703.28	642.59	595.34	500.46	1008.9	733.19	450.94	764.36	473.41	624.99	848.22	540.19	297.17	476.71	563.18
EVI2B	5329.3	52.08	5.06	1388.16	988.12	669.92	1313.23	339.14	387.02	343.89	312.0	684.02	218.79	503.95	1044.52	693.58	718.08	29.7	287.01	114.36	94.67	186.4	94.67	153.34	54.72	141.02	78.34	204.07	14.14	395.18	21.01	5.73	400.71	49.21	30.12	36.79	55.89	96.68	71.0	283.05	31.0	22.43	81.71	73.03	214.27	37.32	59.55	848.22	140.04	204.07	111.21	47.17	178.77	61.68	356.05	70.01	82.87	224.97	204.07	75.64	819.3	85.22	1250.98	2367.9	14461.21	1721.16	1757.34	1233.75	2287.2	583.07	5872.48	1143.1	2520.38	6121.9	2682.69	1769.57	2682.69	808.0	2240.11	1008.9	2855.44	3901.01	1870.53	1001.93	211.31	275.28	854.13
FAM49A	1733.13	23.76	9.41	412.0	246.28	186.4	199.85	100.13	80.57	214.27	68.07	194.36	27.25	133.36	194.36	232.94	111.21	9.13	77.25	50.63	27.44	53.95	16.88	98.73	41.52	37.85	36.79	115.16	10.08	130.6	15.56	170.25	195.72	33.06	35.25	21.47	29.06	49.56	41.22	105.89	28.86	17.13	356.05	21.32	92.05	28.86	21.47	217.27	124.37	110.43	27.64	22.43	35.5	20.11	78.34	43.32	90.77	75.11	33.06	30.56	457.25	18.43	543.96	559.28	1159.07	791.35	1191.69	412.0	486.75	595.34	260.38	332.14	244.57	269.6	476.71	775.05	1477.58	281.09	275.28	450.94	351.14	214.27	1350.18	417.77	162.14	185.11	507.46
FCGR2A	10733.74	147.06	171.45	2434.5	2609.3	1963.57	4268.94	902.89	785.88	2119.22	796.86	2255.7	583.07	1806.78	1950.0	1709.26	1519.15	33.54	507.46	318.57	447.82	351.14	334.46	674.59	204.07	327.56	234.57	376.41	33.3	1127.35	94.01	33.54	860.08	289.02	87.65	170.25	100.83	366.09	56.28	521.76	43.94	123.5	90.77	312.0	591.22	87.65	172.65	1277.29	341.51	599.49	158.79	41.22	224.97	40.64	152.28	176.29	180.02	155.5	59.55	53.57	2319.15	277.2	3794.3	3614.55	13123.73	4038.61	6792.79	3467.27	6745.86	2417.67	12076.21	1477.58	11267.44	4937.99	4869.99	4736.79	4607.24	5751.61	2537.92	5255.91	3589.58	2148.82	3491.39	1369.04	1242.34	1175.27	3212.66
FCHO1	511.0	6.16	9.78	69.52	154.42	57.49	138.1	24.11	46.84	130.6	100.13	77.79	138.1	42.71	82.87	29.06	81.14	12.64	33.54	23.25	35.76	22.43	15.56	53.19	23.76	26.28	18.29	28.45	4.43	62.56	7.94	2.92	47.84	82.29	7.4	6.16	4.94	21.47	7.63	75.64	8.99	31.0	32.59	11.64	48.18	5.45	127.89	83.45	17.64	16.15	73.03	18.84	24.11	24.63	32.82	35.0	113.56	52.82	31.22	14.24	120.1	120.1	40.64	135.24	376.41	157.68	145.02	237.86	87.65	37.85	343.89	90.14	503.95	191.67	202.66	72.52	63.89	128.79	57.49	239.52	81.71	96.68	37.59	124.37	202.66	126.12	97.36
FERMT3	2018.8	64.8	21.01	1447.15	2627.46	1388.16	3303.0	733.19	1191.69	1896.65	521.76	1572.76	547.75	1151.06	1457.23	830.75	1639.59	136.19	915.51	483.38	301.33	633.73	318.57	1111.82	178.77	543.96	346.29	497.0	30.34	1359.57	171.45	88.26	775.05	267.73	162.14	132.44	132.44	429.54	100.13	607.87	113.56	214.27	226.54	285.03	607.87	128.79	205.5	1950.0	490.14	426.57	134.3	149.12	403.5	90.14	341.51	164.42	371.22	493.56	320.8	295.11	2573.36	208.38	2591.27	3168.41	4388.98	6792.79	1832.01	3589.58	2193.99	348.71	6840.04	2090.03	5995.9	3874.05	3257.52	1583.71	2351.53	5633.22	1806.78	2555.58	2956.17	2664.15	1769.57	2777.33	563.18	412.0	2271.4
FGR	12502.12	57.49	12.83	1397.83	1467.37	1259.69	934.76	303.44	603.67	902.89	264.03	511.0	234.57	591.22	928.3	540.19	890.44	34.02	397.93	141.02	149.12	189.02	73.54	277.2	59.13	82.29	58.3	134.3	21.94	583.07	50.98	15.8	262.2	59.13	34.51	63.89	72.52	70.51	63.0	151.22	42.71	19.25	71.5	53.57	131.51	27.44	46.18	1259.69	102.97	314.17	61.68	73.03	208.38	26.1	182.55	92.05	108.14	98.04	112.77	47.5	2417.67	57.08	1477.58	3955.48	19082.0	4388.98	1417.35	1277.29	1037.29	2434.5	2351.53	1733.13	2555.58	5041.77	2664.15	490.14	3564.78	2061.24	2119.22	1583.71	3515.68	4152.18	1936.53	2468.49	141.02	285.03	1216.75
FMNL1	4836.35	48.52	45.21	511.0	884.29	525.39	1250.98	205.5	450.94	540.19	228.13	733.19	320.8	567.1	684.02	503.95	642.59	81.14	358.54	178.77	153.34	265.87	170.25	371.22	120.94	241.19	170.25	332.14	406.31	647.07	81.14	38.4	450.94	178.77	66.65	79.45	80.01	185.11	81.14	483.38	66.65	47.84	173.85	108.9	376.41	45.85	89.51	775.05	209.84	395.18	111.99	63.89	101.54	91.41	228.13	81.71	232.94	108.14	273.37	46.84	1605.83	194.36	753.83	1417.35	7857.29	2240.11	1175.27	1397.83	825.0	1127.35	1991.0	1359.57	2178.83	1059.11	1857.6	1498.22	4181.07	1794.29	624.99	808.0	603.67	1015.93	1674.06	1806.78	248.0	490.14	1135.2
FTL	1221310.69	539026.74	482442.34	716197.51	1422501.74	919186.72	1355129.16	932018.1	998912.34	1422501.74	736332.6	1048575.0	696613.03	783730.52	741454.2	623486.02	992012.34	757033.75	1123834.93	971597.0	2111737.85	1327240.99	1452391.55	1026995.62	1393227.06	875652.15	1055868.42	721179.07	706337.4	851707.37	696613.03	1514068.5	919186.72	985160.01	1100706.72	958220.73	589853.66	932018.1	822695.06	857631.47	1147449.11	1493223.86	623486.02	992012.34	811368.76	677564.08	736332.6	881742.8	822695.06	2294899.22	1179708.33	919186.72	1327240.99	1147449.11	1374046.07	1055868.42	857631.47	1131651.83	906531.99	2326934.84	998912.34	1273174.62	1204496.53	757033.75	301123.38	938500.81	845824.19	1336472.68	623486.02	938500.81	573724.06	945028.61	614902.29	971597.0	845824.19	875652.15	932018.1	1327240.99	778316.89	687022.54	945028.61	900270.11	1179708.33	762299.34	971597.0	645473.24	971597.0
GAB3	236.21	7.69	9.41	154.42	127.0	87.65	134.3	42.41	43.63	45.53	65.26	92.7	99.43	52.45	105.89	54.33	83.45	8.38	34.51	21.63	14.89	22.59	25.72	29.27	17.9	26.28	17.0	42.41	2.56	107.38	10.55	4.31	49.91	11.21	10.79	13.83	11.91	20.71	9.48	54.72	6.57	8.58	20.56	11.55	60.39	14.78	11.82	120.94	17.9	13.93	11.04	14.24	17.51	6.16	24.81	21.94	12.45	22.92	28.86	8.51	264.03	30.34	104.42	115.97	460.44	215.77	102.25	260.38	205.5	35.0	267.73	351.14	536.45	483.38	62.56	161.02	78.89	165.57	126.12	295.11	116.78	226.54	122.64	260.38	21.78	38.95	170.25
GCNT1	199.85	16.75	3.56	161.02	75.64	37.05	102.25	30.56	31.45	38.12	29.06	78.34	53.19	38.95	75.11	39.79	47.5	14.56	16.27	10.24	8.99	10.79	5.73	45.53	10.88	20.71	5.41	8.71	4.94	39.79	7.51	3.08	53.57	18.43	5.92	7.4	4.62	8.71	13.83	24.28	10.71	3.23	7.57	8.78	14.89	4.24	3.79	40.36	13.62	9.41	29.27	4.58	70.51	26.67	22.59	17.25	20.26	47.17	12.45	34.75	82.29	127.0	77.79	220.32	454.09	417.77	295.11	587.13	82.29	66.18	381.68	120.94	466.88	80.57	99.43	363.56	65.26	111.21	241.19	148.09	215.77	113.56	177.53	71.0	23.42	116.78	140.04
GIT2	1313.23	181.28	95.34	896.64	603.67	507.46	536.45	217.27	318.57	285.03	332.14	438.59	567.1	341.51	688.78	371.22	500.46	190.34	395.18	249.73	329.84	224.97	218.79	318.57	287.01	224.97	241.19	295.11	92.7	503.95	153.34	215.77	447.82	223.41	293.07	182.55	118.43	215.77	211.31	348.71	295.11	175.07	237.86	178.77	346.29	285.03	186.4	555.41	264.03	202.66	215.77	133.36	297.17	111.99	123.5	197.09	373.81	126.12	303.44	127.0	708.18	256.78	450.94	483.38	1313.23	708.18	688.78	764.36	616.37	525.39	785.88	748.61	890.44	595.34	412.0	518.15	414.87	703.28	429.54	713.11	476.71	532.74	733.19	836.53	226.54	379.04	536.45
GMIP	836.53	23.42	45.53	412.0	384.34	244.57	547.75	246.28	309.83	457.25	173.85	620.67	152.28	303.44	414.87	231.32	348.71	33.54	163.28	96.68	96.01	159.9	69.52	189.02	84.63	105.89	89.51	105.15	43.94	273.37	63.0	87.03	182.55	120.1	45.53	99.43	35.76	90.77	55.1	189.02	64.34	76.17	110.43	109.66	132.44	63.89	65.26	373.81	136.19	92.05	79.45	26.28	145.02	53.95	96.68	95.34	180.02	120.94	58.3	94.01	629.35	108.14	384.34	547.75	1277.29	743.43	366.09	599.49	555.41	323.03	878.17	373.81	928.3	629.35	651.58	412.0	563.18	878.17	387.02	384.34	493.56	674.59	703.28	503.95	173.85	269.6	463.65
GPSM3	5441.3	109.66	72.52	1551.09	1639.59	1313.23	2303.12	728.11	733.19	1388.16	426.57	1551.09	417.77	1467.37	1594.73	764.36	1769.57	96.68	540.19	241.19	208.38	503.95	234.57	796.86	181.28	389.72	289.02	503.95	51.35	733.19	111.99	85.82	713.11	171.45	108.14	141.02	161.02	325.29	118.43	567.1	77.79	118.43	199.85	186.4	591.22	115.97	142.01	1331.57	283.05	251.48	193.01	88.26	316.37	124.37	387.02	231.32	387.02	536.45	334.46	182.55	1594.73	214.27	1721.16	2555.58	13399.51	2758.13	1697.45	1896.65	1529.73	633.73	8191.0	1733.13	6164.49	3928.15	3982.99	1081.39	3235.01	5831.91	1135.2	2573.36	1697.45	1806.78	2351.53	1617.0	423.61	490.14	1709.26
GRK6	1806.78	144.01	134.3	616.37	612.11	728.11	967.76	575.03	738.29	825.0	486.75	753.83	387.02	536.45	511.0	543.96	559.28	738.29	400.71	400.71	358.54	587.13	395.18	591.22	307.69	432.53	473.41	258.57	100.83	836.53	267.73	361.04	497.0	651.58	532.74	473.41	251.48	397.93	575.03	563.18	435.55	1151.06	423.61	397.93	454.09	429.54	466.88	529.06	389.72	241.19	329.84	206.94	251.48	236.21	218.79	205.5	334.46	132.44	221.86	182.55	1001.93	392.44	896.64	1167.14	1977.24	1151.06	599.49	728.11	723.08	314.17	728.11	836.53	819.3	860.08	612.11	529.06	1175.27	921.88	688.78	521.76	995.0	854.13	656.11	830.75	341.51	476.71	733.19
HCK	5147.73	51.71	10.63	1407.55	1242.34	1088.92	2224.63	595.34	860.08	1259.69	373.81	1277.29	320.8	624.99	1143.1	575.03	1225.22	45.53	447.82	190.34	110.43	303.44	102.25	358.54	66.65	212.78	122.64	249.73	17.13	583.07	34.26	15.34	540.19	68.55	62.12	54.72	40.64	161.02	86.43	234.57	57.49	45.21	86.43	143.01	231.32	37.05	59.55	1359.57	239.52	395.18	148.09	27.44	447.82	50.27	212.78	249.73	260.38	397.93	71.5	201.25	1143.1	64.34	1268.46	2351.53	8421.31	3614.55	2271.4	2193.99	1561.89	555.41	11992.79	1143.1	6250.56	3467.27	3768.09	1561.89	1923.14	3614.55	1467.37	2209.26	3564.78	1909.85	651.58	1639.59	872.1	480.04	1477.58
IFNGR1	8078.22	1183.45	251.48	2835.7	2591.27	1662.49	2224.63	1073.91	872.1	813.63	934.76	1001.93	928.3	1191.69	2104.58	2178.83	1407.55	583.07	1199.98	866.07	2271.4	769.69	679.29	1008.9	713.11	854.13	941.27	1242.34	1721.16	1617.0	1191.69	348.71	915.51	884.29	813.63	571.05	679.29	1322.37	1135.2	1467.37	1081.39	444.72	417.77	4152.18	1628.26	616.37	884.29	2664.15	2032.85	988.12	1572.76	417.77	1617.0	603.67	665.29	775.05	2032.85	995.0	651.58	665.29	2555.58	909.17	7081.29	5006.93	8901.53	2255.7	2758.13	1697.45	4152.18	3901.01	2468.49	2255.7	3928.15	5147.73	3901.01	2520.38	5672.41	2255.7	5995.9	2209.26	7081.29	5954.47	8598.28	1781.89	2367.9	1806.78	4802.93
IKZF1	872.1	3.2	1.58	429.54	217.27	133.36	336.79	105.89	102.97	153.34	66.65	295.11	61.25	129.69	246.28	124.37	193.01	13.62	57.08	30.34	21.94	52.82	27.25	59.55	24.81	40.07	76.17	71.0	3.08	156.59	8.0	4.06	97.36	14.35	14.56	12.0	27.84	29.91	20.56	105.89	11.38	8.58	31.0	14.67	71.5	7.11	10.79	212.78	28.04	20.26	24.28	35.5	64.8	26.28	69.52	25.91	34.75	52.08	63.89	25.35	228.13	29.7	246.28	231.32	1233.75	417.77	392.44	205.5	301.33	19.39	559.28	309.83	872.1	211.31	220.32	353.59	1199.98	264.03	255.0	341.51	144.01	301.33	1127.35	189.02	46.5	62.56	237.86
ITGAX	21026.65	20.86	2.07	1437.15	2148.82	1199.98	1923.14	579.04	902.89	1111.82	441.64	878.17	599.49	718.08	1183.45	780.44	947.83	60.39	848.22	183.82	392.44	267.73	170.25	277.2	141.02	126.12	81.14	204.07	28.24	753.83	80.57	23.08	633.73	127.89	64.8	74.06	51.35	129.69	56.68	234.57	37.59	43.32	121.79	77.25	351.14	20.11	88.88	1583.71	289.02	656.11	82.29	55.49	101.54	39.79	73.03	100.13	129.69	70.51	70.51	18.29	3690.52	59.13	1233.75	2664.15	4450.27	3690.52	1001.93	2835.7	493.56	1540.37	1369.04	1151.06	1540.37	713.11	1923.14	961.07	5831.91	1023.0	813.63	1191.69	1259.69	1183.45	4210.15	4038.61	169.07	348.71	1529.73
KIAA0226L	309.83	14.78	1.95	73.03	166.73	102.25	211.31	50.98	44.25	88.26	38.12	106.63	43.32	72.01	99.43	78.89	106.63	5.77	31.22	19.82	43.02	14.35	9.2	41.22	5.68	38.95	11.91	36.01	3.47	70.01	9.7	5.5	83.45	14.03	3.96	8.78	7.0	17.9	8.71	74.58	6.41	11.13	3.59	30.34	39.22	27.64	6.21	54.72	21.01	186.4	14.24	8.13	35.76	13.22	55.89	22.26	36.79	18.43	11.3	34.75	336.79	18.7	140.04	135.24	483.38	197.09	281.09	134.3	57.49	60.39	93.35	141.02	191.67	66.18	53.57	79.45	392.44	139.07	26.28	111.21	102.97	30.34	149.12	172.65	45.21	46.84	138.1
KLHL6	309.83	3.63	2.18	571.05	348.71	277.2	389.72	77.79	78.89	214.27	96.68	169.07	81.14	107.38	221.86	135.24	135.24	3.79	64.8	35.25	11.55	29.7	22.43	35.0	4.66	17.38	9.48	36.53	3.44	92.7	6.01	7.22	40.93	8.99	5.5	4.31	11.38	16.03	6.01	116.78	5.59	2.16	12.55	6.16	47.84	5.23	4.31	244.57	25.54	26.47	10.55	5.32	22.59	19.11	25.35	8.32	53.95	27.05	17.9	7.34	353.59	25.72	172.65	309.83	753.83	1757.34	447.82	279.14	307.69	151.22	119.26	620.67	218.79	444.72	260.38	285.03	921.88	218.79	177.53	165.57	242.88	409.15	928.3	242.88	42.41	36.79	175.07
LAPTM5	24660.96	332.14	92.7	11035.54	15824.9	9740.98	20170.07	5076.84	6250.56	8479.89	4328.55	10512.82	3768.09	8305.36	11112.3	8363.13	9740.98	358.54	2485.67	1583.71	1417.35	1991.0	1286.18	3467.27	466.88	1477.58	988.12	2133.97	125.24	4671.57	351.14	255.0	3419.52	995.0	387.02	460.44	532.74	1529.73	376.41	2163.77	242.88	656.11	521.76	713.11	2178.83	305.55	579.04	9025.81	1467.37	579.04	329.84	361.04	1733.13	444.72	848.22	764.36	1794.29	1977.24	518.15	808.0	16960.78	703.28	15075.35	20593.91	30151.71	39510.91	62865.33	11992.79	14461.21	3955.48	50709.61	11189.6	22850.48	35118.87	24832.5	11504.21	48307.85	45072.75	22692.63	5403.7	28723.62	26248.46	118949.35	13033.07	4095.0	3103.19	10883.59
LILRA6	5403.7	8.78	0.0	518.15	571.05	400.71	486.75	181.28	239.52	403.5	77.25	314.17	61.68	258.57	351.14	148.09	281.09	13.42	73.54	45.21	32.82	48.87	28.65	145.02	7.46	33.54	22.92	28.86	7.46	144.01	16.88	4.1	135.24	9.85	26.47	13.93	17.0	39.5	20.26	15.34	17.9	7.75	11.3	24.11	37.85	12.83	20.41	603.67	72.52	116.78	18.16	13.32	75.11	4.9	27.84	78.89	43.63	37.85	35.5	28.65	1225.22	16.39	796.86	616.37	4736.79	616.37	525.39	981.29	733.19	599.49	3146.52	599.49	981.29	1457.23	1242.34	571.05	571.05	1407.55	400.71	674.59	1008.9	587.13	336.79	819.3	132.44	156.59	647.07
LIMD2	460.44	93.35	95.34	384.34	713.11	638.15	1437.15	246.28	493.56	616.37	241.19	698.41	251.48	674.59	595.34	403.5	738.29	92.05	551.56	346.29	255.0	441.64	96.01	2240.11	253.23	447.82	429.54	1208.34	21.32	941.27	147.06	123.5	674.59	409.15	209.84	159.9	101.54	389.72	133.36	890.44	94.67	182.55	470.14	105.15	607.87	157.68	170.25	1208.34	215.77	199.85	189.02	121.79	698.41	92.05	420.68	249.73	262.2	629.35	796.86	148.09	915.51	947.83	1037.29	547.75	2816.11	435.55	1073.91	1199.98	796.86	123.5	1498.22	1225.22	2555.58	819.3	934.76	1199.98	1268.46	638.15	327.56	1407.55	293.07	450.94	656.11	1277.29	486.75	878.17	1233.75
LSP1	3467.27	128.79	83.45	3820.7	8718.32	3665.02	10512.82	934.76	1639.59	2875.3	909.17	2664.15	1662.49	3235.01	2976.74	1806.78	3419.52	153.34	1001.93	587.13	543.96	915.51	551.56	921.88	329.84	587.13	444.72	802.41	329.84	1594.73	172.65	69.52	1233.75	195.72	215.77	231.32	217.27	633.73	199.85	981.29	94.01	275.28	555.41	122.64	567.1	98.73	332.14	2875.3	543.96	463.65	181.28	228.13	358.54	258.57	633.73	241.19	262.2	547.75	336.79	132.44	3419.52	289.02	1781.89	2319.15	22850.48	5751.61	1313.23	2645.74	2240.11	490.14	3443.31	2271.4	10585.95	4802.93	3564.78	2573.36	6792.79	1427.22	2178.83	4152.18	954.43	1081.39	2835.7	4388.98	395.18	1015.93	2018.8
MICAL1	1540.37	125.24	27.05	1044.52	941.27	1135.2	1135.2	595.34	412.0	532.74	417.77	748.61	392.44	629.35	748.61	389.72	607.87	37.85	387.02	152.28	376.41	190.34	98.73	334.46	74.06	191.67	180.02	232.94	29.91	660.68	102.25	43.32	249.73	195.72	73.03	87.03	75.64	191.67	73.03	454.09	70.01	120.94	120.1	76.17	384.34	37.05	98.73	896.64	281.09	48.87	48.87	25.91	633.73	22.26	65.72	73.03	104.42	45.85	66.65	24.63	2303.12	158.79	559.28	1159.07	4769.75	3564.78	587.13	1183.45	1208.34	603.67	909.17	1175.27	2133.97	2032.85	802.41	890.44	1781.89	1617.0	1008.9	669.92	896.64	2193.99	1467.37	2104.58	153.34	381.68	890.44
