	GTEX.14C38.2626.SM.5RQI4	TCGA.KL.8332.11A.01R.2315.07	GTEX.N7MS.1626.SM.3LK5F	TCGA.HE.7128.01A.11R.1965.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.BW.A5NP.01A.11R.A27V.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.P44H.1126.SM.48TBU	GTEX.1313W.0926.SM.5EQ56	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZT9X.0326.SM.51MTE	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.131XE.0726.SM.5HL9K	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.18.3411.01A.01R.0980.07	TCGA.90.7964.01A.21R.2187.07	TCGA.77.8007.11A.01R.2187.07
BTN2A2	146.03	152.28	70.01	607.87	423.61	305.55	346.29	323.03	269.6	256.78	463.65	438.59	242.88	299.25	346.29	325.29	244.57	206.94	178.77	246.28	146.03	155.5	115.16	126.12	163.28	127.0	91.41	94.01	57.49	228.13	95.34	120.1	183.82	95.34	118.43	104.42	84.04	244.57	109.66	198.47	271.48	93.35	158.79	305.55	209.84	52.82	170.25	336.79	236.21	75.11	48.18	75.64	187.71	111.99	104.42	101.54	21.01	176.29	66.65	108.9	521.76	110.43	387.02	389.72	995.0	1023.0	529.06	327.56	438.59	305.55	679.29	575.03	620.67	379.04	291.04	866.07	454.09	376.41	341.51	334.46	187.71	343.89	514.56	497.0	108.14	191.67	543.96
C1orf162	2777.33	112.77	38.4	1059.11	1594.73	1277.29	2133.97	595.34	603.67	1304.15	473.41	1233.75	493.56	1088.92	1407.55	624.99	1639.59	68.55	381.68	197.09	209.84	412.0	244.57	1023.0	137.14	371.22	205.5	473.41	35.5	738.29	71.0	34.26	848.22	120.1	96.01	86.43	105.89	186.4	109.66	368.65	94.01	91.41	193.01	167.9	387.02	64.34	106.63	1583.71	167.9	325.29	197.09	137.14	743.43	117.6	387.02	376.41	587.13	669.92	988.12	260.38	3794.3	141.02	2163.77	5831.91	9876.98	8363.13	3419.52	2255.7	4450.27	808.0	18431.96	3325.99	5672.41	13399.51	3039.3	3168.41	3467.27	8191.0	5555.65	2451.44	7911.95	4298.64	5292.48	3467.27	500.46	563.18	2875.3
CD53	16727.26	129.69	31.45	3928.15	4388.98	2855.44	6037.61	1487.87	1923.14	3716.2	1295.13	3325.99	974.5	2997.45	3467.27	1896.65	3742.05	131.51	967.76	497.0	397.93	728.11	409.15	1059.11	190.34	633.73	376.41	825.0	49.56	1639.59	120.1	48.52	1447.15	212.78	141.02	132.44	169.07	470.14	190.34	1159.07	130.6	134.3	271.48	275.28	842.36	102.97	228.13	3419.52	518.15	503.95	202.66	169.07	616.37	138.1	514.56	237.86	384.34	802.41	514.56	170.25	4181.07	244.57	5517.27	6983.79	14262.1	11424.74	10659.59	4239.45	4972.34	3742.05	26248.46	3060.45	7966.99	9151.82	10154.69	3589.58	8718.32	14663.09	6079.61	2520.38	13968.57	7032.37	12764.83	3235.01	1437.15	830.75	4937.99
CLEC7A	947.83	41.22	0.0	409.15	466.88	441.64	620.67	175.07	185.11	291.04	199.85	395.18	141.02	212.78	514.56	426.57	339.14	11.21	193.01	78.34	41.22	123.5	49.56	95.34	32.82	85.22	37.85	96.68	6.57	291.04	18.29	2.34	141.02	24.81	30.78	18.03	15.68	40.07	33.78	100.83	13.72	8.58	21.01	70.51	158.79	14.89	23.25	476.71	125.24	129.69	140.04	19.53	129.69	19.11	119.26	53.95	275.28	76.17	82.87	37.59	1096.5	53.95	1662.49	2148.82	9673.69	3564.78	791.35	1008.9	961.07	271.48	6426.31	438.59	2133.97	2875.3	791.35	1183.45	2047.0	796.86	1073.91	543.96	1277.29	1304.15	1857.6	1844.76	232.94	246.28	1457.23
CNEP1R1	253.23	190.34	116.78	363.56	423.61	273.37	293.07	291.04	199.85	183.82	281.09	312.0	173.85	249.73	241.19	334.46	206.94	161.02	202.66	146.03	150.17	150.17	108.9	115.97	67.59	126.12	117.6	146.03	146.03	208.38	129.69	72.52	185.11	110.43	103.69	83.45	158.79	61.68	144.01	151.22	186.4	115.16	89.51	143.01	226.54	127.0	142.01	248.0	162.14	156.59	166.73	100.83	204.07	129.69	144.01	120.94	226.54	130.6	182.55	141.02	381.68	269.6	460.44	417.77	713.11	470.14	295.11	473.41	435.55	447.82	414.87	423.61	381.68	287.01	591.22	450.94	293.07	232.94	346.29	420.68	202.66	253.23	248.0	392.44	269.6	161.02	334.46
CRLF3	466.88	108.14	44.89	239.52	241.19	157.68	232.94	90.77	93.35	61.25	111.99	140.04	119.26	98.04	176.29	141.02	102.25	94.01	110.43	63.0	118.43	74.06	84.63	85.82	96.68	67.12	74.58	77.79	54.33	172.65	47.5	52.82	180.02	74.06	100.13	46.84	59.55	54.72	70.51	146.03	111.99	53.95	93.35	82.87	111.21	100.13	136.19	186.4	74.58	45.85	45.85	43.02	92.7	36.01	69.03	59.13	62.56	60.82	53.95	83.45	239.52	295.11	325.29	291.04	718.08	420.68	283.05	389.72	265.87	343.89	429.54	271.48	423.61	237.86	412.0	291.04	212.78	153.34	232.94	376.41	211.31	212.78	224.97	214.27	376.41	189.02	289.02
CSF2RB	2209.26	13.22	9.13	161.02	136.19	68.55	301.33	46.84	87.65	96.01	60.39	124.37	22.75	58.71	113.56	128.79	61.25	7.22	91.41	46.84	36.53	61.68	19.82	40.36	11.13	34.75	17.77	39.79	3.29	116.78	9.85	2.01	93.35	16.88	8.65	8.65	11.73	26.86	15.34	85.22	8.51	5.63	19.25	15.91	74.58	8.19	7.0	234.57	57.49	48.18	22.75	9.78	34.51	7.69	44.25	27.05	48.18	42.11	14.45	26.67	327.56	32.59	480.04	387.02	1963.57	665.29	336.79	353.59	314.17	305.55	2004.85	214.27	896.64	356.05	878.17	201.25	718.08	400.71	130.6	325.29	332.14	164.42	120.1	361.04	54.72	73.54	389.72
CSGALNACT2	2351.53	102.97	37.59	253.23	246.28	199.85	273.37	74.06	81.71	87.03	161.02	115.97	126.12	112.77	189.02	246.28	75.11	114.36	199.85	165.57	138.1	88.26	98.04	101.54	114.36	108.14	85.82	115.16	147.06	201.25	140.04	55.89	325.29	113.56	145.02	108.9	123.5	76.71	92.7	145.02	164.42	45.85	117.6	148.09	241.19	239.52	146.03	269.6	105.15	134.3	119.26	88.26	93.35	78.34	101.54	110.43	136.19	78.34	86.43	78.89	497.0	141.02	540.19	511.0	1457.23	1037.29	1340.84	361.04	417.77	753.83	303.44	466.88	275.28	514.56	521.76	417.77	1388.16	264.03	460.44	244.57	616.37	708.18	1044.52	607.87	151.22	220.32	423.61
CTD-2370N5.3	246.28	0.0	0.0	70.01	24.46	9.41	42.41	9.48	4.46	4.35	21.78	24.11	0.0	9.27	39.22	16.15	6.62	0.0	0.0	6.06	0.0	2.81	4.35	5.63	0.0	0.0	0.0	0.0	0.0	6.94	0.0	0.0	20.11	0.0	0.0	0.0	4.1	0.0	0.0	14.45	3.38	0.0	4.94	0.0	7.82	0.0	0.0	36.53	0.0	30.34	0.0	4.98	0.0	9.06	19.11	0.0	0.0	6.57	0.0	0.0	9.56	5.28	77.79	41.81	251.48	82.87	35.0	126.12	53.19	102.25	43.94	20.71	61.25	89.51	77.79	92.05	68.07	44.57	28.45	87.03	125.24	31.9	103.69	62.56	6.06	35.5	46.5
CYLD	1030.12	172.65	384.34	536.45	379.04	316.37	417.77	414.87	241.19	191.67	376.41	423.61	277.2	358.54	303.44	575.03	239.52	201.25	281.09	366.09	180.02	267.73	214.27	131.51	100.13	208.38	194.36	255.0	143.01	336.79	134.3	127.0	208.38	149.12	127.89	176.29	234.57	111.21	206.94	329.84	289.02	113.56	198.47	175.07	329.84	110.43	97.36	373.81	301.33	281.09	193.01	155.5	121.79	152.28	234.57	215.77	647.07	234.57	208.38	239.52	426.57	291.04	470.14	392.44	775.05	733.19	476.71	457.25	412.0	420.68	392.44	400.71	409.15	318.57	366.09	500.46	836.53	248.0	373.81	447.82	368.65	314.17	703.28	403.5	198.47	271.48	571.05
