	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAN7.01A.11R.A42T.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.E2.A1L9.01A.11R.A13Q.07	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.EW.A1IX.01A.12R.A144.07	TCGA.A2.A0T7.01A.21R.A084.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A8.A08Z.01A.21R.A00Z.07	TCGA.A2.A0YD.01A.11R.A109.07	TCGA.4H.AAAK.01A.12R.A41B.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A18M.01A.11R.A12D.07	TCGA.EW.A1OW.01A.21R.A144.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.BH.A0EI.01A.11R.A115.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AC.A3W6.01A.12R.A22K.07	TCGA.A7.A6VV.01A.22R.A33J.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.D8.A1JU.01A.11R.A13Q.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.BH.A0BF.01A.21R.A12P.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.AR.A24T.01A.11R.A169.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.AN.A0XN.01A.21R.A109.07	TCGA.AC.A23E.01A.11R.A157.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.E2.A15L.01A.11R.A12D.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.E2.A10F.01A.11R.A10J.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A2LN.01A.21R.A18M.07	TCGA.E9.A1R3.01A.31R.A14M.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.A2.A0T6.01A.11R.A084.07	TCGA.BH.A0AV.01A.31R.A115.07	TCGA.D8.A141.01A.11R.A115.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A18I.01A.11R.A12D.07	TCGA.OL.A97C.01A.32R.A41B.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.AZ.6607.01A.11R.1839.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.UF.A7JD.01A.11R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CQ.7072.01A.21R.A30B.07	TCGA.CV.7433.01A.11R.2132.07	TCGA.B0.4696.01A.01R.1277.07	TCGA.BP.4345.01A.01R.1289.07	TCGA.44.6774.01A.21R.1858.07	GTEX.QV44.0926.SM.2S1RH	GTEX.XQ3S.0926.SM.4BOPI	TCGA.85.6175.01A.11R.1820.07	TCGA.56.6545.01A.11R.1820.07	TCGA.N5.A4RF.01A.11R.A28V.07	TCGA.QN.A5NN.01A.11R.A28V.07	GTEX.POMQ.1226.SM.3P61F
AC131971.1	0.79	1.3	0.0	2.56	3.06	3.92	3.66	1.45	2.07	2.36	2.2	2.86	1.08	2.71	1.69	12.36	1.66	5.82	3.35	1.35	1.43	1.71	0.39	7.94	1.75	8.0	2.63	0.0	5.23	12.45	3.72	0.0	5.32	0.0	13.72	0.0	2.68	3.0	2.03	2.71	2.39	3.96	1.13	3.53	0.0	7.11	2.36	5.87	0.84	5.82	1.13	2.61	2.53	1.17	4.5	1.58	1.22	15.22	1.39	0.11	0.95	2.41	1.51	2.78	4.46	1.43	0.0	1.06	2.23	0.92	1.62	2.39	0.0	2.41	0.61	1.64	2.03	0.0	0.0	0.3
AKAP9	183.82	473.41	432.53	384.34	698.41	1883.54	854.13	3847.29	591.22	423.61	988.12	1561.89	633.73	1059.11	1183.45	1437.15	738.29	6037.61	1015.93	435.55	1208.34	473.41	866.07	1066.48	1250.98	813.63	3928.15	743.43	620.67	4869.99	728.11	591.22	2609.3	1015.93	2835.7	507.46	764.36	1417.35	1242.34	603.67	426.57	1417.35	1259.69	1001.93	363.56	2976.74	612.11	1498.22	476.71	1447.15	466.88	656.11	1191.69	514.56	3443.31	679.29	1015.93	2255.7	447.82	366.09	1159.07	728.11	351.14	323.03	612.11	275.28	389.72	1143.1	693.58	269.6	728.11	279.14	532.74	638.15	679.29	583.07	642.59	126.12	236.21	273.37
AL136115.1	1.57	11.13	0.95	4.39	18.29	9.93	11.64	14.56	2.66	10.0	12.64	14.67	4.58	4.98	3.66	18.29	3.56	23.59	6.41	5.23	4.94	0.84	5.36	7.46	21.63	7.88	5.63	5.63	9.2	31.45	1.89	2.61	9.85	2.97	13.22	5.59	8.58	2.92	20.71	3.38	3.06	11.47	12.83	21.78	4.24	42.11	4.74	23.08	9.85	22.59	5.15	18.43	6.31	5.73	19.68	11.47	9.27	5.54	6.89	2.73	7.75	4.7	2.84	6.16	5.11	3.63	2.86	0.0	7.17	0.0	17.38	14.03	7.51	8.71	5.02	9.7	4.03	0.0	0.0	0.0
ANK3	31.9	59.97	111.21	109.66	379.04	679.29	599.49	346.29	647.07	387.02	339.14	688.78	285.03	884.29	435.55	373.81	283.05	665.29	426.57	253.23	902.89	100.83	130.6	291.04	234.57	651.58	1030.12	191.67	206.94	1369.04	323.03	38.12	836.53	507.46	371.22	209.84	426.57	633.73	1225.22	351.14	99.43	679.29	236.21	305.55	197.09	684.02	325.29	1175.27	93.35	629.35	132.44	409.15	759.08	343.89	423.61	363.56	441.64	1008.9	323.03	339.14	95.34	149.12	872.1	253.23	218.79	5.06	7.75	624.99	224.97	507.46	50.63	130.6	145.02	246.28	316.37	209.84	220.32	57.89	234.57	76.71
ANKEF1	18.97	30.78	76.71	53.57	150.17	239.52	85.82	96.68	139.07	82.87	134.3	147.06	72.52	127.89	51.35	154.42	74.06	177.53	244.57	38.67	47.17	63.45	264.03	265.87	99.43	123.5	117.6	114.36	136.19	194.36	127.89	4.46	136.19	90.14	180.02	66.65	125.24	89.51	118.43	53.95	17.9	159.9	201.25	175.07	105.15	88.26	173.85	143.01	117.6	107.38	60.82	74.58	117.6	81.14	100.13	37.59	62.12	99.43	115.97	30.12	41.22	62.12	43.32	59.13	33.78	65.72	15.91	49.56	28.45	46.5	18.56	17.13	60.82	58.3	28.45	46.18	49.56	26.28	21.78	24.46
ANKRD26	34.51	46.18	62.56	53.57	68.55	114.36	90.14	135.24	59.55	74.58	105.15	126.12	56.68	102.97	46.18	112.77	96.68	100.83	80.01	51.71	46.5	65.26	135.24	89.51	68.55	80.57	74.58	57.08	87.03	164.42	68.55	46.5	87.03	40.36	208.38	59.97	64.8	60.82	106.63	59.13	39.5	70.01	94.01	87.65	75.64	111.99	54.72	99.43	52.45	68.07	66.65	88.26	60.82	51.71	95.34	69.52	92.05	258.57	82.29	55.89	71.0	50.63	26.86	43.32	41.52	27.44	26.86	38.12	28.86	35.5	68.55	53.95	53.19	68.07	35.0	60.82	69.03	52.08	81.14	21.63
AP1AR	135.24	137.14	202.66	145.02	356.05	708.18	559.28	480.04	406.31	237.86	551.56	507.46	371.22	432.53	260.38	507.46	332.14	1143.1	525.39	191.67	320.8	226.54	409.15	567.1	500.46	591.22	493.56	293.07	323.03	1015.93	447.82	121.79	647.07	295.11	403.5	435.55	518.15	688.78	688.78	327.56	232.94	703.28	379.04	444.72	253.23	559.28	511.0	480.04	275.28	441.64	198.47	400.71	320.8	336.79	753.83	309.83	480.04	813.63	339.14	132.44	299.25	297.17	191.67	186.4	166.73	153.34	163.28	165.57	312.0	194.36	122.64	256.78	182.55	226.54	115.97	205.5	185.11	98.04	150.17	161.02
AP2B1	941.27	1208.34	1794.29	1685.71	2573.36	2758.13	2351.53	2520.38	1437.15	2148.82	2895.31	3018.3	2627.46	4836.35	2104.58	3690.52	1923.14	3847.29	2701.35	1477.58	1242.34	1378.57	3443.31	2591.27	1794.29	2400.97	1909.85	2271.4	2178.83	3372.43	2796.65	1081.39	2796.65	2193.99	2720.15	2591.27	4358.66	3325.99	2287.2	1806.78	1369.04	3419.52	5076.84	2976.74	1487.87	2047.0	1991.0	3742.05	1551.09	2777.33	2119.22	2758.13	1883.54	2645.74	1674.06	2664.15	1819.35	4704.07	1487.87	2133.97	1397.83	2537.92	1159.07	1135.2	733.19	1447.15	1437.15	1183.45	1487.87	981.29	703.28	1359.57	1709.26	1639.59	1378.57	1781.89	1721.16	1233.75	1233.75	981.29
APBB2	373.81	603.67	438.59	279.14	785.88	1151.06	884.29	3874.05	1769.57	988.12	780.44	981.29	660.68	967.76	1268.46	1477.58	332.14	1268.46	1359.57	941.27	603.67	299.25	1447.15	1015.93	759.08	1081.39	1583.71	808.0	642.59	1519.15	1322.37	244.57	1191.69	909.17	2119.22	1268.46	860.08	928.3	808.0	830.75	603.67	1407.55	1096.5	947.83	941.27	1388.16	934.76	1407.55	780.44	1397.83	575.03	748.61	974.5	698.41	1119.56	679.29	872.1	1397.83	1561.89	173.85	1151.06	420.68	395.18	483.38	301.33	376.41	490.14	733.19	555.41	417.77	748.61	738.29	480.04	412.0	521.76	928.3	441.64	297.17	532.74	147.06
APPL1	242.88	209.84	358.54	195.72	395.18	629.35	486.75	638.15	723.08	318.57	629.35	603.67	444.72	616.37	314.17	723.08	463.65	884.29	540.19	356.05	334.46	289.02	808.0	579.04	346.29	733.19	414.87	486.75	358.54	830.75	392.44	171.45	547.75	567.1	389.72	423.61	660.68	860.08	629.35	297.17	287.01	674.59	738.29	532.74	318.57	708.18	444.72	612.11	260.38	748.61	351.14	457.25	547.75	325.29	684.02	343.89	476.71	775.05	320.8	332.14	395.18	239.52	232.94	191.67	130.6	164.42	194.36	199.85	220.32	181.28	312.0	325.29	343.89	283.05	189.02	336.79	297.17	185.11	267.73	215.77
