	TCGA.BT.A2LA.01A.11R.A18C.07	TCGA.D8.A13Y.01A.11R.A115.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.J9.A52B.01A.11R.A26U.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.J9.A8CK.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.YL.A9WL.01A.11R.A41O.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.YL.A8SP.01B.11R.A37L.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.N5.A4RD.01A.11R.A28V.07
AATK	127.89	78.89	136.19	0.0	0.44	17.13	10.08	769.69	4.82	84.04	43.32	78.34	42.41	18.97	50.63	103.69	16.75	107.38	21.94	10.55	15.8	409.15	44.89	15.68	43.63	33.06	15.34	39.22	18.29	543.96	35.76	27.84	50.27	24.28	22.26	100.13	35.25	40.36	120.94	118.43	71.5	198.47
ACSL6	76.17	220.32	87.03	0.0	0.24	8.38	4.24	67.12	8.92	4.13	9.06	10.88	9.7	7.4	17.25	14.03	8.0	8.99	7.69	18.43	10.16	28.24	17.38	2.78	7.22	8.51	3.06	19.25	5.59	33.78	3.03	4.13	8.45	11.55	10.96	12.64	3.17	6.06	12.36	11.82	8.58	32.82
ADAMTS7	285.03	42.11	218.79	0.0	0.53	9.06	3.69	21.63	8.45	26.1	17.64	18.29	18.7	6.52	19.97	24.99	15.45	28.45	9.56	11.21	11.04	31.45	23.25	10.63	22.75	9.06	10.88	16.03	4.28	51.71	19.97	11.04	13.22	15.68	24.63	24.46	19.39	11.55	33.54	26.67	17.25	376.41
ADCY3	540.19	1551.09	1407.55	0.0	0.89	197.09	80.01	521.76	140.04	638.15	406.31	543.96	346.29	201.25	497.0	457.25	201.25	872.1	314.17	117.6	297.17	723.08	540.19	316.37	441.64	291.04	105.89	265.87	215.77	511.0	221.86	164.42	450.94	262.2	387.02	473.41	320.8	334.46	665.29	665.29	463.65	616.37
ANKRD34A	55.1	23.76	60.39	0.0	0.43	25.54	9.48	181.28	15.22	36.53	37.85	18.56	23.59	22.92	33.3	19.25	14.03	19.68	31.45	17.0	19.53	36.79	32.13	17.13	33.06	12.64	5.15	33.06	7.51	56.28	16.15	14.67	40.93	22.59	17.64	35.76	22.43	32.82	32.13	34.26	27.05	104.42
AP3B2	1639.59	1457.23	414.87	0.0	0.51	30.56	14.45	575.03	14.78	67.59	45.21	121.79	60.39	14.78	26.67	64.34	20.41	109.66	28.65	50.98	30.56	97.36	30.56	8.51	66.65	21.32	21.63	29.48	22.59	138.1	68.55	24.28	77.79	33.06	85.22	190.34	38.12	29.7	136.19	91.41	76.71	119.26
APLP1	12853.63	5672.41	5006.93	0.0	0.42	55.89	62.56	5872.48	72.52	132.44	71.5	92.7	88.88	48.87	96.68	135.24	25.54	209.84	93.35	46.5	88.88	236.21	57.08	157.68	132.44	61.68	40.64	92.05	43.32	775.05	56.28	21.78	57.49	57.89	77.25	156.59	112.77	60.39	112.77	105.89	72.01	2075.59
ARAP3	406.31	327.56	264.03	0.0	0.59	49.91	10.08	457.25	23.76	143.01	78.34	145.02	88.88	32.82	130.6	116.78	71.0	155.5	45.21	38.12	53.19	283.05	135.24	41.52	71.5	90.77	32.59	83.45	27.05	339.14	72.52	34.75	147.06	66.65	100.83	124.37	58.3	80.57	285.03	144.01	131.51	368.65
BAI1	293.07	511.0	199.85	0.0	0.69	0.96	2.48	23.25	2.25	29.06	13.42	21.94	8.51	1.45	20.71	25.35	5.73	33.78	1.93	5.11	3.86	83.45	16.63	7.17	10.31	7.11	5.59	4.06	3.72	155.5	6.41	6.36	12.18	5.45	18.7	18.97	8.45	12.18	64.34	40.36	27.44	320.8
BAI2	1487.87	1313.23	1059.11	0.0	0.26	58.71	18.29	819.3	21.78	133.36	105.89	49.56	60.39	34.26	129.69	99.43	34.26	152.28	49.21	28.04	48.87	39.5	100.13	54.72	84.63	55.89	40.07	42.41	36.01	73.54	58.3	316.37	89.51	49.21	129.69	91.41	46.84	50.63	135.24	117.6	123.5	1757.34
BSN	96.68	123.5	53.57	0.0	0.13	2.68	0.96	60.82	3.56	7.11	6.62	3.53	3.26	4.5	4.46	5.5	1.25	5.41	3.5	1.46	3.23	16.39	3.41	1.03	2.78	1.62	4.9	3.79	0.78	15.8	3.79	4.39	6.73	1.57	12.55	8.25	3.56	6.21	5.92	5.54	2.23	7.69
C12orf68	97.36	55.89	158.79	0.0	0.13	9.34	2.05	353.59	1.87	21.16	14.67	12.55	16.63	5.54	10.96	73.03	10.08	63.45	9.06	6.31	6.84	41.22	13.03	3.29	14.78	5.23	3.03	12.74	14.14	13.22	8.51	6.57	16.75	12.83	8.58	9.48	27.05	33.54	32.82	22.43	12.74	283.05
C14orf132	414.87	392.44	438.59	0.0	0.29	34.26	4.5	325.29	32.36	88.26	56.68	111.21	79.45	23.25	122.64	86.43	102.25	212.78	51.71	19.82	54.33	205.5	112.77	59.55	98.04	39.79	8.51	41.52	38.4	129.69	37.59	25.72	105.89	105.89	32.82	153.34	53.95	62.56	141.02	126.12	172.65	323.03
C15orf59	172.65	575.03	457.25	0.0	0.29	74.58	18.03	3081.75	13.83	193.01	135.24	283.05	100.13	32.13	232.94	318.57	22.59	265.87	102.97	48.87	81.14	281.09	103.69	24.28	132.44	88.88	65.26	96.01	58.3	361.04	63.45	17.77	246.28	73.54	56.68	395.18	105.89	67.59	525.39	264.03	351.14	176.29
CACNA1B	7.88	10.63	6.11	0.0	0.0	0.82	0.74	232.94	0.47	10.71	1.23	24.11	5.82	3.96	1.68	18.97	0.0	26.47	2.25	1.2	1.58	55.89	5.36	0.0	2.56	0.0	0.92	6.11	5.59	111.21	12.36	0.49	4.58	3.86	1.89	46.5	2.32	8.13	12.64	15.0	14.45	20.41
