	TCGA.44.2668.11A.01R.1758.07	TCGA.50.5933.11A.01R.1755.07	TCGA.44.6145.11A.01R.1858.07	TCGA.44.6147.11A.01R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.11DXX.0626.SM.5Q5AG	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.12584.1426.SM.5EGJ9	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.ZYY3.0926.SM.5E454	GTEX.11P7K.0326.SM.59871	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.117YX.1326.SM.5H125	GTEX.11GSP.0726.SM.5986L	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZDTT.0926.SM.5J2MS	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.XPVG.1026.SM.4B64Y	GTEX.145MF.0726.SM.5Q5BT	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.145LS.1226.SM.5Q5D9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.RM2N.0426.SM.2TF4T	GTEX.OHPM.0526.SM.2YUMJ	GTEX.131XH.0426.SM.5DUWU	TCGA.60.2709.11A.01R.1820.07	TCGA.56.8082.11A.01R.2247.07	TCGA.43.6771.11A.01R.1820.07	TCGA.56.7731.11A.01R.2125.07
ABL2	221.86	232.94	194.36	395.18	253.23	71.5	67.12	165.57	67.12	356.05	94.67	603.67	202.66	135.24	69.03	283.05	60.82	77.25	339.14	59.55	351.14	78.89	346.29	152.28	65.72	69.03	78.34	616.37	84.63	100.13	154.42	163.28	76.71	80.01	80.01	376.41	133.36	156.59	82.87	109.66	142.01	115.97	198.47	92.05	105.15	58.71	103.69	223.41	66.18	181.28	100.83	211.31	85.22	89.51	92.7	49.21	119.26	73.03	72.01	162.14	249.73	70.51	162.14	80.01	130.6	153.34	348.71	231.32	312.0	376.41	206.94
AC069547.1	17.77	33.3	17.77	40.36	18.43	16.15	19.39	9.06	13.72	38.67	18.7	63.0	30.78	26.1	8.25	53.57	7.88	7.0	47.84	19.97	47.84	20.41	76.71	12.45	6.52	10.71	11.3	41.22	6.57	8.06	13.62	25.54	9.41	17.38	14.89	61.25	21.94	15.45	16.39	48.87	26.47	12.64	28.24	14.35	12.83	7.57	32.59	34.75	7.06	43.94	18.43	80.57	6.41	11.13	18.97	10.79	37.85	14.45	13.72	13.62	50.63	3.59	28.45	12.27	17.25	9.56	60.82	30.78	28.04	29.91	22.92
ACSL4	1322.37	1709.26	1745.2	2209.26	3395.89	1685.71	1322.37	1250.98	878.17	5292.48	1277.29	4937.99	2956.17	1594.73	1096.5	2997.45	567.1	995.0	6337.83	808.0	2451.44	525.39	9151.82	1832.01	723.08	679.29	1977.24	1896.65	1030.12	718.08	2591.27	3874.05	1605.83	842.36	493.56	2271.4	1127.35	2335.28	974.5	1745.2	2255.7	1617.0	3124.78	1081.39	1081.39	890.44	1498.22	3491.39	915.51	1529.73	1044.52	2303.12	954.43	775.05	1277.29	769.69	1447.15	802.41	1551.09	612.11	8022.41	848.22	555.41	1127.35	2664.15	3874.05	1977.24	1369.04	1685.71	1963.57	2855.44
ADAMTS4	2485.67	3665.02	2935.74	2485.67	579.04	141.02	327.56	579.04	96.01	1832.01	205.5	4419.52	444.72	638.15	52.45	2555.58	44.89	334.46	1806.78	49.91	2351.53	108.9	1268.46	130.6	33.78	96.01	81.71	1617.0	30.78	503.95	255.0	525.39	54.72	14.45	22.75	1322.37	117.6	536.45	65.72	435.55	417.77	41.52	2351.53	158.79	221.86	68.07	10.71	674.59	40.36	246.28	63.0	323.03	57.49	154.42	25.72	63.89	64.8	74.06	122.64	620.67	1119.56	45.85	161.02	92.05	277.2	242.88	1870.53	1617.0	6607.01	9025.81	4512.4
ADM	1044.52	2367.9	1073.91	5219.6	1081.39	493.56	444.72	551.56	248.0	6792.79	217.27	3982.99	1697.45	988.12	115.97	6079.61	77.79	379.04	10659.59	363.56	1242.34	79.45	1183.45	1081.39	158.79	253.23	152.28	7485.11	66.18	104.42	2224.63	12853.63	153.34	237.86	165.57	5183.54	476.71	417.77	660.68	2816.11	1781.89	836.53	2178.83	189.02	656.11	309.83	473.41	5292.48	150.17	381.68	543.96	2835.7	305.55	384.34	339.14	182.55	802.41	78.89	341.51	1037.29	2193.99	260.38	114.36	361.04	283.05	2384.37	2537.92	3395.89	5183.54	2609.3	4972.34
AGO2	336.79	384.34	166.73	480.04	198.47	113.56	53.57	153.34	77.79	400.71	143.01	785.88	460.44	152.28	77.25	327.56	104.42	93.35	387.02	38.4	563.18	126.12	343.89	158.79	50.27	95.34	102.25	551.56	87.03	113.56	154.42	162.14	78.89	80.57	76.71	303.44	137.14	139.07	87.03	186.4	185.11	189.02	190.34	102.25	96.68	99.43	94.01	206.94	96.01	180.02	106.63	153.34	60.82	120.94	103.69	51.71	231.32	98.04	34.02	129.69	214.27	67.59	76.17	129.69	106.63	185.11	368.65	363.56	336.79	392.44	237.86
ARID5A	1950.0	3443.31	1857.6	3928.15	1757.34	728.11	575.03	836.53	521.76	3742.05	1378.57	3901.01	1781.89	1208.34	525.39	2255.7	703.28	599.49	2434.5	624.99	3614.55	753.83	1369.04	1199.98	371.22	450.94	607.87	3372.43	679.29	603.67	1340.84	1977.24	486.75	500.46	395.18	3874.05	1073.91	1437.15	607.87	1697.45	848.22	967.76	1639.59	540.19	1674.06	684.02	620.67	1397.83	497.0	1313.23	693.58	1388.16	587.13	780.44	723.08	470.14	1081.39	521.76	638.15	1359.57	1437.15	540.19	1023.0	1044.52	791.35	1051.79	4123.49	4358.66	6426.31	4298.64	3540.14
B4GALT5	1662.49	2434.5	1561.89	2555.58	2178.83	651.58	842.36	941.27	819.3	2758.13	703.28	2997.45	2573.36	1183.45	521.76	1963.57	579.04	583.07	1572.76	571.05	2367.9	669.92	1977.24	1561.89	733.19	454.09	896.64	1508.65	563.18	679.29	1781.89	1662.49	543.96	490.14	395.18	2075.59	878.17	1529.73	728.11	1745.2	974.5	819.3	2468.49	679.29	1322.37	620.67	414.87	2178.83	616.37	748.61	679.29	1617.0	555.41	836.53	825.0	525.39	620.67	540.19	775.05	866.07	2104.58	483.38	503.95	733.19	1073.91	2367.9	1870.53	1844.76	2520.38	2032.85	1896.65
BACH1	483.38	854.13	457.25	954.43	703.28	305.55	441.64	273.37	287.01	1304.15	309.83	967.76	599.49	403.5	279.14	759.08	381.68	327.56	1199.98	332.14	1617.0	318.57	642.59	397.93	368.65	255.0	356.05	1477.58	387.02	249.73	616.37	490.14	457.25	329.84	279.14	1096.5	473.41	591.22	348.71	547.75	426.57	417.77	466.88	318.57	314.17	339.14	351.14	974.5	332.14	483.38	346.29	902.89	353.59	253.23	412.0	209.84	228.13	269.6	325.29	656.11	890.44	305.55	329.84	457.25	543.96	457.25	872.1	616.37	988.12	698.41	536.45
BAG3	2537.92	4607.24	2976.74	4639.29	3190.46	928.3	1051.79	1733.13	733.19	2720.15	1883.54	2701.35	2627.46	2032.85	813.63	1417.35	802.41	791.35	2224.63	718.08	2075.59	902.89	1628.26	2004.85	743.43	775.05	860.08	2976.74	603.67	1008.9	1745.2	1806.78	669.92	620.67	651.58	2645.74	896.64	1617.0	896.64	1437.15	1259.69	854.13	2240.11	902.89	1617.0	802.41	718.08	2303.12	698.41	921.88	842.36	1467.37	660.68	1111.82	1023.0	785.88	1378.57	743.43	947.83	3081.75	1781.89	743.43	860.08	1023.0	1369.04	2573.36	2664.15	2835.7	4704.07	3794.3	3820.7
