	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYS.1626.SM.5J2MU	GTEX.OOBK.0526.SM.2HMJJ	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.12WSD.0826.SM.5GCNE	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.U8T8.2226.SM.3DB95	GTEX.X5EB.0426.SM.46MVY	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.147F4.0926.SM.5Q5EO	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.111CU.0326.SM.5GZXO	GTEX.13O61.0726.SM.5J2MD	GTEX.111FC.1126.SM.5GZWU	GTEX.QDVJ.0926.SM.2I5FU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.RWSA.1126.SM.2XCAZ	GTEX.13YAN.1026.SM.5O9CF	GTEX.12696.1026.SM.5FQUV	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11EMC.0126.SM.5EGKV	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.13N2G.0826.SM.5IJE6	GTEX.1497J.0326.SM.5Q5CN	GTEX.P4QS.0526.SM.2I3ET	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZUA1.1026.SM.4YCEA	GTEX.146FQ.0926.SM.5LUAV	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.OIZH.0526.SM.2HMKV	GTEX.11WQK.1226.SM.5GU5Z	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.1399U.0826.SM.5KM1P	GTEX.RUSQ.0626.SM.2TF5V	GTEX.X4EP.0526.SM.3P5YW	GTEX.11OF3.1126.SM.5986C	GTEX.RM2N.0426.SM.2TF4T	GTEX.144GO.0226.SM.5LUB1
ABCC5	0.0	1.0	423.61	170.25	138.1	2367.9	84.63	854.13	246.28	49.56	1037.29	242.88	995.0	651.58	728.11	656.11	22.1	58.3	102.25	802.41	90.14	406.31	1369.04	236.21	1745.2	53.95	121.79	287.01	414.87	48.18	769.69	954.43	220.32	836.53	287.01	624.99	688.78	371.22	1697.45	66.65	1617.0	103.69	395.18	543.96	1437.15	967.76	1259.69	551.56	309.83	981.29	769.69	258.57	57.89	595.34	1111.82	1417.35	170.25	629.35	612.11	178.77	141.02	26.1	183.82	21.63
ACSM1	0.0	0.0	15.56	16.03	80.01	143.01	3.2	62.12	29.7	15.11	32.59	15.8	105.15	108.9	38.95	71.0	4.98	33.3	14.45	25.91	7.0	24.28	52.08	15.22	173.85	36.53	63.89	134.3	37.59	8.58	46.84	121.79	34.75	59.55	12.36	127.89	100.13	61.68	37.05	19.39	237.86	29.27	69.52	29.27	14.78	19.53	52.45	11.47	35.25	297.17	52.08	10.71	6.01	59.97	37.59	67.59	15.56	7.82	50.63	2.51	26.28	15.45	48.52	12.55
ADPRHL1	104.42	175.07	48.87	29.27	89.51	232.94	17.51	58.71	90.77	6.73	81.14	94.01	214.27	66.18	57.49	97.36	26.28	38.67	73.54	63.89	18.84	49.91	73.03	106.63	105.89	40.36	23.93	74.06	45.85	21.01	65.72	79.45	47.17	85.22	80.57	99.43	81.71	66.18	303.44	60.82	277.2	36.79	54.72	204.07	175.07	113.56	26.86	185.11	45.53	108.14	87.65	75.64	9.56	96.68	178.77	182.55	81.71	48.18	60.82	43.94	17.64	20.71	58.3	4.5
AGBL2	0.0	0.0	104.42	90.77	173.85	708.18	176.29	269.6	111.21	12.45	195.72	384.34	400.71	211.31	279.14	170.25	5.96	80.01	147.06	204.07	17.0	166.73	175.07	108.9	307.69	30.34	53.19	167.9	162.14	10.39	191.67	307.69	140.04	202.66	59.97	264.03	224.97	138.1	555.41	50.27	642.59	45.85	108.14	165.57	314.17	214.27	181.28	320.8	366.09	426.57	173.85	64.8	8.32	444.72	460.44	373.81	116.78	91.41	242.88	46.5	24.28	13.62	48.87	30.78
AK9	0.0	0.26	208.38	72.01	193.01	791.35	211.31	246.28	102.97	31.0	123.5	373.81	289.02	297.17	381.68	194.36	62.12	123.5	279.14	157.68	36.53	135.24	231.32	129.69	224.97	54.72	90.14	142.01	180.02	69.52	265.87	356.05	265.87	239.52	74.06	318.57	198.47	177.53	507.46	43.94	738.29	74.06	75.64	120.94	447.82	189.02	239.52	620.67	353.59	441.64	181.28	82.87	83.45	361.04	441.64	356.05	139.07	166.73	249.73	114.36	104.42	40.93	100.83	63.45
AKAP3	0.0	0.0	22.59	16.75	20.56	54.33	16.15	14.56	19.11	19.53	85.82	55.89	27.05	55.49	15.45	30.12	8.85	8.0	21.01	47.84	26.1	19.68	54.72	19.68	30.12	22.59	30.12	26.1	37.59	19.39	15.0	74.06	53.95	23.08	7.28	18.7	38.67	25.91	106.63	35.25	105.15	8.51	52.82	63.45	44.25	71.5	40.36	45.53	32.59	28.04	50.27	57.89	12.93	37.05	32.13	70.51	47.17	35.25	28.04	7.46	20.11	1.55	9.78	0.0
ALDH3B1	148.09	463.65	1119.56	2956.17	7433.4	18819.27	1127.35	3018.3	9740.98	232.94	11664.82	3794.3	8247.98	3443.31	6294.04	4575.41	473.41	764.36	1427.22	2287.2	470.14	6121.9	2935.74	2997.45	7081.29	1769.57	1359.57	6745.86	5255.91	507.46	2384.37	19618.49	6337.83	2997.45	1286.18	7032.37	13123.73	2997.45	47313.67	620.67	17078.76	7180.15	1467.37	6381.92	6983.79	4802.93	7032.37	18052.61	3349.13	14561.8	8247.98	3794.3	46.5	5329.3	16157.44	22380.2	2895.31	1923.14	14663.09	1199.98	567.1	142.01	2915.45	703.28
AMOT	0.0	0.21	224.97	35.0	25.17	890.44	28.65	38.95	76.17	8.92	260.38	44.25	195.72	406.31	147.06	447.82	27.25	30.56	36.53	92.7	9.2	123.5	320.8	52.82	185.11	68.07	33.3	409.15	299.25	8.51	291.04	181.28	58.71	72.52	42.11	262.2	123.5	137.14	353.59	31.22	1088.92	21.63	99.43	105.15	490.14	206.94	93.35	148.09	74.58	287.01	229.72	275.28	27.64	226.54	251.48	503.95	156.59	74.58	63.45	14.89	38.4	31.67	164.42	17.64
ANKK1	0.0	0.3	18.43	21.01	22.75	262.2	92.7	36.53	7.51	1.2	34.26	88.88	97.36	16.88	128.79	35.25	0.41	13.32	22.75	69.52	2.27	18.56	25.72	37.85	52.82	9.78	4.31	19.25	11.64	0.87	40.64	38.95	19.53	37.32	13.72	29.91	30.12	9.78	145.02	7.69	275.28	6.84	21.01	31.67	131.51	16.88	44.57	59.55	74.06	45.21	32.82	10.63	4.54	60.39	115.97	77.25	28.65	24.81	59.97	47.5	8.19	0.34	3.14	26.1
ANKRD35	0.0	0.38	85.82	71.0	36.27	327.56	12.0	69.03	69.52	17.77	57.89	123.5	102.97	70.01	75.64	119.26	17.77	4.58	39.5	82.87	10.71	42.11	89.51	57.08	162.14	7.69	21.01	277.2	47.84	12.09	77.79	98.04	40.64	55.1	61.68	80.01	72.01	166.73	125.24	14.89	239.52	50.63	71.0	46.84	122.64	97.36	108.14	21.47	43.63	275.28	37.85	74.58	9.34	102.25	189.02	105.89	117.6	108.14	40.93	40.36	53.57	7.17	21.78	5.87
