	TCGA.A7.A426.01A.22R.A24H.07	TCGA.B6.A0X5.01A.21R.A109.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.BH.A1FC.11A.32R.A13Q.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.WRHU.0326.SM.3MJFY	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13OVG.1426.SM.5K7VP	TCGA.44.6147.01A.11R.1755.07	TCGA.93.A4JP.01A.11R.A24X.07	TCGA.49.AARR.01A.11R.A41B.07	GTEX.X5EB.0426.SM.46MVY	GTEX.XMD2.1026.SM.4WWE8	GTEX.ZE7O.0826.SM.57WCP	TCGA.98.A53H.01A.12R.A262.07	TCGA.56.8628.01A.11R.2403.07
AC069547.1	45.21	40.64	13.32	21.32	23.25	35.76	13.93	13.12	15.68	17.64	24.63	17.77	19.53	9.78	15.22	17.9	14.78	17.51	12.18	18.16	18.16	22.43	16.15	14.14	18.29	30.34	38.95	11.47	17.51	8.45	10.79	20.71	19.82	17.0	70.51	32.59	23.93	16.51	57.49	16.27	22.26	18.29
ACSL6	12.64	120.1	4.43	7.22	7.46	21.16	2.66	4.9	2.05	1.66	24.28	2.07	3.2	3.53	3.32	7.69	4.1	2.76	5.82	10.08	3.06	8.06	2.18	5.92	14.24	20.41	27.64	1.71	2.71	8.58	4.06	0.12	3.56	0.0	20.56	8.78	9.7	12.09	81.71	30.12	24.81	7.06
ACSS1	629.35	1745.2	164.42	217.27	441.64	397.93	135.24	163.28	141.02	146.03	400.71	150.17	189.02	211.31	293.07	165.57	163.28	312.0	198.47	287.01	202.66	181.28	241.19	148.09	470.14	301.33	389.72	128.79	32.82	158.79	115.16	258.57	486.75	299.25	656.11	656.11	866.07	1605.83	2047.0	1143.1	525.39	480.04
ADAP1	514.56	341.51	108.9	55.49	224.97	143.01	63.0	43.32	57.89	58.3	193.01	127.0	85.82	132.44	133.36	202.66	74.58	223.41	29.7	73.03	50.98	55.49	20.11	146.03	281.09	146.03	109.66	86.43	28.86	48.87	26.28	16.88	27.64	490.14	329.84	341.51	493.56	1467.37	432.53	1519.15	376.41	371.22
ANO7	22.43	94.67	8.32	11.38	6.26	13.62	9.34	5.06	7.82	8.25	19.82	5.45	23.59	15.11	18.16	15.45	12.93	15.68	20.86	11.3	16.63	5.5	18.16	6.36	17.77	38.12	9.93	6.84	4.43	18.84	6.21	26.1	27.84	73.54	51.35	23.25	25.54	14.89	45.21	24.81	57.89	48.18
ANO9	441.64	297.17	2.36	13.62	68.07	129.69	9.2	6.06	6.78	10.63	204.07	17.13	11.82	22.75	76.17	9.41	4.78	77.79	15.22	30.56	12.83	5.63	54.72	7.75	49.21	74.06	114.36	10.88	17.77	7.4	9.27	27.25	44.57	412.0	379.04	366.09	587.13	334.46	265.87	802.41	470.14	503.95
AP000974.1	13.62	8.51	0.8	1.79	0.82	2.2	0.49	0.46	2.48	0.87	3.35	1.68	1.27	2.27	3.76	2.29	0.88	3.17	2.76	1.25	0.93	2.94	2.43	0.74	0.85	4.1	2.86	1.64	0.59	1.0	0.02	2.01	3.41	2.16	1.62	5.28	10.31	3.86	8.85	9.41	5.11	10.0
ASAP3	728.11	866.07	748.61	583.07	555.41	567.1	351.14	381.68	511.0	353.59	603.67	384.34	607.87	583.07	599.49	532.74	305.55	642.59	490.14	708.18	490.14	511.0	708.18	438.59	802.41	616.37	718.08	660.68	104.42	180.02	96.01	555.41	336.79	395.18	511.0	669.92	483.38	718.08	1259.69	647.07	435.55	660.68
ASTL	19.97	15.11	0.0	1.68	2.94	1.73	0.85	0.8	0.0	0.0	14.56	0.0	0.39	2.58	1.6	0.0	0.4	2.29	0.0	0.39	0.85	0.0	0.0	1.53	0.0	19.97	7.34	1.03	0.71	0.0	0.0	1.01	0.0	6.52	4.1	2.27	5.54	1.11	25.17	1.04	4.54	23.25
ATP5SL	961.07	1096.5	693.58	688.78	872.1	813.63	599.49	521.76	591.22	693.58	780.44	642.59	647.07	651.58	698.41	651.58	656.11	748.61	660.68	624.99	684.02	728.11	981.29	769.69	1015.93	896.64	684.02	890.44	595.34	890.44	713.11	866.07	624.99	872.1	941.27	764.36	679.29	967.76	1051.79	1066.48	764.36	915.51
BAI1	63.45	47.5	3.99	3.72	13.42	6.01	2.41	1.39	1.38	3.08	56.28	4.78	6.36	4.7	31.45	3.23	3.56	11.82	3.89	4.66	6.01	6.52	16.15	4.43	18.56	27.05	40.07	2.2	2.89	2.2	0.69	4.9	11.73	23.93	23.59	22.26	36.53	41.22	8.32	84.63	32.13	21.16
BAIAP2	1540.37	1487.87	426.57	409.15	934.76	679.29	152.28	206.94	198.47	158.79	748.61	262.2	295.11	351.14	412.0	368.65	223.41	836.53	255.0	412.0	166.73	242.88	157.68	406.31	518.15	476.71	547.75	521.76	748.61	511.0	633.73	158.79	395.18	400.71	1781.89	1369.04	2537.92	3794.3	2777.33	3419.52	1870.53	796.86
BAIAP2L1	228.13	435.55	93.35	108.14	178.77	239.52	51.35	98.73	62.56	53.95	267.73	84.63	97.36	108.9	178.77	98.04	58.3	205.5	114.36	137.14	55.49	99.43	124.37	124.37	204.07	202.66	277.2	89.51	56.68	55.1	138.1	148.09	165.57	616.37	934.76	514.56	1119.56	830.75	279.14	1073.91	713.11	612.11
BRD2	3742.05	5183.54	2573.36	3146.52	2627.46	3419.52	3212.66	3060.45	3349.13	2367.9	4152.18	2591.27	2555.58	2739.08	4010.71	2835.7	2485.67	3540.14	3103.19	3303.0	3443.31	2777.33	2895.31	2468.49	3081.75	3847.29	4575.41	2777.33	2664.15	1832.01	2627.46	2935.74	5441.3	2875.3	3443.31	4802.93	3742.05	4575.41	4450.27	3124.78	3847.29	3928.15
C14orf1	423.61	764.36	303.44	303.44	490.14	511.0	277.2	366.09	258.57	269.6	395.18	285.03	269.6	336.79	384.34	208.38	260.38	403.5	353.59	325.29	297.17	265.87	400.71	289.02	218.79	518.15	567.1	248.0	170.25	260.38	178.77	295.11	291.04	363.56	698.41	674.59	503.95	703.28	511.0	633.73	414.87	902.89
