	TCGA.GU.A762.01A.11R.A33J.07	TCGA.GU.A766.01A.11R.A32O.07	TCGA.GU.AATQ.01A.11R.A39I.07	TCGA.C5.A0TN.01A.21R.A14Y.07	TCGA.JW.A5VG.01A.11R.A28H.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.FU.A40J.01A.11R.A24H.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.AZ.6608.01A.11R.1839.07	TCGA.G4.6586.01A.11R.1774.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EI.6511.01A.11R.1736.07	TCGA.BR.8682.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
ADD3	223.41	133.36	346.29	185.11	262.2	607.87	698.41	147.06	563.18	902.89	848.22	108.14	1594.73	4607.24	2090.03	2224.63	878.17	3982.99	1769.57	2645.74	1697.45	1259.69	1199.98	1151.06	1096.5	1427.22
APBA1	3.08	8.13	12.18	6.84	2.46	3.66	13.12	5.41	4.5	6.16	11.91	0.37	38.12	78.89	44.89	54.72	39.79	35.76	41.22	56.68	52.08	47.5	27.84	22.75	18.16	20.11
ARFGEF2	82.87	90.14	158.79	141.02	127.89	84.63	161.02	93.35	91.41	287.01	187.71	0.54	642.59	954.43	500.46	275.28	400.71	660.68	361.04	813.63	441.64	339.14	305.55	255.0	295.11	231.32
ATXN7L1	74.58	94.01	101.54	84.63	28.04	41.22	63.0	80.57	73.54	82.29	171.45	0.28	217.27	279.14	214.27	281.09	144.01	246.28	161.02	170.25	197.09	146.03	133.36	141.02	173.85	119.26
BAZ1B	301.33	366.09	307.69	248.0	297.17	281.09	395.18	414.87	273.37	540.19	490.14	139.07	1183.45	909.17	759.08	638.15	511.0	660.68	629.35	620.67	476.71	476.71	429.54	463.65	536.45	420.68
BRAF	70.01	103.69	121.79	103.69	87.65	120.1	139.07	77.25	161.02	118.43	127.0	0.43	287.01	503.95	406.31	218.79	183.82	423.61	244.57	287.01	277.2	204.07	201.25	178.77	182.55	239.52
CBLL1	98.73	129.69	115.16	125.24	118.43	118.43	173.85	94.01	137.14	208.38	132.44	0.38	603.67	493.56	438.59	346.29	281.09	656.11	277.2	381.68	327.56	314.17	253.23	236.21	209.84	320.8
CNOT4	81.71	121.79	128.79	84.63	116.78	141.02	155.5	74.06	158.79	143.01	127.0	0.44	293.07	395.18	332.14	214.27	204.07	403.5	223.41	260.38	241.19	162.14	186.4	205.5	190.34	190.34
COG5	95.34	104.42	118.43	127.0	103.69	106.63	159.9	169.07	129.69	279.14	183.82	0.6	547.75	587.13	420.68	305.55	285.03	521.76	371.22	366.09	400.71	299.25	323.03	251.48	273.37	275.28
CYFIP2	281.09	318.57	52.08	103.69	122.64	109.66	162.14	94.67	74.58	441.64	400.71	80.01	848.22	579.04	1250.98	698.41	679.29	551.56	624.99	684.02	665.29	830.75	1407.55	723.08	1295.13	1208.34
DNMBP	108.14	115.97	53.19	70.51	127.0	165.57	177.53	61.68	171.45	363.56	283.05	0.56	579.04	1167.14	599.49	316.37	536.45	1008.9	450.94	878.17	825.0	518.15	258.57	476.71	417.77	260.38
DOCK11	44.57	46.84	17.38	14.35	23.25	15.11	62.12	24.46	16.63	139.07	39.22	0.45	314.17	267.73	291.04	90.77	80.57	195.72	151.22	140.04	93.35	78.89	191.67	84.04	48.87	189.02
DUSP16	102.97	251.48	95.34	132.44	125.24	170.25	194.36	64.34	117.6	316.37	96.68	0.32	532.74	674.59	457.25	480.04	371.22	1151.06	518.15	281.09	647.07	684.02	353.59	343.89	346.29	281.09
ESYT2	403.5	281.09	336.79	353.59	368.65	417.77	414.87	363.56	429.54	633.73	599.49	0.68	878.17	1819.35	830.75	656.11	616.37	1008.9	759.08	674.59	591.22	583.07	540.19	381.68	397.93	497.0
EXOC4	429.54	403.5	450.94	251.48	429.54	384.34	525.39	320.8	368.65	500.46	500.46	0.59	819.3	995.0	629.35	679.29	473.41	890.44	567.1	638.15	607.87	514.56	529.06	518.15	591.22	457.25
