	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.EP.A2KA.01A.11R.A180.07	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ANKRD36C	12.36	24.81	21.47	17.51	88.88	67.59	45.53	57.08	31.22	8.0	41.81	18.56	117.6	59.97	8.58	159.9	75.11	406.31	105.15	438.59	480.04	151.22	110.43	49.56	237.86	156.59	57.49	190.34	2.18	2.27	3.47	1.36	5.92	2.56	0.0	0.62
ARL6	98.04	111.21	71.5	78.34	198.47	122.64	74.06	63.45	167.9	102.97	118.43	68.55	153.34	151.22	75.64	147.06	144.01	151.22	128.79	171.45	170.25	123.5	90.14	175.07	182.55	182.55	209.84	181.28	32.82	11.3	22.59	37.59	34.51	18.03	0.0	0.04
BDP1	73.03	339.14	123.5	242.88	743.43	260.38	189.02	182.55	186.4	201.25	175.07	80.57	309.83	325.29	97.36	435.55	246.28	884.29	389.72	1081.39	890.44	379.04	332.14	171.45	500.46	423.61	258.57	624.99	73.54	80.01	76.71	58.71	76.71	108.14	0.0	0.56
BTAF1	155.5	262.2	221.86	236.21	275.28	256.78	237.86	204.07	208.38	163.28	214.27	159.9	420.68	392.44	107.38	674.59	384.34	599.49	460.44	1313.23	493.56	660.68	307.69	115.16	466.88	759.08	265.87	493.56	81.14	130.6	68.55	34.75	83.45	87.65	0.0	0.65
C11orf63	103.69	27.64	69.03	120.1	363.56	151.22	91.41	145.02	108.14	65.26	137.14	109.66	111.99	150.17	20.86	166.73	128.79	202.66	480.04	126.12	297.17	195.72	36.53	103.69	139.07	285.03	88.26	236.21	3.06	2.43	1.19	0.95	3.47	0.41	0.0	0.27
CCDC147	1.41	3.2	11.21	3.47	52.08	5.15	3.53	5.28	13.32	5.54	7.57	15.91	11.82	5.82	5.02	10.39	9.7	18.56	9.63	23.76	28.24	7.17	9.27	4.94	24.99	23.42	2.89	10.47	0.99	0.0	2.32	0.0	1.46	0.0	0.0	0.04
COBLL1	260.38	287.01	336.79	281.09	3467.27	463.65	214.27	187.71	438.59	151.22	525.39	116.78	371.22	376.41	124.37	571.05	368.65	708.18	599.49	1331.57	769.69	381.68	583.07	279.14	759.08	688.78	187.71	1104.13	202.66	167.9	234.57	57.89	101.54	239.52	0.0	0.46
DCUN1D4	293.07	395.18	389.72	371.22	1044.52	470.14	279.14	339.14	389.72	251.48	423.61	336.79	432.53	392.44	217.27	529.06	400.71	679.29	563.18	612.11	866.07	441.64	318.57	262.2	656.11	890.44	212.78	470.14	260.38	139.07	255.0	228.13	229.72	211.31	248.0	98.04
DNAH10	3.41	4.58	6.01	7.22	32.13	4.39	6.26	4.94	4.54	0.72	3.03	4.43	8.25	13.03	1.45	12.83	8.99	8.0	12.18	12.74	7.51	7.17	1.55	8.38	3.53	8.13	4.58	6.78	0.0	3.41	0.6	2.51	1.07	0.82	0.0	0.0
FBXO34	256.78	363.56	159.9	356.05	620.67	358.54	312.0	264.03	423.61	269.6	228.13	295.11	363.56	420.68	212.78	547.75	426.57	559.28	532.74	748.61	603.67	384.34	454.09	384.34	473.41	532.74	409.15	521.76	88.88	158.79	110.43	55.89	131.51	199.85	0.0	0.49
FHL2	15075.35	2855.44	353.59	941.27	6745.86	3124.78	2061.24	1331.57	1923.14	1167.14	785.88	638.15	3742.05	5147.73	1242.34	4066.71	3515.68	5076.84	1250.98	3212.66	7642.41	2255.7	4268.94	6792.79	2004.85	1378.57	5329.3	3820.7	353.59	193.01	40.93	36.53	42.71	1151.06	0.0	0.88
HOMER2	212.78	457.25	339.14	381.68	1769.57	371.22	295.11	423.61	629.35	389.72	872.1	536.45	896.64	967.76	285.03	1023.0	571.05	995.0	521.76	780.44	1044.52	842.36	748.61	559.28	796.86	688.78	909.17	785.88	392.44	112.77	555.41	110.43	409.15	332.14	0.0	0.38
HSPA4L	50.98	90.14	55.49	66.65	420.68	41.81	15.68	42.11	136.19	49.56	194.36	54.33	125.24	121.79	43.32	218.79	166.73	376.41	149.12	356.05	417.77	218.79	165.57	101.54	285.03	281.09	63.45	173.85	71.5	24.63	52.08	85.22	61.25	53.19	0.0	0.2
HYDIN	26.47	11.21	20.11	47.17	277.2	39.79	11.82	53.57	80.01	23.25	41.22	23.59	67.12	63.45	51.35	68.07	45.85	141.02	91.41	118.43	65.72	113.56	56.28	11.21	25.72	187.71	19.82	63.89	0.54	0.97	0.52	0.0	0.95	15.0	0.0	0.04
KCTD9	166.73	426.57	185.11	387.02	1216.75	432.53	420.68	190.34	620.67	226.54	1015.93	607.87	547.75	660.68	305.55	1268.46	733.19	1216.75	674.59	1259.69	1242.34	928.3	490.14	281.09	2224.63	1313.23	878.17	921.88	166.73	55.49	50.63	63.45	77.25	51.35	0.0	0.59
KMT2A	132.44	164.42	124.37	205.5	395.18	267.73	279.14	264.03	167.9	108.14	237.86	103.69	299.25	368.65	120.1	503.95	426.57	954.43	579.04	802.41	718.08	595.34	265.87	129.69	642.59	866.07	198.47	660.68	44.57	73.54	48.87	60.82	65.26	74.06	0.0	0.25
LCA5	18.03	37.59	28.04	60.39	84.04	65.26	50.98	43.32	81.71	31.0	49.21	21.32	108.9	151.22	25.17	187.71	155.5	234.57	521.76	218.79	129.69	176.29	115.97	78.89	226.54	185.11	74.06	279.14	4.31	5.28	2.03	0.73	5.45	3.72	0.0	0.14
LRRIQ1	1.64	1.03	6.57	3.29	159.9	6.41	0.34	43.94	31.67	14.03	24.63	0.3	29.06	26.1	3.76	34.02	32.13	82.87	42.41	53.95	131.51	46.18	49.21	9.41	115.16	88.88	22.75	83.45	1.58	0.0	0.0	0.0	0.0	0.29	0.0	0.0
MCPH1	134.3	189.02	113.56	175.07	420.68	178.77	180.02	132.44	305.55	143.01	202.66	129.69	183.82	229.72	146.03	277.2	232.94	244.57	497.0	279.14	366.09	368.65	205.5	189.02	438.59	397.93	199.85	521.76	82.87	47.5	42.11	39.79	33.3	76.71	0.0	0.4
MDH1B	32.82	27.25	14.14	59.13	223.41	40.36	26.28	72.01	53.57	17.13	24.81	20.26	66.18	51.35	23.59	55.1	53.95	83.45	91.41	82.87	45.21	108.9	37.32	24.28	36.27	120.94	51.35	61.68	9.93	3.86	4.06	2.56	5.15	0.0	0.0	0.0
