	TCGA.E2.A14P.01A.31R.A12D.07	TCGA.5R.AAAM.01A.12R.A41C.07	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.55.7570.01A.11R.2039.07	GTEX.144GM.0126.SM.5Q5AX	TCGA.22.4613.01A.01R.1443.07
ACP1	4575.41	2720.15	1991.0	1519.15	1923.14	1963.57	3928.15	1519.15	3690.52
ADAT1	1259.69	348.71	490.14	281.09	255.0	287.01	633.73	529.06	753.83
AP1G1	1015.93	426.57	547.75	293.07	414.87	397.93	988.12	536.45	921.88
AP4S1	490.14	51.71	92.7	29.27	63.89	70.01	107.38	97.36	77.25
ATMIN	796.86	303.44	414.87	135.24	205.5	226.54	647.07	400.71	629.35
ATXN1L	217.27	152.28	144.01	72.52	70.01	89.51	229.72	150.17	224.97
ATXN3	660.68	246.28	163.28	79.45	120.94	122.64	264.03	138.1	343.89
C15orf57	518.15	236.21	358.54	154.42	209.84	161.02	575.03	819.3	633.73
C16orf80	3212.66	785.88	571.05	1073.91	656.11	1023.0	1225.22	961.07	1286.18
C17orf80	381.68	142.01	189.02	44.57	56.28	89.51	299.25	176.29	392.44
C2orf68	1073.91	444.72	583.07	518.15	316.37	480.04	1277.29	616.37	1896.65
CBFB	1977.24	269.6	511.0	107.38	293.07	141.02	1167.14	438.59	1167.14
CENPBD1	255.0	132.44	177.53	75.11	85.22	94.67	293.07	149.12	242.88
CHMP4A	8598.28	1605.83	2573.36	1594.73	1059.11	1268.46	2367.9	2591.27	2682.69
CIAPIN1	3901.01	603.67	1388.16	490.14	507.46	470.14	1551.09	1286.18	1769.57
CMTR2	532.74	152.28	248.0	90.14	139.07	147.06	336.79	237.86	234.57
CNOT1	8901.53	1167.14	1733.13	796.86	802.41	1023.0	2739.08	1685.71	3081.75
COG4	1286.18	514.56	902.89	620.67	457.25	450.94	988.12	629.35	1322.37
CPSF3	2061.24	334.46	579.04	223.41	246.28	283.05	995.0	529.06	1340.84
CSAG1	638.15	7.34	70.01	0.0	6.26	0.0	536.45	0.0	974.5
CSNK2A2	3349.13	493.56	872.1	351.14	403.5	363.56	780.44	444.72	1286.18
CTCF	1447.15	358.54	555.41	234.57	241.19	269.6	738.29	346.29	607.87
DDX19A	854.13	518.15	447.82	403.5	507.46	403.5	738.29	567.1	836.53
DYNC1LI2	2701.35	395.18	941.27	187.71	267.73	285.03	1457.23	967.76	759.08
EAPP	1628.26	718.08	759.08	514.56	620.67	733.19	791.35	1023.0	1259.69
EDC4	2104.58	563.18	1059.11	373.81	466.88	361.04	1286.18	759.08	1225.22
EXOSC2	1175.27	348.71	540.19	232.94	269.6	264.03	656.11	540.19	1051.79
EXOSC6	665.29	241.19	281.09	228.13	281.09	224.97	500.46	323.03	624.99
FAM192A	4123.49	1183.45	2502.97	780.44	718.08	896.64	2682.69	1427.22	2976.74
FAM208A	1127.35	363.56	743.43	75.11	154.42	232.94	551.56	483.38	599.49
FCF1	848.22	384.34	587.13	271.48	283.05	389.72	860.08	559.28	902.89
FTH1	269512.87	91404.92	155870.75	60723.88	63302.6	93974.69	151608.43	606436.73	98646.85
FUNDC1	748.61	173.85	379.04	112.77	121.79	147.06	669.92	277.2	511.0
GABARAPL2	2319.15	2193.99	2224.63	1685.71	1369.04	1745.2	2835.7	2400.97	2701.35
GINS3	679.29	46.84	123.5	25.54	10.47	21.63	267.73	90.77	470.14
GLG1	2224.63	703.28	1143.1	466.88	490.14	525.39	1447.15	688.78	1313.23
GTF3A	4575.41	2796.65	2997.45	1268.46	2434.5	3060.45	4328.55	2976.74	7857.29
HENMT1	414.87	27.05	40.07	26.1	6.67	21.47	228.13	214.27	708.18
HNRNPC	16611.71	6983.79	13215.02	5041.77	5329.3	5913.33	17078.76	8247.98	14361.31
HSPH1	3018.3	854.13	2335.28	223.41	543.96	483.38	2271.4	708.18	5329.3
IFIT1B	0.91	0.0	1.43	0.0	0.0	0.61	0.45	4.74	1.06
IST1	3146.52	1498.22	2895.31	961.07	1340.84	1044.52	3515.68	2720.15	3639.7
KPNA4	981.29	251.48	395.18	88.26	232.94	137.14	497.0	356.05	1540.37
LRRC41	1674.06	633.73	748.61	595.34	567.1	500.46	802.41	866.07	1250.98
MAGEA9B	0.0	0.0	0.0	0.0	0.0	0.0	10.79	1.563278947E8	187.71
MAGEB1	12.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.12
MAP1LC3B	1594.73	848.22	1295.13	476.71	954.43	457.25	1313.23	961.07	1340.84
MB21D2	183.82	11.04	31.9	6.41	7.75	6.84	38.95	100.83	159.9
MED6	1183.45	426.57	511.0	217.27	236.21	323.03	1407.55	490.14	591.22
NAALADL2	486.75	15.45	34.26	13.03	24.81	32.13	55.1	3.66	72.52
NAE1	2935.74	521.76	836.53	237.86	287.01	343.89	1794.29	507.46	1561.89
NASP	6079.61	988.12	1733.13	551.56	733.19	896.64	4802.93	1639.59	2502.97
NBEA	139.07	13.72	36.01	3.23	6.01	8.45	26.47	11.04	28.65
NEDD8	14262.1	5219.6	5441.3	3955.48	2777.33	4210.15	7032.37	8840.04	5831.91
PAK2	1617.0	507.46	563.18	264.03	480.04	307.69	890.44	674.59	1870.53
PANK2	909.17	429.54	309.83	223.41	273.37	318.57	536.45	429.54	624.99
PARP1	4181.07	890.44	1051.79	587.13	759.08	616.37	1819.35	1286.18	2335.28
POLR2C	4512.4	1037.29	1233.75	848.22	1127.35	921.88	1832.01	1794.29	2061.24
PPP1R8	961.07	447.82	665.29	297.17	329.84	341.51	974.5	698.41	1143.1
PPP2R5C	4639.29	1250.98	1407.55	947.83	1331.57	1304.15	2915.45	1487.87	2287.2
PRMT7	1697.45	514.56	612.11	435.55	356.05	480.04	884.29	703.28	909.17
PRPF38A	1417.35	341.51	543.96	305.55	289.02	293.07	1304.15	470.14	988.12
PSMC1	3257.52	1721.16	2075.59	1208.34	1417.35	1806.78	4671.57	3820.7	3257.52
RAB2B	532.74	130.6	239.52	108.9	170.25	132.44	559.28	218.79	346.29
RABGAP1	1081.39	215.77	237.86	98.73	115.16	135.24	389.72	234.57	463.65
RPA2	1216.75	493.56	688.78	327.56	279.14	368.65	1073.91	764.36	2104.58
SBK1	529.06	2.94	28.24	2.51	1.71	3.63	329.84	35.5	217.27
SCFD1	2018.8	1059.11	1259.69	309.83	733.19	836.53	1477.58	1111.82	954.43
SIAH1	620.67	389.72	555.41	197.09	275.28	291.04	532.74	358.54	547.75
SLC38A7	629.35	295.11	392.44	228.13	189.02	186.4	368.65	215.77	305.55
SLC7A6OS	423.61	109.66	175.07	51.35	60.82	69.52	323.03	195.72	283.05
SNW1	1572.76	753.83	872.1	503.95	595.34	595.34	1369.04	890.44	1540.37
SNX3	9740.98	3540.14	3847.29	2701.35	2591.27	3419.52	3467.27	4328.55	4268.94
STRN3	981.29	234.57	403.5	111.21	373.81	232.94	547.75	242.88	339.14
TAF1B	334.46	87.65	156.59	22.43	40.64	57.49	289.02	159.9	376.41
TCEANC2	118.43	41.52	44.89	20.56	16.39	22.1	80.57	62.12	94.67
TERF2	808.0	287.01	384.34	246.28	316.37	229.72	599.49	417.77	379.04
TERF2IP	1519.15	728.11	921.88	698.41	769.69	708.18	947.83	780.44	819.3
THAP11	1073.91	366.09	400.71	231.32	336.79	269.6	624.99	521.76	738.29
TINF2	2240.11	633.73	836.53	543.96	595.34	511.0	1199.98	1757.34	1216.75
