	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ACTR10	1662.49	1572.76	1583.71	2061.24	1457.23	1350.18	884.29	1628.26	2133.97	1628.26	1044.52	1331.57	2032.85	1457.23	1697.45	1191.69	842.36	698.41	995.0	536.45	738.29	660.68	457.25	921.88	1073.91	239.52
ACTR6	698.41	974.5	753.83	1015.93	536.45	728.11	463.65	1059.11	591.22	638.15	567.1	974.5	612.11	603.67	775.05	567.1	190.34	178.77	332.14	194.36	264.03	193.01	206.94	105.15	0.0	0.31
AP5M1	403.5	483.38	314.17	674.59	423.61	435.55	226.54	555.41	493.56	587.13	368.65	403.5	718.08	417.77	579.04	303.44	198.47	185.11	291.04	206.94	212.78	283.05	198.47	143.01	0.0	0.29
APOPT1	728.11	902.89	1051.79	995.0	1059.11	884.29	563.18	1081.39	575.03	1233.75	651.58	775.05	1008.9	1096.5	1119.56	974.5	551.56	490.14	848.22	603.67	674.59	497.0	642.59	376.41	0.0	0.51
ATG14	136.19	189.02	212.78	336.79	127.89	246.28	92.7	209.84	231.32	220.32	102.97	229.72	215.77	180.02	178.77	182.55	65.26	37.32	87.03	56.28	48.87	94.67	50.98	56.68	0.0	0.18
BAG5	483.38	500.46	389.72	785.88	329.84	540.19	212.78	647.07	269.6	567.1	412.0	316.37	363.56	409.15	387.02	368.65	122.64	100.13	163.28	155.5	119.26	201.25	67.12	236.21	0.0	0.43
C20orf144	1.31	17.25	13.62	5.41	2.71	3.76	3.41	5.06	5.59	5.19	2.41	8.51	5.96	4.62	6.26	8.45	0.92	0.0	0.75	0.0	1.58	0.85	0.18	0.0	0.0	0.3
CD22	267.73	381.68	82.87	115.16	55.49	146.03	165.57	218.79	84.04	49.91	56.68	80.01	27.64	46.5	37.32	480.04	20.11	41.22	21.16	13.93	10.88	25.72	11.13	47.17	0.0	0.4
CGRRF1	348.71	356.05	466.88	842.36	226.54	351.14	189.02	426.57	417.77	500.46	221.86	361.04	406.31	329.84	361.04	368.65	198.47	59.97	224.97	131.51	157.68	214.27	59.97	145.02	0.0	0.46
CHD6	135.24	780.44	329.84	753.83	283.05	483.38	267.73	995.0	287.01	384.34	325.29	567.1	397.93	329.84	525.39	260.38	92.7	62.12	84.04	109.66	101.54	68.07	182.55	57.89	0.0	0.39
CINP	1191.69	954.43	764.36	1651.0	1175.27	1096.5	791.35	1322.37	429.54	1081.39	728.11	490.14	909.17	988.12	791.35	830.75	764.36	728.11	915.51	660.68	708.18	769.69	665.29	490.14	0.0	0.41
COX6C	331809.5	221968.2	355624.68	265802.39	195931.88	242898.5	228208.61	391864.76	425853.18	320506.81	253213.41	437825.58	527933.71	286861.53	492579.5	204252.32	14663.09	12589.08	13399.51	10296.45	14065.74	13492.72	16045.82	9673.69	7331.05	1167.14
CPSF3	518.15	775.05	642.59	647.07	733.19	521.76	759.08	684.02	514.56	723.08	423.61	974.5	775.05	620.67	1001.93	417.77	275.28	223.41	346.29	246.28	293.07	470.14	232.94	214.27	0.0	0.03
CPSF7	1073.91	961.07	688.78	780.44	802.41	1015.93	854.13	1127.35	688.78	624.99	713.11	2240.11	718.08	1135.2	1191.69	708.18	450.94	346.29	473.41	417.77	346.29	432.53	297.17	595.34	0.0	0.87
CYB5R1	2287.2	3955.48	3124.78	2451.44	1977.24	1844.76	2875.3	2209.26	2855.44	1457.23	3235.01	5672.41	3690.52	3564.78	7857.29	4328.55	909.17	1322.37	921.88	830.75	1030.12	785.88	825.0	387.02	0.0	0.84
DPF2	1096.5	896.64	723.08	941.27	896.64	1119.56	579.04	599.49	567.1	830.75	563.18	1369.04	1015.93	1127.35	1073.91	660.68	241.19	205.5	373.81	277.2	206.94	209.84	100.83	151.22	0.0	0.59
DUSP28	156.59	118.43	147.06	130.6	148.09	211.31	102.25	80.57	142.01	127.89	166.73	183.82	119.26	162.14	256.78	136.19	53.57	36.79	80.01	38.12	53.95	56.68	67.59	46.84	0.0	0.24
DYNC1H1	4038.61	5147.73	3443.31	5112.16	4903.87	4181.07	3928.15	4802.93	3303.0	7642.41	3060.45	3955.48	4802.93	5791.62	5329.3	4038.61	1378.57	1135.2	1991.0	1151.06	1447.15	1583.71	872.1	947.83	0.0	1.2
E2F6	221.86	353.59	273.37	189.02	332.14	262.2	226.54	395.18	239.52	366.09	353.59	669.92	271.48	417.77	336.79	269.6	104.42	73.54	170.25	166.73	133.36	133.36	43.32	193.01	0.0	0.46
EXOC5	444.72	791.35	334.46	902.89	336.79	358.54	289.02	796.86	616.37	595.34	309.83	525.39	669.92	503.95	493.56	262.2	100.83	51.35	183.82	151.22	146.03	260.38	90.14	90.14	0.0	0.38
FAM179B	156.59	341.51	226.54	371.22	82.87	228.13	121.79	220.32	177.53	205.5	130.6	371.22	202.66	195.72	234.57	185.11	80.01	19.68	68.55	66.18	59.13	52.82	58.71	48.18	0.0	0.25
FANCM	88.88	59.97	63.45	108.14	43.32	98.04	49.91	72.01	96.01	51.71	45.85	105.89	90.77	63.0	76.17	51.71	13.83	0.82	42.41	21.78	8.99	9.85	9.56	12.74	0.0	0.0
FBXO34	316.37	400.71	221.86	551.56	295.11	323.03	166.73	309.83	387.02	371.22	231.32	348.71	363.56	339.14	253.23	409.15	111.99	83.45	178.77	158.79	126.12	108.14	201.25	199.85	0.0	0.49
FIBP	2032.85	1639.59	1295.13	1605.83	2104.58	2119.22	1977.24	1594.73	1286.18	1870.53	1127.35	1437.15	2537.92	2417.67	1447.15	1175.27	728.11	1088.92	947.83	638.15	872.1	1088.92	476.71	769.69	0.0	0.39
GMFB	599.49	842.36	669.92	1427.22	454.09	629.35	363.56	796.86	791.35	902.89	476.71	802.41	909.17	612.11	559.28	525.39	162.14	139.07	363.56	208.38	175.07	293.07	127.89	343.89	0.0	0.45
GPR135	7.51	51.71	11.73	27.84	6.94	21.78	16.75	5.77	15.11	8.25	9.7	51.35	17.51	24.99	27.64	14.35	7.63	4.24	6.01	10.24	9.63	5.73	7.94	1.16	0.0	0.29
HELLS	381.68	301.33	199.85	253.23	86.43	195.72	186.4	218.79	373.81	217.27	142.01	511.0	107.38	187.71	218.79	98.04	26.86	14.67	36.79	17.9	9.56	42.71	9.63	2.51	0.0	0.28
IDH3A	1167.14	2018.8	1216.75	1268.46	848.22	1628.26	1242.34	1697.45	1081.39	1806.78	624.99	1844.76	1359.57	1794.29	1674.06	909.17	555.41	351.14	769.69	785.88	647.07	860.08	395.18	825.0	0.0	0.68
JKAMP	1051.79	1540.37	1233.75	1757.34	1135.2	1388.16	703.28	1397.83	2075.59	1233.75	1111.82	1199.98	1498.22	1561.89	1183.45	941.27	334.46	414.87	612.11	339.14	376.41	595.34	366.09	198.47	0.0	0.27
KIAA0586	199.85	232.94	166.73	287.01	139.07	217.27	154.42	293.07	327.56	309.83	137.14	218.79	153.34	289.02	262.2	153.34	95.34	22.75	144.01	87.03	135.24	78.89	54.33	93.35	0.0	0.39
KIF5C	17.51	140.04	167.9	299.25	90.77	149.12	830.75	103.69	36.79	400.71	27.25	435.55	255.0	177.53	293.07	159.9	7.46	0.74	6.78	1.91	2.58	9.34	0.0	1.64	0.0	0.39
KLC1	1037.29	1286.18	723.08	1508.65	1096.5	2240.11	476.71	1870.53	624.99	1023.0	429.54	988.12	718.08	1991.0	2224.63	1340.84	426.57	441.64	665.29	624.99	483.38	384.34	389.72	529.06	0.0	0.85
MIS18BP1	334.46	236.21	269.6	312.0	142.01	166.73	149.12	275.28	277.2	208.38	166.73	381.68	186.4	232.94	167.9	101.54	44.89	16.27	58.3	34.51	37.85	59.55	17.25	25.35	0.0	0.38
MLST8	1709.26	995.0	2148.82	1295.13	1259.69	1331.57	738.29	1674.06	1295.13	1135.2	1572.76	974.5	1119.56	1295.13	1313.23	1561.89	656.11	981.29	579.04	551.56	665.29	599.49	435.55	540.19	0.0	0.09
MNAT1	775.05	1508.65	1059.11	1781.89	890.44	842.36	444.72	1081.39	1001.93	1073.91	536.45	1167.14	1250.98	1427.22	1388.16	543.96	291.04	172.65	293.07	281.09	314.17	336.79	381.68	293.07	0.0	0.46
NEMF	412.0	532.74	497.0	988.12	514.56	669.92	299.25	647.07	607.87	728.11	420.68	674.59	748.61	603.67	860.08	486.75	229.72	66.18	279.14	185.11	209.84	208.38	147.06	291.04	0.0	0.87
NOL10	376.41	420.68	320.8	497.0	432.53	346.29	450.94	450.94	356.05	503.95	314.17	497.0	642.59	327.56	591.22	341.51	191.67	127.89	289.02	281.09	202.66	279.14	177.53	435.55	0.0	0.47
NR1D2	447.82	934.76	95.34	633.73	271.48	629.35	368.65	444.72	447.82	307.69	258.57	480.04	138.1	251.48	473.41	170.25	218.79	89.51	301.33	186.4	164.42	156.59	293.07	103.69	237.86	67.59
