	GTEX.11UD2.1526.SM.5EQLQ	GTEX.ZTSS.0626.SM.59867	GTEX.145LV.1326.SM.5S2QI	GTEX.OXRN.1726.SM.3NM9B	GTEX.XBEW.1326.SM.4AT63	GTEX.X4XY.1726.SM.46MVO	GTEX.13PVQ.1826.SM.5L3GU	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.Y111.1926.SM.4SOIS	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.13NYB.0726.SM.5MR4J	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.12WSK.0926.SM.5CVNQ	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.145MG.0826.SM.5Q5C2	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PWCY.2326.SM.2I3EQ	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
EID1	2178.83	1015.93	830.75	941.27	988.12	563.18	2701.35	0.0	0.44	5292.48	5366.37	7695.57	4836.35	5441.3	3665.02	5872.48	6337.83	3820.7	5112.16	3982.99	2997.45	3874.05	3901.01	3982.99	3303.0	6699.25	4481.23	3690.52	4769.75	6079.61	4388.98	4972.34	4937.99	5147.73	4769.75	5292.48	6207.38	4328.55	6561.36	3847.29	4328.55	4123.49	4123.49	4419.52	4903.87	4481.23	5555.65	5183.54	5366.37
FAM104B	241.19	269.6	279.14	299.25	348.71	129.69	358.54	0.0	0.16	780.44	830.75	728.11	435.55	775.05	389.72	660.68	813.63	287.01	518.15	521.76	379.04	444.72	543.96	237.86	511.0	656.11	591.22	414.87	669.92	902.89	587.13	688.78	733.19	698.41	633.73	775.05	713.11	454.09	854.13	466.88	493.56	493.56	497.0	497.0	447.82	384.34	587.13	607.87	698.41
FAM32A	1001.93	1832.01	1350.18	1378.57	1651.0	1322.37	1119.56	0.0	0.51	1844.76	1936.53	1844.76	1806.78	1721.16	1467.37	1662.49	1551.09	1111.82	1268.46	1561.89	1369.04	1628.26	1572.76	1313.23	1617.0	2061.24	1781.89	1769.57	1963.57	1870.53	1697.45	1709.26	2004.85	2032.85	1870.53	1923.14	1977.24	1806.78	1781.89	1457.23	1605.83	1806.78	1369.04	1832.01	1806.78	1870.53	1628.26	1651.0	1832.01
FCRL6	9.63	1.11	3.35	1.06	3.47	0.0	2.48	0.0	0.1	43.32	12.36	46.5	14.67	49.91	18.43	7.34	19.68	14.89	17.25	3.59	5.06	19.82	9.48	0.78	15.34	53.95	15.56	4.46	43.32	52.08	10.47	37.32	40.36	23.25	2.97	33.06	31.45	9.56	18.56	14.56	15.11	4.03	11.04	2.32	4.13	3.32	40.64	21.32	17.64
FUCA1	130.6	387.02	417.77	119.26	241.19	94.01	106.63	0.0	0.18	2537.92	2758.13	3467.27	2090.03	3018.3	1794.29	3325.99	2835.7	2047.0	2075.59	1407.55	1427.22	1639.59	1819.35	1277.29	1487.87	3257.52	2240.11	2163.77	2287.2	2485.67	1819.35	2609.3	2224.63	3303.0	1963.57	3018.3	2537.92	1936.53	2739.08	2240.11	1950.0	2004.85	1977.24	2178.83	2032.85	1769.57	2351.53	2627.46	3540.14
GABARAPL2	1923.14	3018.3	1617.0	2664.15	2351.53	1963.57	2384.37	0.0	0.91	4671.57	6337.83	5913.33	4239.45	5954.47	3690.52	5672.41	6699.25	3665.02	5006.93	3982.99	3639.7	4010.71	4066.71	4152.18	3794.3	5954.47	3928.15	4239.45	3540.14	6426.31	4836.35	4972.34	4181.07	4937.99	4419.52	5633.22	5831.91	4481.23	5555.65	3190.46	3768.09	4298.64	4038.61	4239.45	4450.27	3820.7	5041.77	4481.23	5441.3
GDF9	3.5	6.31	14.35	7.0	4.86	7.75	6.41	0.0	0.09	27.05	26.67	24.28	7.94	23.42	15.68	37.85	18.84	9.41	34.02	29.91	25.35	42.41	19.97	5.82	12.0	16.88	29.27	15.11	31.67	35.25	21.94	25.91	21.78	17.38	7.22	27.64	28.24	10.31	12.18	12.0	28.86	33.06	9.2	5.02	12.55	6.57	8.92	32.82	19.82
GINM1	780.44	693.58	525.39	460.44	511.0	432.53	967.76	0.0	0.58	1936.53	2400.97	2664.15	1909.85	2090.03	1277.29	2485.67	2739.08	1794.29	1923.14	1757.34	1407.55	1250.98	1551.09	2032.85	1304.15	2255.7	1572.76	1498.22	1685.71	2758.13	1883.54	1963.57	1417.35	1857.6	1605.83	1977.24	2271.4	1733.13	2209.26	1340.84	1340.84	1844.76	1540.37	1883.54	2032.85	1617.0	1697.45	1806.78	2520.38
GLIPR1L2	21.47	23.08	5.96	29.91	10.39	4.58	10.96	0.0	0.0	111.21	110.43	94.67	12.45	40.64	67.12	111.99	148.09	27.64	52.08	27.84	12.27	38.4	31.9	14.45	43.02	60.39	115.16	38.12	68.07	190.34	92.7	34.75	107.38	105.15	64.34	104.42	76.71	55.1	124.37	19.25	51.71	27.25	51.35	40.07	17.38	33.54	10.79	85.22	87.65
GLOD4	532.74	878.17	866.07	656.11	769.69	486.75	559.28	0.0	0.59	2018.8	2061.24	2148.82	1322.37	1819.35	1551.09	2104.58	1685.71	1487.87	1721.16	1457.23	1350.18	1331.57	1769.57	1159.07	1242.34	1819.35	1857.6	1477.58	1745.2	1909.85	1628.26	1844.76	1769.57	1819.35	1397.83	1977.24	1936.53	1519.15	2075.59	1628.26	1407.55	1437.15	1331.57	1233.75	1685.71	1447.15	1697.45	2090.03	1806.78
GLRX5	543.96	647.07	624.99	473.41	669.92	379.04	571.05	0.0	0.67	1417.35	1304.15	1397.83	1191.69	1313.23	1111.82	1295.13	1617.0	629.35	1111.82	902.89	934.76	941.27	1001.93	808.0	947.83	1457.23	1135.2	1088.92	1259.69	1437.15	1233.75	1081.39	1051.79	1369.04	1340.84	1359.57	1242.34	981.29	1233.75	884.29	1175.27	902.89	1073.91	1119.56	1151.06	1233.75	1104.13	1143.1	1199.98
GTF2A2	1295.13	1628.26	1437.15	1572.76	1388.16	1407.55	1697.45	0.0	0.66	2434.5	3690.52	2935.74	2645.74	3124.78	2104.58	2682.69	3257.52	1159.07	2485.67	1950.0	1870.53	2451.44	1508.65	2004.85	2520.38	2555.58	2061.24	2609.3	2335.28	2758.13	2609.3	2520.38	2075.59	2796.65	2976.74	3081.75	3060.45	2335.28	2645.74	1832.01	2609.3	2451.44	1870.53	3103.19	2104.58	2434.5	2555.58	2520.38	2796.65
GZMA	6.16	27.05	1.99	3.38	23.59	0.0	1.95	0.0	0.21	170.25	67.12	303.44	22.43	351.14	52.82	28.04	56.68	6.41	76.71	28.24	26.1	124.37	69.03	12.64	60.39	127.0	86.43	37.85	98.04	120.94	73.03	118.43	112.77	59.55	127.89	341.51	94.67	38.67	316.37	29.06	124.37	24.63	10.39	14.45	19.97	27.64	33.54	71.0	39.79
GZMH	7.63	7.11	2.61	9.93	13.22	0.0	17.51	0.0	0.0	123.5	52.45	161.02	23.25	234.57	35.25	51.71	65.72	22.59	51.71	18.43	9.06	64.8	91.41	34.26	27.64	146.03	41.81	6.89	111.99	94.01	51.71	289.02	91.41	55.89	31.0	198.47	49.21	17.64	96.01	26.28	43.32	10.31	7.69	10.55	10.63	3.38	136.19	75.11	40.36
HLA-DQA2	65.26	10.88	1.45	32.82	13.93	17.0	26.47	0.0	0.0	232.94	2.29	173.85	3.06	384.34	0.0	323.03	281.09	7.4	4.31	6.67	56.28	164.42	5.15	6.78	75.64	521.76	194.36	18.97	371.22	260.38	125.24	848.22	135.24	3.06	305.55	432.53	262.2	40.93	529.06	32.13	78.34	24.11	5.87	118.43	45.53	6.78	152.28	197.09	98.04
HMGN3	2178.83	1883.54	2133.97	1639.59	1909.85	896.64	1340.84	0.0	0.57	5555.65	6250.56	5292.48	3257.52	5403.7	3039.3	4543.8	5791.62	2573.36	4358.66	3928.15	3190.46	2976.74	2935.74	1923.14	2855.44	5292.48	3168.41	3467.27	4239.45	5872.48	4769.75	4802.93	3146.52	4575.41	3614.55	5183.54	5479.15	3395.89	5219.6	2664.15	3614.55	2645.74	2816.11	3665.02	3901.01	3614.55	4123.49	5329.3	4836.35
HSBP1	902.89	2573.36	2090.03	2855.44	2335.28	2148.82	902.89	0.0	0.73	3540.14	4972.34	4328.55	3280.18	4123.49	2133.97	3303.0	4543.8	2061.24	3467.27	2520.38	2163.77	1991.0	2367.9	2417.67	2682.69	3794.3	3146.52	2485.67	2816.11	4239.45	3874.05	3018.3	2682.69	4239.45	2796.65	3955.48	4419.52	2682.69	4736.79	2384.37	2835.7	2627.46	2520.38	4038.61	3303.0	2591.27	4481.23	3039.3	3372.43
HSD17B8	198.47	674.59	718.08	457.25	674.59	412.0	180.02	0.0	0.28	1923.14	2351.53	1662.49	1457.23	2133.97	1088.92	1896.65	1605.83	1250.98	2163.77	1015.93	1417.35	1540.37	974.5	1001.93	1359.57	1896.65	1467.37	1794.29	1457.23	1757.34	1781.89	1594.73	1407.55	1662.49	1313.23	1697.45	1794.29	1167.14	1487.87	1104.13	1388.16	1073.91	1008.9	1127.35	1151.06	981.29	1417.35	1819.35	1883.54
ITGA4	38.67	11.13	1.85	4.9	6.46	12.45	32.13	0.0	0.31	98.04	31.45	183.82	33.54	158.79	52.45	38.12	79.45	13.22	69.52	26.67	14.14	26.86	9.41	12.93	11.55	78.89	37.85	10.55	93.35	73.03	26.67	171.45	66.65	80.57	27.64	88.88	37.05	21.78	152.28	19.25	28.65	6.36	7.06	6.62	8.99	22.26	75.11	48.87	45.85
ITGAL	30.34	25.17	11.21	28.65	39.22	1.85	10.55	0.0	0.41	318.57	87.03	309.83	28.65	279.14	54.33	97.36	176.29	23.42	147.06	35.0	17.51	119.26	105.89	12.45	57.08	271.48	95.34	30.56	444.72	120.1	104.42	305.55	202.66	137.14	28.45	429.54	107.38	48.18	267.73	57.08	127.0	17.64	9.41	14.67	26.86	27.25	105.89	186.4	40.07
KLRG1	22.75	1.68	17.9	8.92	12.93	10.55	11.47	0.0	0.01	108.9	120.94	158.79	21.01	120.1	58.71	40.36	48.52	27.44	54.33	38.95	15.8	64.34	35.5	19.82	39.22	105.89	17.38	49.56	71.0	85.82	46.84	112.77	105.15	43.63	34.75	119.26	80.01	42.11	115.97	16.15	55.89	24.28	50.98	28.65	56.28	46.5	69.52	54.33	81.71
LAMTOR5	1769.57	2384.37	3639.7	2701.35	2956.17	2400.97	2502.97	0.0	0.99	3515.68	5329.3	3901.01	3901.01	5006.93	3168.41	4388.98	4937.99	2739.08	3665.02	2609.3	3419.52	3325.99	3690.52	3372.43	4419.52	4268.94	3564.78	3820.7	3146.52	4450.27	4419.52	3847.29	3280.18	5041.77	4239.45	4450.27	5076.84	3395.89	4704.07	2682.69	4123.49	3325.99	3372.43	3982.99	3716.2	3419.52	4543.8	3303.0	4268.94
LOH12CR2	30.34	6.73	6.46	1.51	9.27	5.45	30.12	0.0	0.0	173.85	126.12	162.14	52.82	107.38	51.35	92.05	105.15	13.32	101.54	65.72	39.79	85.22	48.52	16.88	46.5	118.43	89.51	51.71	148.09	159.9	94.01	117.6	63.89	164.42	55.49	89.51	154.42	29.48	120.1	44.57	53.19	48.18	51.71	50.27	56.68	36.79	52.08	144.01	118.43
LSM2	848.22	559.28	660.68	713.11	688.78	679.29	591.22	0.0	0.75	1417.35	1628.26	1447.15	860.08	1477.58	954.43	1175.27	1199.98	713.11	1350.18	836.53	928.3	974.5	921.88	860.08	1277.29	1407.55	1259.69	1350.18	1233.75	1417.35	1331.57	1268.46	1350.18	1340.84	1167.14	1397.83	1467.37	909.17	1378.57	896.64	1183.45	981.29	921.88	1199.98	775.05	974.5	1191.69	1286.18	1151.06
LSM5	571.05	698.41	1167.14	1111.82	974.5	559.28	1008.9	1870.53	1044.52	1529.73	1617.0	1757.34	1183.45	1733.13	995.0	1388.16	1685.71	808.0	1781.89	1151.06	1081.39	1059.11	988.12	915.51	1304.15	1529.73	1233.75	1295.13	1104.13	1674.06	1529.73	1359.57	1111.82	1806.78	1359.57	1437.15	1427.22	921.88	1397.83	967.76	1167.14	1096.5	1277.29	1427.22	1304.15	1242.34	1498.22	1295.13	1322.37
MANBAL	1709.26	1242.34	967.76	1208.34	1175.27	1487.87	1594.73	0.0	0.87	2468.49	2895.31	2133.97	2240.11	2119.22	1857.6	2468.49	2384.37	1340.84	2018.8	1369.04	1844.76	2148.82	2148.82	1388.16	2061.24	2720.15	2335.28	2417.67	2047.0	2451.44	1857.6	2434.5	1883.54	2777.33	2468.49	2758.13	2682.69	2485.67	2351.53	1896.65	2240.11	2193.99	1857.6	2976.74	2148.82	2148.82	2303.12	2163.77	2384.37
MATK	6.01	5.77	3.11	43.02	21.16	32.59	11.47	0.0	0.39	72.52	21.32	40.07	4.39	166.73	40.36	51.71	62.12	8.71	65.26	15.34	8.51	37.05	16.39	16.63	17.25	98.73	22.43	18.7	108.9	42.11	24.81	54.33	75.11	80.57	31.0	76.17	27.25	13.42	70.51	23.25	18.97	2.66	7.28	20.71	9.56	7.28	41.81	59.55	22.59
MDP1	397.93	193.01	271.48	228.13	239.52	234.57	327.56	0.0	0.3	1088.92	1225.22	1199.98	884.29	1378.57	708.18	981.29	1023.0	441.64	902.89	607.87	802.41	954.43	612.11	366.09	995.0	1268.46	866.07	947.83	748.61	1175.27	860.08	890.44	896.64	1023.0	579.04	1104.13	1066.48	669.92	1051.79	638.15	836.53	642.59	703.28	915.51	713.11	836.53	1023.0	921.88	808.0
MEA1	521.76	1175.27	884.29	896.64	1023.0	587.13	599.49	0.0	0.54	2075.59	2303.12	2104.58	1583.71	2664.15	1369.04	2303.12	2224.63	1674.06	1870.53	1378.57	1437.15	1617.0	1572.76	1023.0	1832.01	2133.97	1794.29	1594.73	2485.67	2287.2	1963.57	2224.63	2004.85	2148.82	1936.53	2119.22	2367.9	1674.06	1870.53	1388.16	1733.13	1508.65	1143.1	1857.6	1594.73	1794.29	1757.34	2193.99	2271.4
MED7	164.42	150.17	180.02	152.28	137.14	138.1	164.42	0.0	0.27	379.04	320.8	403.5	285.03	329.84	297.17	287.01	320.8	255.0	329.84	293.07	242.88	267.73	297.17	234.57	287.01	299.25	368.65	329.84	301.33	366.09	356.05	249.73	336.79	305.55	305.55	348.71	368.65	281.09	327.56	253.23	348.71	285.03	295.11	363.56	314.17	325.29	277.2	348.71	289.02
MRP63	260.38	366.09	353.59	279.14	444.72	264.03	279.14	0.0	0.12	830.75	909.17	775.05	620.67	921.88	518.15	921.88	866.07	540.19	660.68	551.56	511.0	656.11	713.11	368.65	587.13	848.22	616.37	612.11	638.15	909.17	791.35	780.44	679.29	738.29	733.19	934.76	848.22	607.87	703.28	483.38	825.0	599.49	486.75	915.51	620.67	616.37	660.68	708.18	813.63
MRPL11	518.15	688.78	915.51	753.83	961.07	848.22	915.51	0.0	0.52	1277.29	1350.18	1111.82	934.76	1467.37	884.29	1268.46	1233.75	559.28	1096.5	848.22	860.08	1135.2	909.17	521.76	1151.06	1250.98	1023.0	1008.9	1350.18	1437.15	1322.37	1175.27	1111.82	1167.14	1277.29	1313.23	1340.84	1030.12	1378.57	941.27	947.83	866.07	753.83	1216.75	909.17	836.53	1135.2	1268.46	1081.39
MRPS33	325.29	1286.18	1519.15	500.46	1417.35	514.56	412.0	0.0	0.0	2287.2	3124.78	2758.13	1551.09	2209.26	1923.14	2271.4	2417.67	1051.79	1721.16	1467.37	1651.0	1794.29	1378.57	954.43	2796.65	2502.97	1870.53	2075.59	1540.37	2090.03	1662.49	1923.14	2224.63	2271.4	2271.4	2148.82	2400.97	1857.6	2537.92	1233.75	2835.7	1551.09	1936.53	2163.77	2434.5	2335.28	2119.22	1508.65	2193.99
NARS2	204.07	180.02	218.79	193.01	181.28	161.02	53.95	0.0	0.08	384.34	444.72	423.61	215.77	376.41	167.9	323.03	532.74	125.24	339.14	223.41	244.57	299.25	273.37	175.07	269.6	395.18	260.38	287.01	392.44	384.34	384.34	318.57	457.25	267.73	262.2	343.89	466.88	248.0	511.0	189.02	409.15	285.03	397.93	281.09	320.8	299.25	363.56	392.44	395.18
NCR3	5.28	0.0	0.0	6.84	5.19	1.93	0.0	0.0	0.03	11.04	18.03	55.1	4.62	23.42	17.25	4.54	34.26	15.56	7.69	13.22	0.0	7.11	0.0	0.0	0.0	42.41	12.83	0.0	16.75	12.74	28.45	29.7	44.25	0.0	6.84	67.12	11.91	9.56	25.17	0.0	4.66	4.28	3.66	10.39	4.39	2.81	3.89	23.08	4.06
NDUFC1	1857.6	2682.69	4736.79	3190.46	3639.7	2451.44	2627.46	0.0	0.78	7642.41	10084.54	8022.41	6337.83	9151.82	4066.71	6983.79	9215.48	4268.94	7130.55	4268.94	4239.45	4802.93	4268.94	4268.94	5255.91	8363.13	5041.77	4736.79	5292.48	9215.48	6887.62	6381.92	5594.3	7130.55	5995.9	8718.32	8247.98	4802.93	7180.15	3690.52	6164.49	4298.64	4607.24	6426.31	6079.61	5329.3	7966.99	6607.01	7589.61
NDUFS4	947.83	1819.35	1733.13	1216.75	2271.4	1199.98	1757.34	0.0	0.88	2520.38	3018.3	2875.3	2271.4	2758.13	1977.24	3018.3	3060.45	1923.14	2701.35	2163.77	2271.4	1896.65	1963.57	2090.03	2645.74	2835.7	2004.85	2875.3	2178.83	2935.74	2627.46	2451.44	1883.54	2682.69	2682.69	2591.27	2895.31	2609.3	2739.08	1709.26	2537.92	2417.67	2319.15	3280.18	2537.92	2193.99	2417.67	2119.22	3146.52
NOL7	674.59	748.61	651.58	486.75	759.08	575.03	808.0	0.0	0.61	1304.15	1870.53	1745.2	1628.26	2119.22	1359.57	1950.0	1794.29	981.29	1721.16	1151.06	1066.48	1151.06	1277.29	1143.1	1388.16	1769.57	1286.18	1498.22	1350.18	1721.16	1350.18	1498.22	1340.84	1437.15	1572.76	1605.83	1697.45	1388.16	1733.13	1191.69	1697.45	1407.55	1242.34	1508.65	1447.15	1437.15	1397.83	1369.04	1769.57
NSMCE1	813.63	967.76	1143.1	780.44	1127.35	961.07	1037.29	0.0	0.68	2319.15	2935.74	2319.15	2061.24	2319.15	1467.37	2591.27	2224.63	1066.48	2075.59	1417.35	1605.83	1844.76	1359.57	1191.69	1923.14	2664.15	2255.7	1721.16	2400.97	2384.37	2148.82	2271.4	2133.97	2720.15	2148.82	2240.11	2682.69	1594.73	2255.7	1369.04	1806.78	1540.37	1397.83	1883.54	1709.26	1487.87	2178.83	2075.59	2384.37
PARP15	17.0	21.63	6.41	5.5	50.63	2.41	8.92	0.0	0.78	60.82	20.71	67.59	18.7	60.82	23.59	21.47	32.59	7.4	25.17	5.41	10.0	28.86	14.14	2.71	11.55	37.85	10.31	29.48	54.72	35.5	9.56	59.55	37.85	31.22	12.36	98.04	26.1	17.38	61.68	18.29	22.26	7.69	3.53	4.21	3.86	11.47	29.48	45.53	14.14
PCBD1	1088.92	698.41	890.44	1605.83	1498.22	802.41	1369.04	0.0	0.52	3515.68	3690.52	3124.78	2209.26	3303.0	2075.59	3168.41	3665.02	1963.57	2319.15	2148.82	2303.12	2255.7	2720.15	1651.0	2537.92	3235.01	2895.31	2351.53	3257.52	3874.05	3060.45	3280.18	2758.13	3325.99	2976.74	3515.68	3395.89	2319.15	3168.41	2075.59	2627.46	2119.22	2319.15	2645.74	2816.11	2209.26	3212.66	2895.31	3039.3
PDE6D	264.03	351.14	295.11	281.09	318.57	214.27	256.78	0.0	0.56	435.55	559.28	579.04	353.59	656.11	361.04	518.15	571.05	173.85	629.35	403.5	483.38	429.54	447.82	231.32	435.55	603.67	480.04	503.95	483.38	579.04	493.56	551.56	483.38	543.96	426.57	651.58	525.39	351.14	595.34	348.71	518.15	384.34	346.29	384.34	403.5	447.82	441.64	444.72	612.11
PDE6G	6.84	0.0	0.0	3.79	2.76	8.51	0.0	0.0	0.04	19.82	36.79	37.05	13.62	35.25	10.55	0.0	10.63	2.03	6.36	15.8	0.0	7.75	0.0	5.63	20.41	18.16	13.52	19.25	24.11	9.13	13.62	30.78	34.02	62.56	15.45	16.03	13.03	11.55	38.95	13.83	14.89	2.29	1.75	19.97	5.96	8.0	19.68	26.28	15.68
PFDN1	988.12	884.29	909.17	947.83	1023.0	1208.34	1151.06	0.0	0.73	1583.71	1977.24	1709.26	1662.49	2032.85	1397.83	1757.34	1757.34	1081.39	1467.37	1447.15	1268.46	1313.23	1388.16	1127.35	1551.09	1757.34	1963.57	1529.73	1540.37	1745.2	1540.37	1757.34	1508.65	1923.14	1709.26	1963.57	1963.57	1551.09	1870.53	1508.65	1617.0	1662.49	1242.34	1721.16	1769.57	1540.37	1583.71	1477.58	1806.78
PHF14	363.56	236.21	444.72	212.78	309.83	299.25	295.11	0.0	0.43	417.77	441.64	435.55	256.78	466.88	307.69	412.0	476.71	223.41	493.56	426.57	265.87	303.44	303.44	211.31	343.89	420.68	483.38	314.17	429.54	460.44	387.02	387.02	381.68	463.65	325.29	460.44	503.95	271.48	371.22	318.57	336.79	273.37	297.17	289.02	301.33	314.17	366.09	373.81	400.71
PHF5A	392.44	612.11	450.94	454.09	540.19	435.55	490.14	0.0	0.72	878.17	890.44	902.89	764.36	1030.12	511.0	796.86	934.76	379.04	693.58	555.41	429.54	638.15	591.22	674.59	679.29	802.41	651.58	733.19	738.29	785.88	723.08	708.18	703.28	819.3	909.17	638.15	921.88	703.28	780.44	540.19	753.83	785.88	473.41	665.29	633.73	723.08	728.11	665.29	679.29
PIGB	346.29	262.2	400.71	211.31	293.07	256.78	279.14	0.0	0.21	518.15	583.07	547.75	373.81	656.11	476.71	497.0	493.56	454.09	579.04	483.38	420.68	409.15	392.44	379.04	348.71	525.39	466.88	420.68	583.07	486.75	629.35	420.68	429.54	559.28	361.04	503.95	612.11	426.57	796.86	490.14	543.96	447.82	497.0	599.49	447.82	397.93	511.0	559.28	503.95
PIK3CG	2.25	5.82	0.83	0.08	4.21	2.68	1.22	0.0	0.14	27.84	11.64	30.12	14.45	61.25	12.09	13.62	38.4	4.58	12.27	15.91	18.97	14.03	8.85	14.14	13.22	48.52	16.75	6.36	27.25	29.91	5.28	13.22	67.59	23.59	13.52	19.68	17.9	20.86	35.76	28.24	19.53	6.26	12.83	6.41	6.46	13.52	7.63	15.34	18.43
POFUT1	327.56	281.09	258.57	143.01	205.5	283.05	255.0	463.65	76.17	647.07	791.35	848.22	507.46	651.58	486.75	775.05	651.58	426.57	563.18	470.14	417.77	500.46	674.59	409.15	536.45	759.08	629.35	500.46	703.28	748.61	466.88	713.11	642.59	759.08	571.05	836.53	698.41	633.73	743.43	583.07	563.18	571.05	665.29	466.88	447.82	511.0	438.59	559.28	785.88
PPP1R11	503.95	1104.13	1008.9	1051.79	1304.15	1250.98	808.0	0.0	0.55	1685.71	2119.22	1745.2	1427.22	1639.59	1540.37	1806.78	1857.6	988.12	1457.23	1268.46	1199.98	1369.04	1540.37	1044.52	1508.65	1757.34	1674.06	1467.37	1709.26	2004.85	1651.0	1651.0	1806.78	1639.59	1628.26	1909.85	1883.54	1437.15	1950.0	1378.57	1651.0	1529.73	1540.37	1594.73	1594.73	1407.55	1745.2	1662.49	1721.16
PRR5L	16.51	21.78	15.34	34.02	40.64	36.27	17.51	0.0	0.33	170.25	59.13	116.78	33.06	85.22	60.82	62.12	110.43	14.67	60.82	30.56	38.12	44.57	71.5	118.43	50.63	224.97	73.03	92.05	163.28	104.42	44.57	93.35	133.36	138.1	27.44	138.1	167.9	46.18	128.79	72.01	94.01	29.06	26.1	30.56	23.08	98.04	43.63	89.51	129.69
PTPRN2	47.5	4.66	7.06	28.24	10.08	27.64	57.89	0.0	0.21	395.18	688.78	429.54	165.57	503.95	167.9	988.12	629.35	218.79	389.72	165.57	143.01	226.54	109.66	231.32	186.4	633.73	334.46	229.72	483.38	444.72	336.79	536.45	387.02	607.87	202.66	563.18	616.37	231.32	529.06	150.17	208.38	183.82	167.9	136.19	175.07	231.32	242.88	301.33	454.09
PYURF	1175.27	1208.34	1030.12	1467.37	1208.34	1331.57	1628.26	0.0	0.83	1651.0	2796.65	2796.65	1594.73	2777.33	1268.46	1896.65	2895.31	854.13	1923.14	1304.15	1175.27	1277.29	1151.06	1397.83	1594.73	2400.97	1551.09	1806.78	1745.2	2319.15	1950.0	1745.2	1583.71	2004.85	1709.26	2609.3	2468.49	1388.16	1950.0	1277.29	1447.15	1477.58	1242.34	1991.0	1697.45	1467.37	1923.14	1896.65	2119.22
RABL5	224.97	155.5	215.77	98.73	232.94	88.88	363.56	0.0	0.06	1617.0	1844.76	1745.2	1417.35	1685.71	967.76	1674.06	1662.49	1044.52	1286.18	1378.57	909.17	1135.2	1199.98	775.05	1167.14	1697.45	1369.04	1143.1	1594.73	1721.16	1417.35	1529.73	1388.16	1617.0	1304.15	1540.37	1733.13	1331.57	1832.01	995.0	1159.07	1322.37	1143.1	1447.15	1427.22	1023.0	1447.15	1447.15	1551.09
RCSD1	80.57	43.94	23.08	18.84	45.85	14.78	36.53	0.0	0.41	193.01	154.42	281.09	134.3	312.0	125.24	297.17	163.28	27.25	169.07	107.38	199.85	193.01	153.34	32.36	151.22	218.79	85.22	217.27	185.11	217.27	55.1	153.34	244.57	130.6	171.45	208.38	173.85	155.5	126.12	202.66	96.01	54.33	43.02	96.01	62.56	97.36	74.58	156.59	156.59
RP11-80A15.1	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.0	0.0	8.38	31.67	34.02	7.75	11.21	4.24	0.0	19.82	6.89	13.32	10.0	10.39	14.89	8.19	9.63	6.84	33.78	15.56	4.82	23.76	11.64	7.51	5.11	18.97	15.22	0.0	24.46	17.51	9.93	8.25	4.82	7.75	10.08	16.27	6.21	13.22	0.0	18.84	16.51	11.21
RPL26L1	343.89	633.73	753.83	486.75	854.13	563.18	329.84	0.0	0.22	1001.93	1540.37	1208.34	1066.48	1044.52	848.22	1268.46	1167.14	575.03	1073.91	612.11	915.51	1030.12	961.07	620.67	1378.57	1250.98	995.0	1322.37	896.64	1378.57	967.76	890.44	1096.5	1151.06	1159.07	1143.1	1175.27	941.27	1331.57	748.61	1561.89	808.0	909.17	1388.16	1135.2	1175.27	1135.2	954.43	1295.13
SEMA5B	6.31	2.48	12.93	1.25	8.45	9.56	10.16	0.0	0.16	336.79	83.45	181.28	70.01	71.0	22.59	150.17	131.51	21.63	62.56	19.68	70.51	25.54	20.86	24.63	62.56	113.56	85.82	47.17	106.63	91.41	27.84	161.02	133.36	58.71	31.67	139.07	51.71	44.89	63.89	28.04	40.07	14.67	20.86	39.79	43.32	40.36	48.87	182.55	46.5
