	GTEX.11UD2.1526.SM.5EQLQ	GTEX.ZTSS.0626.SM.59867	GTEX.145LV.1326.SM.5S2QI	GTEX.OXRN.1726.SM.3NM9B	GTEX.XBEW.1326.SM.4AT63	GTEX.X4XY.1726.SM.46MVO	GTEX.13PVQ.1826.SM.5L3GU	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.Y111.1926.SM.4SOIS	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.13NYB.0726.SM.5MR4J	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.12WSK.0926.SM.5CVNQ	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.145MG.0826.SM.5Q5C2	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PWCY.2326.SM.2I3EQ	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
BOLA3	753.83	438.59	525.39	400.71	693.58	414.87	1135.2	0.0	0.28	1378.57	1806.78	1183.45	941.27	1991.0	921.88	1437.15	1417.35	511.0	1286.18	660.68	1151.06	854.13	688.78	417.77	1685.71	1508.65	1051.79	1167.14	928.3	1340.84	1059.11	1191.69	921.88	1135.2	1407.55	1605.83	1447.15	842.36	928.3	698.41	1844.76	753.83	1088.92	1508.65	1015.93	928.3	1191.69	1008.9	1151.06
C11orf1	177.53	571.05	532.74	454.09	743.43	348.71	316.37	0.0	0.26	1519.15	2520.38	1909.85	1073.91	1519.15	934.76	1594.73	1819.35	1359.57	1519.15	1242.34	866.07	1104.13	941.27	854.13	866.07	1832.01	1781.89	1313.23	1508.65	1857.6	1794.29	1498.22	1508.65	2032.85	1208.34	1674.06	1857.6	1008.9	1519.15	733.19	1388.16	909.17	967.76	1183.45	1225.22	1208.34	1498.22	1583.71	1844.76
C17orf49	813.63	934.76	1159.07	1096.5	1096.5	1119.56	647.07	0.0	0.68	3589.58	3515.68	2758.13	2061.24	3665.02	1819.35	2875.3	2502.97	1551.09	2997.45	1561.89	2682.69	2061.24	1977.24	1322.37	2335.28	3124.78	2796.65	2061.24	2555.58	2997.45	2739.08	2935.74	2537.92	3060.45	2468.49	2935.74	3168.41	2047.0	4010.71	2018.8	1950.0	2018.8	2004.85	2591.27	1857.6	1639.59	2367.9	3081.75	2609.3
C2orf76	256.78	229.72	162.14	262.2	248.0	271.48	242.88	0.0	0.14	490.14	629.35	642.59	348.71	796.86	373.81	521.76	753.83	166.73	483.38	373.81	361.04	371.22	287.01	231.32	379.04	642.59	457.25	381.68	358.54	759.08	476.71	473.41	457.25	587.13	450.94	616.37	579.04	392.44	642.59	371.22	432.53	332.14	358.54	395.18	400.71	339.14	514.56	518.15	579.04
C8orf33	532.74	470.14	334.46	540.19	460.44	909.17	708.18	0.0	0.65	1167.14	1225.22	1183.45	974.5	1313.23	813.63	1159.07	1104.13	759.08	915.51	819.3	728.11	796.86	928.3	633.73	967.76	1044.52	1023.0	902.89	1023.0	1216.75	1225.22	1023.0	866.07	1159.07	1051.79	1111.82	1286.18	848.22	1331.57	902.89	954.43	1008.9	825.0	878.17	967.76	896.64	1030.12	854.13	1030.12
CALM3	3146.52	2956.17	2255.7	3168.41	2303.12	2148.82	2319.15	0.0	0.89	7180.15	6207.38	7642.41	5219.6	8191.0	5006.93	6037.61	5147.73	4512.4	5329.3	3928.15	5366.37	5292.48	4181.07	3235.01	5112.16	7485.11	6840.04	4836.35	7081.29	6337.83	6037.61	7032.37	6983.79	8363.13	5954.47	6426.31	7803.01	4328.55	6887.62	5441.3	4937.99	4972.34	4937.99	4903.87	5751.61	4802.93	7642.41	6037.61	7130.55
CCDC102B	64.8	23.08	23.42	62.12	19.25	47.17	40.64	0.0	0.0	169.07	248.0	348.71	76.71	234.57	78.34	176.29	182.55	64.34	176.29	51.35	76.17	86.43	50.27	49.56	73.54	248.0	88.88	71.0	141.02	231.32	137.14	264.03	82.29	224.97	114.36	281.09	242.88	56.68	212.78	68.55	85.22	52.82	38.4	75.64	49.56	78.89	113.56	124.37	178.77
CCDC115	295.11	890.44	825.0	656.11	872.1	718.08	242.88	0.0	0.07	1781.89	1594.73	1870.53	988.12	1685.71	967.76	1551.09	1551.09	878.17	1250.98	981.29	947.83	1143.1	961.07	587.13	878.17	1617.0	1369.04	1119.56	1529.73	1745.2	1340.84	1457.23	1242.34	1477.58	1081.39	1639.59	1745.2	1119.56	1721.16	928.3	995.0	995.0	1008.9	934.76	1030.12	934.76	1073.91	1498.22	1551.09
CCDC53	633.73	796.86	921.88	743.43	555.41	603.67	703.28	0.0	0.01	1208.34	1551.09	1417.35	1159.07	1447.15	1088.92	1268.46	1594.73	633.73	1427.22	961.07	947.83	981.29	1104.13	583.07	1088.92	1519.15	1322.37	1225.22	1369.04	1447.15	1295.13	1119.56	915.51	1331.57	1167.14	1467.37	1378.57	1001.93	1477.58	764.36	1378.57	1081.39	1037.29	1457.23	1268.46	1044.52	1359.57	1304.15	1369.04
CCL4	27.84	32.13	1.93	42.71	34.51	1.6	11.21	0.0	0.0	575.03	99.43	974.5	85.22	1397.83	140.04	100.83	301.33	27.64	98.04	69.03	52.82	128.79	97.36	26.47	136.19	373.81	16.15	104.42	536.45	303.44	241.19	518.15	209.84	265.87	262.2	518.15	166.73	77.25	397.93	40.07	98.04	60.82	22.75	71.0	18.7	127.89	356.05	75.64	106.63
