	TCGA.UF.A7JV.01A.11R.A34R.07	TCGA.BP.4974.01A.01R.1334.07	TCGA.B8.A8YJ.01A.13R.A39I.07	TCGA.38.4625.01A.01R.1206.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GX.01A.11R.A206.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.ET.A3BX.01A.11R.A19O.07	TCGA.DJ.A13L.01A.11R.A220.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.DJ.A1QE.01A.21R.A14Y.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.4C.A93U.01A.11R.A39I.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.DE.A4MD.01A.11R.A250.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.DE.A4MB.01A.11R.A250.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.MK.A4N6.01A.11R.A250.07	TCGA.EL.A3T9.01A.21R.A22L.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.FE.A231.01A.11R.A14Y.07	TCGA.EM.A3SZ.01A.11R.A22U.07	GTEX.12WSB.0726.SM.5N9GD
AC006547.14	2.58	104.42	93.35	0.0	26.1	4.03	9.7	32.36	19.82	30.12	35.76	2.29	3.99	5.82	1.08	17.13	20.11	12.36	9.27	27.84	6.06	12.45	11.3	8.13	5.15	24.81	29.06	8.92	5.73	4.82	24.11	7.94	18.16	16.27	17.64	18.97	8.13	2.92	25.17
ACVRL1	291.04	2133.97	3060.45	0.0	555.41	127.89	303.44	567.1	395.18	591.22	1073.91	307.69	325.29	341.51	158.79	432.53	466.88	249.73	305.55	723.08	164.42	305.55	234.57	460.44	620.67	656.11	674.59	134.3	366.09	291.04	339.14	239.52	334.46	201.25	348.71	341.51	232.94	275.28	698.41
ADAD2	5.54	13.83	17.51	0.0	9.34	2.68	2.76	15.56	3.63	2.73	5.02	0.95	0.0	0.95	0.91	2.23	2.25	0.0	7.63	15.91	2.18	0.95	2.34	0.0	1.27	8.85	6.16	0.0	3.63	3.44	0.0	2.05	1.01	3.44	8.58	6.57	0.0	0.0	11.91
ADAMTSL2	38.67	450.94	607.87	0.0	269.6	52.08	176.29	297.17	246.28	281.09	583.07	105.89	29.91	206.94	58.71	199.85	239.52	115.97	83.45	587.13	63.0	175.07	80.57	185.11	265.87	231.32	351.14	30.56	223.41	157.68	181.28	57.89	72.01	77.79	246.28	167.9	32.36	41.22	473.41
ADCY4	62.56	2351.53	1059.11	0.0	595.34	111.21	336.79	830.75	551.56	813.63	1151.06	124.37	138.1	341.51	84.63	373.81	346.29	139.07	214.27	791.35	92.05	307.69	173.85	426.57	698.41	532.74	860.08	105.89	187.71	325.29	371.22	118.43	287.01	164.42	500.46	205.5	148.09	154.42	1397.83
AFAP1L1	246.28	1250.98	947.83	0.0	151.22	38.12	115.16	226.54	140.04	198.47	500.46	107.38	85.22	159.9	72.01	126.12	120.94	94.01	171.45	273.37	69.03	87.65	45.85	83.45	258.57	178.77	242.88	48.18	81.14	156.59	131.51	67.12	198.47	126.12	186.4	80.01	82.87	55.49	438.59
ANO2	8.06	201.25	125.24	0.0	17.51	5.41	10.0	15.56	7.94	14.24	27.05	6.06	4.74	9.78	3.96	17.38	9.78	11.38	7.22	25.35	4.31	14.03	8.78	16.88	44.89	21.63	19.25	10.47	6.57	28.86	5.02	4.7	8.85	6.31	6.78	12.0	5.41	5.5	96.68
APLNR	66.18	4298.64	1806.78	0.0	1081.39	66.18	450.94	941.27	1167.14	1096.5	1685.71	214.27	71.0	620.67	65.72	490.14	536.45	202.66	356.05	1119.56	112.77	432.53	226.54	748.61	1896.65	603.67	1081.39	7.51	244.57	217.27	551.56	146.03	275.28	194.36	708.18	283.05	83.45	93.35	303.44
ARAP3	450.94	1407.55	866.07	0.0	361.04	138.1	267.73	536.45	305.55	423.61	775.05	279.14	193.01	271.48	94.67	301.33	293.07	206.94	182.55	503.95	102.25	246.28	157.68	275.28	454.09	420.68	547.75	591.22	190.34	293.07	379.04	198.47	258.57	197.09	334.46	285.03	182.55	175.07	457.25
ARHGEF15	24.63	1806.78	759.08	0.0	457.25	96.68	191.67	486.75	309.83	435.55	854.13	105.15	84.04	299.25	94.67	279.14	273.37	199.85	228.13	511.0	98.04	148.09	110.43	239.52	591.22	320.8	473.41	119.26	214.27	218.79	246.28	129.69	161.02	93.35	262.2	145.02	144.01	142.01	417.77
ASPA	3.63	503.95	224.97	0.0	9.56	1.55	12.18	10.88	12.09	20.56	23.08	2.53	2.48	9.78	2.84	8.45	10.0	4.06	2.51	22.43	3.11	5.77	0.0	6.62	26.86	14.78	33.78	2.53	13.42	11.91	6.46	4.74	8.45	1.08	7.22	2.39	2.51	3.99	59.97
BCL6B	55.49	1806.78	2367.9	0.0	246.28	44.25	125.24	212.78	279.14	307.69	759.08	106.63	63.89	206.94	62.12	167.9	171.45	100.83	189.02	567.1	48.52	93.35	58.71	161.02	387.02	242.88	441.64	61.68	72.52	164.42	267.73	74.58	152.28	166.73	348.71	94.01	72.01	74.06	242.88
BVES	6.94	41.52	35.76	0.0	10.71	3.53	8.13	10.39	9.85	17.0	18.56	4.39	3.06	7.17	1.22	12.93	12.36	4.5	5.15	14.35	2.73	6.01	4.82	8.58	20.41	9.85	11.91	3.11	6.46	9.41	8.25	7.34	6.16	8.25	12.18	6.73	1.71	4.43	51.35
C19orf69	0.0	27.05	5.96	0.0	3.29	0.0	0.0	1.91	2.01	3.26	7.88	0.0	0.0	1.89	0.0	0.0	1.99	3.32	1.87	5.96	0.0	0.0	0.0	2.1	0.0	7.75	4.39	1.89	0.0	0.0	4.78	1.83	0.0	0.0	6.06	2.39	1.22	0.0	9.41
C20orf202	1.46	51.35	20.41	0.0	9.7	0.0	4.21	9.27	8.51	6.36	24.11	1.97	2.34	4.1	1.45	7.69	3.5	3.38	6.21	7.63	0.79	2.39	4.17	5.32	19.11	7.57	9.48	0.75	2.18	2.92	1.64	3.96	0.85	3.82	4.62	5.77	3.2	5.5	9.7
C3orf36	20.86	234.57	63.89	0.0	52.45	11.38	11.3	84.63	64.8	50.63	80.01	7.28	4.21	24.46	5.15	36.01	20.41	12.93	14.56	96.68	14.03	26.47	26.86	16.51	90.77	45.53	85.22	3.08	10.63	99.43	40.64	17.13	7.88	15.56	40.93	12.64	7.17	9.27	12.83
CACNA1C	12.0	356.05	532.74	0.0	70.01	8.06	38.4	80.01	87.03	75.64	120.94	12.74	10.31	48.18	8.78	44.89	46.84	36.27	23.59	85.22	19.11	29.27	15.45	29.91	131.51	47.17	85.82	4.46	41.81	42.41	45.53	16.27	30.78	42.71	74.58	14.03	9.78	10.55	182.55
CALCRL	60.39	2224.63	1508.65	0.0	476.71	116.78	183.82	457.25	403.5	567.1	1127.35	99.43	84.04	314.17	99.43	373.81	420.68	232.94	299.25	836.53	124.37	153.34	149.12	406.31	647.07	518.15	660.68	60.82	234.57	575.03	376.41	136.19	412.0	202.66	283.05	149.12	291.04	155.5	381.68
CAPN11	1.87	178.77	123.5	0.0	35.25	1.91	10.88	57.08	27.84	23.93	51.71	10.55	9.06	17.9	1.81	26.67	15.8	12.36	8.45	30.78	3.2	20.11	4.78	19.68	40.64	22.59	38.4	3.69	15.34	13.72	21.78	2.41	15.0	12.45	9.41	5.06	11.73	6.78	17.64
CCDC3	99.43	813.63	2240.11	0.0	438.59	45.21	180.02	423.61	356.05	438.59	599.49	107.38	40.93	170.25	42.41	147.06	397.93	92.05	60.39	532.74	57.49	144.01	62.56	258.57	579.04	212.78	267.73	37.85	351.14	363.56	193.01	113.56	173.85	124.37	173.85	98.04	70.51	78.34	1508.65
