	TCGA.BT.A2LA.01A.11R.A18C.07	TCGA.A2.A4RY.01A.31R.A266.07	GTEX.145ME.1526.SM.5Q5F2	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.HC.7233.01A.11R.2118.07	TCGA.YL.A8SK.01B.21R.A37L.07	TCGA.VP.A87C.01A.11R.A352.07	TCGA.KC.A4BL.01A.31R.A250.07	TCGA.YL.A8SJ.01B.11R.A37L.07	TCGA.HC.7745.01A.11R.2118.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83J.11A.11R.A36G.07
ACTR5	293.07	226.54	94.01	69.52	361.04	95.34	111.21	101.54	70.01	95.34	112.77	100.83	98.04	91.41	65.26	84.04	58.71	63.0	73.03	60.82	66.18	99.43	82.87	47.84	75.11	87.03	67.12	56.68	73.54	76.71	62.12	61.68	59.13	40.07	63.45	155.5	212.78	146.03	181.28	133.36	182.55	197.09	163.28	231.32	161.02
ANAPC7	1183.45	1175.27	559.28	332.14	1697.45	791.35	612.11	470.14	497.0	447.82	571.05	693.58	612.11	395.18	392.44	358.54	242.88	295.11	387.02	281.09	356.05	400.71	368.65	267.73	293.07	389.72	389.72	555.41	329.84	197.09	299.25	320.8	325.29	109.66	305.55	1030.12	1388.16	909.17	1277.29	878.17	1151.06	1119.56	981.29	1208.34	1151.06
ARL2	4937.99	2090.03	1540.37	387.02	2537.92	1030.12	947.83	679.29	679.29	753.83	1427.22	1268.46	848.22	718.08	406.31	470.14	291.04	395.18	473.41	454.09	373.81	460.44	1331.57	271.48	223.41	450.94	743.43	175.07	336.79	236.21	353.59	301.33	348.71	186.4	575.03	2384.37	2935.74	2032.85	2451.44	2004.85	2875.3	2573.36	2485.67	2351.53	2434.5
ASB6	830.75	420.68	172.65	96.68	497.0	223.41	151.22	131.51	187.71	132.44	176.29	175.07	150.17	131.51	109.66	102.25	94.01	111.21	152.28	93.35	127.0	87.03	142.01	84.04	115.97	149.12	126.12	120.94	122.64	102.97	87.03	86.43	86.43	30.34	130.6	258.57	303.44	217.27	318.57	293.07	329.84	295.11	226.54	320.8	291.04
C10orf76	291.04	414.87	329.84	224.97	309.83	289.02	312.0	295.11	202.66	273.37	301.33	295.11	320.8	258.57	260.38	264.03	206.94	228.13	293.07	237.86	277.2	262.2	303.44	251.48	228.13	336.79	204.07	193.01	217.27	218.79	260.38	169.07	241.19	228.13	226.54	450.94	414.87	351.14	384.34	366.09	387.02	341.51	397.93	384.34	426.57
CDK20	423.61	334.46	51.71	45.53	204.07	72.52	62.56	82.87	34.75	45.21	98.04	70.51	131.51	70.01	59.97	81.71	59.97	50.98	69.52	58.3	57.49	43.32	67.12	23.42	28.65	47.17	142.01	37.05	49.21	23.76	53.19	49.56	108.14	16.39	53.95	204.07	218.79	177.53	202.66	208.38	265.87	255.0	193.01	224.97	215.77
CEP89	1417.35	438.59	175.07	64.8	497.0	94.01	68.07	90.77	107.38	80.57	139.07	80.57	81.14	78.34	56.28	84.63	47.84	53.19	65.26	48.87	43.63	43.63	109.66	37.85	48.52	49.91	87.03	29.48	36.53	29.06	68.55	38.4	55.49	56.28	42.71	450.94	420.68	244.57	269.6	299.25	403.5	343.89	366.09	555.41	368.65
CIZ1	4123.49	2148.82	1119.56	426.57	2502.97	896.64	934.76	521.76	808.0	633.73	813.63	928.3	713.11	674.59	409.15	587.13	400.71	480.04	647.07	395.18	511.0	409.15	796.86	193.01	301.33	688.78	743.43	356.05	346.29	273.37	363.56	229.72	514.56	198.47	567.1	2004.85	2193.99	1583.71	2240.11	2047.0	1896.65	2351.53	2133.97	2351.53	2018.8
COPS7B	1001.93	1030.12	473.41	279.14	1572.76	503.95	432.53	476.71	346.29	373.81	507.46	447.82	473.41	329.84	206.94	363.56	279.14	283.05	339.14	239.52	265.87	209.84	420.68	112.77	169.07	279.14	348.71	206.94	283.05	143.01	258.57	161.02	277.2	211.31	356.05	941.27	961.07	551.56	921.88	738.29	860.08	848.22	723.08	866.07	753.83
CPNE7	373.81	323.03	0.02	18.56	435.55	75.11	98.73	27.25	25.17	45.21	76.71	141.02	52.82	26.67	9.41	9.7	1.97	13.03	18.97	4.31	12.45	6.31	80.57	2.23	1.28	4.82	75.64	8.78	20.56	2.36	15.56	15.8	30.78	1.16	11.64	84.04	61.25	120.94	269.6	258.57	147.06	80.01	511.0	115.16	78.34
