	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.DS.A0VN.01A.21R.A10U.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.CV.7180.01A.11R.2016.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.MT.A51X.01A.11R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.IQ.A61E.01A.22R.A30B.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.Y111.1026.SM.4TT22	GTEX.OXRN.0526.SM.2I5EN	GTEX.X585.1026.SM.46MW6	GTEX.11EI6.0826.SM.5985V	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.11WQK.1226.SM.5GU5Z	GTEX.ZYT6.0526.SM.5GIEA	GTEX.139UW.0226.SM.5K7WU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	TCGA.33.4589.01A.01R.1443.07
ABHD6	121.79	122.64	102.25	43.63	49.56	193.01	108.9	112.77	156.59	70.51	79.45	102.25	0.0	0.06	221.86	229.72	450.94	115.97	514.56	493.56	100.13	197.09	116.78	483.38	403.5	99.43	264.03	251.48	180.02	88.88	190.34	157.68	543.96	94.67	182.55	62.56	379.04	226.54	144.01	255.0	872.1	189.02	158.79	88.26	78.34	122.64	130.6
AC026703.1	1.95	19.39	4.46	15.91	18.03	47.84	21.01	14.56	33.06	3.69	23.08	21.01	0.0	0.28	229.72	312.0	1233.75	197.09	463.65	1191.69	159.9	915.51	543.96	1044.52	503.95	363.56	1662.49	429.54	866.07	115.16	521.76	521.76	713.11	248.0	438.59	33.78	629.35	764.36	348.71	1030.12	1286.18	135.24	1295.13	476.71	182.55	563.18	55.1
ACE	186.4	180.02	209.84	37.85	21.94	33.78	121.79	27.64	71.5	76.17	155.5	69.52	0.0	0.0	3039.3	753.83	2090.03	3280.18	3564.78	5555.65	981.29	2468.49	1447.15	5479.15	8022.41	2047.0	3847.29	785.88	4419.52	1540.37	3742.05	1216.75	1295.13	1769.57	1857.6	185.11	8134.41	1250.98	1313.23	5995.9	8598.28	395.18	379.04	4358.66	1208.34	2935.74	35.5
AGER	98.73	80.57	287.01	94.01	109.66	45.21	115.16	37.59	40.93	68.55	43.94	86.43	0.0	0.28	459592.86	502929.67	267651.2	355624.68	163620.18	3372.43	336441.4	370726.6	200048.85	394590.4	313910.86	242898.5	577714.63	269512.87	220434.95	286861.53	209994.66	279017.26	249727.34	290865.98	209994.66	39785.74	383800.28	212926.09	363097.14	236256.4	373305.21	273275.14	482442.34	496005.67	170568.48	419990.32	9.78
ARHGEF6	66.18	88.88	81.71	17.64	15.45	18.84	46.84	6.11	36.53	83.45	27.64	43.94	123.5	81.14	1151.06	547.75	1259.69	819.3	2645.74	2004.85	738.29	1331.57	866.07	2004.85	1437.15	376.41	890.44	389.72	1551.09	265.87	769.69	368.65	450.94	305.55	718.08	226.54	1794.29	366.09	239.52	1023.0	2148.82	275.28	1111.82	769.69	507.46	785.88	29.06
ARL6	46.18	58.71	50.27	47.84	55.89	60.39	77.79	35.25	44.57	48.52	32.13	49.56	0.0	0.04	228.13	182.55	176.29	116.78	334.46	389.72	71.5	191.67	130.6	341.51	351.14	64.8	220.32	126.12	260.38	62.56	232.94	104.42	258.57	53.57	150.17	108.9	363.56	69.52	102.25	277.2	209.84	141.02	124.37	121.79	127.0	125.24	64.34
B3GALT2	1.93	0.57	0.82	0.75	1.75	0.0	0.36	0.0	2.32	0.41	0.38	0.66	0.0	0.0	42.41	108.14	143.01	9.34	307.69	231.32	7.28	140.04	22.43	220.32	341.51	4.78	50.98	45.53	124.37	4.46	20.71	13.03	80.01	9.34	18.97	1.35	155.5	11.73	7.0	76.71	46.18	96.68	63.89	50.98	21.63	20.11	0.21
B3GNT1	376.41	127.0	194.36	92.7	166.73	239.52	283.05	123.5	318.57	154.42	161.02	251.48	0.0	0.19	718.08	1088.92	802.41	660.68	981.29	1322.37	269.6	1685.71	703.28	1331.57	1259.69	392.44	921.88	1008.9	1073.91	423.61	878.17	379.04	1199.98	281.09	429.54	183.82	1001.93	409.15	921.88	860.08	1331.57	909.17	1044.52	497.0	269.6	587.13	123.5
BTBD3	85.82	103.69	176.29	101.54	70.01	84.04	71.0	271.48	293.07	126.12	46.84	126.12	0.0	0.49	420.68	309.83	429.54	291.04	848.22	1051.79	206.94	346.29	204.07	915.51	575.03	151.22	616.37	248.0	435.55	258.57	583.07	339.14	466.88	329.84	248.0	123.5	769.69	277.2	138.1	381.68	397.93	368.65	334.46	285.03	371.22	209.84	120.1
C19orf69	0.66	0.0	0.0	2.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	7.88	9.41	16.75	13.32	25.91	18.03	10.55	8.19	9.56	12.45	24.11	8.71	15.91	7.17	14.89	2.61	11.82	5.02	12.74	6.78	16.75	3.23	9.13	3.63	13.62	14.24	43.02	6.46	4.78	11.73	4.74	6.11	0.0
