	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.C5.A1BK.01B.11R.A13Y.07	TCGA.F7.A620.01A.11R.A28V.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.4506.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.11NSD.0326.SM.5A5LS	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.R55G.0826.SM.2TC5U	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXT.1426.SM.5LU4B	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.ZY6K.0326.SM.5SIBB	GTEX.S7SF.0426.SM.3K2B7	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRK.0926.SM.2HMKP	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.WYVS.0526.SM.3NM9W	TCGA.33.4589.01A.01R.1443.07	TCGA.37.3783.01A.01R.1201.07
ADD1	3146.52	2119.22	2915.45	1721.16	2485.67	2485.67	2591.27	0.0	1.0	1088.92	3982.99	5872.48	3081.75	5913.33	3349.13	3372.43	6887.62	8718.32	3589.58	2591.27	4123.49	3955.48	2835.7	4268.94	5006.93	4481.23	4704.07	5183.54	5479.15	3212.66	4736.79	3039.3	4937.99	5791.62	3395.89	5633.22	3955.48	3124.78	2555.58	3467.27	4736.79	2367.9	4038.61	8191.0	4512.4	5517.27	6792.79	3820.7	3820.7	2502.97	1427.22	1159.07
ADRA1A	0.0	0.0	0.0	0.0	0.89	0.0	2.53	0.0	0.31	1.75	22.75	107.38	27.84	221.86	22.92	39.22	14.35	158.79	54.33	5.59	87.03	22.26	20.86	13.72	135.24	68.55	149.12	96.01	67.12	23.25	65.72	18.97	93.35	78.89	48.18	72.52	7.28	45.53	24.81	2.63	65.72	55.1	113.56	208.38	28.24	30.34	56.28	69.03	68.07	10.0	0.69	0.0
AFF2	1.93	3.76	3.69	0.39	0.72	0.45	1.27	0.0	0.39	0.88	50.98	193.01	5.02	98.73	6.46	21.47	19.39	63.0	52.82	0.16	78.34	7.34	30.12	15.8	80.57	70.51	271.48	153.34	83.45	45.53	39.79	15.56	39.22	47.84	31.67	42.41	21.63	5.96	9.2	2.43	27.64	54.72	77.79	67.12	22.59	146.03	78.89	90.77	154.42	4.35	0.0	1.55
AKT3	26.28	17.38	11.91	29.7	68.55	16.51	28.45	0.0	0.59	37.32	262.2	748.61	63.89	660.68	65.72	189.02	164.42	185.11	212.78	101.54	371.22	131.51	114.36	144.01	339.14	647.07	738.29	995.0	507.46	273.37	381.68	111.99	209.84	327.56	633.73	503.95	166.73	167.9	36.53	69.52	633.73	236.21	743.43	1001.93	158.79	647.07	620.67	237.86	483.38	43.63	48.18	44.57
AP2B1	178.77	1697.45	647.07	353.59	567.1	532.74	406.31	0.0	0.97	902.89	3443.31	2855.44	1407.55	2520.38	1167.14	1030.12	1096.5	1519.15	1583.71	1991.0	2319.15	1662.49	1322.37	1561.89	1844.76	1662.49	2720.15	2133.97	3190.46	3018.3	1639.59	1709.26	1529.73	1991.0	1051.79	3081.75	1498.22	1540.37	813.63	866.07	1674.06	3081.75	3349.13	5112.16	1199.98	3928.15	1950.0	1628.26	3589.58	1340.84	679.29	529.06
ARHGAP6	8.45	3.2	4.03	10.08	6.06	15.68	6.01	0.0	0.49	11.91	303.44	295.11	80.01	435.55	68.07	155.5	248.0	325.29	205.5	56.28	173.85	127.89	129.69	128.79	217.27	297.17	480.04	327.56	361.04	139.07	490.14	73.54	255.0	236.21	236.21	426.57	119.26	122.64	27.64	31.22	183.82	128.79	180.02	438.59	131.51	353.59	470.14	409.15	258.57	24.99	5.28	11.91
ATOH8	15.34	87.65	3.11	23.76	34.75	36.79	36.01	0.0	0.44	56.28	1331.57	14765.09	995.0	11035.54	616.37	3395.89	12415.75	8778.97	2133.97	536.45	4512.4	1628.26	1340.84	3540.14	3018.3	5183.54	11424.74	9876.98	6471.02	3124.78	1417.35	202.66	1769.57	4639.29	2935.74	16045.82	131.51	780.44	674.59	309.83	1529.73	651.58	5292.48	12502.12	1295.13	6207.38	8901.53	1369.04	1397.83	146.03	11.04	15.45
CAB39L	67.59	43.02	36.27	43.32	20.11	212.78	51.35	0.0	0.11	40.07	314.17	567.1	134.3	607.87	149.12	214.27	376.41	536.45	536.45	63.0	457.25	305.55	167.9	197.09	507.46	307.69	748.61	384.34	460.44	277.2	466.88	255.0	363.56	460.44	307.69	642.59	307.69	198.47	155.5	120.1	256.78	376.41	543.96	366.09	161.02	848.22	559.28	224.97	379.04	97.36	54.72	169.07
CALCOCO2	813.63	1529.73	1896.65	1242.34	1268.46	1350.18	1674.06	2032.85	463.65	1127.35	2468.49	4298.64	1781.89	5041.77	1397.83	2119.22	3060.45	3515.68	2682.69	1605.83	3928.15	1769.57	1844.76	1896.65	3325.99	3690.52	4903.87	4419.52	3847.29	3212.66	3639.7	1651.0	1991.0	3018.3	4066.71	4010.71	1896.65	1909.85	1250.98	1437.15	2895.31	2468.49	4328.55	5219.6	2271.4	5006.93	3982.99	3419.52	3794.3	1340.84	802.41	1923.14
CD302	26.47	23.59	10.55	31.0	32.82	22.43	30.56	0.0	0.4	50.27	3564.78	3768.09	262.2	3614.55	293.07	1001.93	902.89	1617.0	1322.37	275.28	2119.22	902.89	738.29	444.72	2956.17	2148.82	3168.41	3467.27	2335.28	1963.57	1268.46	909.17	1551.09	2537.92	3190.46	3124.78	693.58	381.68	353.59	143.01	2193.99	2104.58	3491.39	4639.29	612.11	3874.05	3742.05	738.29	2855.44	242.88	55.1	189.02
