	TCGA.A8.A081.01A.11R.A00Z.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.AC.A2FB.01A.11R.A17B.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.A8.A07S.01A.11R.A034.07	TCGA.A2.A0EW.01A.21R.A115.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.E9.A1QZ.01A.21R.A169.07	TCGA.D8.A27G.01A.11R.A16F.07	TCGA.EW.A1P5.01A.11R.A144.07	TCGA.EW.A1J2.01A.21R.A13Q.07	TCGA.BH.A0W7.01A.11R.A115.07	TCGA.A8.A09N.01A.11R.A00Z.07	TCGA.BH.A0EB.01A.11R.A034.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.E9.A22H.01A.11R.A157.07	TCGA.A8.A0A1.01A.11R.A00Z.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.UB.AA0V.01A.11R.A38B.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.13FTZ.0726.SM.5IFFY	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07.1
CCDC89	47.84	88.26	8.99	10.0	6.26	4.03	19.39	3.06	10.08	9.7	14.45	8.51	35.0	7.17	12.27	90.77	2.78	5.73	20.86	25.91	15.11	2.94	2.53	2.81	3.47	1.14	6.78	1.45	3.17	1.27	4.46	0.48	1.71	0.41	1.01	1.45	2.58	5.23	2.58	2.89	2.51	3.35	1.73	3.41	1.41	1.51	1.1	2.94	2.27	0.0	1.69	1.5	0.0
CDC23	536.45	473.41	444.72	460.44	698.41	432.53	463.65	507.46	587.13	507.46	884.29	567.1	633.73	688.78	532.74	718.08	708.18	575.03	532.74	267.73	780.44	327.56	224.97	154.42	173.85	157.68	275.28	218.79	162.14	197.09	269.6	181.28	236.21	186.4	189.02	170.25	221.86	157.68	189.02	211.31	287.01	279.14	221.86	267.73	218.79	166.73	111.21	320.8	152.28	78.89	223.41	193.01	0.46
CDK5RAP1	1066.48	1233.75	713.11	536.45	743.43	493.56	813.63	1081.39	854.13	507.46	780.44	551.56	1135.2	748.61	642.59	909.17	579.04	723.08	500.46	896.64	703.28	540.19	417.77	432.53	493.56	389.72	435.55	493.56	392.44	514.56	409.15	483.38	473.41	384.34	483.38	503.95	490.14	363.56	363.56	555.41	305.55	579.04	486.75	403.5	536.45	497.0	457.25	400.71	450.94	417.77	473.41	463.65	182.55
CETN2	2335.28	2976.74	1819.35	1359.57	2384.37	1757.34	1369.04	4095.0	2384.37	1519.15	1313.23	1388.16	2451.44	1857.6	2209.26	2271.4	2591.27	1745.2	1794.29	2956.17	3124.78	460.44	1135.2	199.85	358.54	318.57	665.29	785.88	348.71	339.14	429.54	318.57	540.19	212.78	500.46	346.29	295.11	381.68	318.57	555.41	287.01	420.68	281.09	1001.93	612.11	381.68	281.09	743.43	441.64	180.02	332.14	423.61	0.0
CETN3	669.92	1378.57	848.22	607.87	1151.06	703.28	708.18	1051.79	1104.13	723.08	1030.12	723.08	1119.56	1127.35	679.29	1051.79	954.43	825.0	813.63	941.27	1540.37	423.61	403.5	197.09	228.13	312.0	460.44	299.25	265.87	236.21	293.07	253.23	303.44	332.14	420.68	229.72	444.72	170.25	327.56	363.56	325.29	297.17	301.33	450.94	353.59	234.57	155.5	423.61	400.71	170.25	307.69	363.56	0.0
CRNKL1	1135.2	1477.58	748.61	753.83	961.07	638.15	759.08	825.0	1216.75	603.67	825.0	848.22	1277.29	848.22	915.51	921.88	1073.91	842.36	688.78	878.17	1277.29	366.09	264.03	269.6	283.05	205.5	332.14	273.37	224.97	379.04	403.5	341.51	371.22	297.17	368.65	348.71	361.04	234.57	251.48	323.03	297.17	346.29	387.02	384.34	232.94	215.77	283.05	224.97	318.57	255.0	293.07	269.6	0.25
CSRP2BP	358.54	387.02	279.14	269.6	353.59	241.19	285.03	327.56	490.14	275.28	297.17	281.09	295.11	373.81	314.17	435.55	361.04	318.57	309.83	368.65	466.88	249.73	158.79	269.6	158.79	136.19	167.9	185.11	234.57	191.67	150.17	142.01	220.32	189.02	176.29	148.09	279.14	206.94	185.11	205.5	307.69	271.48	253.23	134.3	123.5	140.04	141.02	165.57	163.28	83.45	198.47	231.32	0.0
DSCC1	199.85	106.63	162.14	41.22	66.65	58.71	59.13	42.41	96.68	96.68	88.88	35.5	87.03	90.77	49.56	127.89	111.21	70.01	93.35	63.89	204.07	25.72	17.64	7.11	7.57	8.13	32.59	16.63	5.45	7.63	11.3	4.46	14.24	10.88	8.78	7.17	18.7	10.16	11.13	14.45	8.06	13.42	12.27	27.44	7.22	13.12	9.06	23.93	10.79	6.73	7.57	13.32	0.0
DSTN	11745.96	20170.07	11035.54	9279.58	13586.57	10225.32	15499.21	7749.1	14561.8	10959.3	11112.3	10440.2	15824.9	24321.43	13399.51	18304.63	12160.22	9876.98	12589.08	13586.57	24832.5	4512.4	4066.71	1417.35	3280.18	1628.26	4066.71	3589.58	2400.97	2682.69	4736.79	1519.15	3060.45	1806.78	3955.48	2224.63	3928.15	2335.28	2163.77	3540.14	3564.78	3515.68	1051.79	5594.3	2224.63	2367.9	1794.29	4671.57	1806.78	1331.57	2271.4	3018.3	253.23
DYNLRB1	8538.88	15934.98	5479.15	5791.62	6079.61	5366.37	4769.75	13968.57	9945.68	4575.41	6294.04	4328.55	7803.01	6699.25	7180.15	9151.82	5255.91	5913.33	3768.09	9151.82	9808.75	2997.45	3081.75	1794.29	2047.0	2271.4	3257.52	1745.2	2627.46	2148.82	2287.2	1769.57	3491.39	2335.28	3614.55	2451.44	2303.12	3515.68	2537.92	2816.11	2796.65	2335.28	1923.14	4512.4	3280.18	2004.85	3039.3	3018.3	3372.43	2384.37	2335.28	2351.53	1.04
DZANK1	105.89	108.14	61.68	73.03	98.73	86.43	85.22	87.03	139.07	72.52	139.07	100.13	122.64	60.39	78.89	129.69	100.83	133.36	103.69	80.01	145.02	16.88	8.25	11.91	13.32	14.45	18.03	13.42	9.93	18.56	15.34	11.55	30.56	7.82	13.12	16.39	24.81	9.56	5.06	5.28	14.78	27.64	28.24	13.22	11.3	11.82	6.78	21.94	23.59	1.33	6.01	14.45	0.22
EIF2AK1	3349.13	2303.12	3303.0	2255.7	2537.92	1909.85	1991.0	2956.17	3443.31	2956.17	2255.7	2609.3	2537.92	2537.92	3235.01	3443.31	2520.38	2119.22	2573.36	3372.43	3395.89	1651.0	1350.18	981.29	1127.35	915.51	1529.73	1216.75	1467.37	967.76	1233.75	928.3	1832.01	1242.34	1322.37	1066.48	1001.93	1304.15	1159.07	1191.69	1447.15	995.0	1208.34	1268.46	961.07	1167.14	1183.45	1745.2	1519.15	759.08	1066.48	1073.91	878.17
