	TCGA.A8.A081.01A.11R.A00Z.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.AC.A2FB.01A.11R.A17B.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.A8.A07S.01A.11R.A034.07	TCGA.A2.A0EW.01A.21R.A115.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.E9.A1QZ.01A.21R.A169.07	TCGA.D8.A27G.01A.11R.A16F.07	TCGA.EW.A1P5.01A.11R.A144.07	TCGA.EW.A1J2.01A.21R.A13Q.07	TCGA.BH.A0W7.01A.11R.A115.07	TCGA.A8.A09N.01A.11R.A00Z.07	TCGA.BH.A0EB.01A.11R.A034.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.E9.A22H.01A.11R.A157.07	TCGA.A8.A0A1.01A.11R.A00Z.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.UB.AA0V.01A.11R.A38B.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.13FTZ.0726.SM.5IFFY	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07.1
MAVS	656.11	466.88	303.44	412.0	251.48	358.54	387.02	246.28	265.87	318.57	244.57	389.72	167.9	447.82	193.01	395.18	316.37	429.54	563.18	171.45	283.05	145.02	151.22	38.12	92.7	107.38	75.64	45.85	123.5	59.55	67.12	149.12	79.45	70.51	59.13	93.35	153.34	110.43	127.0	58.3	150.17	100.83	186.4	85.22	98.04	88.88	130.6	107.38	100.13	44.89	64.34	100.13	0.51
MCTS1	1583.71	1977.24	1844.76	1008.9	1896.65	1322.37	1167.14	1950.0	1498.22	1208.34	1583.71	981.29	1605.83	1896.65	1883.54	1529.73	1551.09	1259.69	1104.13	1519.15	1936.53	1073.91	934.76	543.96	518.15	514.56	1104.13	974.5	764.36	511.0	830.75	473.41	941.27	785.88	1059.11	728.11	684.02	928.3	612.11	718.08	620.67	698.41	507.46	1407.55	866.07	638.15	665.29	1104.13	759.08	629.35	647.07	796.86	0.43
MORF4L2	8479.89	4210.15	12764.83	5594.3	12943.04	6164.49	8134.41	6652.97	5995.9	10959.3	12076.21	10883.59	6607.01	9279.58	9808.75	10368.08	14971.21	15180.22	7857.29	36106.23	30572.63	4298.64	2935.74	2047.0	2434.5	3190.46	3235.01	3018.3	1487.87	1977.24	4328.55	1832.01	2816.11	2367.9	3419.52	2018.8	2664.15	2664.15	1662.49	2835.7	1963.57	2163.77	2032.85	4388.98	2935.74	2976.74	3847.29	3349.13	2075.59	3419.52	2287.2	2627.46	277.2
MTX2	1104.13	981.29	1199.98	854.13	1268.46	860.08	909.17	909.17	1111.82	1001.93	1104.13	1066.48	1015.93	981.29	928.3	981.29	1457.23	947.83	967.76	1498.22	1295.13	748.61	587.13	551.56	647.07	503.95	555.41	669.92	457.25	591.22	759.08	279.14	559.28	543.96	450.94	463.65	629.35	532.74	723.08	693.58	819.3	651.58	660.68	612.11	547.75	571.05	679.29	708.18	629.35	336.79	518.15	633.73	0.0
NAA20	3018.3	4769.75	2664.15	2240.11	1936.53	1733.13	1651.0	2367.9	3928.15	1991.0	2739.08	1950.0	2701.35	2976.74	2335.28	4123.49	2104.58	1950.0	2004.85	4152.18	4704.07	1697.45	1331.57	1250.98	753.83	1066.48	1662.49	1605.83	1359.57	866.07	1457.23	684.02	1963.57	1757.34	2502.97	947.83	1378.57	1457.23	1151.06	1233.75	1540.37	1216.75	1081.39	1417.35	1447.15	1059.11	1551.09	1950.0	1950.0	902.89	1467.37	1242.34	371.22
NECAP1	974.5	647.07	595.34	607.87	703.28	511.0	575.03	490.14	934.76	825.0	620.67	599.49	559.28	819.3	665.29	480.04	902.89	647.07	633.73	902.89	896.64	395.18	320.8	332.14	323.03	267.73	265.87	303.44	205.5	241.19	371.22	241.19	327.56	339.14	215.77	241.19	339.14	148.09	193.01	285.03	173.85	341.51	285.03	429.54	351.14	309.83	327.56	376.41	299.25	329.84	189.02	277.2	0.73
NGRN	2468.49	3540.14	3280.18	2956.17	2720.15	2976.74	2758.13	3443.31	3564.78	4210.15	4736.79	2855.44	2502.97	2701.35	3039.3	5594.3	3018.3	2384.37	2875.3	6699.25	2956.17	1832.01	1819.35	1208.34	1359.57	878.17	2032.85	1561.89	1331.57	974.5	1844.76	947.83	1540.37	1331.57	2032.85	1088.92	1378.57	1073.91	1397.83	1388.16	1508.65	1304.15	981.29	1923.14	2061.24	1407.55	1397.83	1617.0	1331.57	1277.29	1216.75	1388.16	0.88
NKAP	583.07	703.28	486.75	353.59	486.75	327.56	406.31	759.08	507.46	341.51	490.14	379.04	435.55	660.68	392.44	571.05	420.68	432.53	426.57	583.07	595.34	316.37	273.37	111.21	163.28	177.53	232.94	224.97	197.09	264.03	287.01	149.12	262.2	246.28	291.04	228.13	183.82	159.9	202.66	206.94	258.57	211.31	186.4	381.68	291.04	248.0	277.2	242.88	244.57	148.09	165.57	191.67	0.54
NOL7	1127.35	1378.57	1639.59	1175.27	1268.46	1175.27	1295.13	2178.83	1561.89	1135.2	1388.16	1208.34	2417.67	1340.84	1519.15	1991.0	1175.27	1340.84	1250.98	1733.13	1963.57	1127.35	759.08	532.74	532.74	368.65	764.36	728.11	656.11	454.09	1044.52	500.46	684.02	642.59	780.44	543.96	708.18	660.68	559.28	679.29	642.59	708.18	540.19	1030.12	647.07	599.49	503.95	866.07	665.29	470.14	603.67	688.78	0.61
NOMO1	1757.34	3146.52	2935.74	1250.98	2537.92	1447.15	1709.26	1832.01	1709.26	1233.75	2119.22	1104.13	1709.26	1757.34	2018.8	1572.76	2739.08	1378.57	1175.27	1883.54	2018.8	836.53	753.83	567.1	567.1	493.56	733.19	660.68	684.02	511.0	708.18	567.1	796.86	616.37	860.08	559.28	540.19	825.0	642.59	651.58	713.11	587.13	483.38	1322.37	708.18	457.25	435.55	738.29	547.75	463.65	723.08	567.1	0.72
NQO1	10368.08	3665.02	11827.67	3716.2	1304.15	1167.14	7433.4	6121.9	3395.89	3742.05	28132.47	3847.29	4450.27	2555.58	2133.97	6207.38	3540.14	4736.79	1844.76	15392.14	4152.18	237.86	57.08	8.13	5.87	9.63	1167.14	27.44	34.75	21.78	223.41	16.63	269.6	17.77	5872.48	57.49	38.95	47.84	10.16	43.63	40.93	19.82	33.3	466.88	197.09	46.84	71.5	34.26	52.45	19.82	5.32	15.56	0.92
NSFL1C	2520.38	3515.68	2032.85	1447.15	1286.18	1745.2	1674.06	2468.49	2956.17	1477.58	2367.9	1437.15	1950.0	2417.67	2061.24	2682.69	1388.16	1950.0	1467.37	2816.11	3103.19	1498.22	1135.2	775.05	1037.29	656.11	1159.07	1151.06	1286.18	896.64	1407.55	1023.0	1322.37	753.83	1857.6	1216.75	848.22	1350.18	1159.07	974.5	1268.46	1037.29	830.75	1857.6	1437.15	1286.18	1519.15	1397.83	1183.45	1583.71	1073.91	947.83	142.01
ORC6	343.89	153.34	78.89	37.05	66.18	43.02	59.97	68.55	111.21	76.17	140.04	39.5	88.26	108.14	58.71	81.71	127.0	82.87	77.79	173.85	353.59	36.53	10.08	2.58	7.22	10.31	12.45	8.19	3.92	12.55	6.26	3.47	25.54	2.48	5.36	3.99	5.06	9.06	4.7	24.63	7.57	30.78	16.63	66.65	13.22	9.27	5.77	18.56	22.26	5.59	15.0	6.78	0.45
PAFAH1B3	3325.99	3768.09	3039.3	1104.13	2468.49	4419.52	1467.37	3467.27	2224.63	2468.49	2777.33	1519.15	2758.13	3419.52	2609.3	2956.17	2209.26	2417.67	1059.11	4388.98	2935.74	181.28	154.42	65.26	78.89	48.52	267.73	39.79	72.52	309.83	116.78	115.16	204.07	43.63	154.42	181.28	38.12	105.89	110.43	91.41	406.31	175.07	155.5	848.22	244.57	208.38	108.9	157.68	57.49	125.24	47.84	55.49	0.27
PAIP2	2720.15	3039.3	4268.94	2915.45	2915.45	2434.5	2645.74	2591.27	4152.18	3395.89	4038.61	2451.44	3540.14	3103.19	2875.3	5183.54	2935.74	2739.08	2720.15	1923.14	4802.93	1806.78	1617.0	830.75	1088.92	921.88	1674.06	1225.22	1331.57	1175.27	1313.23	1208.34	1819.35	1359.57	1674.06	1143.1	1467.37	1733.13	1159.07	1250.98	1594.73	1467.37	1001.93	2224.63	1457.23	1427.22	1233.75	2075.59	1551.09	1340.84	1322.37	1437.15	0.74
PANK2	595.34	1225.22	579.04	575.03	511.0	486.75	466.88	587.13	995.0	551.56	603.67	532.74	1030.12	540.19	559.28	540.19	679.29	656.11	612.11	409.15	591.22	371.22	358.54	231.32	258.57	241.19	301.33	389.72	368.65	221.86	423.61	237.86	267.73	287.01	163.28	165.57	320.8	379.04	251.48	289.02	239.52	211.31	358.54	395.18	301.33	297.17	327.56	291.04	260.38	277.2	283.05	316.37	0.56
PCIF1	595.34	780.44	575.03	713.11	444.72	616.37	674.59	624.99	713.11	563.18	764.36	651.58	836.53	435.55	684.02	595.34	389.72	665.29	616.37	842.36	708.18	384.34	246.28	395.18	327.56	336.79	351.14	341.51	221.86	438.59	265.87	423.61	248.0	329.84	339.14	514.56	307.69	343.89	303.44	264.03	314.17	379.04	414.87	287.01	325.29	264.03	279.14	293.07	379.04	406.31	559.28	303.44	0.73
PCNA	5517.27	6207.38	3039.3	2004.85	2178.83	2367.9	1819.35	2976.74	5041.77	2555.58	3168.41	1427.22	5441.3	4095.0	2335.28	4152.18	4268.94	2875.3	2193.99	3303.0	5329.3	1498.22	974.5	470.14	444.72	571.05	1151.06	890.44	591.22	470.14	830.75	318.57	1175.27	830.75	493.56	647.07	693.58	591.22	723.08	884.29	620.67	708.18	708.18	1685.71	780.44	764.36	723.08	896.64	947.83	525.39	819.3	785.88	0.12
PDZD11	1781.89	1769.57	2104.58	1119.56	3395.89	1397.83	1427.22	2468.49	1832.01	1745.2	1923.14	1407.55	1844.76	1806.78	2209.26	2178.83	2485.67	1832.01	1030.12	2915.45	2133.97	703.28	684.02	249.73	441.64	307.69	703.28	500.46	624.99	551.56	563.18	368.65	753.83	341.51	748.61	555.41	612.11	450.94	470.14	642.59	819.3	647.07	403.5	1183.45	718.08	454.09	480.04	825.0	808.0	373.81	392.44	371.22	0.44
PET117	476.71	995.0	256.78	316.37	242.88	312.0	242.88	521.76	463.65	255.0	420.68	279.14	466.88	341.51	309.83	392.44	275.28	363.56	239.52	353.59	669.92	287.01	305.55	220.32	193.01	246.28	346.29	187.71	303.44	147.06	231.32	193.01	232.94	329.84	218.79	209.84	198.47	285.03	214.27	269.6	187.71	198.47	183.82	264.03	228.13	186.4	199.85	253.23	303.44	129.69	293.07	215.77	0.28
POLR2G	2104.58	6745.86	3928.15	2417.67	2875.3	2664.15	2004.85	2609.3	3690.52	1936.53	3564.78	2468.49	3716.2	5147.73	4010.71	3395.89	3491.39	3103.19	2417.67	4419.52	3303.0	1313.23	1175.27	1008.9	941.27	825.0	1508.65	1242.34	1051.79	842.36	1359.57	1051.79	1605.83	1175.27	848.22	780.44	1001.93	1639.59	1369.04	1037.29	1225.22	1073.91	947.83	1437.15	1119.56	1088.92	679.29	1175.27	954.43	629.35	1081.39	902.89	0.56
POLR2K	2758.13	2434.5	3081.75	1407.55	1883.54	1685.71	1477.58	1857.6	2004.85	1832.01	1857.6	1268.46	2061.24	2739.08	1662.49	3467.27	2367.9	1477.58	2119.22	1662.49	3874.05	1199.98	1167.14	480.04	493.56	693.58	1135.2	1015.93	866.07	603.67	1104.13	381.68	1159.07	830.75	1066.48	684.02	796.86	733.19	723.08	866.07	775.05	698.41	420.68	1806.78	1322.37	759.08	791.35	1467.37	988.12	503.95	708.18	848.22	0.8
POLR3F	251.48	287.01	147.06	171.45	172.65	144.01	202.66	173.85	346.29	171.45	198.47	180.02	258.57	285.03	187.71	256.78	237.86	172.65	208.38	204.07	336.79	122.64	70.01	66.65	49.56	70.01	120.94	100.83	81.71	92.7	75.64	87.65	61.25	85.82	48.87	83.45	105.89	60.82	73.54	84.63	76.17	77.79	100.13	125.24	47.5	66.65	52.82	115.97	137.14	35.5	129.69	146.03	0.21
POP4	2271.4	2875.3	1844.76	1561.89	1977.24	1295.13	1662.49	2271.4	1721.16	1572.76	1806.78	1540.37	2148.82	1923.14	1605.83	1639.59	1572.76	1662.49	1617.0	2682.69	2090.03	1191.69	967.76	791.35	836.53	748.61	967.76	1023.0	988.12	848.22	1151.06	748.61	1199.98	791.35	1159.07	884.29	921.88	638.15	921.88	769.69	1073.91	1096.5	808.0	1498.22	1119.56	1059.11	1059.11	1208.34	1044.52	718.08	896.64	909.17	0.44
PPM1J	234.57	909.17	1088.92	197.09	457.25	432.53	187.71	813.63	480.04	220.32	753.83	204.07	414.87	353.59	591.22	420.68	361.04	154.42	356.05	426.57	262.2	19.68	9.2	30.78	12.55	55.1	46.18	53.57	28.45	21.32	25.17	8.38	17.51	32.59	20.71	40.07	30.12	48.18	2.68	46.84	15.45	18.56	36.79	15.68	26.28	26.1	18.84	37.85	40.64	9.06	11.55	18.7	0.21
PSMA1	4066.71	2777.33	4152.18	2915.45	3742.05	3018.3	3257.52	3103.19	4802.93	3303.0	4512.4	2875.3	3847.29	5076.84	3847.29	3847.29	4328.55	3901.01	3146.52	4512.4	4937.99	3060.45	1844.76	1870.53	1498.22	2351.53	2997.45	3280.18	2004.85	1950.0	1769.57	2178.83	2555.58	2193.99	2796.65	1909.85	2075.59	1697.45	1583.71	2148.82	1794.29	2047.0	2319.15	2935.74	2193.99	1963.57	2018.8	3018.3	3190.46	1551.09	2119.22	2303.12	848.22
PSMD10	1757.34	1277.29	1407.55	1044.52	1685.71	1081.39	1051.79	1697.45	1378.57	1208.34	1457.23	1023.0	1151.06	1757.34	1519.15	1769.57	1572.76	1159.07	1151.06	1781.89	2351.53	624.99	339.14	269.6	400.71	339.14	563.18	514.56	275.28	301.33	587.13	185.11	351.14	323.03	500.46	392.44	379.04	318.57	353.59	493.56	316.37	327.56	267.73	540.19	679.29	341.51	341.51	567.1	275.28	236.21	334.46	500.46	277.2
PTGES3	9474.59	6164.49	6699.25	5711.87	6037.61	5711.87	5183.54	5183.54	7130.55	5913.33	6745.86	5479.15	7966.99	17437.64	5954.47	7749.1	7180.15	7180.15	5995.9	6121.9	9808.75	3540.14	3820.7	2004.85	2664.15	2502.97	3212.66	3515.68	2816.11	2319.15	4607.24	2148.82	2976.74	2434.5	3768.09	2627.46	3190.46	2816.11	2400.97	3190.46	2664.15	2720.15	2351.53	4210.15	3901.01	3794.3	3443.31	3257.52	2451.44	1963.57	2956.17	3491.39	0.71
PTPRA	2075.59	2319.15	1397.83	1447.15	1340.84	1295.13	1397.83	1806.78	2104.58	1674.06	1561.89	1733.13	1605.83	1583.71	1216.75	1721.16	1605.83	1561.89	1685.71	1167.14	1572.76	500.46	417.77	256.78	309.83	183.82	543.96	305.55	239.52	293.07	314.17	309.83	483.38	366.09	253.23	297.17	426.57	336.79	198.47	346.29	559.28	420.68	289.02	293.07	291.04	260.38	239.52	400.71	256.78	356.05	358.54	255.0	0.75
RARRES3	23009.42	6840.04	25354.3	29531.18	16611.71	4704.07	9151.82	18689.27	11909.94	4607.24	20170.07	3235.01	14561.8	14361.31	15715.58	31215.04	21172.91	4239.45	13586.57	12502.12	10440.2	2178.83	6471.02	1844.76	1819.35	1208.34	2573.36	1832.01	2956.17	2701.35	3212.66	2367.9	8598.28	2240.11	8840.04	4671.57	1923.14	1498.22	2935.74	2319.15	6294.04	4481.23	1794.29	7911.95	18178.19	2255.7	1295.13	3742.05	2075.59	1417.35	1350.18	1857.6	0.85
RHNO1	1159.07	1081.39	825.0	688.78	967.76	1037.29	466.88	723.08	954.43	674.59	669.92	713.11	748.61	769.69	872.1	532.74	1167.14	836.53	536.45	1277.29	753.83	175.07	55.89	44.89	77.25	102.97	124.37	94.01	58.71	35.76	109.66	53.19	67.12	115.16	124.37	63.0	73.03	269.6	72.52	117.6	103.69	63.45	75.64	228.13	93.35	65.72	63.0	170.25	57.08	47.17	88.88	62.12	0.21
RNF10	2520.38	2351.53	3639.7	3349.13	4038.61	3467.27	3419.52	2537.92	4095.0	3280.18	3768.09	2956.17	3847.29	5672.41	4543.8	4736.79	4328.55	3564.78	3491.39	6426.31	4123.49	2417.67	2178.83	2163.77	2537.92	2400.97	2976.74	2935.74	2004.85	2758.13	2209.26	2075.59	1991.0	2148.82	2682.69	2032.85	2193.99	1733.13	1709.26	2591.27	1594.73	2018.8	1674.06	3280.18	2935.74	1819.35	2240.11	2004.85	2739.08	3146.52	2335.28	1769.57	0.97
RPA3	2018.8	1651.0	2451.44	981.29	1233.75	1175.27	974.5	1295.13	1378.57	1081.39	1369.04	785.88	1857.6	1397.83	1733.13	1745.2	1508.65	1519.15	1066.48	1001.93	1467.37	981.29	1167.14	305.55	514.56	463.65	583.07	612.11	1073.91	603.67	723.08	473.41	1066.48	454.09	1159.07	620.67	830.75	995.0	395.18	872.1	836.53	764.36	540.19	1651.0	607.87	507.46	733.19	1066.48	1030.12	551.56	813.63	896.64	0.36
RPN2	16496.96	14461.21	7382.04	5329.3	6561.36	6250.56	6164.49	10154.69	9025.81	6471.02	6887.62	4512.4	9540.5	7032.37	8538.88	5831.91	7642.41	6471.02	4869.99	10959.3	7081.29	3820.7	4152.18	2163.77	2303.12	2004.85	3372.43	2468.49	2875.3	2047.0	3716.2	2400.97	4268.94	2555.58	3419.52	2303.12	2591.27	3742.05	2209.26	2591.27	3467.27	2384.37	1685.71	3847.29	4038.61	3372.43	3103.19	3564.78	2777.33	2417.67	2367.9	2335.28	0.55
SAE1	2090.03	1617.0	1806.78	1572.76	2163.77	2240.11	1651.0	1551.09	1950.0	2255.7	1991.0	1350.18	2193.99	2855.44	1674.06	1572.76	2816.11	1487.87	1639.59	2193.99	2739.08	884.29	521.76	414.87	483.38	329.84	753.83	543.96	444.72	397.93	624.99	327.56	674.59	486.75	409.15	525.39	412.0	454.09	387.02	387.02	503.95	417.77	400.71	764.36	500.46	518.15	432.53	684.02	361.04	518.15	444.72	381.68	0.71
SNRPB2	1662.49	2758.13	1286.18	836.53	1066.48	915.51	1104.13	1119.56	1832.01	941.27	1073.91	954.43	1991.0	1709.26	1359.57	1066.48	1304.15	1037.29	1073.91	1697.45	2240.11	688.78	543.96	387.02	348.71	323.03	642.59	591.22	441.64	366.09	713.11	305.55	376.41	525.39	642.59	470.14	435.55	540.19	454.09	551.56	514.56	521.76	376.41	947.83	392.44	403.5	406.31	759.08	514.56	438.59	460.44	583.07	1572.76
SNRPE	6652.97	10296.45	5791.62	3742.05	6164.49	7433.4	3564.78	7180.15	6607.01	4937.99	5366.37	4671.57	7433.4	5076.84	6207.38	4802.93	6471.02	4704.07	3690.52	7642.41	4575.41	2701.35	2240.11	1407.55	1143.1	802.41	1757.34	1697.45	2915.45	866.07	2720.15	1350.18	2119.22	1340.84	2224.63	1457.23	1936.53	2209.26	1508.65	2319.15	1605.83	1313.23	1685.71	3515.68	2240.11	1733.13	1909.85	2855.44	1883.54	1259.69	1313.23	2090.03	0.74
SRXN1	708.18	1242.34	915.51	620.67	575.03	591.22	497.0	974.5	1008.9	836.53	941.27	567.1	802.41	743.43	603.67	808.0	693.58	563.18	543.96	947.83	1322.37	591.22	215.77	417.77	279.14	454.09	733.19	432.53	336.79	155.5	267.73	82.87	941.27	587.13	753.83	169.07	155.5	521.76	466.88	269.6	211.31	162.14	409.15	559.28	336.79	218.79	348.71	214.27	237.86	376.41	256.78	384.34	0.92
STK35	567.1	540.19	193.01	395.18	283.05	291.04	253.23	206.94	429.54	262.2	244.57	258.57	343.89	444.72	201.25	204.07	293.07	283.05	273.37	205.5	432.53	149.12	111.99	55.89	70.51	100.83	98.73	71.0	98.04	137.14	31.22	92.05	108.9	66.65	82.87	81.71	66.18	43.94	109.66	99.43	85.22	111.21	217.27	98.04	39.5	43.94	82.87	86.43	123.5	61.68	53.57	128.79	0.67
SULT1A4	480.04	642.59	511.0	417.77	195.72	466.88	339.14	480.04	728.11	287.01	253.23	329.84	563.18	246.28	256.78	144.01	460.44	283.05	320.8	246.28	780.44	208.38	185.11	133.36	33.78	142.01	83.45	55.1	199.85	463.65	127.0	105.15	171.45	138.1	909.17	80.57	206.94	197.09	56.28	110.43	186.4	339.14	175.07	55.1	85.82	45.53	248.0	55.1	76.17	26.86	343.89	128.79	0.31
SYTL2	723.08	890.44	2451.44	743.43	1977.24	1583.71	830.75	616.37	1015.93	571.05	3235.01	902.89	1001.93	1350.18	2555.58	1073.91	1159.07	1199.98	1151.06	6079.61	4836.35	258.57	108.9	88.88	287.01	39.79	291.04	73.03	62.12	121.79	231.32	71.0	102.25	55.89	110.43	50.98	303.44	53.57	142.01	283.05	128.79	221.86	106.63	366.09	144.01	108.9	172.65	146.03	171.45	129.69	166.73	136.19	0.62
TAF10	4268.94	2855.44	4937.99	3982.99	3665.02	3589.58	3124.78	4639.29	4543.8	3443.31	4419.52	2682.69	4671.57	3901.01	4802.93	5076.84	3794.3	4298.64	3257.52	4038.61	3955.48	2645.74	2335.28	4328.55	3467.27	3018.3	3690.52	2777.33	3303.0	2976.74	2104.58	2645.74	2384.37	1909.85	3491.39	2855.44	2502.97	2609.3	2303.12	3060.45	3060.45	2720.15	2682.69	3467.27	3665.02	3235.01	2119.22	1923.14	2915.45	2434.5	2976.74	2004.85	0.77
TBC1D20	559.28	693.58	409.15	656.11	555.41	483.38	559.28	612.11	693.58	603.67	525.39	651.58	698.41	647.07	497.0	624.99	476.71	599.49	603.67	463.65	884.29	341.51	186.4	258.57	264.03	412.0	323.03	212.78	181.28	295.11	229.72	260.38	164.42	226.54	223.41	249.73	251.48	182.55	226.54	305.55	224.97	366.09	291.04	258.57	195.72	253.23	246.28	231.32	327.56	144.01	241.19	187.71	117.6
TCEAL1	571.05	698.41	1551.09	620.67	3190.46	775.05	1923.14	1498.22	909.17	647.07	2537.92	1923.14	595.34	769.69	1508.65	2417.67	3018.3	2701.35	995.0	10368.08	6250.56	438.59	218.79	112.77	239.52	211.31	642.59	199.85	166.73	575.03	305.55	228.13	244.57	205.5	332.14	265.87	483.38	323.03	177.53	244.57	277.2	373.81	149.12	559.28	271.48	287.01	358.54	376.41	514.56	289.02	309.83	325.29	0.57
TCEAL3	1721.16	1572.76	4239.45	830.75	1870.53	1651.0	2209.26	3190.46	890.44	1259.69	4769.75	2032.85	1143.1	836.53	1709.26	2935.74	2451.44	5872.48	866.07	7382.04	7331.05	353.59	176.29	71.5	96.01	43.63	708.18	43.63	52.45	205.5	180.02	82.29	61.68	18.43	57.49	52.45	237.86	98.73	95.34	109.66	59.55	141.02	41.81	403.5	120.1	148.09	124.37	182.55	325.29	248.0	98.04	62.12	0.74
TCEAL4	3491.39	4802.93	9279.58	2664.15	14461.21	4268.94	9088.59	6079.61	3928.15	3820.7	23009.42	8078.22	4010.71	4704.07	9540.5	9945.68	13681.08	18950.18	3742.05	60723.88	25887.07	3325.99	2133.97	2255.7	2004.85	1331.57	3742.05	1159.07	1277.29	2133.97	1806.78	1806.78	1628.26	2384.37	1685.71	1477.58	2178.83	1242.34	2240.11	1709.26	1883.54	2178.83	1498.22	2855.44	1457.23	1709.26	1977.24	2875.3	2739.08	1605.83	2090.03	1721.16	1639.59
TCTEX1D2	642.59	1127.35	1073.91	466.88	571.05	358.54	379.04	629.35	836.53	511.0	285.03	483.38	620.67	271.48	497.0	555.41	518.15	281.09	348.71	547.75	693.58	103.69	115.97	20.71	31.22	41.81	78.89	44.89	43.32	43.32	83.45	17.38	62.56	19.39	153.34	29.91	49.91	16.39	45.85	78.89	82.29	60.39	23.59	208.38	64.34	44.89	26.1	53.57	55.89	20.86	59.13	189.02	0.39
TMEM55B	500.46	860.08	567.1	547.75	457.25	450.94	620.67	684.02	665.29	607.87	669.92	587.13	743.43	426.57	603.67	974.5	403.5	473.41	647.07	507.46	559.28	444.72	318.57	267.73	490.14	583.07	536.45	698.41	301.33	373.81	351.14	366.09	305.55	353.59	293.07	387.02	329.84	480.04	395.18	463.65	353.59	371.22	612.11	571.05	379.04	387.02	309.83	473.41	371.22	320.8	361.04	356.05	0.85
TRMT6	470.14	403.5	314.17	234.57	237.86	323.03	279.14	267.73	457.25	182.55	373.81	248.0	361.04	356.05	264.03	309.83	291.04	403.5	260.38	361.04	571.05	156.59	90.77	77.79	64.8	82.29	115.16	111.21	92.7	87.65	102.97	62.56	73.54	81.14	62.12	100.83	76.71	121.79	92.05	98.73	69.03	93.35	71.0	81.71	72.01	88.26	76.71	106.63	111.99	123.5	96.01	85.22	0.11
TSPAN1	2061.24	521.76	1794.29	713.11	8658.09	1088.92	738.29	2335.28	536.45	1159.07	2163.77	2609.3	2701.35	5479.15	4769.75	2384.37	3467.27	2047.0	860.08	3665.02	2485.67	145.02	85.82	62.12	173.85	87.65	100.83	426.57	52.45	206.94	457.25	220.32	480.04	94.01	202.66	228.13	51.35	95.34	104.42	182.55	77.79	267.73	77.25	318.57	96.01	480.04	231.32	176.29	40.07	187.71	176.29	147.06	1617.0
TSPAN15	1250.98	3443.31	2417.67	2335.28	3190.46	3874.05	3212.66	1685.71	1378.57	3190.46	2384.37	2956.17	3955.48	6294.04	4181.07	2485.67	3303.0	2627.46	2224.63	5594.3	2537.92	267.73	193.01	59.97	59.13	123.5	1199.98	24.99	133.36	167.9	136.19	156.59	35.5	59.97	100.83	165.57	353.59	87.65	57.89	271.48	176.29	237.86	72.01	571.05	147.06	151.22	117.6	199.85	201.25	74.06	124.37	153.34	0.6
UBE2A	1427.22	1388.16	1561.89	1259.69	2335.28	1268.46	1427.22	2004.85	1950.0	1745.2	1757.34	1259.69	1519.15	1977.24	1628.26	1651.0	1950.0	1286.18	1437.15	1674.06	2555.58	684.02	463.65	307.69	389.72	297.17	775.05	444.72	363.56	307.69	529.06	307.69	503.95	384.34	503.95	373.81	368.65	633.73	303.44	397.93	329.84	426.57	332.14	591.22	551.56	373.81	346.29	559.28	363.56	332.14	314.17	412.0	0.95
UBE2T	1250.98	2255.7	890.44	412.0	579.04	995.0	182.55	647.07	1199.98	647.07	525.39	223.41	802.41	830.75	351.14	819.3	1151.06	483.38	214.27	642.59	575.03	64.34	46.84	2.56	16.63	11.82	45.21	42.71	7.69	23.42	20.11	16.75	21.47	5.54	31.67	0.0	13.03	23.93	6.36	33.06	18.7	24.28	13.22	205.5	55.1	16.51	11.47	20.11	30.78	7.46	17.64	25.91	0.13
