	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.AR.A24P.01A.11R.A169.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.DD.A1EC.01A.21R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.X4XY.1626.SM.46MVN	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13N11.0926.SM.5IJG2	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.U3ZN.0626.SM.3DB7U
ACTR3	2855.44	4268.94	2520.38	2520.38	3303.0	2976.74	1870.53	2178.83	2935.74	1870.53	1991.0	2018.8	848.22	1963.57	915.51	624.99	995.0	764.36	1277.29	1023.0	486.75	748.61	1417.35	612.11	376.41	780.44	669.92	1015.93	825.0	325.29	902.89	703.28	693.58	5872.48
AGPS	206.94	269.6	121.79	121.79	414.87	529.06	279.14	389.72	348.71	279.14	303.44	170.25	136.19	260.38	201.25	180.02	173.85	346.29	205.5	241.19	136.19	156.59	273.37	167.9	144.01	102.25	132.44	208.38	95.34	148.09	172.65	177.53	161.02	409.15
ANAPC10	420.68	607.87	454.09	454.09	420.68	511.0	389.72	612.11	738.29	389.72	381.68	368.65	226.54	314.17	264.03	323.03	320.8	234.57	293.07	389.72	260.38	323.03	303.44	228.13	336.79	267.73	242.88	346.29	265.87	175.07	273.37	289.02	215.77	633.73
APOC2	178.77	289.02	1242.34	1242.34	111.99	206.94	98.04	47.84	105.89	98.04	46019.85	1023.0	408505.64	741454.2	593956.43	805764.22	12415.75	469249.9	506427.83	1355129.16	334117.42	1412675.8	663619.99	402881.61	610654.84	932018.1	654483.73	422911.59	783730.52	475800.4	434801.29	834179.46	598087.73	376.41
ARFIP2	1407.55	2255.7	1977.24	1977.24	1369.04	1175.27	1331.57	1733.13	1059.11	1331.57	1350.18	1745.2	490.14	540.19	432.53	518.15	1295.13	532.74	429.54	660.68	738.29	435.55	371.22	563.18	583.07	587.13	764.36	651.58	497.0	723.08	511.0	525.39	733.19	988.12
ARMC8	647.07	738.29	400.71	400.71	521.76	728.11	551.56	555.41	842.36	551.56	356.05	384.34	214.27	224.97	251.48	236.21	314.17	217.27	291.04	248.0	327.56	134.3	195.72	175.07	224.97	121.79	255.0	249.73	167.9	234.57	267.73	258.57	251.48	629.35
ARPP19	2018.8	2351.53	1015.93	1015.93	2400.97	2075.59	1909.85	2319.15	2148.82	1909.85	884.29	1216.75	423.61	1135.2	497.0	518.15	551.56	583.07	525.39	599.49	309.83	444.72	540.19	579.04	260.38	281.09	420.68	371.22	327.56	301.33	638.15	595.34	353.59	2075.59
ATXN7L3	733.19	591.22	909.17	909.17	1151.06	669.92	629.35	974.5	665.29	629.35	713.11	796.86	226.54	220.32	277.2	356.05	463.65	285.03	348.71	214.27	426.57	237.86	198.47	361.04	392.44	423.61	309.83	198.47	256.78	486.75	381.68	356.05	318.57	612.11
B3GALTL	119.26	121.79	82.29	82.29	128.79	124.37	103.69	136.19	167.9	103.69	115.16	79.45	28.45	119.26	41.52	64.34	93.35	82.87	47.17	72.01	18.84	17.0	81.71	42.41	42.71	43.32	40.93	49.21	38.67	25.91	49.21	41.81	36.53	105.15
C12orf43	289.02	253.23	271.48	271.48	336.79	293.07	273.37	223.41	231.32	273.37	339.14	249.73	150.17	269.6	183.82	194.36	256.78	215.77	271.48	248.0	178.77	248.0	283.05	155.5	182.55	133.36	182.55	154.42	248.0	246.28	229.72	128.79	206.94	356.05
C5orf15	2018.8	1709.26	1498.22	1498.22	1757.34	1806.78	1427.22	1844.76	1977.24	1427.22	1096.5	1447.15	961.07	1467.37	1044.52	1388.16	1605.83	1594.73	629.35	1757.34	921.88	928.3	1295.13	1199.98	1030.12	638.15	1191.69	1001.93	1119.56	599.49	1081.39	2018.8	775.05	3124.78
CADPS2	511.0	525.39	521.76	521.76	583.07	1066.48	460.44	599.49	633.73	460.44	180.02	571.05	79.45	353.59	172.65	176.29	334.46	246.28	71.5	147.06	78.34	175.07	249.73	134.3	98.04	151.22	218.79	133.36	137.14	44.89	106.63	127.89	143.01	1467.37
CAMSAP1	232.94	209.84	156.59	156.59	279.14	262.2	226.54	256.78	249.73	226.54	194.36	144.01	47.84	83.45	29.91	51.71	173.85	42.71	64.8	50.98	55.49	69.52	61.68	38.67	44.25	46.5	65.26	32.82	48.52	41.81	129.69	23.59	48.18	295.11
CANT1	1233.75	1340.84	1844.76	1844.76	2400.97	836.53	808.0	2209.26	928.3	808.0	1167.14	860.08	248.0	525.39	206.94	325.29	688.78	295.11	314.17	269.6	199.85	198.47	543.96	511.0	249.73	262.2	264.03	231.32	260.38	248.0	698.41	339.14	218.79	796.86
CDC27	1015.93	961.07	693.58	693.58	1369.04	974.5	928.3	1225.22	1066.48	928.3	441.64	656.11	217.27	703.28	215.77	283.05	423.61	392.44	291.04	307.69	202.66	198.47	305.55	277.2	128.79	271.48	265.87	234.57	234.57	189.02	395.18	202.66	256.78	785.88
CGGBP1	1467.37	1250.98	954.43	954.43	1388.16	1498.22	1051.79	1857.6	1757.34	1051.79	647.07	748.61	341.51	503.95	463.65	514.56	679.29	521.76	287.01	514.56	591.22	400.71	571.05	373.81	318.57	525.39	423.61	417.77	511.0	521.76	400.71	503.95	547.75	1081.39
CHMP5	1909.85	2645.74	2303.12	2303.12	2537.92	1963.57	1685.71	2104.58	1572.76	1685.71	1733.13	1540.37	1088.92	1477.58	1015.93	1498.22	1242.34	1119.56	1551.09	1104.13	575.03	1242.34	1208.34	1313.23	934.76	830.75	1023.0	1322.37	1066.48	612.11	928.3	1437.15	796.86	2591.27
COL4A3BP	796.86	813.63	384.34	384.34	412.0	738.29	688.78	595.34	830.75	688.78	262.2	450.94	237.86	255.0	236.21	214.27	202.66	409.15	195.72	258.57	262.2	167.9	503.95	172.65	234.57	194.36	297.17	194.36	239.52	242.88	218.79	150.17	161.02	921.88
