	TCGA.KM.8639.01A.11R.2403.07	TCGA.B0.5697.01A.11R.1541.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.BQ.5890.01A.11R.1592.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.B1.7332.01A.11R.A32Z.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9K4.01A.11R.A42S.07	TCGA.EV.5903.01A.11R.1592.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.YB5E.0326.SM.5IFHU
ADNP2	220.32	159.9	105.89	212.78	143.01	237.86	299.25	258.57	129.69	111.99	129.69	264.03	102.97	139.07	124.37	204.07	202.66	127.0	53.95	115.97	109.66	120.94	223.41	234.57	204.07	82.87	185.11	237.86	75.11	251.48	113.56	234.57	169.07	212.78	141.02	122.64	262.2	74.58	251.48	112.77	125.24	224.97	193.01	163.28	152.28	99.43	94.67	194.36	193.01	108.14	221.86	114.36	60.39
AGL	521.76	186.4	126.12	255.0	116.78	327.56	511.0	316.37	183.82	187.71	142.01	392.44	172.65	241.19	175.07	165.57	242.88	135.24	129.69	137.14	98.73	176.29	275.28	327.56	223.41	100.13	246.28	358.54	106.63	289.02	124.37	334.46	224.97	295.11	132.44	237.86	521.76	31.9	229.72	111.99	215.77	237.86	197.09	285.03	237.86	89.51	166.73	163.28	258.57	46.5	182.55	89.51	463.65
ANKFY1	435.55	409.15	371.22	476.71	371.22	563.18	470.14	460.44	323.03	366.09	285.03	860.08	231.32	395.18	387.02	397.93	470.14	417.77	82.29	329.84	220.32	249.73	753.83	791.35	587.13	262.2	532.74	825.0	358.54	656.11	432.53	738.29	414.87	417.77	351.14	529.06	571.05	234.57	728.11	281.09	656.11	638.15	612.11	309.83	583.07	253.23	204.07	486.75	406.31	316.37	400.71	138.1	149.12
ANKIB1	262.2	540.19	429.54	1096.5	486.75	651.58	728.11	563.18	356.05	339.14	307.69	1369.04	237.86	406.31	543.96	525.39	514.56	348.71	457.25	583.07	358.54	423.61	796.86	1143.1	660.68	241.19	1023.0	1073.91	358.54	836.53	256.78	651.58	450.94	426.57	248.0	476.71	447.82	108.14	769.69	363.56	878.17	896.64	684.02	244.57	2209.26	275.28	249.73	890.44	318.57	164.42	379.04	175.07	80.01
ANKRD13C	226.54	182.55	146.03	187.71	108.9	285.03	460.44	320.8	189.02	118.43	128.79	293.07	170.25	201.25	161.02	162.14	239.52	154.42	89.51	84.04	101.54	171.45	211.31	241.19	246.28	106.63	246.28	277.2	130.6	258.57	96.68	182.55	239.52	215.77	156.59	182.55	226.54	55.1	234.57	126.12	214.27	234.57	211.31	198.47	255.0	70.01	115.16	201.25	191.67	60.82	209.84	87.03	117.6
ARHGAP21	224.97	366.09	234.57	341.51	543.96	497.0	486.75	521.76	301.33	170.25	283.05	507.46	223.41	287.01	229.72	255.0	366.09	275.28	175.07	363.56	176.29	256.78	361.04	551.56	332.14	156.59	348.71	423.61	212.78	473.41	137.14	312.0	409.15	480.04	169.07	289.02	540.19	105.15	447.82	161.02	414.87	497.0	389.72	291.04	281.09	162.14	185.11	356.05	343.89	111.99	373.81	123.5	147.06
ARL5A	620.67	733.19	323.03	830.75	543.96	808.0	1651.0	890.44	486.75	373.81	305.55	785.88	295.11	460.44	336.79	314.17	555.41	287.01	215.77	490.14	305.55	366.09	629.35	836.53	514.56	289.02	599.49	713.11	397.93	607.87	256.78	567.1	470.14	285.03	346.29	381.68	703.28	145.02	532.74	191.67	693.58	551.56	450.94	348.71	607.87	265.87	384.34	435.55	457.25	256.78	555.41	206.94	620.67
ARNT	346.29	412.0	281.09	423.61	507.46	603.67	629.35	718.08	242.88	223.41	392.44	684.02	323.03	371.22	325.29	387.02	563.18	406.31	239.52	318.57	273.37	403.5	612.11	571.05	417.77	314.17	379.04	540.19	255.0	638.15	262.2	412.0	511.0	473.41	353.59	435.55	466.88	285.03	693.58	239.52	480.04	563.18	647.07	348.71	400.71	358.54	262.2	397.93	353.59	327.56	497.0	232.94	356.05
ASH1L	171.45	208.38	124.37	128.79	258.57	395.18	514.56	426.57	135.24	94.67	182.55	423.61	111.99	220.32	177.53	136.19	387.02	169.07	79.45	142.01	76.71	136.19	412.0	341.51	211.31	82.87	152.28	329.84	92.05	343.89	64.34	269.6	289.02	295.11	98.73	197.09	341.51	34.75	395.18	132.44	287.01	285.03	275.28	180.02	287.01	85.22	83.45	193.01	251.48	50.27	323.03	54.33	23.93
BMPR2	194.36	373.81	182.55	260.38	273.37	703.28	1583.71	872.1	154.42	149.12	226.54	518.15	173.85	271.48	234.57	220.32	395.18	239.52	144.01	248.0	118.43	189.02	500.46	463.65	309.83	139.07	273.37	371.22	305.55	460.44	111.99	273.37	366.09	299.25	212.78	293.07	403.5	59.13	476.71	149.12	392.44	373.81	403.5	232.94	376.41	153.34	164.42	242.88	253.23	108.9	457.25	102.25	154.42
