	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.12ZZY.0826.SM.5EQMT	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX
AC117395.1	10.55	11.38	14.14	41.22	20.41	21.01	16.63	44.25	19.25	28.65	17.38	13.03	24.46	6.16	16.88	23.93	14.89	22.59	21.32	37.05	24.28	45.53	14.45	24.99	46.18	33.54	27.25	18.84	43.02	11.21	34.75	42.11	71.5	31.45	21.94	40.93	57.08	75.11	70.51	81.71	34.26	47.5	41.22	101.54	65.72	36.53	96.68	42.11	140.04	68.55	23.76	63.89	36.53	72.01	50.63	35.25	121.79	83.45	51.35	78.34	120.1	88.26	40.36	50.98	86.43	25.54	111.99	78.89	36.01	100.83	38.67	53.19	62.56	35.76	62.56	47.5	158.79	61.25	20.86	102.25	51.35	121.79	52.45	64.8	166.73	71.0	50.98	34.75	119.26	22.26	57.49	42.71	35.76	34.51	52.08	50.63	72.01	38.12	44.57	88.88	74.58	39.5	69.52	108.9
AIF1L	587.13	518.15	414.87	1066.48	764.36	1135.2	743.43	743.43	1498.22	441.64	802.41	1259.69	708.18	902.89	293.07	555.41	2351.53	1322.37	518.15	466.88	599.49	2090.03	1044.52	743.43	244.57	1030.12	316.37	1259.69	738.29	595.34	688.78	974.5	780.44	1037.29	543.96	1295.13	3540.14	6745.86	4802.93	8598.28	6294.04	2875.3	2417.67	4802.93	5183.54	1151.06	5292.48	5791.62	4903.87	3928.15	3325.99	2303.12	2255.7	5872.48	3018.3	1870.53	7537.18	2777.33	2400.97	2061.24	4836.35	3690.52	4123.49	3325.99	6250.56	3928.15	5479.15	6792.79	4802.93	5112.16	3874.05	4869.99	1923.14	2935.74	3847.29	3325.99	5633.22	4903.87	3039.3	4450.27	5292.48	4512.4	3039.3	4239.45	4671.57	1832.01	3303.0	3820.7	5954.47	2855.44	4543.8	2956.17	1896.65	4152.18	9215.48	4512.4	2895.31	3955.48	1639.59	6250.56	7485.11	1883.54	5913.33	3820.7
ANKDD1A	54.72	49.56	23.93	70.51	50.98	62.12	76.71	94.67	64.8	59.13	57.89	80.01	55.49	31.67	59.55	80.57	26.47	92.7	43.94	102.25	78.89	101.54	140.04	59.97	34.75	48.87	28.65	94.01	103.69	55.49	244.57	69.03	66.18	95.34	60.39	83.45	211.31	583.07	182.55	241.19	158.79	149.12	137.14	105.89	212.78	144.01	234.57	343.89	476.71	98.73	129.69	147.06	157.68	170.25	117.6	154.42	273.37	100.83	147.06	108.14	289.02	289.02	144.01	198.47	133.36	358.54	208.38	205.5	260.38	255.0	134.3	248.0	145.02	181.28	285.03	123.5	242.88	285.03	112.77	258.57	180.02	167.9	379.04	129.69	269.6	101.54	199.85	88.88	231.32	150.17	204.07	80.01	162.14	65.26	135.24	180.02	249.73	190.34	93.35	221.86	223.41	156.59	409.15	255.0
ANKS1B	45.85	39.79	32.36	55.89	36.53	59.13	41.22	60.82	50.27	57.89	47.84	52.08	39.79	54.33	35.76	52.82	50.98	71.0	32.82	54.72	48.18	58.71	63.45	36.79	246.28	33.78	61.25	39.79	55.89	29.27	107.38	33.78	20.86	62.56	42.41	152.28	150.17	140.04	220.32	318.57	142.01	118.43	139.07	182.55	149.12	81.14	237.86	159.9	255.0	218.79	92.05	126.12	177.53	224.97	103.69	177.53	234.57	185.11	88.88	108.14	246.28	379.04	133.36	78.34	265.87	273.37	325.29	217.27	229.72	299.25	180.02	258.57	299.25	132.44	226.54	153.34	379.04	348.71	127.89	186.4	146.03	146.03	258.57	119.26	312.0	140.04	105.89	149.12	325.29	106.63	111.99	113.56	162.14	65.26	129.69	133.36	162.14	171.45	87.65	249.73	185.11	124.37	201.25	256.78
ARL14EP	320.8	191.67	366.09	336.79	281.09	480.04	325.29	429.54	460.44	329.84	312.0	432.53	351.14	309.83	327.56	361.04	275.28	301.33	423.61	301.33	412.0	447.82	325.29	301.33	341.51	420.68	384.34	373.81	432.53	269.6	301.33	454.09	444.72	358.54	334.46	277.2	595.34	748.61	417.77	647.07	764.36	656.11	540.19	547.75	571.05	567.1	642.59	633.73	412.0	896.64	486.75	571.05	642.59	514.56	368.65	497.0	647.07	651.58	571.05	423.61	536.45	476.71	540.19	624.99	567.1	507.46	400.71	444.72	366.09	529.06	620.67	460.44	688.78	587.13	500.46	551.56	884.29	642.59	384.34	454.09	547.75	693.58	669.92	493.56	603.67	480.04	559.28	595.34	486.75	651.58	583.07	457.25	483.38	429.54	521.76	616.37	503.95	397.93	432.53	493.56	490.14	616.37	507.46	612.11
ASTE1	103.69	36.79	90.77	156.59	64.34	66.18	94.67	164.42	105.89	122.64	75.64	108.14	75.64	76.71	115.97	84.63	104.42	105.15	111.99	115.97	104.42	151.22	96.68	80.57	82.29	120.1	93.35	139.07	159.9	80.01	94.67	135.24	132.44	130.6	85.22	86.43	208.38	366.09	205.5	186.4	161.02	183.82	187.71	177.53	177.53	169.07	115.97	185.11	113.56	234.57	134.3	248.0	169.07	175.07	186.4	202.66	218.79	173.85	202.66	163.28	166.73	204.07	217.27	181.28	231.32	197.09	199.85	171.45	113.56	109.66	215.77	123.5	248.0	189.02	236.21	171.45	260.38	185.11	126.12	204.07	187.71	223.41	144.01	138.1	141.02	175.07	206.94	166.73	129.69	180.02	198.47	146.03	172.65	176.29	231.32	193.01	170.25	112.77	122.64	202.66	152.28	212.78	212.78	234.57
B3GALNT1	211.31	189.02	260.38	249.73	162.14	277.2	134.3	301.33	293.07	242.88	191.67	353.59	195.72	167.9	212.78	269.6	172.65	234.57	251.48	194.36	195.72	305.55	125.24	218.79	226.54	381.68	295.11	234.57	325.29	166.73	149.12	253.23	371.22	248.0	205.5	226.54	703.28	872.1	928.3	1175.27	514.56	529.06	450.94	928.3	543.96	318.57	1015.93	412.0	718.08	890.44	412.0	679.29	540.19	854.13	318.57	334.46	723.08	521.76	607.87	403.5	981.29	764.36	536.45	483.38	988.12	647.07	890.44	896.64	529.06	915.51	651.58	934.76	780.44	703.28	759.08	563.18	967.76	928.3	389.72	1023.0	616.37	1081.39	915.51	480.04	785.88	616.37	679.29	555.41	583.07	435.55	629.35	514.56	389.72	412.0	633.73	616.37	563.18	409.15	371.22	536.45	1008.9	470.14	915.51	802.41
BCL11B	11.04	2.58	5.41	10.0	1.66	3.53	3.79	9.48	3.53	6.31	3.08	13.22	6.11	4.06	4.7	17.64	2.92	9.13	1.87	6.67	13.22	14.14	2.41	12.18	4.13	10.31	3.2	5.87	8.13	6.26	4.62	8.78	8.13	3.89	10.24	11.82	28.45	69.03	20.56	46.18	29.7	19.97	30.12	31.45	41.81	0.13	15.11	2.1	26.86	26.47	19.68	49.21	22.1	20.71	14.35	30.34	33.78	22.1	12.18	29.48	18.56	21.01	31.0	15.45	23.42	32.36	40.07	24.46	8.38	34.26	53.95	22.26	72.52	22.43	29.7	24.28	36.27	52.08	14.89	9.27	19.68	60.39	134.3	26.1	28.65	17.0	33.78	19.11	8.71	24.28	23.42	21.47	15.11	19.68	37.32	15.34	20.71	17.51	15.0	35.76	15.8	21.16	17.9	54.72
BCL2L11	158.79	195.72	195.72	218.79	244.57	142.01	152.28	232.94	148.09	154.42	139.07	265.87	146.03	86.43	121.79	176.29	135.24	212.78	180.02	134.3	175.07	295.11	224.97	136.19	111.21	186.4	183.82	162.14	325.29	145.02	167.9	182.55	218.79	199.85	128.79	189.02	656.11	412.0	620.67	693.58	674.59	435.55	376.41	693.58	511.0	348.71	830.75	341.51	353.59	575.03	332.14	529.06	665.29	728.11	269.6	633.73	728.11	361.04	536.45	185.11	518.15	412.0	432.53	414.87	830.75	753.83	764.36	647.07	808.0	703.28	674.59	698.41	684.02	612.11	503.95	348.71	728.11	878.17	221.86	603.67	384.34	665.29	703.28	346.29	571.05	316.37	669.92	395.18	620.67	540.19	444.72	334.46	412.0	353.59	684.02	366.09	466.88	363.56	587.13	490.14	896.64	454.09	567.1	476.71
BEX4	2976.74	2090.03	1388.16	2777.33	2895.31	2997.45	2895.31	3235.01	2875.3	3419.52	3081.75	2664.15	2434.5	1529.73	3874.05	3081.75	1540.37	1977.24	3349.13	2956.17	3039.3	2915.45	3103.19	3395.89	2335.28	3060.45	1923.14	4481.23	3614.55	3212.66	2627.46	2417.67	3589.58	2835.7	2627.46	1745.2	3982.99	4010.71	5403.7	7280.4	4769.75	4239.45	2915.45	5831.91	4152.18	1870.53	5255.91	5791.62	6652.97	4575.41	3467.27	3768.09	4543.8	4639.29	2935.74	2835.7	4066.71	3614.55	2485.67	2255.7	4512.4	3874.05	3280.18	3103.19	4152.18	3928.15	3124.78	4481.23	6037.61	3589.58	3540.14	5594.3	5041.77	3540.14	4358.66	3443.31	7911.95	3443.31	2090.03	6337.83	3955.48	6164.49	5517.27	4450.27	4836.35	2303.12	4450.27	4123.49	5441.3	3325.99	3665.02	3614.55	3794.3	3419.52	4671.57	2915.45	4481.23	5711.87	3491.39	5403.7	5517.27	3146.52	5711.87	5006.93
