	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAD2.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.ZF2S.3026.SM.4WWCH	GTEX.P78B.1326.SM.3P611	GTEX.ZZPU.0426.SM.5GZYH	GTEX.ZF29.2026.SM.4WWB7	GTEX.1399R.1226.SM.5P9GF	TCGA.38.4625.01A.01R.1206.07.1
ACTR6	947.83	540.19	665.29	698.41	559.28	688.78	629.35	651.58	909.17	785.88	974.5	567.1	884.29	753.83	1015.93	536.45	759.08	642.59	728.11	698.41	463.65	698.41	738.29	1059.11	591.22	759.08	780.44	638.15	525.39	947.83	708.18	878.17	603.67	802.41	813.63	567.1	486.75	974.5	612.11	1151.06	848.22	595.34	1073.91	603.67	759.08	775.05	567.1	796.86	361.04	327.56	251.48	231.32	366.09	325.29	309.83	267.73	293.07	314.17	291.04	275.28	379.04	444.72	201.25	178.77	327.56	423.61	289.02	264.03	269.6	265.87	0.31
ANKRD42	281.09	559.28	255.0	182.55	563.18	136.19	150.17	339.14	346.29	194.36	389.72	283.05	209.84	414.87	236.21	167.9	438.59	356.05	389.72	112.77	249.73	166.73	291.04	198.47	132.44	172.65	181.28	103.69	273.37	187.71	223.41	279.14	206.94	104.42	226.54	660.68	218.79	660.68	155.5	158.79	208.38	368.65	195.72	109.66	262.2	221.86	231.32	348.71	43.32	38.4	23.76	58.3	56.28	53.19	65.72	53.95	50.98	77.79	44.89	42.71	36.53	69.52	37.32	53.57	54.72	149.12	78.34	52.82	94.67	127.89	0.39
BMF	260.38	275.28	226.54	178.77	101.54	981.29	131.51	273.37	312.0	236.21	358.54	199.85	217.27	154.42	830.75	142.01	156.59	273.37	409.15	256.78	136.19	490.14	113.56	239.52	173.85	287.01	186.4	366.09	255.0	159.9	241.19	147.06	336.79	223.41	150.17	183.82	144.01	660.68	183.82	497.0	244.57	251.48	102.25	218.79	320.8	327.56	124.37	167.9	101.54	156.59	52.82	35.25	92.05	52.08	85.22	27.44	59.55	59.97	42.71	85.22	41.22	107.38	52.08	39.22	59.55	115.97	44.89	172.65	92.7	145.02	0.34
BRD2	3257.52	4836.35	4607.24	5329.3	4038.61	3847.29	3467.27	3146.52	3874.05	4328.55	3901.01	5517.27	5517.27	2895.31	5041.77	3847.29	2855.44	2502.97	5913.33	4298.64	3349.13	5112.16	2417.67	2400.97	2451.44	4239.45	3081.75	2976.74	3901.01	4450.27	4152.18	5913.33	3443.31	3257.52	3280.18	2384.37	5791.62	9808.75	4937.99	3039.3	4869.99	3303.0	3168.41	4181.07	5711.87	6250.56	2664.15	3515.68	2367.9	2935.74	2004.85	3124.78	1963.57	2573.36	2271.4	1963.57	2502.97	2271.4	1794.29	3103.19	2224.63	1883.54	2255.7	988.12	1044.52	1350.18	2104.58	1561.89	1477.58	1277.29	1508.65
BRPF3	463.65	395.18	559.28	463.65	432.53	1191.69	620.67	669.92	412.0	571.05	651.58	669.92	616.37	389.72	1529.73	473.41	339.14	460.44	616.37	444.72	503.95	507.46	567.1	262.2	387.02	759.08	500.46	693.58	802.41	466.88	559.28	967.76	346.29	376.41	381.68	376.41	507.46	1745.2	915.51	525.39	583.07	620.67	379.04	785.88	1015.93	532.74	438.59	417.77	226.54	381.68	248.0	273.37	180.02	221.86	255.0	144.01	208.38	325.29	175.07	289.02	180.02	199.85	201.25	208.38	389.72	397.93	305.55	307.69	258.57	348.71	0.68
C10orf112	3.08	5.63	2.12	19.82	1.68	2.2	246.28	7.57	8.25	20.41	3.35	1639.59	12.45	0.36	123.5	7.22	44.57	15.68	0.38	71.5	921.88	2.29	1.79	75.64	2.89	4.17	1.99	12.27	34.26	4.58	5.92	1757.34	90.77	1.55	1.38	2.32	6.41	2816.11	2.58	2178.83	7.88	4.21	11.73	4.06	206.94	183.82	0.0	10.71	0.0	0.46	0.0	0.0	3.5	0.0	2.43	0.0	0.0	0.0	0.48	2.56	0.0	4.66	1.57	9.06	1.17	3.86	0.2	0.68	0.62	0.72	0.12
C10orf76	521.76	441.64	353.59	397.93	343.89	403.5	435.55	412.0	392.44	275.28	457.25	389.72	460.44	373.81	454.09	291.04	327.56	423.61	307.69	361.04	373.81	426.57	406.31	387.02	466.88	231.32	295.11	305.55	356.05	450.94	376.41	387.02	379.04	283.05	271.48	414.87	381.68	723.08	447.82	318.57	218.79	320.8	473.41	358.54	406.31	454.09	389.72	316.37	289.02	260.38	180.02	295.11	239.52	212.78	256.78	293.07	273.37	271.48	299.25	279.14	255.0	295.11	242.88	226.54	220.32	249.73	211.31	193.01	218.79	212.78	0.64
CCNT1	299.25	206.94	346.29	157.68	209.84	366.09	205.5	151.22	193.01	320.8	178.77	211.31	267.73	194.36	295.11	122.64	236.21	143.01	293.07	303.44	129.69	291.04	173.85	289.02	228.13	429.54	214.27	265.87	198.47	309.83	195.72	339.14	175.07	129.69	269.6	305.55	221.86	457.25	239.52	223.41	323.03	135.24	95.34	236.21	194.36	128.79	108.9	155.5	97.36	50.63	59.97	81.71	66.65	76.71	70.51	55.89	67.12	69.03	56.68	52.82	39.5	81.14	64.8	38.67	43.94	59.97	63.45	72.52	121.79	47.17	0.46
CDK17	764.36	368.65	583.07	358.54	457.25	381.68	325.29	476.71	728.11	728.11	521.76	842.36	547.75	287.01	493.56	392.44	409.15	366.09	438.59	1757.34	325.29	361.04	438.59	759.08	466.88	1143.1	373.81	426.57	297.17	607.87	361.04	688.78	429.54	287.01	397.93	543.96	555.41	638.15	518.15	571.05	579.04	389.72	229.72	775.05	854.13	500.46	180.02	320.8	150.17	104.42	120.1	126.12	87.65	136.19	129.69	105.15	147.06	100.83	96.01	65.26	53.19	205.5	147.06	90.77	102.97	177.53	76.17	120.1	175.07	110.43	0.0
CHD6	629.35	674.59	708.18	135.24	301.33	567.1	371.22	303.44	323.03	603.67	780.44	358.54	536.45	329.84	753.83	283.05	400.71	156.59	483.38	698.41	267.73	785.88	361.04	995.0	287.01	688.78	532.74	384.34	412.0	567.1	403.5	470.14	178.77	320.8	493.56	325.29	343.89	567.1	397.93	555.41	253.23	323.03	178.77	329.84	1529.73	525.39	260.38	358.54	79.45	67.12	60.82	51.71	100.83	96.01	67.59	40.07	138.1	59.13	46.84	35.5	25.35	77.79	92.05	62.12	43.32	101.54	106.63	101.54	102.25	134.3	0.39
