	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.KK.A8II.01A.11R.A36G.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.5504.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.A76X.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.KK.A7AP.01A.12R.A33R.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07
ADCY5	0.0	0.57	356.05	29.48	176.29	75.11	47.84	341.51	23.42	20.86	387.02	154.42	412.0	190.34	176.29	293.07	95.34	151.22	221.86	167.9	67.59	373.81	293.07	412.0	38.12	155.5	53.95	30.12	58.71	110.43	91.41	64.8	109.66	128.79	305.55	9.63	151.22	287.01	98.04	60.82	124.37	177.53	74.58	279.14	521.76	131.51	9.41	60.39	145.02	180.02	198.47	318.57	220.32	109.66	89.51	54.33	275.28	48.52	20.71	44.57	82.29	134.3	94.67	32.82	20.71	444.72	59.55	291.04	53.95	111.99	38.12	42.41	297.17	244.57	127.0	177.53	57.08	112.77	117.6	429.54	36.01	47.84	133.36	366.09	348.71	63.45	70.01	51.35	80.57	318.57	414.87	500.46	397.93	497.0	318.57	808.0	403.5	137.14	674.59
AL163636.6	0.0	0.03	1051.79	363.56	684.02	189.02	195.72	603.67	45.53	211.31	612.11	532.74	896.64	1030.12	490.14	703.28	50.98	248.0	674.59	1313.23	320.8	1388.16	660.68	909.17	287.01	323.03	44.89	583.07	237.86	647.07	514.56	785.88	131.51	255.0	638.15	138.1	363.56	248.0	141.02	607.87	854.13	248.0	591.22	275.28	1313.23	334.46	215.77	205.5	698.41	153.34	420.68	764.36	854.13	161.02	281.09	463.65	483.38	109.66	29.27	102.97	183.82	728.11	191.67	376.41	105.15	616.37	118.43	186.4	470.14	323.03	48.52	112.77	1322.37	813.63	218.79	389.72	215.77	460.44	647.07	536.45	121.79	332.14	514.56	1572.76	595.34	27.05	273.37	256.78	353.59	1066.48	981.29	1277.29	638.15	825.0	1322.37	688.78	1572.76	356.05	1529.73
ANGPT1	0.0	0.27	146.03	8.78	131.51	10.88	13.93	148.09	9.63	10.47	138.1	102.25	204.07	93.35	81.71	131.51	4.94	82.29	61.68	94.01	35.5	147.06	131.51	204.07	15.91	75.64	40.93	24.28	12.36	61.25	33.54	24.99	21.78	32.82	181.28	0.55	29.91	94.01	60.82	10.0	35.25	74.06	29.91	91.41	309.83	81.71	6.36	15.45	71.0	39.79	67.12	100.13	126.12	37.85	45.53	29.91	136.19	10.88	6.26	12.74	15.0	35.5	21.32	29.06	12.36	234.57	19.25	102.97	25.72	70.01	11.38	14.35	144.01	118.43	36.27	93.35	28.24	35.76	53.57	218.79	4.78	14.45	66.65	239.52	99.43	16.51	20.56	9.2	34.26	229.72	242.88	547.75	214.27	285.03	180.02	583.07	208.38	145.02	460.44
ATP1A2	0.0	0.29	409.15	27.44	283.05	30.34	42.41	441.64	24.46	13.83	277.2	273.37	575.03	223.41	226.54	327.56	8.0	175.07	234.57	181.28	28.24	503.95	329.84	854.13	23.42	220.32	40.07	27.84	25.17	181.28	93.35	70.01	35.25	111.99	358.54	6.26	182.55	293.07	111.21	17.77	220.32	208.38	77.79	141.02	547.75	139.07	8.65	19.53	253.23	72.52	287.01	339.14	206.94	108.14	193.01	78.34	237.86	9.7	8.99	27.64	31.9	94.01	95.34	30.34	9.7	403.5	40.64	231.32	40.36	194.36	20.71	37.85	490.14	172.65	98.04	190.34	48.18	75.64	114.36	563.18	7.94	36.53	265.87	480.04	450.94	17.51	39.79	12.36	111.21	223.41	575.03	660.68	909.17	638.15	414.87	954.43	591.22	285.03	1044.52
BOC	0.0	0.48	665.29	185.11	511.0	164.42	178.77	791.35	94.01	218.79	1044.52	473.41	813.63	693.58	493.56	728.11	77.25	403.5	470.14	723.08	529.06	1059.11	595.34	713.11	115.97	397.93	153.34	242.88	149.12	277.2	351.14	514.56	285.03	234.57	463.65	28.45	409.15	791.35	318.57	94.67	525.39	493.56	242.88	547.75	909.17	563.18	163.28	197.09	409.15	381.68	450.94	493.56	723.08	167.9	403.5	206.94	470.14	90.77	80.01	67.59	221.86	267.73	246.28	283.05	65.26	884.29	264.03	463.65	214.27	497.0	157.68	102.25	928.3	521.76	329.84	381.68	140.04	332.14	384.34	769.69	58.3	336.79	693.58	698.41	830.75	120.94	356.05	185.11	255.0	420.68	642.59	688.78	638.15	860.08	595.34	921.88	954.43	555.41	791.35
CACHD1	0.0	0.37	165.57	16.88	80.01	30.56	27.84	102.97	17.9	6.73	152.28	55.49	115.97	71.5	59.97	86.43	9.48	55.49	67.12	73.03	32.82	127.0	92.05	115.16	21.47	49.91	37.05	38.12	37.85	33.54	41.81	37.85	55.1	53.57	77.25	2.81	31.45	105.89	50.98	12.0	55.49	36.01	35.0	119.26	122.64	101.54	5.19	36.79	59.55	91.41	71.5	72.01	84.04	30.78	52.08	45.53	81.14	17.9	13.42	34.02	25.54	61.68	45.85	31.45	9.93	198.47	36.27	64.34	18.7	29.7	15.34	17.0	107.38	64.8	50.27	65.72	17.9	42.71	50.98	186.4	9.63	40.93	48.52	170.25	133.36	26.47	26.28	20.71	43.02	120.1	118.43	115.97	96.68	108.14	115.16	228.13	157.68	92.7	220.32
CALB2	0.0	0.17	17.13	26.47	9.41	3.38	2.39	13.93	7.28	3.66	11.64	3.89	10.16	10.88	10.08	15.45	9.34	5.63	8.0	2.97	5.73	24.99	19.82	11.82	1.75	7.88	13.32	8.51	1.75	5.77	21.01	10.39	8.85	6.57	15.56	1.97	8.13	11.82	7.75	1.97	11.13	7.17	10.71	11.47	21.94	27.05	3.47	1.03	13.32	185.11	6.46	6.26	17.25	4.39	3.35	2.16	11.64	2.89	8.65	5.87	0.69	3.72	4.78	1.79	3.44	12.0	7.06	8.92	7.51	1.79	2.12	5.82	7.94	5.06	3.59	7.75	6.01	5.23	2.58	8.92	0.35	4.86	9.34	6.62	9.06	2.84	22.92	1.69	2.94	8.99	6.06	24.63	9.78	16.51	2.89	16.88	16.15	3.89	29.7
CCDC69	0.0	0.69	381.68	95.34	389.72	78.34	87.65	368.65	55.89	106.63	447.82	244.57	647.07	450.94	260.38	312.0	81.14	183.82	232.94	325.29	83.45	497.0	525.39	679.29	100.83	211.31	101.54	194.36	149.12	223.41	165.57	144.01	134.3	237.86	432.53	31.67	289.02	361.04	414.87	68.07	234.57	309.83	239.52	275.28	603.67	281.09	32.36	77.79	307.69	204.07	269.6	339.14	279.14	115.97	218.79	126.12	264.03	84.04	30.56	124.37	176.29	164.42	141.02	89.51	46.5	480.04	106.63	212.78	110.43	253.23	46.5	106.63	295.11	249.73	181.28	248.0	73.03	147.06	186.4	665.29	54.72	133.36	260.38	638.15	384.34	53.95	111.21	68.07	164.42	633.73	406.31	884.29	679.29	967.76	607.87	1023.0	624.99	423.61	967.76
CCDC8	0.0	0.35	107.38	29.06	58.71	19.39	24.46	201.25	11.47	3.76	131.51	102.97	112.77	166.73	87.65	91.41	11.21	60.82	102.97	70.51	43.02	129.69	88.26	223.41	23.08	32.82	21.63	17.38	30.12	60.39	33.06	34.51	53.95	38.95	88.26	4.31	55.89	75.11	45.53	15.56	35.0	23.42	39.5	81.14	301.33	76.71	3.56	26.86	52.08	67.59	111.21	79.45	71.0	40.36	35.76	28.45	85.22	19.39	10.16	27.05	24.11	82.87	30.56	15.56	11.04	223.41	32.59	74.58	38.4	17.51	18.29	17.0	105.89	63.0	42.11	74.58	42.11	40.93	58.71	242.88	15.34	85.82	82.87	318.57	121.79	31.45	38.12	19.97	57.49	176.29	275.28	269.6	332.14	183.82	191.67	320.8	226.54	127.0	320.8
CD200	0.0	0.0	194.36	28.24	143.01	43.63	59.13	180.02	48.18	34.51	147.06	52.08	149.12	209.84	241.19	269.6	12.27	108.14	81.71	147.06	55.1	320.8	165.57	133.36	37.85	32.13	78.34	176.29	70.01	49.91	262.2	63.89	54.33	132.44	237.86	54.33	48.18	70.01	92.05	27.44	131.51	28.45	46.5	95.34	371.22	201.25	24.81	59.55	140.04	232.94	93.35	49.91	194.36	25.91	91.41	54.72	142.01	58.3	23.08	42.71	55.89	129.69	29.7	74.06	40.07	283.05	98.04	100.83	49.56	35.25	82.87	17.9	90.14	75.11	82.87	96.01	108.14	70.01	49.21	297.17	15.56	129.69	102.25	149.12	162.14	31.67	98.73	61.25	48.87	221.86	197.09	305.55	121.79	285.03	126.12	470.14	366.09	148.09	384.34
CDH23	0.0	0.67	42.11	9.63	13.93	6.89	17.38	21.47	9.48	3.79	38.67	20.56	17.9	16.15	19.68	27.84	32.59	10.63	21.78	15.56	15.11	62.12	33.3	17.51	9.78	18.03	7.94	5.06	9.48	11.04	16.27	7.34	30.78	9.93	14.89	3.0	10.0	15.11	13.03	14.14	12.18	14.14	8.51	21.78	66.65	37.85	4.74	8.0	23.93	19.11	28.24	17.64	37.05	15.34	7.17	10.16	31.67	4.39	4.46	5.87	7.51	16.03	5.87	7.22	2.2	45.21	8.0	35.76	10.96	9.63	2.07	4.7	45.85	8.19	17.13	17.25	8.85	9.78	16.27	52.45	7.88	9.34	8.85	62.56	38.67	4.46	52.45	6.11	13.83	43.32	19.82	72.01	53.19	19.82	38.95	124.37	48.18	27.25	106.63
