	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.VS.A953.01A.11R.A38B.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FR.01A.11R.A38D.31	TCGA.BB.8601.01A.11R.2403.07	TCGA.CV.A45X.01A.21R.A24Z.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.BA.A6DL.01A.21R.A30B.07	TCGA.CR.7392.01A.11R.2016.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.BA.A6DG.01A.21R.A30B.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.6934.01A.11R.1915.07	TCGA.CQ.5323.01A.01R.1686.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BA.4076.01A.01R.1436.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CR.7390.01A.11R.2016.07	TCGA.CN.5355.01A.01R.1436.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CN.5358.01A.01R.1514.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.5359.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.CV.5442.01A.01R.1514.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CN.6018.01A.11R.1686.07	TCGA.CN.6989.01A.11R.1915.07	TCGA.CR.7382.01A.11R.2132.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.5435.01A.01R.1686.07	TCGA.IQ.7632.01A.11R.2081.07	TCGA.CQ.5330.01A.01R.1686.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.7103.01A.21R.2016.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CN.4737.01A.01R.1436.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CQ.5326.01A.01R.1873.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7177.01A.11R.2016.07	TCGA.CN.4740.01A.01R.1436.07	TCGA.CV.7428.01A.11R.2132.07	TCGA.CV.6950.01A.11R.1915.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7430.01A.11R.2132.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.63.5128.01A.01R.1443.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
ABCA6	7.34	0.38	8.65	2.92	1.58	6.36	8.92	18.56	10.39	1.11	2.94	3.06	3.69	204.07	27.64	36.27	22.1	44.57	92.7	183.82	43.94	108.14	13.72	7.51	6.84	6.26	52.82	3.32	49.91	15.22	10.16	15.34	12.45	35.25	69.03	164.42	49.91	14.78	147.06	22.1	22.26	2.92	9.7	13.52	9.78	14.24	37.85	11.21	35.76	20.56	18.84	2.68	24.28	69.52	35.0	4.74	25.72	6.46	5.73	59.97	49.21	162.14	6.46	18.84	17.13	11.91	10.24	61.68	3.38	21.78	5.36	39.79	48.52	14.67	14.56	58.71	153.34	12.0	85.82	12.93	7.0	6.67	14.45	4.35	47.17	150.17	20.11	5.87	49.21	24.28	15.34	51.71	63.0	21.78	18.84	13.42	2.27	19.11	32.13	126.12	17.51	13.72	18.16	18.16	8.32	3.86	16.63	5.28	18.03	8.85	11.91	14.03	2.34
ABCA9	0.61	2.01	3.5	0.74	0.34	2.12	1.58	20.86	1.22	0.62	1.68	1.36	3.47	102.25	18.43	8.92	8.85	34.75	48.87	46.5	29.91	36.79	13.62	3.96	3.35	3.35	18.03	1.57	10.47	4.03	3.35	5.73	0.85	4.13	19.68	34.26	8.58	4.78	57.49	3.5	7.82	1.39	2.73	10.63	1.69	8.71	14.24	10.71	12.18	6.21	9.7	1.75	7.82	73.03	23.76	1.35	6.46	7.28	3.06	28.65	14.56	59.13	1.2	2.01	8.78	6.62	7.57	21.94	2.39	5.23	2.2	14.35	8.32	3.29	3.53	17.0	53.19	2.76	30.34	2.51	5.54	3.0	2.97	2.36	18.97	22.26	1.31	3.59	20.71	3.96	2.92	6.78	26.28	10.88	8.13	2.68	1.33	7.11	13.93	26.28	5.28	5.19	4.78	7.17	3.38	1.25	6.16	2.58	4.24	1.64	3.86	8.32	0.37
ABL1	473.41	738.29	343.89	483.38	384.34	483.38	503.95	197.09	454.09	285.03	866.07	703.28	603.67	1794.29	723.08	551.56	1008.9	194.36	414.87	954.43	642.59	1594.73	387.02	361.04	277.2	232.94	866.07	454.09	1008.9	460.44	551.56	579.04	457.25	616.37	642.59	1277.29	500.46	341.51	1104.13	759.08	470.14	466.88	412.0	318.57	486.75	507.46	878.17	529.06	688.78	769.69	583.07	444.72	693.58	603.67	723.08	764.36	476.71	381.68	693.58	1250.98	909.17	909.17	764.36	381.68	395.18	575.03	441.64	1286.18	447.82	563.18	703.28	974.5	1340.84	708.18	825.0	866.07	1250.98	503.95	1073.91	595.34	450.94	728.11	769.69	521.76	884.29	1015.93	624.99	426.57	848.22	403.5	457.25	543.96	698.41	961.07	363.56	738.29	339.14	417.77	967.76	848.22	830.75	1111.82	647.07	555.41	409.15	540.19	567.1	376.41	325.29	409.15	642.59	896.64	1096.5
ACVRL1	99.43	36.27	36.53	76.17	85.82	85.82	159.9	92.7	87.65	58.71	122.64	128.79	72.01	915.51	224.97	131.51	185.11	84.04	356.05	299.25	162.14	305.55	59.13	53.95	187.71	68.07	376.41	126.12	429.54	133.36	121.79	74.58	97.36	329.84	612.11	543.96	301.33	198.47	514.56	147.06	67.12	75.64	59.13	60.39	86.43	82.87	314.17	143.01	447.82	189.02	277.2	30.56	217.27	438.59	201.25	111.99	130.6	176.29	182.55	371.22	353.59	616.37	74.06	70.01	102.25	236.21	309.83	351.14	88.26	279.14	11.47	323.03	457.25	117.6	273.37	361.04	738.29	63.0	435.55	138.1	98.73	129.69	143.01	75.11	406.31	493.56	120.94	81.14	343.89	130.6	151.22	159.9	318.57	373.81	131.51	157.68	63.89	124.37	182.55	432.53	136.19	164.42	121.79	149.12	78.34	69.03	181.28	29.27	88.88	111.99	153.34	150.17	103.69
ADAMTS12	17.38	7.28	12.64	41.52	18.84	14.89	88.26	2.68	7.75	4.98	4.7	4.9	2.97	764.36	239.52	140.04	473.41	68.07	780.44	647.07	307.69	1697.45	7.69	19.82	226.54	11.64	212.78	101.54	536.45	22.92	43.63	16.27	19.97	486.75	403.5	595.34	145.02	142.01	309.83	45.21	5.87	13.32	17.64	18.16	48.52	13.72	567.1	131.51	358.54	115.16	145.02	15.91	117.6	105.15	248.0	30.12	48.18	66.65	253.23	348.71	620.67	441.64	18.84	13.32	34.02	77.25	133.36	351.14	14.78	108.14	3.89	674.59	1159.07	13.83	151.22	579.04	665.29	5.68	253.23	63.89	32.36	64.8	136.19	16.39	273.37	460.44	88.88	31.22	559.28	56.68	67.12	198.47	277.2	521.76	136.19	71.5	49.21	108.9	466.88	409.15	29.06	119.26	36.27	37.59	27.44	36.01	38.67	1.07	8.58	8.06	181.28	3.82	8.71
ADAMTS2	62.12	26.47	52.08	97.36	112.77	58.3	134.3	7.75	76.17	17.64	35.5	33.78	11.64	1540.37	457.25	332.14	1175.27	205.5	1073.91	1044.52	583.07	2400.97	40.07	110.43	417.77	79.45	1896.65	325.29	2537.92	175.07	102.97	221.86	228.13	1313.23	1950.0	5329.3	665.29	339.14	1583.71	301.33	64.8	87.65	50.98	123.5	120.1	108.14	1359.57	860.08	1183.45	567.1	921.88	92.7	909.17	563.18	941.27	146.03	256.78	262.2	728.11	813.63	1487.87	2287.2	164.42	100.83	105.89	253.23	387.02	2018.8	131.51	435.55	22.59	2591.27	3257.52	178.77	698.41	2119.22	2485.67	173.85	1781.89	543.96	163.28	343.89	387.02	72.52	1277.29	2090.03	599.49	182.55	2255.7	438.59	414.87	848.22	1088.92	1437.15	603.67	460.44	299.25	460.44	1216.75	1397.83	287.01	624.99	177.53	255.0	106.63	242.88	392.44	12.64	123.5	46.18	232.94	57.89	26.28
ADAMTS6	1.48	5.92	4.74	9.56	7.28	4.46	13.42	8.25	2.16	3.79	25.72	9.7	10.0	43.63	14.78	2.92	22.1	21.32	102.25	64.34	13.42	80.01	4.46	4.7	4.35	2.29	14.35	2.63	41.81	11.82	5.15	14.45	1.75	30.78	34.75	21.78	9.13	11.64	34.26	9.85	1.14	1.87	8.0	10.79	35.25	2.94	26.67	9.7	32.59	9.2	10.16	4.78	3.56	6.57	9.93	2.61	11.21	10.0	21.01	31.22	29.48	30.34	13.72	2.43	7.28	10.71	14.14	23.59	2.27	14.35	0.93	19.25	55.49	3.32	22.59	52.45	102.97	2.94	32.36	3.38	2.56	12.36	9.56	4.31	38.95	26.1	5.96	13.52	20.41	7.28	6.57	10.96	29.7	38.12	13.22	154.42	9.93	5.87	12.09	17.51	5.06	45.85	5.96	8.19	4.78	1.62	5.41	3.66	1.93	2.14	3.82	4.24	0.21
AMPH	12.64	0.68	1.3	2.51	2.16	1.22	4.62	0.48	7.94	0.64	3.92	1.69	1.99	305.55	16.51	13.32	57.49	10.55	63.45	62.56	38.4	70.01	1.89	3.23	30.34	3.82	37.05	6.21	125.24	4.17	4.86	4.86	3.35	47.84	81.14	146.03	36.79	13.93	76.17	16.03	4.58	4.98	19.68	3.53	5.11	4.24	102.25	29.7	88.88	15.91	10.31	1.14	9.93	22.59	15.0	3.89	10.55	16.51	21.47	27.44	117.6	54.72	4.1	0.8	4.03	13.52	16.75	40.36	4.43	13.22	0.72	79.45	170.25	4.5	36.79	57.08	92.7	3.38	56.28	8.45	7.28	5.15	14.45	1.22	40.93	95.34	9.56	1.16	79.45	8.92	26.28	25.72	57.89	52.82	23.42	16.75	15.11	10.47	37.59	90.14	8.92	13.42	5.77	6.16	5.82	2.32	5.28	2.27	1.3	4.17	16.63	7.11	8.71
ANPEP	47.17	175.07	273.37	35.25	23.08	46.84	63.45	264.03	146.03	11.04	47.17	87.03	28.86	406.31	395.18	400.71	518.15	212.78	872.1	1073.91	264.03	612.11	37.85	110.43	435.55	134.3	974.5	320.8	457.25	157.68	117.6	96.01	241.19	2502.97	995.0	1015.93	265.87	199.85	450.94	223.41	189.02	105.89	74.06	154.42	169.07	65.72	563.18	258.57	406.31	607.87	780.44	41.81	358.54	336.79	454.09	223.41	206.94	423.61	688.78	343.89	503.95	1030.12	164.42	293.07	96.01	299.25	332.14	733.19	129.69	423.61	51.35	723.08	1073.91	157.68	872.1	1388.16	674.59	166.73	1096.5	293.07	244.57	253.23	262.2	103.69	273.37	2075.59	206.94	114.36	356.05	212.78	381.68	441.64	514.56	693.58	295.11	693.58	229.72	246.28	441.64	836.53	273.37	525.39	220.32	191.67	100.13	85.82	361.04	111.99	217.27	75.64	363.56	113.56	176.29
ANTXR2	150.17	126.12	146.03	120.1	187.71	503.95	579.04	40.93	37.32	62.56	41.81	172.65	128.79	6037.61	1151.06	281.09	507.46	316.37	1340.84	1167.14	221.86	1242.34	45.85	279.14	660.68	33.3	915.51	152.28	791.35	63.0	743.43	197.09	397.93	1437.15	1199.98	1605.83	186.4	1651.0	1044.52	115.97	98.73	48.87	183.82	71.0	299.25	48.87	1135.2	483.38	285.03	269.6	447.82	29.06	403.5	373.81	244.57	234.57	473.41	73.03	325.29	2178.83	669.92	1250.98	974.5	162.14	114.36	187.71	476.71	902.89	361.04	813.63	91.41	759.08	1259.69	121.79	381.68	698.41	2720.15	139.07	1111.82	140.04	285.03	543.96	126.12	145.02	738.29	733.19	314.17	239.52	723.08	307.69	395.18	228.13	540.19	718.08	281.09	1498.22	239.52	242.88	409.15	759.08	190.34	791.35	215.77	258.57	283.05	165.57	71.0	31.67	69.52	77.79	221.86	50.27	24.63
