	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CV.7183.01A.11R.2016.07	TCGA.CX.7086.01A.11R.2081.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.D6.6823.01A.11R.1915.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CN.5356.01A.01R.1436.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CR.7379.01A.11R.2016.07	TCGA.CQ.5327.01A.01R.1686.07	GTEX.111VG.0726.SM.5GIDC	GTEX.SIU8.0926.SM.5SI87	GTEX.XOT4.1426.SM.4B65T	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.77.8144.01A.11R.2247.07
BYSL	269.6	460.44	693.58	583.07	392.44	759.08	234.57	603.67	507.46	1721.16	583.07	551.56	363.56	775.05	728.11	201.25	108.14	103.69	146.03	1286.18
C10orf2	105.89	125.24	267.73	189.02	88.88	327.56	44.89	190.34	148.09	476.71	148.09	186.4	84.63	447.82	283.05	37.59	22.92	34.26	31.9	305.55
CAD	275.28	780.44	1066.48	665.29	309.83	1674.06	265.87	599.49	684.02	1757.34	466.88	748.61	287.01	1208.34	791.35	156.59	185.11	193.01	169.07	1745.2
CCT3	3874.05	5555.65	8479.89	4802.93	4239.45	9344.14	2627.46	4802.93	5672.41	7130.55	3955.48	4869.99	4210.15	8840.04	5441.3	1457.23	1023.0	1216.75	1662.49	10225.32
CHAC2	111.99	100.83	147.06	107.38	33.3	185.11	89.51	78.34	58.3	152.28	88.88	63.45	39.22	191.67	100.13	28.04	17.13	10.96	10.39	234.57
CIRH1A	420.68	616.37	1051.79	902.89	571.05	1628.26	334.46	780.44	660.68	1023.0	1066.48	802.41	409.15	1508.65	921.88	327.56	198.47	262.2	384.34	2163.77
DHX37	116.78	198.47	309.83	305.55	151.22	483.38	93.35	226.54	285.03	463.65	305.55	248.0	133.36	480.04	379.04	96.01	127.0	88.26	103.69	368.65
DUS3L	500.46	387.02	842.36	796.86	339.14	571.05	246.28	587.13	507.46	497.0	341.51	392.44	264.03	902.89	525.39	251.48	113.56	155.5	88.26	536.45
FAM203A	248.0	412.0	928.3	555.41	215.77	1167.14	177.53	220.32	603.67	1233.75	297.17	441.64	269.6	708.18	503.95	100.13	137.14	75.64	125.24	412.0
FAM83D	314.17	665.29	1225.22	438.59	198.47	1191.69	128.79	211.31	878.17	1331.57	423.61	511.0	325.29	733.19	555.41	15.91	26.1	113.56	90.77	1104.13
