	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.DK.A3IT.01A.31R.A20F.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.2F.A9KQ.01A.11R.A38B.07	TCGA.SY.A9G0.01A.12R.A38B.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.BT.A2LD.01A.12R.A20F.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.GU.A762.01A.11R.A33J.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.XF.AAMR.01A.31R.A42T.07	TCGA.ZF.AA4V.01A.11R.A38B.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.FD.A6TK.01A.42R.A33J.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.XF.A9T6.01A.11R.A42T.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A9SZ.01A.11R.A39I.07	TCGA.DK.A3IL.01A.11R.A20F.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.12696.0926.SM.5FQTV	GTEX.1497J.0726.SM.5Q5D1	GTEX.Y5V6.0226.SM.4V6G7	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13D11.0326.SM.5LZXX	GTEX.Y5LM.0726.SM.4VBRP	GTEX.11EQ9.0226.SM.5A5JX	GTEX.145LT.0326.SM.5LUAD	GTEX.S4Z8.0426.SM.3K2AH	GTEX.WFG8.0926.SM.3GIKJ	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WFG7.0526.SM.3GIKI	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.SIU7.0526.SM.3NM8I	GTEX.WFON.0426.SM.3GIL4	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.QESD.0626.SM.2I5G4	GTEX.132QS.0726.SM.5IJE9	GTEX.ZTPG.0926.SM.5O99H	GTEX.PWOO.0726.SM.2I3EB	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZYWO.0826.SM.5E45W	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1211K.0826.SM.5FQUP	GTEX.RUSQ.0626.SM.2TF5V	GTEX.11LCK.0426.SM.5A5M8	GTEX.OIZI.0726.SM.2XCEI	GTEX.13O1R.0826.SM.5J2MB
AFF4	211.31	241.19	170.25	214.27	161.02	366.09	429.54	457.25	201.25	127.89	173.85	163.28	137.14	381.68	166.73	176.29	262.2	223.41	183.82	93.35	341.51	121.79	435.55	163.28	156.59	267.73	199.85	189.02	171.45	163.28	106.63	167.9	224.97	161.02	265.87	105.89	316.37	135.24	239.52	283.05	223.41	153.34	118.43	105.15	156.59	289.02	518.15	647.07	341.51	371.22	314.17	297.17	327.56	417.77	493.56	348.71	316.37	295.11	559.28	366.09	363.56	351.14	567.1	420.68	518.15	497.0	438.59	356.05	470.14	454.09	361.04	373.81	146.03	397.93	269.6	432.53	346.29	529.06	435.55	872.1	629.35
AGGF1	157.68	246.28	162.14	232.94	180.02	239.52	246.28	220.32	165.57	142.01	128.79	242.88	142.01	325.29	199.85	163.28	195.72	214.27	218.79	131.51	246.28	115.97	293.07	129.69	175.07	152.28	194.36	185.11	186.4	177.53	87.65	158.79	162.14	202.66	221.86	140.04	251.48	116.78	105.89	316.37	226.54	175.07	150.17	87.65	180.02	258.57	318.57	395.18	187.71	301.33	214.27	320.8	271.48	267.73	189.02	246.28	277.2	265.87	271.48	260.38	248.0	253.23	403.5	293.07	395.18	318.57	320.8	155.5	172.65	217.27	220.32	228.13	167.9	287.01	285.03	303.44	269.6	195.72	253.23	423.61	236.21
AHCYL1	525.39	1008.9	708.18	1051.79	738.29	1378.57	1519.15	1088.92	1216.75	358.54	1088.92	780.44	603.67	1286.18	612.11	708.18	1135.2	728.11	954.43	334.46	819.3	507.46	1733.13	571.05	915.51	647.07	525.39	759.08	708.18	1088.92	567.1	902.89	738.29	384.34	1378.57	941.27	629.35	583.07	1242.34	1059.11	1551.09	708.18	665.29	507.46	1183.45	1883.54	2502.97	1757.34	748.61	1350.18	1175.27	1259.69	1583.71	2303.12	2956.17	1594.73	1674.06	1295.13	2090.03	1159.07	1529.73	1572.76	1870.53	1733.13	2018.8	1844.76	1781.89	1250.98	1950.0	1023.0	1378.57	1037.29	738.29	2075.59	941.27	1745.2	1119.56	1208.34	1605.83	2502.97	2758.13
AKAP11	100.13	150.17	45.21	102.97	35.76	197.09	159.9	287.01	106.63	74.58	120.1	47.84	98.73	166.73	127.0	76.71	167.9	125.24	73.03	77.79	132.44	55.89	244.57	104.42	86.43	99.43	98.73	96.68	86.43	88.88	53.95	145.02	208.38	43.63	139.07	41.22	151.22	83.45	54.72	132.44	119.26	87.65	78.89	85.22	116.78	312.0	603.67	351.14	85.22	307.69	128.79	155.5	273.37	277.2	231.32	346.29	221.86	197.09	429.54	275.28	186.4	141.02	463.65	329.84	417.77	248.0	351.14	145.02	183.82	239.52	202.66	285.03	86.43	277.2	193.01	209.84	190.34	204.07	283.05	470.14	165.57
APC	50.27	92.05	39.79	65.26	44.89	101.54	100.13	135.24	51.35	37.85	36.53	44.57	30.34	155.5	47.5	47.17	94.01	50.63	111.99	27.84	78.89	34.02	102.97	47.84	34.02	48.87	56.68	50.98	54.33	42.41	21.47	40.36	90.14	29.48	58.71	33.06	98.73	40.07	75.11	50.63	52.82	54.72	37.85	20.56	59.55	71.5	120.94	426.57	78.89	314.17	134.3	169.07	123.5	165.57	130.6	209.84	242.88	215.77	181.28	197.09	148.09	190.34	291.04	175.07	312.0	170.25	244.57	61.25	70.51	159.9	158.79	169.07	63.89	169.07	186.4	135.24	140.04	77.25	215.77	249.73	92.7
ARHGEF12	518.15	547.75	217.27	429.54	153.34	493.56	718.08	753.83	412.0	224.97	441.64	178.77	275.28	764.36	194.36	379.04	543.96	215.77	316.37	295.11	647.07	183.82	703.28	318.57	511.0	476.71	353.59	438.59	283.05	381.68	163.28	309.83	490.14	62.12	583.07	157.68	532.74	129.69	417.77	316.37	500.46	178.77	255.0	234.57	420.68	450.94	775.05	1819.35	275.28	866.07	547.75	503.95	759.08	866.07	878.17	603.67	571.05	718.08	836.53	743.43	638.15	624.99	1030.12	866.07	1023.0	587.13	934.76	1127.35	651.58	1111.82	718.08	988.12	224.97	679.29	547.75	493.56	688.78	995.0	624.99	1369.04	743.43
ATF2	208.38	525.39	226.54	281.09	106.63	351.14	171.45	387.02	214.27	151.22	189.02	217.27	336.79	318.57	262.2	161.02	316.37	130.6	320.8	242.88	325.29	256.78	447.82	183.82	149.12	299.25	190.34	239.52	185.11	251.48	122.64	387.02	256.78	149.12	426.57	100.83	376.41	151.22	185.11	341.51	229.72	248.0	143.01	165.57	260.38	656.11	802.41	532.74	189.02	417.77	202.66	312.0	376.41	403.5	336.79	420.68	323.03	320.8	400.71	373.81	244.57	305.55	447.82	381.68	583.07	559.28	426.57	283.05	435.55	368.65	320.8	384.34	202.66	392.44	346.29	291.04	301.33	460.44	447.82	1023.0	432.53
ATG4C	48.87	110.43	81.71	50.98	152.28	169.07	125.24	128.79	88.88	125.24	102.25	80.01	81.14	193.01	77.25	65.72	126.12	73.54	92.7	73.03	99.43	127.89	191.67	138.1	67.59	72.52	121.79	72.01	78.89	209.84	71.0	93.35	82.87	99.43	84.63	74.58	94.67	110.43	109.66	118.43	102.25	116.78	56.28	121.79	74.58	149.12	260.38	234.57	161.02	267.73	172.65	301.33	228.13	189.02	182.55	264.03	198.47	239.52	202.66	151.22	190.34	177.53	273.37	283.05	224.97	251.48	206.94	59.97	92.7	103.69	166.73	202.66	162.14	193.01	265.87	218.79	148.09	148.09	255.0	309.83	88.26
ATP7A	59.55	91.41	59.97	50.27	20.26	69.03	111.21	151.22	100.13	47.84	76.71	29.48	79.45	204.07	55.89	21.32	121.79	30.34	57.08	19.39	101.54	27.44	107.38	48.87	60.82	100.83	33.3	66.65	49.91	82.87	31.67	87.03	157.68	16.88	98.04	28.65	111.99	39.22	125.24	145.02	87.03	61.68	39.22	44.57	77.79	57.08	154.42	132.44	23.93	183.82	39.79	99.43	108.9	128.79	127.89	162.14	92.7	92.7	154.42	106.63	80.57	63.0	242.88	140.04	199.85	140.04	170.25	70.01	61.25	53.57	116.78	71.5	43.63	77.79	76.17	81.14	110.43	90.77	135.24	171.45	50.63
ATXN1L	85.22	221.86	58.3	150.17	85.82	211.31	116.78	241.19	119.26	64.34	159.9	107.38	120.1	22.26	111.21	167.9	265.87	70.51	124.37	214.27	221.86	111.99	234.57	93.35	91.41	61.68	185.11	92.05	90.14	460.44	44.89	173.85	136.19	72.01	186.4	86.43	118.43	65.72	150.17	182.55	147.06	149.12	142.01	115.16	167.9	215.77	249.73	318.57	85.22	438.59	283.05	269.6	258.57	417.77	406.31	264.03	346.29	341.51	529.06	307.69	334.46	334.46	381.68	281.09	353.59	363.56	358.54	373.81	332.14	579.04	381.68	351.14	70.01	323.03	237.86	283.05	363.56	332.14	353.59	400.71	327.56
