	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.F4.6854.01A.11R.1928.07	TCGA.NH.A8F7.01A.11R.A41B.07	TCGA.3L.AA1B.01A.11R.A37K.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.KU.A6H8.01A.21R.A34R.07	TCGA.WA.A7GZ.11A.11R.A34R.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.7245.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZC5H.2726.SM.5KLZW	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13CF2.2426.SM.5LZYL
AIFM1	1183.45	587.13	2148.82	1628.26	1081.39	376.41	450.94	314.17	406.31	381.68	289.02	406.31	941.27	921.88	813.63	909.17	651.58	660.68	1066.48	0.0	0.07	842.36	647.07	738.29	660.68	848.22	507.46	808.0	921.88	1540.37
AKAP1	3103.19	483.38	2758.13	3564.78	2303.12	825.0	547.75	400.71	583.07	693.58	120.94	231.32	1417.35	1304.15	1437.15	2061.24	1733.13	718.08	1350.18	0.0	0.09	438.59	575.03	934.76	571.05	884.29	591.22	629.35	457.25	2835.7
AMOT	2609.3	12.93	316.37	273.37	262.2	75.64	38.12	38.12	51.71	50.63	1.07	7.4	1135.2	1286.18	1350.18	2895.31	1427.22	525.39	2193.99	0.0	0.21	57.08	40.07	92.05	123.5	941.27	23.25	141.02	7.57	5913.33
ARMCX3	872.1	90.14	1277.29	1397.83	1242.34	242.88	343.89	163.28	271.48	142.01	31.67	152.28	1151.06	1044.52	796.86	2090.03	1397.83	607.87	1639.59	0.0	0.85	165.57	29.48	152.28	170.25	647.07	60.82	124.37	29.91	457.25
ASB1	583.07	86.43	384.34	633.73	733.19	371.22	221.86	180.02	432.53	262.2	198.47	307.69	514.56	656.11	587.13	718.08	587.13	387.02	571.05	0.0	0.71	346.29	220.32	297.17	287.01	571.05	305.55	217.27	156.59	808.0
C12orf73	743.43	124.37	318.57	323.03	353.59	140.04	221.86	162.14	140.04	143.01	52.82	140.04	277.2	291.04	316.37	395.18	249.73	153.34	320.8	0.0	0.49	67.12	78.34	131.51	82.29	307.69	104.42	102.25	92.05	341.51
C17orf80	412.0	127.89	221.86	356.05	264.03	156.59	161.02	100.13	130.6	105.89	57.49	85.22	239.52	271.48	218.79	303.44	264.03	186.4	253.23	0.0	0.0	180.02	124.37	119.26	158.79	236.21	87.65	148.09	136.19	239.52
C3orf18	400.71	5.41	69.03	64.8	75.64	51.71	32.36	21.94	11.55	29.48	6.78	12.93	171.45	343.89	339.14	500.46	384.34	92.05	397.93	0.0	0.18	33.54	25.91	21.47	27.05	194.36	28.45	33.06	8.06	457.25
CCDC127	153.34	20.71	65.26	169.07	128.79	67.12	111.21	66.18	68.55	100.83	10.39	18.03	128.79	99.43	84.63	98.04	156.59	59.55	181.28	0.0	0.13	32.13	16.51	42.11	48.87	77.79	22.59	36.79	24.63	138.1
CDKN2AIPNL	1183.45	417.77	540.19	536.45	567.1	287.01	348.71	249.73	320.8	246.28	316.37	283.05	612.11	599.49	698.41	902.89	651.58	493.56	780.44	0.0	0.28	830.75	291.04	316.37	403.5	890.44	253.23	336.79	387.02	1030.12
CMBL	2739.08	8.32	334.46	595.34	260.38	33.3	78.89	18.56	108.9	26.47	19.53	28.65	693.58	819.3	1001.93	2061.24	909.17	334.46	1259.69	579.04	162.14	190.34	61.25	55.89	84.63	376.41	52.82	51.35	39.22	629.35
CNTNAP1	78.34	14.56	169.07	51.35	151.22	74.58	81.14	16.88	24.81	27.44	15.11	29.27	72.52	67.12	56.68	118.43	260.38	41.22	102.25	0.0	0.65	11.73	39.22	55.89	17.64	201.25	17.13	14.78	11.82	81.71
COA1	1806.78	759.08	884.29	1216.75	1350.18	616.37	884.29	571.05	713.11	575.03	470.14	457.25	1437.15	1388.16	1350.18	1498.22	1096.5	902.89	1340.84	0.0	0.83	1697.45	624.99	547.75	743.43	1208.34	595.34	796.86	718.08	2193.99
COX14	4736.79	624.99	1639.59	1467.37	1857.6	1369.04	1233.75	981.29	1199.98	1259.69	688.78	860.08	3190.46	3060.45	3018.3	3614.55	2209.26	1936.53	3372.43	0.0	0.75	2682.69	1437.15	1936.53	1233.75	3564.78	1806.78	1794.29	1277.29	3419.52
CUEDC2	1769.57	540.19	1870.53	1081.39	1909.85	995.0	813.63	708.18	591.22	995.0	395.18	656.11	1844.76	1745.2	1617.0	2319.15	1685.71	1208.34	2609.3	0.0	0.69	1477.58	514.56	1313.23	759.08	2119.22	780.44	718.08	674.59	2287.2
CUL4A	2855.44	551.56	1709.26	1819.35	1397.83	1104.13	1081.39	825.0	947.83	854.13	642.59	713.11	1857.6	1685.71	1857.6	2209.26	1745.2	1216.75	1896.65	785.88	135.24	902.89	947.83	909.17	1066.48	1745.2	813.63	733.19	819.3	2193.99
DENND2A	142.01	0.0	106.63	86.43	123.5	182.55	51.35	21.16	131.51	47.5	15.11	23.93	99.43	56.28	42.11	172.65	507.46	28.86	201.25	0.0	0.32	52.08	65.72	47.84	32.13	356.05	27.44	17.25	8.71	559.28
DENND5B	176.29	38.67	96.68	67.59	37.59	22.59	31.9	6.06	58.3	11.3	9.27	15.68	76.17	77.79	120.1	182.55	141.02	29.91	152.28	90.14	43.32	18.7	2.2	13.62	13.22	121.79	9.78	5.73	4.94	145.02
DET1	366.09	13.52	70.51	134.3	126.12	45.21	45.21	35.5	37.85	33.3	9.78	13.83	120.94	127.0	125.24	183.82	163.28	69.52	218.79	0.0	0.0	49.56	18.29	15.91	42.11	76.17	26.1	46.5	12.93	150.17
DIP2C	525.39	9.34	189.02	289.02	205.5	191.67	165.57	90.77	53.95	145.02	15.34	92.7	185.11	221.86	202.66	376.41	361.04	98.73	277.2	0.0	0.44	60.82	28.24	49.91	76.17	262.2	39.79	38.4	27.84	201.25
DMD	2032.85	8.51	293.07	285.03	236.21	88.88	54.72	52.82	51.71	49.56	20.71	66.65	688.78	785.88	802.41	1551.09	967.76	346.29	1733.13	0.0	0.42	20.86	30.56	45.85	92.7	507.46	24.11	44.25	9.41	563.18
DNAJA3	1651.0	836.53	1674.06	1378.57	1081.39	764.36	896.64	688.78	1044.52	733.19	371.22	406.31	1073.91	1199.98	1001.93	1378.57	896.64	842.36	1259.69	0.0	0.58	836.53	703.28	1175.27	860.08	1369.04	738.29	796.86	583.07	1313.23
DUSP3	4328.55	353.59	1407.55	1685.71	764.36	1417.35	896.64	915.51	934.76	1250.98	633.73	583.07	2367.9	1819.35	2875.3	3443.31	2935.74	1191.69	2997.45	0.0	0.71	1322.37	743.43	1030.12	1037.29	1909.85	775.05	1096.5	842.36	1757.34
DYNLL2	1037.29	954.43	743.43	988.12	995.0	450.94	543.96	480.04	361.04	384.34	173.85	256.78	954.43	1081.39	665.29	1216.75	836.53	748.61	1023.0	587.13	64.34	420.68	329.84	348.71	368.65	733.19	318.57	579.04	234.57	1175.27
ENPP4	432.53	1.85	178.77	158.79	162.14	33.06	14.24	9.7	29.91	19.25	3.72	6.52	154.42	214.27	181.28	323.03	283.05	70.51	432.53	0.0	0.45	34.02	2.81	4.9	41.22	72.52	2.07	29.91	6.84	283.05
EPDR1	1909.85	24.81	493.56	693.58	555.41	77.79	44.25	22.92	53.19	51.35	16.03	46.5	830.75	878.17	813.63	1498.22	1127.35	258.57	1639.59	0.0	0.42	121.79	37.32	52.45	93.35	595.34	28.04	21.63	16.27	1250.98
ESRRA	1467.37	1250.98	2816.11	3257.52	1794.29	1259.69	915.51	825.0	1216.75	1199.98	753.83	769.69	2148.82	2255.7	1819.35	2720.15	1819.35	1167.14	2271.4	0.0	0.79	967.76	1508.65	1662.49	1304.15	1583.71	1721.16	1540.37	1794.29	3820.7
F8	395.18	49.21	110.43	176.29	120.1	86.43	157.68	70.01	27.44	34.26	8.65	19.97	148.09	175.07	97.36	587.13	307.69	127.89	587.13	0.0	0.0	95.34	44.25	47.17	58.71	226.54	35.76	50.98	38.12	194.36
FAM195A	1378.57	387.02	1819.35	1331.57	860.08	346.29	267.73	262.2	603.67	341.51	111.21	194.36	941.27	1030.12	1066.48	1250.98	723.08	432.53	1073.91	0.0	0.52	353.59	139.07	591.22	507.46	679.29	307.69	273.37	253.23	1617.0
FAM71E1	41.81	189.02	144.01	341.51	90.14	43.32	25.91	33.54	37.05	48.52	13.32	16.51	80.57	59.97	76.17	85.22	63.89	45.85	111.99	0.0	0.13	12.18	15.22	69.03	32.59	105.89	41.52	77.79	15.45	316.37
FGF18	29.7	0.72	40.64	123.5	79.45	11.3	5.45	6.36	13.93	5.77	1.85	2.43	50.63	3.41	40.64	139.07	202.66	17.9	45.53	0.0	0.17	29.27	14.89	63.45	7.4	73.54	18.29	8.99	33.3	138.1
