	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A115.01A.11R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.SJXC.1226.SM.4DM78	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1399T.0826.SM.5IFES	TCGA.55.7815.01A.11R.2170.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.3918.01A.01R.A278.07
ALB	117.6	4.66	1503610.06	277089.94	1187913.85	2.094351026E7	4223476.69	5.228884881E7	4784708.82	3.286389077E7	7.343680617E7	3.286389077E7	2.372656541E7	2216726.5	2.8412057E7	2.669377385E7	2.596383117E7	2.8412057E7	93.35	0.0	0.68	45.85
APBA3	63.45	120.1	438.59	555.41	414.87	293.07	220.32	145.02	208.38	182.55	211.31	199.85	228.13	260.38	314.17	228.13	258.57	269.6	20.11	0.0	0.59	65.72
BAD	525.39	642.59	2720.15	3212.66	3665.02	1674.06	775.05	389.72	728.11	2133.97	1268.46	2018.8	1844.76	2119.22	1628.26	1191.69	1151.06	1733.13	237.86	0.0	0.73	239.52
C11orf68	684.02	429.54	738.29	915.51	723.08	423.61	277.2	251.48	215.77	457.25	543.96	473.41	616.37	753.83	525.39	536.45	473.41	612.11	275.28	0.0	0.68	167.9
C19orf60	153.34	277.2	2682.69	3491.39	3874.05	2502.97	896.64	329.84	684.02	1923.14	1268.46	961.07	1794.29	2319.15	2537.92	1498.22	1685.71	1350.18	37.05	0.0	0.73	167.9
C1orf86	249.73	353.59	1331.57	1909.85	1225.22	1111.82	587.13	193.01	339.14	1127.35	693.58	909.17	1233.75	1388.16	967.76	525.39	571.05	896.64	141.02	0.0	0.92	105.89
C6orf226	147.06	107.38	1001.93	669.92	1073.91	454.09	255.0	130.6	147.06	379.04	180.02	376.41	444.72	387.02	406.31	309.83	346.29	314.17	77.79	0.0	0.45	29.27
C9orf37	79.45	100.13	148.09	258.57	480.04	178.77	90.77	67.59	66.65	198.47	115.97	120.1	190.34	236.21	166.73	118.43	144.01	193.01	61.68	0.0	0.73	163.28
CCDC101	299.25	172.65	684.02	1674.06	928.3	473.41	423.61	291.04	486.75	713.11	555.41	642.59	476.71	878.17	785.88	497.0	825.0	376.41	169.07	0.0	0.19	312.0
CDPF1	115.97	108.14	237.86	120.94	195.72	143.01	63.45	70.01	29.48	129.69	88.88	139.07	126.12	218.79	175.07	118.43	147.06	129.69	84.04	0.0	0.15	75.64
DIAPH1	1259.69	1551.09	2816.11	2627.46	2400.97	1909.85	1909.85	1651.0	2163.77	2119.22	2502.97	2664.15	2119.22	3060.45	2701.35	2384.37	2163.77	1977.24	1709.26	1183.45	791.35	848.22
EGLN2	1001.93	785.88	1572.76	2047.0	1295.13	1277.29	571.05	567.1	854.13	1183.45	974.5	1001.93	674.59	1088.92	1073.91	860.08	947.83	961.07	780.44	0.0	0.95	718.08
FASTK	426.57	392.44	2287.2	2997.45	2271.4	1225.22	1081.39	759.08	836.53	1259.69	915.51	1167.14	1697.45	1709.26	1233.75	854.13	785.88	1127.35	171.45	0.0	0.74	334.46
GAK	575.03	525.39	1199.98	1639.59	1583.71	813.63	947.83	679.29	620.67	1001.93	791.35	743.43	954.43	1617.0	1208.34	674.59	967.76	1143.1	480.04	0.0	1.2	497.0
JOSD2	126.12	251.48	1417.35	1757.34	1030.12	785.88	579.04	204.07	543.96	713.11	559.28	525.39	651.58	583.07	409.15	339.14	384.34	327.56	43.63	0.0	0.52	50.63
KEAP1	476.71	884.29	1639.59	1781.89	1651.0	1175.27	884.29	934.76	988.12	1199.98	988.12	1183.45	995.0	1467.37	1096.5	1259.69	1259.69	1111.82	629.35	0.0	0.38	796.86
LLGL2	221.86	896.64	2351.53	1639.59	2502.97	1397.83	414.87	363.56	532.74	1697.45	860.08	1605.83	941.27	1277.29	1857.6	896.64	1331.57	967.76	279.14	0.0	0.91	312.0
LRRC45	24.28	84.63	376.41	1167.14	896.64	318.57	234.57	72.52	165.57	447.82	269.6	363.56	334.46	473.41	346.29	178.77	223.41	248.0	26.28	0.0	0.19	81.71
MAP2K7	256.78	177.53	460.44	414.87	417.77	271.48	258.57	143.01	249.73	327.56	271.48	314.17	283.05	356.05	366.09	220.32	314.17	356.05	100.83	0.0	0.85	81.71
MPND	143.01	256.78	2520.38	3443.31	2384.37	995.0	616.37	454.09	438.59	1769.57	791.35	1096.5	1519.15	2148.82	1757.34	1066.48	1051.79	1388.16	57.49	0.0	0.16	77.79
NME3	275.28	327.56	1794.29	1508.65	2664.15	1295.13	518.15	293.07	368.65	1143.1	642.59	775.05	1073.91	1508.65	723.08	764.36	947.83	909.17	43.32	0.0	0.99	32.82
NQO2	1044.52	348.71	3467.27	5147.73	6745.86	3018.3	854.13	3690.52	4450.27	4836.35	2018.8	3874.05	8363.13	5954.47	6250.56	5594.3	1605.83	4704.07	967.76	0.0	0.6	988.12
NUBP2	202.66	368.65	1561.89	3665.02	2664.15	1208.34	1066.48	616.37	775.05	1583.71	878.17	1183.45	1745.2	1896.65	1745.2	884.29	1104.13	1037.29	62.56	0.0	0.78	87.65
PCYT2	178.77	242.88	4972.34	8022.41	4869.99	3847.29	1674.06	1322.37	1008.9	5147.73	2163.77	3039.3	4268.94	5041.77	4869.99	3280.18	4736.79	2485.67	251.48	0.0	0.0	279.14
PELI3	90.14	69.52	111.99	147.06	307.69	52.82	15.56	24.81	49.21	120.1	120.94	129.69	71.0	100.83	119.26	41.81	80.57	56.68	72.52	0.0	0.26	40.64
PGLS	791.35	612.11	1733.13	2434.5	2609.3	1397.83	785.88	543.96	651.58	1519.15	1259.69	1369.04	2255.7	2163.77	2018.8	1015.93	1322.37	1073.91	314.17	0.0	0.47	480.04
PIDD	71.5	49.91	220.32	289.02	420.68	127.0	112.77	71.5	87.03	166.73	123.5	173.85	146.03	231.32	190.34	100.83	138.1	155.5	24.99	0.0	1.01	17.38
PIGQ	251.48	420.68	514.56	1225.22	1216.75	480.04	229.72	234.57	260.38	743.43	432.53	395.18	587.13	878.17	454.09	397.93	674.59	651.58	159.9	0.0	0.73	77.25
PPP1R16A	151.22	226.54	5403.7	5517.27	7749.1	2758.13	684.02	802.41	995.0	4239.45	2075.59	3665.02	2417.67	3874.05	4038.61	1313.23	1561.89	1883.54	42.11	0.0	0.78	239.52
RASSF7	87.65	329.84	1331.57	1819.35	2796.65	698.41	432.53	214.27	583.07	819.3	503.95	698.41	603.67	780.44	733.19	616.37	599.49	674.59	47.5	0.0	0.67	74.06
RPP21	571.05	441.64	1487.87	1388.16	1540.37	1295.13	674.59	241.19	493.56	1111.82	813.63	954.43	909.17	1044.52	703.28	629.35	638.15	842.36	339.14	0.0	0.54	400.71
RPP25L	387.02	400.71	1199.98	1991.0	1709.26	1378.57	579.04	603.67	450.94	1651.0	1059.11	1277.29	1208.34	1561.89	1487.87	1286.18	1037.29	1143.1	218.79	0.0	0.0	406.31
RPUSD1	79.45	93.35	237.86	454.09	406.31	162.14	115.16	90.77	113.56	260.38	135.24	163.28	170.25	199.85	264.03	127.0	129.69	172.65	7.94	0.0	0.01	25.54
RPUSD3	361.04	356.05	830.75	1832.01	884.29	764.36	551.56	429.54	358.54	743.43	796.86	988.12	878.17	780.44	813.63	698.41	559.28	728.11	376.41	0.0	0.27	301.33
SESN2	102.97	116.78	555.41	339.14	387.02	301.33	100.13	138.1	140.04	366.09	169.07	223.41	248.0	583.07	547.75	295.11	260.38	323.03	88.88	0.0	0.24	83.45
SIPA1	447.82	1104.13	1832.01	2075.59	1977.24	813.63	507.46	547.75	595.34	1119.56	1388.16	928.3	723.08	1304.15	1208.34	579.04	836.53	543.96	674.59	0.0	0.91	483.38
SLC25A39	848.22	1350.18	3303.0	4869.99	4239.45	1977.24	1781.89	1183.45	1651.0	2895.31	1628.26	1844.76	2875.3	2367.9	2645.74	1651.0	1467.37	1709.26	872.1	0.0	0.92	708.18
SLC35C2	896.64	638.15	967.76	1561.89	1651.0	825.0	642.59	518.15	412.0	1037.29	698.41	769.69	1111.82	1340.84	769.69	785.88	738.29	1104.13	624.99	0.0	0.74	348.71
SNRNP35	248.0	473.41	928.3	693.58	769.69	698.41	547.75	348.71	583.07	791.35	842.36	674.59	599.49	848.22	267.73	684.02	603.67	708.18	426.57	0.0	0.37	429.54
STK16	629.35	450.94	1183.45	902.89	1467.37	1081.39	718.08	633.73	629.35	1487.87	1015.93	1583.71	1242.34	1498.22	1111.82	1286.18	974.5	1044.52	441.64	0.0	0.46	417.77
STUB1	934.76	1143.1	3614.55	6840.04	3589.58	2720.15	1104.13	1199.98	1183.45	3280.18	1870.53	2271.4	2664.15	3491.39	2502.97	2133.97	1909.85	2645.74	703.28	0.0	0.89	825.0
SYMPK	603.67	693.58	1167.14	1832.01	1286.18	791.35	591.22	432.53	480.04	1073.91	679.29	703.28	954.43	1378.57	785.88	587.13	830.75	802.41	1051.79	0.0	0.99	616.37
SYNE4	135.24	115.16	426.57	256.78	351.14	309.83	33.3	51.71	7.51	253.23	140.04	334.46	429.54	633.73	884.29	237.86	368.65	379.04	141.02	0.0	0.4	49.56
TAB1	191.67	175.07	273.37	432.53	392.44	269.6	137.14	158.79	131.51	320.8	220.32	285.03	332.14	336.79	212.78	255.0	236.21	244.57	75.11	0.0	0.21	76.17
TBCD	651.58	438.59	1572.76	1183.45	2209.26	1044.52	684.02	543.96	486.75	967.76	884.29	909.17	1277.29	1529.73	1096.5	808.0	909.17	1023.0	698.41	0.0	0.88	1304.15
THAP7	387.02	262.2	954.43	1295.13	1331.57	733.19	463.65	384.34	518.15	1135.2	511.0	669.92	854.13	1159.07	698.41	551.56	595.34	674.59	75.11	0.0	0.45	223.41
TMEM115	426.57	450.94	733.19	759.08	842.36	567.1	403.5	208.38	429.54	620.67	567.1	518.15	620.67	830.75	518.15	607.87	647.07	595.34	220.32	0.0	0.52	149.12
TPRA1	454.09	409.15	679.29	909.17	1073.91	830.75	403.5	379.04	366.09	884.29	651.58	503.95	674.59	854.13	684.02	693.58	620.67	656.11	149.12	0.0	0.75	224.97
ZFPL1	571.05	381.68	934.76	1551.09	1662.49	674.59	395.18	543.96	414.87	579.04	728.11	718.08	567.1	748.61	703.28	708.18	579.04	665.29	189.02	0.0	0.56	314.17
ZNF524	135.24	212.78	842.36	813.63	703.28	529.06	206.94	145.02	232.94	660.68	441.64	346.29	555.41	703.28	595.34	379.04	444.72	323.03	26.67	0.0	0.29	10.96
ZNF768	325.29	301.33	848.22	884.29	934.76	599.49	249.73	251.48	318.57	830.75	595.34	860.08	450.94	753.83	830.75	551.56	514.56	575.03	177.53	0.0	0.59	267.73
ZNF775	102.25	146.03	368.65	140.04	334.46	135.24	47.5	37.32	39.22	224.97	138.1	178.77	167.9	264.03	291.04	162.14	121.79	149.12	66.65	0.0	0.22	48.52
