	TCGA.A3.3324.01A.02R.1325.07	TCGA.B0.4852.01A.01R.1503.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11WQC.0626.SM.5EQMF	GTEX.13CF2.2426.SM.5LZYL	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.EM.A2CQ.01A.11R.A180.07
ABHD8	131.51	93.35	0.0	0.37	256.78	141.02	503.95	521.76	297.17
ACTA1	1.25	2.73	0.0	0.97	6.36	8102860.22	4.86	9.27	7.4
ADK	547.75	470.14	0.0	0.39	540.19	1015.93	1572.76	1388.16	1023.0
ADRA2C	51.35	36.27	0.0	0.48	15.68	74.58	176.29	22.92	29.91
AL807752.1	4.21	6.94	0.0	0.16	0.0	29.06	56.28	34.02	40.64
ALG12	466.88	269.6	0.0	0.12	195.72	195.72	529.06	518.15	551.56
ALKBH4	297.17	148.09	0.0	0.0	96.01	232.94	444.72	429.54	366.09
APOPT1	878.17	1066.48	0.0	0.51	514.56	1447.15	1540.37	1991.0	1437.15
ATP13A2	420.68	353.59	0.0	0.6	603.67	332.14	595.34	660.68	612.11
ATP5D	2720.15	2319.15	0.0	1.08	1388.16	20030.74	5292.48	4937.99	3716.2
ATPIF1	5329.3	5147.73	0.0	0.65	2682.69	18950.18	10014.87	12160.22	6887.62
AURKAIP1	1870.53	1340.84	0.0	0.75	769.69	8718.32	3742.05	3515.68	2537.92
B3GALT6	180.02	199.85	0.0	0.0	81.71	209.84	293.07	320.8	249.73
BLNK	358.54	392.44	0.0	0.0	25.54	497.0	872.1	759.08	409.15
BLOC1S4	226.54	241.19	0.0	0.17	127.89	150.17	368.65	361.04	186.4
BRMS1	684.02	890.44	0.0	0.37	397.93	688.78	1208.34	1081.39	981.29
C14orf2	1477.58	2468.49	3742.05	1151.06	1242.34	13872.08	4972.34	4736.79	4066.71
C16orf45	249.73	201.25	0.0	0.54	723.08	1286.18	819.3	723.08	651.58
C17orf103	185.11	125.24	0.0	0.3	166.73	368.65	208.38	204.07	371.22
C17orf89	1023.0	1697.45	0.0	0.54	769.69	2895.31	2255.7	2816.11	1936.53
C17orf97	241.19	120.1	0.0	0.0	9.93	309.83	275.28	246.28	273.37
C19orf53	2502.97	3443.31	0.0	1.03	1529.73	4239.45	5403.7	5555.65	3564.78
C19orf70	1628.26	1304.15	0.0	0.47	397.93	6294.04	2739.08	2240.11	1832.01
C1orf167	3.82	15.34	0.0	0.15	1.69	934.76	24.46	81.71	20.26
C20orf24	1135.2	1936.53	0.0	0.99	941.27	3303.0	1519.15	1819.35	1498.22
CHCHD1	587.13	842.36	0.0	0.4	473.41	1037.29	1561.89	1498.22	995.0
CHMP6	575.03	583.07	0.0	0.39	151.22	819.3	884.29	688.78	521.76
COX17	947.83	2018.8	0.0	0.78	2645.74	5183.54	2627.46	2777.33	3372.43
DCTN2	4038.61	4239.45	0.0	1.25	2502.97	5954.47	3515.68	3589.58	4239.45
DNAJC30	218.79	212.78	0.0	0.0	63.45	198.47	432.53	395.18	318.57
DOHH	202.66	172.65	0.0	0.38	49.21	595.34	303.44	316.37	249.73
EMC6	559.28	674.59	0.0	0.43	376.41	2796.65	1135.2	1437.15	842.36
EPB41L4A-AS2	67.59	37.85	0.0	0.06	28.86	10.79	94.01	55.89	74.58
EXOSC4	490.14	343.89	0.0	0.24	158.79	902.89	769.69	769.69	406.31
FAM58A	289.02	346.29	0.0	0.49	143.01	529.06	660.68	713.11	563.18
FARSA	830.75	575.03	0.0	0.0	381.68	1159.07	1183.45	748.61	1096.5
FBXL15	147.06	120.1	0.0	0.57	239.52	186.4	432.53	406.31	316.37
FBXW4	954.43	1167.14	0.0	0.58	748.61	743.43	1498.22	1259.69	1594.73
FEM1A	105.89	130.6	0.0	0.38	101.54	3212.66	320.8	248.0	189.02
FKSG62	1.14	3.66	0.0	0.14	2.25	14.03	1.89	4.46	2.46
GADD45GIP1	1397.83	1487.87	0.0	0.74	693.58	4972.34	3349.13	3395.89	1781.89
GLTPD1	334.46	273.37	0.0	0.33	236.21	1119.56	718.08	854.13	529.06
GNPTG	1950.0	1883.54	0.0	0.88	961.07	830.75	2485.67	3168.41	1697.45
GPATCH3	206.94	189.02	0.0	0.0	180.02	187.71	283.05	212.78	199.85
GSTP1	7180.15	6471.02	0.0	1.28	5292.48	32092.64	18431.96	25530.66	13399.51
HMCES	514.56	915.51	0.0	0.88	603.67	1617.0	1127.35	981.29	656.11
HRH3	0.0	0.0	0.0	0.0	0.0	1.04	0.85	0.99	0.89
IDH3G	1151.06	848.22	0.0	0.93	511.0	2468.49	1628.26	1572.76	1233.75
IPO13	381.68	327.56	0.0	0.29	256.78	1467.37	825.0	693.58	854.13
