	TCGA.EW.A1P1.01A.31R.A14D.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.13O3O.0826.SM.5K7WE	GTEX.VJWN.0726.SM.3GIJ8	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PX3G.0826.SM.48TZS	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.SJXC.1226.SM.4DM78	GTEX.14DAQ.1726.SM.5S2R2	GTEX.11DXZ.0126.SM.5EGGY	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.ZY6K.1526.SM.5GZXE	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2
ANAPC10	435.55	511.0	612.11	791.35	733.19	796.86	226.54	218.79	281.09	285.03	260.38	336.79	265.87	228.13	343.89	366.09	320.8	307.69	423.61	305.55	287.01	297.17	309.83	361.04	395.18	387.02	579.04	332.14	551.56	392.44	371.22	397.93	341.51	353.59	511.0	379.04	320.8	373.81	249.73
ARL13B	202.66	239.52	242.88	309.83	332.14	293.07	8.71	28.04	44.57	39.22	13.32	32.59	48.52	36.53	106.63	108.14	70.51	145.02	162.14	165.57	131.51	99.43	116.78	96.68	110.43	143.01	165.57	106.63	167.9	127.0	115.16	119.26	118.43	134.3	178.77	133.36	114.36	126.12	50.27
ARMCX3	1037.29	1216.75	1909.85	1304.15	988.12	2319.15	151.22	285.03	55.49	69.03	102.97	102.97	185.11	343.89	1191.69	1427.22	854.13	1286.18	1519.15	1883.54	1208.34	1044.52	1191.69	1242.34	1208.34	1151.06	878.17	1059.11	1191.69	1304.15	1216.75	1369.04	1350.18	1819.35	2935.74	1794.29	1628.26	1427.22	785.88
AZIN1	2287.2	1991.0	2335.28	2384.37	1819.35	3212.66	514.56	713.11	387.02	379.04	397.93	429.54	698.41	698.41	1104.13	1066.48	878.17	1286.18	1769.57	1870.53	1199.98	1250.98	1059.11	988.12	1059.11	1498.22	1769.57	1096.5	1819.35	1508.65	1088.92	1104.13	1437.15	1950.0	2351.53	1467.37	1135.2	1135.2	802.41
BCAS2	1175.27	1250.98	1225.22	1651.0	1135.2	1487.87	379.04	607.87	679.29	703.28	480.04	559.28	559.28	665.29	1073.91	1159.07	890.44	1044.52	1259.69	1417.35	934.76	995.0	848.22	1030.12	915.51	1081.39	1757.34	1037.29	1662.49	1119.56	1096.5	1286.18	961.07	1199.98	2193.99	1233.75	1111.82	1143.1	878.17
BTBD1	928.3	1088.92	1167.14	1498.22	1233.75	1457.23	258.57	232.94	275.28	283.05	185.11	206.94	291.04	420.68	480.04	624.99	503.95	651.58	961.07	802.41	603.67	575.03	674.59	656.11	432.53	660.68	748.61	571.05	947.83	738.29	647.07	723.08	669.92	896.64	1030.12	693.58	567.1	559.28	438.59
C12orf5	423.61	220.32	412.0	363.56	299.25	258.57	64.34	76.71	73.03	70.51	16.27	25.17	43.94	53.95	129.69	122.64	107.38	89.51	151.22	358.54	102.97	91.41	91.41	116.78	127.89	123.5	153.34	131.51	205.5	131.51	115.16	148.09	108.14	209.84	325.29	229.72	111.99	158.79	132.44
CABYR	79.45	140.04	190.34	157.68	76.71	116.78	12.36	11.55	16.75	0.0	8.65	2.84	23.42	15.56	20.11	32.59	40.36	33.54	31.67	13.12	17.13	18.84	30.34	35.5	23.25	45.85	35.25	39.79	30.56	39.22	36.79	20.41	47.17	41.52	193.01	46.5	53.95	76.71	50.63
CALM2	16960.78	21919.61	16960.78	25530.66	21617.82	29124.6	4181.07	7857.29	5147.73	3955.48	3742.05	4268.94	5517.27	6294.04	13399.51	12244.81	9808.75	11745.96	17804.06	11992.79	9808.75	12589.08	11424.74	10296.45	13399.51	13968.57	23330.64	11745.96	20310.37	13872.08	11035.54	15499.21	10084.54	14163.58	14361.31	14663.09	13306.94	12076.21	8718.32
CEBPG	571.05	563.18	669.92	642.59	397.93	444.72	251.48	318.57	291.04	303.44	514.56	426.57	305.55	256.78	334.46	320.8	281.09	348.71	381.68	423.61	262.2	329.84	287.01	314.17	291.04	248.0	246.28	299.25	371.22	316.37	295.11	389.72	273.37	332.14	470.14	389.72	303.44	348.71	195.72
CEBPZ	1259.69	988.12	1088.92	1397.83	1073.91	1540.37	68.07	325.29	599.49	486.75	420.68	571.05	470.14	514.56	769.69	1059.11	733.19	902.89	848.22	988.12	583.07	921.88	551.56	669.92	866.07	830.75	1111.82	860.08	1015.93	802.41	693.58	896.64	764.36	884.29	1242.34	733.19	780.44	915.51	612.11
