	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.RM2N.1926.SM.48FCU	GTEX.ZPU1.0826.SM.57WG2	GTEX.131XE.0326.SM.5LZVO	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.11UD2.0726.SM.5EQ69	GTEX.13O3P.1026.SM.5N9E7	GTEX.X3Y1.0626.SM.3P5YS	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.ZUA1.1026.SM.4YCEA	GTEX.145MF.0726.SM.5Q5BT	GTEX.S341.0326.SM.2XCAU	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.X4EP.0526.SM.3P5YW
AHNAK2	75.11	20.41	17.77	2.58	42.71	23.08	10.31	24.63	45.21	0.0	0.57	162.14	80.01	511.0	264.03	88.26	183.82	74.58	624.99	583.07	381.68	1628.26	239.52	713.11	743.43	10.79	178.77	258.57	836.53	111.21	429.54	251.48	85.82
APPL2	224.97	194.36	244.57	164.42	251.48	195.72	166.73	293.07	392.44	0.0	0.71	679.29	379.04	981.29	616.37	819.3	547.75	327.56	1350.18	620.67	1015.93	808.0	866.07	1225.22	961.07	325.29	769.69	728.11	1286.18	620.67	848.22	1467.37	356.05
ASAH1	2090.03	848.22	896.64	450.94	813.63	902.89	2133.97	1447.15	3847.29	0.0	0.64	9540.5	6037.61	9215.48	4607.24	6037.61	2645.74	2796.65	8247.98	3639.7	16045.82	11909.94	6207.38	10959.3	5112.16	2351.53	4239.45	11827.67	9808.75	4210.15	7382.04	16045.82	2976.74
ATP1A2	0.3	4.39	19.68	10.24	9.06	6.78	2.1	4.39	65.72	0.0	0.29	130.6	80.01	389.72	234.57	170.25	32.59	58.3	384.34	332.14	353.59	463.65	65.72	447.82	142.01	49.56	226.54	32.82	283.05	305.55	226.54	551.56	18.43
BEX2	8.06	3.92	105.89	1.81	2.01	41.81	18.29	14.78	480.04	0.0	0.35	536.45	297.17	397.93	514.56	525.39	381.68	158.79	348.71	612.11	1832.01	525.39	802.41	1407.55	273.37	108.14	307.69	486.75	698.41	318.57	258.57	954.43	123.5
CARF	6.01	15.34	12.0	16.39	18.29	28.04	29.27	28.86	23.25	0.0	0.13	91.41	48.52	186.4	114.36	86.43	69.03	38.4	172.65	123.5	185.11	96.68	97.36	178.77	163.28	27.64	92.05	103.69	173.85	116.78	110.43	176.29	53.95
CCDC141	2.78	0.35	0.72	0.27	2.14	17.25	0.54	1.87	2.29	0.0	0.0	31.45	10.31	149.12	30.56	75.11	9.85	8.92	94.67	42.71	348.71	40.07	115.16	125.24	44.25	24.99	49.21	42.41	303.44	24.81	28.24	167.9	19.68
CPEB1	1.43	0.99	0.57	0.82	0.0	1.38	4.28	3.14	2.68	0.0	0.18	17.64	10.63	153.34	101.54	55.1	40.93	49.91	94.67	152.28	57.08	295.11	87.65	107.38	224.97	2.63	94.01	56.28	158.79	94.67	103.69	72.52	20.71
CRISP2	0.85	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.06	0.0	0.0	50.98	84.04	151.22	137.14	155.5	56.68	51.71	525.39	273.37	199.85	384.34	199.85	397.93	157.68	32.82	50.63	320.8	476.71	74.58	84.63	191.67	4.94
DIP2C	132.44	60.82	58.71	16.63	15.45	87.03	232.94	101.54	23.42	0.0	0.44	169.07	64.8	104.42	167.9	140.04	40.93	86.43	283.05	191.67	157.68	353.59	118.43	279.14	244.57	91.41	137.14	76.71	159.9	191.67	136.19	262.2	63.0
DPY19L3	84.63	54.72	33.54	70.01	75.64	77.25	76.71	86.43	111.99	75.11	72.01	116.78	171.45	239.52	218.79	116.78	253.23	150.17	193.01	212.78	249.73	246.28	309.83	303.44	147.06	102.97	242.88	327.56	218.79	153.34	167.9	327.56	126.12
DUSP15	3.99	4.43	11.04	2.18	3.08	6.06	1.89	2.68	6.94	0.0	0.33	29.91	14.14	107.38	73.03	37.32	34.51	6.36	33.06	69.52	47.84	93.35	24.28	27.25	35.25	32.59	94.01	32.59	39.79	30.12	70.51	43.32	14.56
DYX1C1	88.26	2.94	6.41	19.39	6.01	5.15	1.35	0.61	13.03	0.0	0.0	262.2	182.55	363.56	323.03	211.31	171.45	66.18	269.6	190.34	435.55	244.57	366.09	723.08	348.71	9.78	323.03	830.75	595.34	175.07	305.55	587.13	23.08
ENPP5	1.75	3.99	6.62	0.0	0.55	15.22	9.56	5.19	102.25	0.0	0.29	281.09	212.78	764.36	414.87	406.31	229.72	57.89	441.64	295.11	928.3	988.12	896.64	915.51	1037.29	25.35	620.67	2417.67	2537.92	819.3	1662.49	1909.85	66.65
ENTPD3	1.48	0.0	0.89	0.0	0.0	0.0	0.0	2.73	7.69	0.0	0.0	137.14	43.32	190.34	48.87	124.37	76.71	16.51	132.44	128.79	211.31	119.26	180.02	153.34	155.5	8.06	91.41	258.57	191.67	95.34	114.36	253.23	25.35
GALNS	1081.39	195.72	105.89	242.88	147.06	293.07	106.63	248.0	343.89	0.0	0.74	536.45	420.68	4298.64	559.28	684.02	791.35	759.08	2032.85	775.05	1561.89	1697.45	647.07	1769.57	1605.83	251.48	642.59	708.18	1781.89	1073.91	1268.46	1662.49	351.14
HIATL1	525.39	115.97	138.1	115.97	189.02	206.94	195.72	309.83	460.44	0.0	0.66	633.73	941.27	738.29	934.76	825.0	866.07	743.43	599.49	753.83	591.22	1104.13	1111.82	802.41	651.58	454.09	1119.56	1208.34	974.5	703.28	961.07	1225.22	571.05
