	TCGA.4Z.AA84.01A.11R.A39I.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.FD.A3SJ.01A.12R.A22U.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.CU.A0YR.01A.12R.A10U.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.K4.A6MB.01A.11R.A31N.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.BL.A13J.01A.11R.A10U.07	TCGA.BL.A0C8.01A.11R.A10U.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.XF.AAMY.01A.11R.A42T.07	TCGA.2F.A9KW.01A.11R.A38B.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.DK.A2I1.01A.11R.A180.07	TCGA.DK.AA6P.01A.11R.A39I.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.FD.A3NA.01A.11R.A21D.07	TCGA.4Z.AA7M.01A.11R.A39I.07	TCGA.C8.A12P.01A.11R.A115.07	TCGA.BH.A203.01A.12R.A169.07	TCGA.L5.A4OG.01A.11R.A260.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.97.8547.01A.11R.2403.07	TCGA.55.A490.01A.11R.A466.07	TCGA.62.8397.01A.11R.2326.07	TCGA.CG.5724.01A.11R.1602.13	TCGA.VQ.A8E7.01B.11R.A414.31	TCGA.RD.A8N9.01A.12R.A39E.31	TCGA.D7.A6EY.01A.21R.A31P.31	TCGA.VQ.A91S.01A.11R.A414.31	TCGA.MX.A5UJ.01A.11R.A31P.31	TCGA.VQ.A91X.01A.12R.A414.31	TCGA.HU.A4H4.01A.21R.A251.31	TCGA.IN.AB1V.01A.21R.A414.31	TCGA.VQ.A94U.01A.12R.A414.31	TCGA.RD.A8NB.01A.12R.A39E.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.VQ.A922.01A.11R.A414.31	TCGA.VQ.A8PJ.01A.11R.A414.31	TCGA.D7.6526.01A.11R.1802.13	TCGA.VQ.A8PO.01A.11R.A414.31	TCGA.CG.5719.01A.11R.1602.13	TCGA.CD.5804.01A.12R.2055.13	TCGA.BR.6453.01A.11R.1802.13	TCGA.D7.6524.01A.11R.1802.13	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A2CO.01A.11R.A19O.07
ABHD13	85.22	102.97	56.28	116.78	214.27	98.04	155.5	105.15	120.1	74.06	105.15	108.14	126.12	89.51	133.36	60.39	84.04	94.67	70.51	81.14	193.01	70.51	99.43	197.09	89.51	169.07	177.53	105.15	49.56	53.19	46.5	64.8	78.89	82.87	49.91	70.51	96.01	65.26	56.68	85.82	185.11	249.73	141.02	191.67	122.64	136.19	187.71	149.12	221.86	178.77	155.5	223.41	197.09	96.68	155.5	138.1	55.49	127.0	150.17	92.7	127.0
ADNP	476.71	703.28	647.07	1159.07	884.29	796.86	1081.39	890.44	825.0	547.75	848.22	981.29	547.75	567.1	915.51	708.18	638.15	616.37	599.49	547.75	1508.65	1127.35	728.11	1378.57	988.12	1023.0	866.07	454.09	206.94	237.86	197.09	289.02	329.84	175.07	201.25	163.28	379.04	802.41	432.53	559.28	878.17	934.76	780.44	1477.58	703.28	921.88	728.11	896.64	878.17	995.0	713.11	1498.22	1242.34	878.17	547.75	490.14	500.46	551.56	651.58	353.59	429.54
ANKRD27	1059.11	854.13	473.41	612.11	1457.23	612.11	529.06	579.04	341.51	441.64	454.09	616.37	450.94	417.77	1073.91	591.22	483.38	540.19	483.38	392.44	842.36	511.0	470.14	2400.97	255.0	323.03	624.99	423.61	206.94	185.11	154.42	177.53	138.1	70.51	140.04	36.01	211.31	271.48	130.6	363.56	599.49	371.22	351.14	808.0	332.14	435.55	264.03	450.94	400.71	511.0	358.54	476.71	325.29	221.86	334.46	231.32	124.37	253.23	339.14	166.73	275.28
APAF1	94.01	234.57	269.6	197.09	70.01	202.66	138.1	153.34	167.9	94.67	267.73	201.25	122.64	132.44	229.72	186.4	158.79	151.22	106.63	57.08	190.34	70.01	182.55	470.14	122.64	176.29	198.47	77.25	64.8	53.95	36.27	86.43	81.14	52.82	44.57	41.52	157.68	166.73	170.25	80.01	163.28	201.25	242.88	264.03	138.1	224.97	301.33	226.54	285.03	320.8	267.73	215.77	366.09	325.29	229.72	101.54	172.65	146.03	199.85	61.68	107.38
API5	1313.23	764.36	775.05	785.88	616.37	890.44	866.07	587.13	521.76	620.67	1369.04	540.19	583.07	559.28	1015.93	796.86	647.07	738.29	497.0	612.11	660.68	665.29	571.05	753.83	819.3	1051.79	1015.93	743.43	395.18	612.11	262.2	620.67	521.76	547.75	503.95	543.96	743.43	483.38	775.05	624.99	860.08	1250.98	1268.46	1950.0	1242.34	1769.57	1104.13	1277.29	1662.49	1605.83	1143.1	1844.76	1286.18	878.17	1225.22	769.69	532.74	819.3	1066.48	902.89	738.29
AQR	379.04	193.01	507.46	473.41	412.0	497.0	423.61	409.15	320.8	392.44	384.34	246.28	638.15	796.86	206.94	403.5	339.14	567.1	307.69	476.71	297.17	438.59	406.31	551.56	389.72	500.46	400.71	470.14	420.68	251.48	122.64	291.04	223.41	153.34	171.45	137.14	441.64	616.37	239.52	368.65	629.35	595.34	587.13	612.11	620.67	591.22	376.41	551.56	660.68	703.28	583.07	409.15	603.67	476.71	733.19	361.04	503.95	511.0	444.72	463.65	336.79
ARCN1	2537.92	2163.77	2555.58	1540.37	1397.83	3103.19	2645.74	2485.67	2287.2	1651.0	5441.3	2739.08	2502.97	2417.67	2163.77	2119.22	1572.76	1388.16	2664.15	2835.7	1242.34	1857.6	2855.44	1977.24	3349.13	4358.66	2720.15	1540.37	1388.16	1437.15	915.51	1806.78	1259.69	1628.26	1225.22	1259.69	2555.58	2520.38	1709.26	1397.83	2163.77	2468.49	2384.37	2451.44	2319.15	1457.23	3665.02	2485.67	2502.97	3257.52	2627.46	2193.99	2520.38	3589.58	2271.4	1498.22	2032.85	1819.35	2303.12	2119.22	2104.58
ARHGAP11B	72.01	37.59	55.49	96.68	61.25	49.91	244.57	75.11	89.51	50.98	89.51	106.63	87.03	50.63	73.54	108.9	68.07	34.75	33.54	42.71	61.25	108.14	102.97	242.88	35.0	81.71	127.89	21.32	17.13	10.08	7.75	15.0	9.85	15.0	21.01	5.87	76.71	46.84	33.54	122.64	164.42	134.3	158.79	173.85	153.34	339.14	316.37	120.1	289.02	156.59	154.42	180.02	220.32	140.04	221.86	56.28	39.5	115.16	98.73	32.82	12.64
ARHGEF7	368.65	738.29	503.95	438.59	1037.29	358.54	514.56	775.05	603.67	438.59	417.77	414.87	432.53	647.07	954.43	303.44	591.22	514.56	269.6	486.75	1088.92	307.69	339.14	796.86	409.15	723.08	1104.13	688.78	228.13	283.05	299.25	361.04	277.2	150.17	260.38	197.09	507.46	384.34	309.83	507.46	1044.52	1183.45	748.61	1066.48	759.08	748.61	679.29	872.1	1023.0	713.11	808.0	1991.0	842.36	753.83	693.58	718.08	341.51	583.07	780.44	363.56	684.02
ARID2	57.49	190.34	153.34	128.79	171.45	156.59	114.36	232.94	152.28	241.19	120.94	172.65	162.14	237.86	251.48	138.1	139.07	229.72	157.68	150.17	307.69	283.05	105.89	183.82	164.42	295.11	194.36	154.42	98.04	68.55	33.06	96.01	119.26	53.57	35.76	32.59	139.07	260.38	152.28	111.99	224.97	242.88	258.57	279.14	267.73	256.78	303.44	366.09	358.54	318.57	255.0	283.05	275.28	183.82	231.32	153.34	114.36	181.28	187.71	101.54	164.42
