	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	GTEX.11ZUS.2526.SM.59872	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.ZYT6.0626.SM.5E45V	GTEX.11DXY.0526.SM.5EGGQ	GTEX.13VXU.0926.SM.5IFFH	TCGA.RD.A8N9.01A.12R.A39E.31	TCGA.VQ.A923.01A.11R.A414.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.D7.A6F2.01A.12R.A31P.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.BR.8369.01A.11R.2343.13	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CD.8534.01A.11R.2343.13	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.FP.A9TM.01A.11R.A39E.31	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07
ADNP	289.02	341.51	397.93	785.88	718.08	206.94	281.09	293.07	289.02	346.29	353.59	190.34	258.57	163.28	249.73	201.25	246.28	389.72	214.27	253.23	251.48	934.76	1277.29	884.29	703.28	759.08	967.76	854.13	1059.11	718.08	1340.84	878.17	1233.75	713.11	878.17	1159.07	414.87	432.53	525.39	713.11	497.0	500.46	575.03	381.68	373.81	353.59	511.0	429.54	435.55	591.22	426.57	318.57	473.41
ADPGK	403.5	633.73	1191.69	454.09	607.87	438.59	514.56	483.38	438.59	665.29	995.0	269.6	366.09	251.48	379.04	450.94	555.41	379.04	267.73	305.55	403.5	896.64	1397.83	1427.22	954.43	1135.2	961.07	1216.75	728.11	854.13	1388.16	1127.35	1605.83	624.99	669.92	2240.11	599.49	514.56	435.55	836.53	733.19	403.5	607.87	808.0	848.22	836.53	941.27	665.29	703.28	802.41	753.83	728.11	1096.5
AGAP10	171.45	30.34	44.57	101.54	120.94	38.95	27.64	82.87	14.03	74.06	366.09	68.55	78.34	10.96	32.36	73.54	91.41	72.01	42.41	44.25	43.94	178.77	497.0	325.29	239.52	212.78	92.7	161.02	223.41	260.38	353.59	389.72	423.61	76.17	177.53	366.09	59.97	85.22	31.45	55.49	44.89	24.46	72.01	96.68	205.5	49.56	57.49	52.08	66.65	28.04	33.06	44.25	80.01
AGAP9	53.57	18.97	17.64	25.54	63.45	15.11	0.0	15.22	0.0	32.36	139.07	15.45	39.79	6.73	77.25	33.06	65.72	37.85	13.62	39.22	7.63	107.38	194.36	214.27	109.66	139.07	86.43	95.34	103.69	101.54	191.67	193.01	287.01	62.56	102.97	165.57	17.0	66.18	21.16	73.54	24.63	25.35	30.12	42.71	64.34	11.73	43.63	43.32	30.34	30.12	12.45	24.11	34.02
ALKBH8	48.18	35.76	27.84	112.77	141.02	40.64	37.59	55.49	64.8	53.95	62.56	52.45	47.17	20.11	44.57	39.79	40.36	62.12	41.81	48.18	69.52	110.43	120.94	138.1	78.89	113.56	87.03	122.64	135.24	58.3	73.54	72.01	147.06	88.88	102.97	136.19	42.41	37.85	28.65	55.89	102.25	63.89	108.9	92.05	72.01	69.52	88.26	65.72	81.71	73.03	75.64	59.13	83.45
ANAPC7	547.75	420.68	368.65	713.11	651.58	651.58	915.51	748.61	723.08	733.19	629.35	575.03	348.71	262.2	351.14	420.68	540.19	406.31	429.54	450.94	373.81	1143.1	1119.56	1151.06	647.07	860.08	1769.57	825.0	1051.79	1359.57	1104.13	878.17	1023.0	764.36	775.05	1081.39	555.41	432.53	540.19	595.34	1088.92	884.29	1617.0	1225.22	1242.34	1015.93	909.17	1477.58	1268.46	1313.23	1127.35	819.3	1199.98
ANKRD49	183.82	176.29	147.06	262.2	289.02	151.22	81.71	103.69	154.42	99.43	191.67	103.69	132.44	15.22	120.1	106.63	127.0	167.9	114.36	113.56	201.25	674.59	476.71	819.3	384.34	647.07	559.28	713.11	536.45	486.75	660.68	595.34	660.68	414.87	395.18	723.08	476.71	197.09	236.21	334.46	275.28	157.68	400.71	356.05	376.41	232.94	403.5	239.52	470.14	209.84	256.78	199.85	334.46
ARID1B	137.14	123.5	117.6	438.59	206.94	127.89	153.34	209.84	181.28	170.25	170.25	104.42	120.1	64.8	107.38	94.01	163.28	106.63	107.38	120.1	147.06	529.06	483.38	616.37	423.61	571.05	414.87	507.46	743.43	438.59	255.0	718.08	819.3	423.61	571.05	647.07	353.59	229.72	291.04	368.65	486.75	387.02	400.71	339.14	277.2	215.77	316.37	289.02	273.37	406.31	351.14	218.79	351.14
ARIH1	312.0	384.34	356.05	500.46	244.57	171.45	231.32	229.72	241.19	283.05	529.06	293.07	287.01	154.42	285.03	303.44	332.14	299.25	275.28	223.41	275.28	679.29	775.05	728.11	463.65	656.11	483.38	718.08	693.58	441.64	1135.2	591.22	928.3	656.11	529.06	1104.13	267.73	231.32	305.55	457.25	612.11	718.08	329.84	503.95	493.56	466.88	559.28	346.29	486.75	518.15	414.87	387.02	483.38
ASH1L	118.43	80.57	59.55	236.21	139.07	79.45	64.34	133.36	80.01	85.22	109.66	87.65	108.9	24.11	66.18	64.34	78.89	48.52	108.14	105.89	90.14	454.09	457.25	587.13	420.68	518.15	551.56	497.0	684.02	327.56	406.31	555.41	743.43	246.28	500.46	473.41	173.85	166.73	249.73	258.57	267.73	153.34	249.73	236.21	215.77	159.9	239.52	170.25	231.32	269.6	189.02	134.3	218.79
