	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.RU1J.0126.SM.2TF6Y	GTEX.11DXZ.0726.SM.5N9C4	GTEX.11NSD.0326.SM.5A5LS	GTEX.11P7K.0326.SM.59871	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.YB5E.0726.SM.4VDSH	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.U3ZN.0626.SM.3DB7U	GTEX.13O21.3026.SM.5J2NI	GTEX.1122O.0126.SM.5GICA	GTEX.13VXT.1426.SM.5LU4B	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.T8EM.0326.SM.3DB7F	GTEX.145LS.1226.SM.5Q5D9	GTEX.PLZ5.0726.SM.2I5F9	GTEX.RM2N.0426.SM.2TF4T	GTEX.OHPM.0526.SM.2YUMJ	TCGA.BK.A26L.01A.11R.A277.07
BLOC1S4	228.13	0.0	0.17	320.8	228.13	241.19	316.37	279.14	323.03	291.04	309.83	289.02	241.19	305.55	255.0	244.57	277.2	316.37	299.25	221.86	325.29	351.14	231.32	358.54	265.87	244.57	182.55	264.03	279.14	273.37	132.44
BSG	6745.86	0.0	1.31	9344.14	17558.94	9540.5	16496.96	9474.59	10225.32	12415.75	15824.9	22225.61	6121.9	7695.57	6471.02	6337.83	14663.09	12943.04	12329.98	6207.38	11424.74	19482.97	11345.82	14163.58	13968.57	10585.95	7911.95	6207.38	7749.1	9945.68	3515.68
C11orf52	500.46	0.0	0.06	316.37	934.76	454.09	775.05	1191.69	981.29	848.22	748.61	728.11	607.87	813.63	473.41	490.14	872.1	728.11	1242.34	403.5	688.78	928.3	223.41	954.43	698.41	223.41	403.5	497.0	693.58	198.47	31.22
C16orf13	563.18	0.0	0.69	1001.93	1883.54	1250.98	2287.2	1757.34	2271.4	1870.53	2075.59	2224.63	1051.79	1397.83	1322.37	1757.34	2777.33	2018.8	1844.76	1175.27	2335.28	2956.17	1015.93	2178.83	1487.87	842.36	571.05	1143.1	830.75	1001.93	323.03
C19orf68	36.27	0.0	0.3	58.3	121.79	93.35	95.34	104.42	113.56	90.14	60.82	68.07	27.64	90.77	41.81	47.84	59.13	51.71	77.25	56.28	67.59	102.97	38.67	81.14	95.34	12.45	7.28	46.84	57.89	35.5	49.21
C6orf226	107.38	0.0	0.45	212.78	660.68	187.71	780.44	361.04	603.67	507.46	444.72	995.0	183.82	387.02	236.21	197.09	902.89	713.11	579.04	473.41	660.68	376.41	303.44	718.08	265.87	116.78	163.28	161.02	285.03	134.3	32.13
CACFD1	329.84	0.0	0.32	1081.39	1081.39	1015.93	836.53	1151.06	947.83	872.1	1015.93	967.76	759.08	836.53	848.22	642.59	1119.56	915.51	1119.56	607.87	1023.0	1369.04	441.64	988.12	473.41	571.05	366.09	497.0	842.36	521.76	131.51
CIRBP	4512.4	0.0	0.75	8191.0	12329.98	6699.25	10808.41	9151.82	17804.06	10512.82	11504.21	11745.96	5441.3	10512.82	5954.47	4903.87	18431.96	16269.83	12415.75	8247.98	13306.94	14765.09	7966.99	7966.99	4298.64	4736.79	7642.41	6164.49	7280.4	3540.14	1617.0
COA3	1870.53	0.0	0.22	1745.2	2664.15	2485.67	3257.52	3124.78	3257.52	2777.33	2720.15	3257.52	2537.92	2895.31	2468.49	2468.49	3372.43	2956.17	2875.3	2090.03	3124.78	2417.67	1467.37	3303.0	2816.11	2502.97	915.51	2193.99	1844.76	1870.53	941.27
COX4I1	5711.87	0.0	1.39	10014.87	20881.4	6294.04	19892.37	10368.08	23820.89	14262.1	10959.3	35609.13	11584.24	11909.94	7966.99	7130.55	16960.78	15180.22	10440.2	10733.74	16383.0	11424.74	8718.32	22535.88	12160.22	9740.98	4388.98	4836.35	8022.41	7180.15	6792.79
CUEDC2	954.43	0.0	0.69	974.5	1721.16	1397.83	1794.29	1030.12	1909.85	1457.23	1457.23	1757.34	1388.16	1096.5	954.43	825.0	1457.23	1572.76	1359.57	1199.98	1794.29	1088.92	708.18	1781.89	1250.98	1059.11	536.45	1191.69	981.29	1008.9	819.3
DACT2	24.11	0.0	0.0	35.0	563.18	58.3	88.26	156.59	490.14	166.73	373.81	92.05	109.66	50.63	35.76	36.01	334.46	343.89	46.18	232.94	112.77	665.29	17.25	99.43	59.97	47.84	34.51	35.76	201.25	6.06	31.45
DCTN3	1051.79	0.0	0.85	1359.57	3018.3	1250.98	3280.18	1936.53	2835.7	3491.39	2468.49	2935.74	1697.45	2075.59	2645.74	1745.2	3280.18	3639.7	2935.74	1794.29	2796.65	2163.77	1066.48	3820.7	2303.12	2224.63	825.0	1233.75	1417.35	1378.57	759.08
DCXR	802.41	0.0	0.13	3303.0	3716.2	3665.02	3540.14	2956.17	6037.61	3690.52	4066.71	3395.89	3257.52	3665.02	2555.58	2335.28	7130.55	4210.15	4607.24	2835.7	4543.8	5147.73	1216.75	3303.0	1806.78	2018.8	1159.07	2303.12	2555.58	2835.7	551.56
DDT	1008.9	0.0	0.8	2209.26	3491.39	1662.49	4836.35	3235.01	3212.66	4903.87	3419.52	4328.55	2148.82	2997.45	2240.11	2104.58	8598.28	3639.7	3665.02	2796.65	3564.78	4419.52	1832.01	4671.57	2935.74	2047.0	961.07	1628.26	1832.01	1896.65	1191.69
DGCR6L	567.1	0.0	0.51	1044.52	1857.6	1191.69	2335.28	1295.13	1583.71	1583.71	2133.97	2133.97	884.29	1340.84	808.0	974.5	1806.78	1508.65	1594.73	934.76	1963.57	1340.84	454.09	2193.99	1167.14	743.43	371.22	775.05	854.13	656.11	198.47
DHRS4	529.06	0.0	0.49	961.07	1313.23	1313.23	1313.23	1508.65	1359.57	1757.34	1844.76	1437.15	1628.26	1467.37	934.76	890.44	1721.16	1498.22	1295.13	1023.0	1477.58	1268.46	620.67	1628.26	1540.37	651.58	368.65	1001.93	1008.9	941.27	180.02
DHRS4L2	329.84	0.0	0.42	616.37	1015.93	567.1	995.0	1135.2	1359.57	808.0	723.08	1151.06	1008.9	780.44	511.0	525.39	1127.35	1143.1	1023.0	579.04	961.07	819.3	395.18	1175.27	902.89	295.11	212.78	753.83	674.59	379.04	232.94
DNAJC30	140.04	0.0	0.0	220.32	277.2	229.72	316.37	236.21	264.03	251.48	260.38	234.57	201.25	249.73	211.31	185.11	285.03	244.57	251.48	178.77	260.38	251.48	146.03	293.07	158.79	206.94	90.77	211.31	178.77	166.73	96.01
DNAL4	329.84	0.0	0.0	503.95	713.11	620.67	638.15	947.83	791.35	854.13	785.88	679.29	563.18	633.73	624.99	587.13	808.0	633.73	928.3	409.15	813.63	808.0	275.28	872.1	759.08	303.44	563.18	473.41	555.41	438.59	256.78
DPP7	1259.69	0.0	1.13	2224.63	3589.58	2796.65	4639.29	4239.45	4066.71	4152.18	2609.3	11584.24	1721.16	2287.2	1277.29	1605.83	6471.02	3146.52	3467.27	3690.52	4972.34	5076.84	2627.46	5041.77	2682.69	1331.57	2018.8	1674.06	1508.65	1561.89	269.6
ECI1	629.35	0.0	0.83	1340.84	1781.89	1508.65	2032.85	1427.22	1896.65	1674.06	1359.57	2468.49	872.1	1594.73	941.27	995.0	2915.45	1745.2	1977.24	1216.75	1950.0	1963.57	571.05	2351.53	1447.15	728.11	392.44	769.69	738.29	967.76	348.71
EDF1	5403.7	0.0	1.22	8078.22	12415.75	6745.86	15180.22	12502.12	18431.96	10883.59	10084.54	12853.63	7331.05	9606.86	7081.29	5872.48	12415.75	13215.02	12589.08	8840.04	15824.9	11745.96	6294.04	11112.3	10959.3	4328.55	1819.35	4972.34	4836.35	5954.47	2104.58
EMC6	497.0	0.0	0.43	723.08	688.78	607.87	1159.07	974.5	1111.82	1208.34	954.43	1388.16	733.19	1051.79	967.76	819.3	1081.39	1096.5	902.89	909.17	941.27	1199.98	1250.98	1388.16	941.27	579.04	536.45	684.02	638.15	665.29	234.57
EPN1	651.58	1044.52	802.41	1639.59	2758.13	2104.58	2701.35	1883.54	1561.89	2193.99	1832.01	2434.5	1519.15	1487.87	1561.89	954.43	1923.14	2335.28	1950.0	1697.45	1870.53	2271.4	1883.54	2816.11	1477.58	759.08	974.5	1208.34	1277.29	1832.01	392.44
ERP29	2997.45	0.0	0.28	3614.55	7589.61	5006.93	6381.92	5594.3	5872.48	4736.79	5219.6	5006.93	4543.8	4736.79	4298.64	4210.15	5183.54	4972.34	4010.71	4038.61	5112.16	5751.61	2739.08	6337.83	6840.04	3280.18	3124.78	4607.24	3540.14	2875.3	1216.75
ETFB	1104.13	0.0	0.62	3589.58	5292.48	4038.61	5913.33	2915.45	3820.7	4736.79	3395.89	4607.24	2209.26	2701.35	1745.2	1457.23	4575.41	4972.34	4152.18	2720.15	4066.71	2739.08	1417.35	5147.73	2061.24	2303.12	529.06	1096.5	2417.67	1594.73	127.0
FAHD2B	186.4	0.0	0.44	400.71	532.74	376.41	521.76	426.57	486.75	417.77	497.0	476.71	379.04	291.04	226.54	205.5	647.07	551.56	329.84	343.89	444.72	444.72	114.36	420.68	323.03	163.28	119.26	218.79	221.86	170.25	197.09
FAM127B	1001.93	0.0	0.92	974.5	2502.97	1457.23	2997.45	1950.0	2240.11	2627.46	1832.01	2555.58	1378.57	1963.57	1340.84	1936.53	3372.43	3325.99	2090.03	1561.89	2384.37	2384.37	848.22	2004.85	2163.77	995.0	638.15	1322.37	1167.14	1407.55	241.19
FAM173A	228.13	0.0	0.55	246.28	414.87	429.54	1008.9	638.15	1199.98	688.78	518.15	941.27	209.84	454.09	358.54	447.82	759.08	511.0	497.0	329.84	607.87	647.07	267.73	647.07	409.15	206.94	133.36	327.56	299.25	212.78	32.13
FBXL15	39.79	0.0	0.57	142.01	406.31	100.13	483.38	279.14	651.58	314.17	389.72	656.11	79.45	320.8	137.14	109.66	412.0	323.03	346.29	271.48	371.22	341.51	242.88	441.64	273.37	84.04	121.79	124.37	130.6	87.65	17.38
FIS1	2367.9	0.0	0.96	4010.71	8078.22	2720.15	6792.79	5751.61	9279.58	8421.31	5633.22	7433.4	4181.07	5006.93	3639.7	3146.52	9151.82	8840.04	6652.97	3257.52	5913.33	5594.3	4123.49	8134.41	4512.4	3124.78	1096.5	2777.33	3419.52	3491.39	974.5
FN3K	244.57	0.0	0.41	728.11	1594.73	872.1	559.28	954.43	1225.22	1250.98	860.08	775.05	457.25	884.29	397.93	291.04	1143.1	791.35	974.5	403.5	698.41	981.29	204.07	417.77	733.19	256.78	271.48	420.68	463.65	217.27	91.41
GABARAP	15392.14	9740.98	693.58	23820.89	29943.43	18304.63	25530.66	24153.43	22850.48	18304.63	26614.89	39237.98	21320.18	23986.58	15499.21	17078.76	29531.18	32994.92	23986.58	18178.19	23492.92	26800.01	9540.5	28525.2	25179.16	14867.79	7382.04	17681.08	16843.62	14765.09	6207.38
GADD45GIP1	878.17	0.0	0.74	896.64	1397.83	1540.37	2468.49	2061.24	2796.65	2178.83	1427.22	2502.97	1030.12	1259.69	1104.13	1369.04	2335.28	1529.73	1540.37	1175.27	1936.53	2224.63	1313.23	1857.6	1662.49	981.29	435.55	947.83	854.13	1745.2	361.04
GFER	275.28	902.89	178.77	500.46	612.11	567.1	1096.5	660.68	896.64	575.03	507.46	941.27	559.28	612.11	688.78	432.53	674.59	796.86	599.49	490.14	595.34	860.08	483.38	813.63	444.72	351.14	295.11	463.65	447.82	387.02	281.09
GLS2	50.27	0.0	0.33	271.48	312.0	166.73	420.68	65.26	301.33	133.36	166.73	167.9	113.56	53.95	78.89	108.9	242.88	152.28	153.34	103.69	181.28	285.03	46.84	218.79	90.77	129.69	114.36	134.3	98.73	62.12	82.87
GPRC5C	3303.0	0.0	0.47	2075.59	4671.57	2209.26	3794.3	4481.23	3794.3	2303.12	2451.44	3039.3	1745.2	3614.55	1388.16	967.76	3982.99	2645.74	4066.71	1733.13	3491.39	5403.7	665.29	3614.55	2384.37	1477.58	3742.05	1617.0	2319.15	583.07	718.08
GPX4	2303.12	0.0	1.0	12676.65	14663.09	7911.95	13123.73	10659.59	20593.91	11112.3	7911.95	24832.5	5711.87	10585.95	3419.52	6294.04	20170.07	10883.59	12853.63	10154.69	20310.37	16496.96	6516.03	21320.18	9740.98	6121.9	4639.29	5594.3	8963.45	5255.91	3103.19
HINT2	723.08	0.0	0.29	1697.45	2417.67	1407.55	2502.97	1617.0	2485.67	2209.26	2018.8	2468.49	1651.0	1662.49	1369.04	1350.18	2682.69	2701.35	1844.76	1757.34	1844.76	1304.15	836.53	2855.44	1001.93	1295.13	454.09	1096.5	1322.37	854.13	497.0
HMG20B	616.37	3419.52	769.69	1143.1	1242.34	830.75	1529.73	1051.79	1331.57	1135.2	1167.14	1733.13	693.58	1030.12	1023.0	769.69	1096.5	1304.15	1447.15	954.43	1313.23	1286.18	753.83	1378.57	1397.83	733.19	967.76	679.29	884.29	647.07	693.58
KLHL35	8.19	0.0	0.09	81.14	146.03	72.01	66.18	139.07	115.97	82.29	189.02	98.73	34.26	92.7	42.71	34.75	151.22	123.5	57.89	90.77	155.5	135.24	21.32	86.43	78.34	30.78	4.78	27.05	33.78	11.3	17.38
LAMTOR4	1832.01	0.0	1.08	2664.15	4450.27	3982.99	6887.62	5594.3	10585.95	6699.25	4836.35	13399.51	3124.78	3303.0	2075.59	2351.53	5041.77	7749.1	4181.07	2956.17	5913.33	6294.04	1286.18	6935.54	6207.38	1674.06	575.03	2255.7	2209.26	1639.59	642.59
MAD1L1	177.53	0.0	0.45	587.13	1896.65	703.28	1350.18	759.08	1508.65	769.69	743.43	1870.53	684.02	603.67	309.83	703.28	1066.48	759.08	607.87	713.11	808.0	713.11	466.88	1233.75	1757.34	332.14	341.51	417.77	447.82	251.48	483.38
MAN1B1	595.34	0.0	0.49	921.88	1191.69	1008.9	1794.29	947.83	1127.35	995.0	1369.04	1870.53	759.08	759.08	656.11	802.41	1111.82	1023.0	1208.34	616.37	1023.0	1225.22	454.09	1407.55	890.44	759.08	540.19	693.58	669.92	454.09	392.44
MCAT	155.5	0.0	0.0	414.87	332.14	366.09	470.14	312.0	473.41	490.14	371.22	409.15	275.28	358.54	269.6	316.37	376.41	346.29	460.44	295.11	384.34	400.71	400.71	503.95	303.44	361.04	353.59	279.14	318.57	348.71	260.38
MIEF2	170.25	159.9	283.05	414.87	438.59	267.73	397.93	361.04	316.37	400.71	426.57	285.03	279.14	358.54	299.25	277.2	285.03	389.72	336.79	476.71	414.87	447.82	301.33	441.64	271.48	237.86	221.86	209.84	262.2	246.28	101.54
MIEN1	1119.56	0.0	0.64	902.89	1769.57	1519.15	2434.5	2351.53	2573.36	2018.8	1340.84	2075.59	1529.73	1844.76	1111.82	1467.37	2451.44	2287.2	1350.18	1721.16	1769.57	2018.8	543.96	2319.15	1508.65	941.27	511.0	1191.69	1359.57	1119.56	8134.41
MOSPD3	307.69	0.0	0.51	441.64	579.04	387.02	836.53	616.37	603.67	493.56	733.19	1407.55	287.01	397.93	414.87	320.8	412.0	647.07	698.41	287.01	638.15	638.15	234.57	688.78	540.19	346.29	206.94	417.77	423.61	271.48	149.12
MRP63	334.46	0.0	0.12	529.06	723.08	503.95	708.18	563.18	764.36	688.78	493.56	775.05	438.59	624.99	503.95	563.18	769.69	595.34	579.04	529.06	629.35	669.92	403.5	679.29	532.74	483.38	223.41	420.68	339.14	463.65	343.89
MRPL53	395.18	0.0	0.6	915.51	2004.85	1208.34	2777.33	1870.53	1594.73	1457.23	1721.16	2032.85	860.08	1143.1	1159.07	1268.46	3349.13	1605.83	1757.34	1183.45	1757.34	2417.67	1199.98	2303.12	1508.65	1322.37	529.06	1313.23	684.02	967.76	289.02
MRPS21	872.1	0.0	0.89	1044.52	1594.73	780.44	1991.0	1594.73	2835.7	1417.35	1498.22	1909.85	872.1	1167.14	947.83	802.41	2485.67	2061.24	1540.37	1167.14	2119.22	1529.73	819.3	1991.0	1417.35	1313.23	543.96	1143.1	693.58	764.36	1051.79
MRPS24	1051.79	0.0	0.92	1745.2	2451.44	2224.63	3212.66	1781.89	2935.74	2935.74	1757.34	2976.74	2367.9	1709.26	1417.35	1781.89	2555.58	2335.28	2384.37	1662.49	2384.37	2997.45	1551.09	4095.0	1883.54	2148.82	878.17	1388.16	1322.37	1769.57	902.89
MVB12A	698.41	0.0	0.67	884.29	1304.15	825.0	1991.0	819.3	928.3	1023.0	1159.07	2209.26	819.3	813.63	738.29	791.35	1259.69	1104.13	1617.0	723.08	1111.82	1397.83	476.71	1286.18	954.43	708.18	348.71	525.39	802.41	463.65	511.0
MYBPHL	0.0	0.0	0.0	314.17	708.18	234.57	802.41	1044.52	299.25	511.0	366.09	1304.15	166.73	239.52	121.79	81.71	447.82	242.88	397.93	166.73	669.92	532.74	36.53	447.82	327.56	136.19	95.34	454.09	406.31	135.24	0.0
NARFL	224.97	0.0	0.64	195.72	325.29	444.72	389.72	309.83	395.18	480.04	301.33	599.49	212.78	329.84	145.02	339.14	291.04	358.54	363.56	223.41	297.17	397.93	423.61	571.05	265.87	206.94	267.73	293.07	351.14	206.94	246.28
NDUFA10	1709.26	1639.59	1044.52	1819.35	3190.46	1685.71	2976.74	2148.82	2627.46	2502.97	2451.44	2796.65	2502.97	2061.24	2047.0	1806.78	2627.46	2645.74	1857.6	2255.7	2047.0	2384.37	1477.58	2485.67	1844.76	1388.16	1519.15	1191.69	1832.01	1378.57	2119.22
NDUFA11	2090.03	0.0	1.13	3146.52	5403.7	3742.05	10154.69	4903.87	11267.44	7180.15	6337.83	10585.95	4607.24	5041.77	3280.18	3639.7	9740.98	7537.18	5403.7	4450.27	7857.29	5219.6	3690.52	8718.32	4972.34	3928.15	954.43	2178.83	2209.26	3303.0	603.67
NDUFA2	1250.98	0.0	0.84	1447.15	2591.27	1477.58	3280.18	2319.15	6652.97	2682.69	3235.01	4152.18	1909.85	1963.57	1923.14	836.53	3901.01	3190.46	2855.44	2148.82	2835.7	3325.99	1183.45	4095.0	2796.65	1023.0	490.14	1529.73	1175.27	1529.73	521.76
NDUFB10	1369.04	0.0	0.78	2303.12	3928.15	2367.9	3716.2	2976.74	4736.79	3820.7	2976.74	5711.87	2664.15	3874.05	3280.18	2255.7	4095.0	4937.99	4210.15	3690.52	3982.99	3349.13	1857.6	5076.84	3018.3	2997.45	836.53	2351.53	2573.36	2004.85	1844.76
NENF	1175.27	0.0	0.78	2224.63	2384.37	866.07	2104.58	1268.46	2178.83	1697.45	1651.0	3168.41	1407.55	1096.5	872.1	507.46	2148.82	2018.8	1551.09	1447.15	3235.01	2240.11	961.07	2537.92	2032.85	1088.92	612.11	1508.65	1295.13	1437.15	764.36
NME3	327.56	0.0	0.99	397.93	1151.06	656.11	1467.37	1388.16	2682.69	1208.34	1617.0	2591.27	612.11	896.64	454.09	444.72	2875.3	1709.26	1250.98	854.13	2090.03	1651.0	420.68	1397.83	1159.07	435.55	426.57	728.11	612.11	389.72	16.39
