	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.RU1J.0126.SM.2TF6Y	GTEX.11DXZ.0726.SM.5N9C4	GTEX.11NSD.0326.SM.5A5LS	GTEX.11P7K.0326.SM.59871	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.YB5E.0726.SM.4VDSH	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.U3ZN.0626.SM.3DB7U	GTEX.13O21.3026.SM.5J2NI	GTEX.1122O.0126.SM.5GICA	GTEX.13VXT.1426.SM.5LU4B	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.T8EM.0326.SM.3DB7F	GTEX.145LS.1226.SM.5Q5D9	GTEX.PLZ5.0726.SM.2I5F9	GTEX.RM2N.0426.SM.2TF4T	GTEX.OHPM.0526.SM.2YUMJ	TCGA.BK.A26L.01A.11R.A277.07
NOXA1	33.06	0.0	0.58	95.34	171.45	87.03	218.79	212.78	277.2	133.36	120.1	329.84	17.51	66.65	45.21	49.56	363.56	68.55	163.28	82.87	162.14	98.04	58.3	197.09	63.89	26.1	63.89	50.27	39.79	25.72	13.32
NPEPL1	217.27	0.0	0.84	595.34	780.44	607.87	928.3	713.11	836.53	713.11	540.19	1427.22	368.65	473.41	297.17	395.18	854.13	796.86	759.08	684.02	796.86	669.92	575.03	674.59	503.95	521.76	567.1	334.46	629.35	249.73	187.71
NRBP2	123.5	0.0	1.11	563.18	713.11	470.14	802.41	454.09	703.28	866.07	555.41	708.18	363.56	629.35	371.22	305.55	902.89	1119.56	703.28	688.78	780.44	543.96	275.28	728.11	293.07	376.41	320.8	450.94	486.75	143.01	201.25
NUDT16L1	371.22	0.0	0.18	595.34	775.05	769.69	1159.07	1037.29	1104.13	796.86	791.35	995.0	555.41	624.99	525.39	571.05	1001.93	825.0	796.86	595.34	813.63	1104.13	295.11	872.1	728.11	384.34	279.14	620.67	476.71	363.56	325.29
PEX11G	61.25	0.0	0.0	178.77	260.38	118.43	271.48	248.0	343.89	281.09	220.32	307.69	212.78	198.47	173.85	115.97	297.17	283.05	299.25	209.84	323.03	158.79	57.08	267.73	102.25	101.54	73.03	97.36	146.03	90.77	20.56
PFDN5	11112.3	0.0	1.31	14065.74	24490.61	7803.01	18560.17	15715.58	33455.53	14065.74	18950.18	38164.99	16960.78	16045.82	12589.08	12415.75	22225.61	21768.19	16496.96	20310.37	35856.82	29736.59	13399.51	23820.89	22692.63	17804.06	7642.41	11189.6	7331.05	6561.36	9606.86
PFKL	1359.57	0.0	1.13	1529.73	2520.38	1304.15	2609.3	1561.89	1883.54	1757.34	1605.83	3190.46	1088.92	1191.69	842.36	954.43	1757.34	1096.5	1806.78	1628.26	2400.97	1628.26	1259.69	1896.65	1447.15	928.3	1051.79	1059.11	1191.69	1322.37	651.58
PIGZ	18.97	0.0	0.43	42.71	177.53	76.71	180.02	74.58	177.53	176.29	85.22	271.48	58.3	81.14	72.01	57.08	119.26	193.01	104.42	94.01	224.97	189.02	52.82	139.07	108.9	76.71	118.43	77.79	80.57	35.25	10.96
PIN1	802.41	0.0	0.75	934.76	2047.0	1242.34	2193.99	1721.16	1733.13	2384.37	2255.7	2627.46	1397.83	1331.57	1447.15	954.43	2400.97	2255.7	1963.57	1407.55	2287.2	1617.0	866.07	2400.97	1651.0	764.36	603.67	1073.91	1313.23	1208.34	220.32
POLR2F	981.29	0.0	0.79	1340.84	2209.26	1540.37	2335.28	2271.4	2758.13	1991.0	1651.0	2367.9	1199.98	1883.54	1794.29	1119.56	2855.44	2119.22	2047.0	1304.15	2591.27	2255.7	1135.2	2193.99	2287.2	915.51	329.84	1340.84	928.3	2032.85	1651.0
PRDX5	5329.3	0.0	0.59	14971.21	17927.91	12764.83	18052.61	18178.19	20170.07	16496.96	16611.71	13681.08	12676.65	13586.57	13033.07	9409.14	17317.18	13872.08	20593.91	8778.97	14262.1	14065.74	9279.58	17197.56	15392.14	5292.48	7642.41	7081.29	8778.97	10883.59	2855.44
PUSL1	105.89	0.0	0.59	154.42	226.54	249.73	466.88	336.79	277.2	327.56	256.78	441.64	156.59	295.11	165.57	351.14	323.03	246.28	271.48	246.28	291.04	368.65	143.01	387.02	171.45	211.31	134.3	147.06	130.6	158.79	94.67
RBM42	579.04	0.0	0.99	1104.13	1447.15	1119.56	1769.57	1457.23	1923.14	1857.6	1991.0	2287.2	693.58	1199.98	1066.48	1059.11	1447.15	1857.6	1639.59	1096.5	1936.53	1519.15	1540.37	1651.0	1143.1	802.41	656.11	698.41	890.44	1407.55	728.11
RILP	123.5	0.0	0.35	1151.06	1896.65	1104.13	1844.76	1322.37	2148.82	1651.0	1819.35	1857.6	1051.79	1096.5	536.45	633.73	2271.4	1331.57	1151.06	878.17	1388.16	1183.45	579.04	1781.89	728.11	791.35	323.03	941.27	842.36	616.37	58.3
RNF123	314.17	0.0	0.62	518.15	775.05	441.64	802.41	728.11	503.95	753.83	540.19	866.07	525.39	483.38	555.41	441.64	543.96	718.08	698.41	583.07	583.07	688.78	348.71	511.0	521.76	412.0	237.86	575.03	470.14	379.04	291.04
RP11-156E8.1	2.56	0.0	0.27	12.18	19.11	2.34	21.94	17.9	22.43	18.84	17.25	16.88	6.73	16.63	11.04	4.13	33.3	16.63	24.28	9.48	16.75	18.84	7.57	17.77	4.17	7.22	12.0	10.39	6.11	6.84	5.82
RPL36	7911.95	0.0	1.35	15934.98	23986.58	10014.87	36864.92	13681.08	32994.92	17681.08	20310.37	34396.12	13306.94	15499.21	12943.04	4639.29	29943.43	17078.76	16496.96	14561.8	47974.16	37639.55	11909.94	26248.46	20451.65	13492.72	3901.01	10014.87	4388.98	8022.41	5954.47
RPP21	441.64	0.0	0.54	854.13	825.0	1081.39	1397.83	1397.83	1369.04	1561.89	1135.2	1551.09	954.43	1151.06	764.36	981.29	1628.26	1277.29	1208.34	703.28	1662.49	1721.16	591.22	1268.46	1066.48	665.29	217.27	909.17	836.53	1030.12	271.48
RPS15	7433.4	0.0	1.51	18819.27	23009.42	15180.22	35363.15	17437.64	38966.94	24832.5	25708.25	56657.31	13306.94	16045.82	16045.82	11827.67	40621.74	19618.49	23492.92	16383.0	53601.03	42346.82	15180.22	36357.37	21919.61	15392.14	3443.31	9740.98	6426.31	12076.21	3955.48
S100A13	5791.62	0.0	0.74	5633.22	4639.29	1397.83	5995.9	4038.61	7695.57	3820.7	4181.07	7230.1	4450.27	4972.34	1745.2	2004.85	3589.58	7280.4	3419.52	3349.13	8840.04	7642.41	3874.05	4328.55	5292.48	4152.18	1081.39	2645.74	4450.27	3060.45	2573.36
SERP2	109.66	0.0	0.35	138.1	202.66	69.03	166.73	209.84	197.09	172.65	199.85	144.01	102.97	143.01	96.68	44.25	148.09	115.16	223.41	94.67	236.21	242.88	32.13	113.56	136.19	104.42	35.25	93.35	46.84	75.64	36.53
SF3A2	473.41	0.0	1.07	928.3	1044.52	915.51	1030.12	878.17	909.17	981.29	1295.13	1388.16	480.04	796.86	854.13	595.34	1369.04	1427.22	981.29	860.08	1127.35	1447.15	995.0	830.75	813.63	599.49	813.63	674.59	669.92	651.58	327.56
SFTPA1	0.39	0.0	0.0	5809569.18	4987895.16	1877002.62	1775752.63	4252853.3	2945333.38	2039804.27	3576208.94	1545882.32	1432396.03	4252853.3	1171559.48	1432396.03	2581895.97	1567462.05	2581895.97	1916442.45	3832885.91	3968052.37	2691538.19	1691649.38	2408994.05	2710259.32	1903204.61	2546350.23	2904784.09	3028138.0	55.49
SIVA1	656.11	3443.31	121.79	1806.78	2485.67	1477.58	2645.74	3060.45	4704.07	3540.14	2976.74	3928.15	1388.16	2287.2	1844.76	1447.15	4543.8	3212.66	3103.19	2417.67	5292.48	5872.48	1617.0	4328.55	1857.6	2104.58	981.29	808.0	1023.0	1331.57	139.07
SLC26A10	1.93	0.0	1.14	9.93	11.82	13.03	25.91	11.55	18.29	13.62	19.53	28.86	16.27	7.46	7.28	7.57	11.13	23.93	25.91	15.34	32.82	35.76	4.28	11.73	17.77	2.23	9.85	9.93	14.45	2.73	23.59
SMIM1	56.28	0.0	0.17	181.28	723.08	191.67	638.15	555.41	511.0	329.84	543.96	376.41	305.55	197.09	215.77	176.29	679.29	309.83	395.18	301.33	249.73	547.75	96.01	363.56	353.59	206.94	133.36	62.12	112.77	90.77	3.99
SNTA1	98.04	0.0	0.49	285.03	384.34	229.72	289.02	176.29	201.25	148.09	208.38	363.56	234.57	163.28	164.42	91.41	392.44	341.51	297.17	220.32	414.87	363.56	167.9	341.51	195.72	156.59	177.53	152.28	239.52	231.32	112.77
SPSB3	325.29	0.0	0.64	438.59	1015.93	718.08	934.76	884.29	1617.0	1111.82	909.17	1794.29	616.37	1051.79	651.58	358.54	1437.15	1721.16	1066.48	1073.91	1397.83	1427.22	432.53	1208.34	759.08	500.46	368.65	743.43	669.92	379.04	231.32
STARD10	1037.29	0.0	0.49	6037.61	9673.69	6381.92	8363.13	6607.01	8778.97	5006.93	3540.14	7485.11	5112.16	4836.35	2209.26	2835.7	5791.62	5219.6	5555.65	4607.24	7695.57	9279.58	2875.3	6516.03	4607.24	3372.43	3212.66	3614.55	3443.31	4543.8	684.02
STK19	256.78	0.0	0.87	595.34	674.59	387.02	1037.29	555.41	825.0	587.13	612.11	1008.9	384.34	376.41	426.57	312.0	555.41	713.11	555.41	708.18	909.17	723.08	540.19	620.67	384.34	409.15	878.17	366.09	616.37	248.0	579.04
SURF1	728.11	0.0	0.44	1685.71	1806.78	1331.57	1519.15	1498.22	1529.73	1605.83	1721.16	2758.13	1199.98	1617.0	1572.76	1191.69	2573.36	2148.82	2133.97	1437.15	2664.15	2335.28	1008.9	2627.46	1225.22	1167.14	647.07	1447.15	1037.29	947.83	384.34
THAP4	511.0	0.0	0.74	1313.23	1594.73	961.07	1427.22	1674.06	1508.65	1437.15	1159.07	1605.83	1388.16	1388.16	1008.9	830.75	1175.27	1417.35	1225.22	836.53	1583.71	1857.6	1388.16	2061.24	1259.69	1233.75	703.28	713.11	1008.9	1628.26	371.22
TLCD1	241.19	0.0	0.0	371.22	441.64	395.18	579.04	493.56	551.56	438.59	503.95	463.65	423.61	514.56	432.53	454.09	457.25	457.25	629.35	366.09	444.72	547.75	279.14	567.1	269.6	283.05	441.64	271.48	309.83	291.04	84.04
TMA7	6426.31	0.0	0.99	5183.54	6607.01	4802.93	10225.32	8479.89	16383.0	8134.41	7803.01	8840.04	5672.41	7537.18	9344.14	4543.8	10225.32	10585.95	8479.89	6516.03	8479.89	8840.04	3146.52	9945.68	11909.94	3395.89	2104.58	4972.34	3589.58	5366.37	5633.22
TMEM134	679.29	0.0	0.83	813.63	1183.45	854.13	2224.63	1572.76	1950.0	1950.0	2133.97	2609.3	665.29	921.88	723.08	915.51	2090.03	1304.15	1721.16	1051.79	1709.26	1832.01	1268.46	1572.76	981.29	728.11	967.76	860.08	660.68	490.14	249.73
TMEM219	2591.27	4095.0	934.76	4066.71	6935.54	3982.99	6840.04	5555.65	7382.04	4836.35	6337.83	9215.48	4607.24	3589.58	2758.13	2835.7	5995.9	6037.61	4704.07	4239.45	6652.97	3794.3	2537.92	6840.04	5076.84	3847.29	1883.54	4066.71	3716.2	2400.97	1313.23
TMEM53	165.57	0.0	0.0	521.76	860.08	624.99	759.08	759.08	909.17	796.86	738.29	866.07	500.46	748.61	563.18	708.18	995.0	674.59	866.07	473.41	825.0	669.92	381.68	842.36	435.55	607.87	371.22	571.05	660.68	429.54	72.52
TMUB1	540.19	0.0	0.97	571.05	967.76	1233.75	1096.5	669.92	1508.65	1250.98	1051.79	1923.14	733.19	656.11	503.95	890.44	902.89	934.76	878.17	1023.0	1030.12	1143.1	947.83	2133.97	878.17	435.55	1015.93	693.58	988.12	890.44	40.64
TRMT112	2645.74	7180.15	444.72	3928.15	5633.22	4869.99	5594.3	6652.97	7180.15	5006.93	5366.37	5954.47	3928.15	5147.73	4328.55	4181.07	7911.95	5006.93	5594.3	4358.66	5633.22	6652.97	2555.58	5041.77	8658.09	2682.69	1397.83	4512.4	2816.11	4181.07	3874.05
TRNAU1AP	457.25	0.0	0.64	738.29	688.78	796.86	1674.06	743.43	1467.37	769.69	830.75	1104.13	884.29	974.5	718.08	791.35	830.75	890.44	813.63	603.67	1216.75	988.12	457.25	1151.06	802.41	536.45	587.13	624.99	723.08	426.57	674.59
TSEN34	842.36	0.0	0.71	1250.98	1135.2	713.11	1498.22	1127.35	988.12	1088.92	1268.46	1819.35	796.86	1015.93	995.0	872.1	1030.12	1250.98	1447.15	679.29	1745.2	1896.65	629.35	1651.0	1870.53	1088.92	1104.13	529.06	884.29	718.08	480.04
TST	738.29	0.0	0.0	1991.0	2976.74	1870.53	2627.46	2468.49	2976.74	1794.29	2537.92	2816.11	1950.0	1991.0	1378.57	1322.37	2417.67	2351.53	2555.58	1794.29	2739.08	2335.28	1135.2	2739.08	1794.29	1427.22	954.43	1709.26	1467.37	1037.29	267.73
TSTD1	1286.18	0.0	0.35	2956.17	4512.4	3103.19	4481.23	5041.77	8963.45	4972.34	5255.91	5403.7	2956.17	3395.89	3515.68	3325.99	5791.62	3955.48	5219.6	2367.9	4736.79	5292.48	3303.0	5403.7	3794.3	3395.89	2468.49	1991.0	2417.67	2104.58	583.07
UBL7	723.08	0.0	0.2	1199.98	1709.26	1268.46	1991.0	1447.15	1378.57	1498.22	1519.15	2193.99	1628.26	1397.83	1277.29	1127.35	1519.15	1745.2	1388.16	1143.1	1378.57	1583.71	660.68	1883.54	1529.73	1073.91	473.41	1259.69	1242.34	1059.11	1225.22
UBTD1	258.57	0.0	0.49	848.22	2591.27	981.29	1529.73	1331.57	1583.71	2061.24	1529.73	1991.0	1378.57	921.88	1081.39	759.08	1662.49	1628.26	1561.89	1551.09	1769.57	2090.03	769.69	2104.58	902.89	988.12	878.17	616.37	1015.93	713.11	61.25
UBXN6	1529.73	0.0	0.93	2417.67	2875.3	2417.67	2739.08	1685.71	2319.15	2682.69	2682.69	3716.2	1721.16	1594.73	1417.35	1359.57	2875.3	2875.3	2417.67	1477.58	2627.46	3690.52	1242.34	4095.0	2720.15	1977.24	1561.89	1477.58	1651.0	2468.49	457.25
UCK1	301.33	0.0	0.59	620.67	748.61	638.15	728.11	591.22	708.18	559.28	525.39	733.19	441.64	607.87	518.15	320.8	591.22	748.61	703.28	540.19	624.99	854.13	406.31	738.29	543.96	348.71	262.2	547.75	525.39	503.95	198.47
VKORC1	1378.57	0.0	0.88	1617.0	3716.2	1923.14	3146.52	2351.53	2796.65	2303.12	3018.3	3665.02	2777.33	2502.97	1950.0	1225.22	4095.0	2855.44	2271.4	1781.89	2997.45	2816.11	1088.92	3540.14	3515.68	1857.6	1059.11	2032.85	1617.0	1870.53	854.13
VPS51	934.76	0.0	0.79	2591.27	2796.65	2976.74	2555.58	2104.58	3467.27	2935.74	2271.4	3491.39	1628.26	1794.29	1250.98	1313.23	2976.74	2777.33	3124.78	1781.89	2875.3	2895.31	1639.59	3467.27	1151.06	1023.0	1417.35	1477.58	1662.49	1709.26	733.19
WDR45	511.0	0.0	0.95	1477.58	1498.22	974.5	1583.71	842.36	2319.15	1551.09	1250.98	1769.57	902.89	1477.58	802.41	587.13	1397.83	1709.26	1467.37	1331.57	1733.13	1662.49	854.13	1359.57	1023.0	974.5	825.0	1135.2	1407.55	728.11	2061.24
YDJC	198.47	0.0	0.67	212.78	289.02	231.32	518.15	376.41	438.59	400.71	420.68	607.87	123.5	351.14	215.77	251.48	444.72	251.48	325.29	246.28	356.05	366.09	486.75	384.34	271.48	204.07	177.53	186.4	154.42	285.03	185.11
ZFPL1	381.68	0.0	0.56	624.99	728.11	775.05	988.12	878.17	1059.11	941.27	884.29	1359.57	651.58	728.11	612.11	896.64	1208.34	909.17	995.0	532.74	981.29	1167.14	301.33	1023.0	713.11	698.41	450.94	802.41	660.68	438.59	373.81
ZNF205	81.14	0.0	0.43	120.1	218.79	239.52	258.57	314.17	327.56	318.57	201.25	212.78	205.5	220.32	167.9	193.01	267.73	303.44	295.11	151.22	234.57	267.73	140.04	303.44	242.88	105.89	76.17	191.67	194.36	129.69	178.77
ZNF219	141.02	0.0	0.92	198.47	579.04	514.56	928.3	693.58	651.58	878.17	563.18	1119.56	231.32	567.1	277.2	307.69	713.11	688.78	426.57	403.5	603.67	728.11	669.92	842.36	450.94	177.53	318.57	603.67	669.92	177.53	236.21
ZNF580	277.2	239.52	486.75	246.28	836.53	417.77	738.29	500.46	1477.58	866.07	791.35	1183.45	244.57	620.67	334.46	346.29	1427.22	769.69	733.19	638.15	674.59	555.41	571.05	595.34	366.09	251.48	327.56	599.49	518.15	237.86	149.12
