	TCGA.LC.A66R.01A.41R.A30C.07	TCGA.E7.A6ME.01A.22R.A32O.07	TCGA.HN.A2NL.01A.11R.A18M.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.AS.3777.01A.01R.0864.07	TCGA.UB.A7MB.01A.11R.A33R.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.ZP.A9CV.01A.11R.A38B.07	TCGA.XR.A8TD.01A.12R.A39D.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.CC.A1HT.01A.11R.A131.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.CC.A8HT.01A.11R.A36F.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.139YR.0226.SM.5IFEM	GTEX.X3Y1.2726.SM.4PQZH	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.22.4595.01A.01R.1201.07	TCGA.FI.A3PX.01A.11R.A22K.07
AGBL5	529.06	660.68	1709.26	150.17	529.06	323.03	157.68	166.73	218.79	199.85	409.15	341.51	234.57	314.17	148.09	301.33	205.5	214.27	713.11	256.78	591.22	684.02	228.13	234.57	228.13	186.4	224.97	153.34	171.45	180.02	109.66	116.78	248.0	162.14	220.32	159.9	157.68	163.28	80.01	183.82	135.24	170.25	1143.1	961.07
ARHGAP11A	201.25	190.34	226.54	13.42	81.14	277.2	40.64	48.87	10.47	16.63	48.18	71.0	33.3	142.01	12.93	144.01	36.27	78.34	223.41	23.76	220.32	115.97	24.28	28.04	16.15	17.77	22.43	3.41	11.55	12.36	16.51	35.76	29.91	6.52	13.42	8.65	15.11	15.0	4.66	6.11	2.46	3.59	287.01	320.8
ARHGEF39	132.44	327.56	159.9	15.0	98.73	165.57	55.1	66.18	41.81	32.36	131.51	180.02	40.93	132.44	20.56	108.14	51.35	106.63	339.14	23.93	389.72	170.25	51.71	34.02	12.45	5.63	5.02	5.68	6.11	6.21	6.52	28.04	25.35	5.45	1.91	6.36	6.16	0.72	22.92	4.82	8.25	4.74	297.17	633.73
ASF1B	1697.45	1561.89	1477.58	13.72	92.05	555.41	108.9	171.45	10.63	24.46	209.84	241.19	65.26	214.27	22.92	223.41	137.14	336.79	384.34	43.32	555.41	170.25	88.88	24.99	26.47	12.93	19.39	10.0	12.93	7.75	11.04	40.36	71.0	19.11	11.21	11.04	31.0	10.71	4.43	7.28	9.63	11.38	607.87	1304.15
ASPM	339.14	314.17	463.65	6.06	114.36	128.79	71.5	145.02	7.88	27.25	167.9	189.02	67.12	217.27	17.64	287.01	47.17	158.79	221.86	18.84	435.55	209.84	126.12	18.29	4.7	4.06	3.59	2.58	5.5	3.41	3.0	17.64	30.34	2.23	3.26	2.58	7.82	5.06	1.33	2.89	1.46	4.13	169.07	269.6
AURKB	3146.52	866.07	3257.52	20.56	101.54	579.04	231.32	198.47	41.81	49.21	444.72	647.07	112.77	368.65	37.85	281.09	108.14	318.57	748.61	65.26	679.29	157.68	397.93	53.95	18.84	12.64	24.81	13.93	15.56	32.36	14.24	64.8	88.26	10.63	20.11	3.35	44.57	23.08	7.34	11.04	3.72	24.81	896.64	624.99
BIRC5	1295.13	872.1	2816.11	22.75	273.37	769.69	172.65	249.73	26.86	57.49	356.05	543.96	102.97	830.75	37.59	693.58	113.56	486.75	1242.34	76.17	1051.79	555.41	223.41	73.54	12.93	14.67	15.68	17.51	12.27	16.15	24.63	63.89	53.95	13.22	18.43	14.56	24.28	10.0	8.78	16.88	5.59	24.28	1674.06	1359.57
BRIP1	224.97	90.77	256.78	10.88	43.32	102.97	9.34	18.16	4.46	11.3	20.71	36.79	21.47	53.57	6.94	55.1	34.26	34.51	26.28	10.47	54.72	84.63	12.36	21.32	7.4	12.55	8.78	8.0	4.86	3.29	2.86	6.78	17.0	14.35	1.83	4.06	2.2	12.83	7.22	9.7	10.88	8.25	197.09	153.34
BUB1	748.61	381.68	356.05	12.45	102.25	237.86	47.17	85.22	5.23	22.59	115.16	132.44	40.64	181.28	8.38	113.56	32.36	92.05	293.07	24.63	303.44	122.64	63.89	12.45	6.62	3.41	7.51	1.53	3.26	3.86	8.06	38.67	38.95	7.51	7.11	3.35	12.45	6.57	3.11	1.06	0.0	7.4	698.41	698.41
C21orf58	277.2	291.04	392.44	9.13	43.63	116.78	50.98	48.52	35.76	18.56	45.53	51.35	23.93	119.26	26.1	71.5	36.27	67.12	40.64	24.81	220.32	130.6	58.3	40.93	10.24	7.94	18.43	12.83	9.63	15.45	6.62	17.13	22.1	9.56	1.08	10.31	12.36	8.38	4.94	4.7	5.63	11.55	204.07	75.11
CCNA2	1167.14	536.45	532.74	25.72	173.85	507.46	100.13	152.28	27.25	52.08	214.27	329.84	67.12	473.41	31.45	2758.13	87.65	133.36	819.3	59.13	638.15	348.71	69.52	65.26	14.78	12.0	11.55	6.52	10.16	10.39	15.56	37.85	45.21	9.63	3.0	5.92	22.59	4.39	12.0	5.96	3.29	11.55	728.11	651.58
CCNB1	4512.4	2148.82	2645.74	51.35	1167.14	1111.82	348.71	688.78	57.08	99.43	450.94	1015.93	248.0	1111.82	97.36	642.59	128.79	1242.34	1794.29	155.5	3081.75	974.5	267.73	148.09	33.06	52.45	33.3	36.27	31.0	59.97	42.41	191.67	198.47	46.84	39.79	44.25	81.71	30.56	47.5	13.12	15.45	77.25	2319.15	3820.7
CCNB2	1081.39	1073.91	1551.09	13.03	256.78	620.67	114.36	167.9	10.96	27.25	271.48	444.72	65.72	483.38	25.54	414.87	62.12	303.44	1037.29	46.18	915.51	379.04	108.9	41.81	12.27	8.99	12.64	8.45	11.21	8.19	9.2	55.89	61.68	10.79	5.63	4.35	41.22	10.39	10.16	19.39	4.62	11.21	915.51	1757.34
CCNF	229.72	204.07	358.54	11.64	65.72	285.03	40.93	71.0	20.41	11.64	85.82	132.44	36.79	121.79	11.04	104.42	42.41	152.28	226.54	26.47	126.12	120.1	70.51	29.7	10.88	16.88	20.26	5.45	15.11	12.45	13.12	25.17	31.45	13.32	8.78	19.53	10.0	23.25	6.52	21.47	5.32	12.27	429.54	242.88
CDC20	2209.26	1551.09	2777.33	15.22	341.51	1104.13	173.85	275.28	32.59	73.03	366.09	607.87	112.77	1437.15	38.67	559.28	80.57	665.29	1991.0	73.54	2835.7	511.0	229.72	51.35	12.09	9.48	15.34	22.26	12.18	12.45	15.34	109.66	114.36	6.94	14.67	7.69	28.24	10.88	11.73	9.13	14.14	22.26	3235.01	2178.83
CDC25C	244.57	172.65	241.19	2.94	125.24	161.02	33.78	93.35	5.11	14.03	60.39	96.68	27.25	115.97	9.27	118.43	20.26	100.83	209.84	12.18	244.57	191.67	65.26	12.18	3.82	1.11	3.41	0.0	3.69	3.76	1.14	8.92	18.16	0.0	1.66	1.07	7.11	7.0	1.16	0.0	0.67	1.62	152.28	285.03
CDCA3	1572.76	842.36	2178.83	19.39	221.86	688.78	108.9	218.79	45.53	52.45	327.56	529.06	92.7	466.88	50.63	373.81	104.42	518.15	896.64	57.49	1427.22	387.02	253.23	36.27	37.05	9.7	22.26	7.4	11.21	17.9	9.2	41.52	62.56	34.75	5.45	13.93	34.51	21.78	3.5	17.64	6.78	13.42	1806.78	1175.27
CDCA5	836.53	679.29	1378.57	14.67	209.84	684.02	96.01	137.14	18.84	32.13	204.07	312.0	113.56	299.25	23.42	295.11	75.11	305.55	607.87	45.53	559.28	376.41	113.56	85.82	14.35	16.15	15.34	12.27	8.13	12.36	14.78	55.89	54.72	18.29	12.55	11.73	29.7	16.88	11.47	3.44	1.45	16.39	995.0	813.63
CDCA8	529.06	555.41	1073.91	11.91	110.43	381.68	92.05	92.7	15.8	20.56	167.9	127.89	61.25	231.32	18.56	325.29	57.89	224.97	633.73	38.12	571.05	199.85	72.01	38.67	14.14	8.25	9.06	4.1	11.91	5.68	9.06	42.11	45.85	8.78	1.69	2.23	28.65	15.45	3.59	3.69	3.23	9.93	1051.79	616.37
CDK1	1794.29	842.36	1388.16	27.44	285.03	693.58	170.25	228.13	24.63	32.82	341.51	403.5	129.69	329.84	42.71	275.28	105.15	307.69	426.57	69.03	441.64	384.34	231.32	54.33	21.16	15.11	15.0	4.03	18.03	10.63	25.35	104.42	91.41	9.13	14.78	3.96	48.52	17.77	6.89	9.06	6.06	37.05	1030.12	1286.18
CDKN2A	7803.01	6516.03	2224.63	7.51	392.44	1936.53	271.48	201.25	368.65	217.27	511.0	303.44	172.65	624.99	86.43	595.34	476.71	323.03	2209.26	66.18	1151.06	967.76	128.79	117.6	35.0	21.94	8.38	5.87	4.82	6.94	37.05	14.24	84.04	37.59	9.93	62.56	29.27	17.51	5.68	7.34	4.17	35.76	1662.49	7032.37
CDKN2C	361.04	2351.53	2075.59	43.94	624.99	743.43	182.55	189.02	50.63	122.64	738.29	432.53	163.28	603.67	126.12	796.86	175.07	429.54	507.46	130.6	890.44	1066.48	221.86	104.42	78.34	104.42	111.99	55.49	36.01	35.76	49.91	97.36	220.32	135.24	25.54	49.56	124.37	99.43	59.97	82.87	127.0	98.04	366.09	1427.22
CDKN3	954.43	363.56	1066.48	29.27	543.96	785.88	253.23	470.14	28.04	65.72	384.34	555.41	124.37	1127.35	36.53	287.01	136.19	638.15	571.05	68.55	961.07	813.63	791.35	71.5	23.59	20.56	14.45	13.83	12.45	13.22	22.75	44.25	75.64	10.71	20.41	16.15	98.04	5.96	3.44	5.36	8.99	21.94	1733.13	612.11
CENPA	536.45	647.07	1044.52	4.31	117.6	281.09	41.22	82.29	10.63	12.93	60.39	161.02	18.43	255.0	4.13	139.07	37.59	129.69	612.11	26.67	651.58	262.2	97.36	25.35	2.94	4.06	1.85	1.08	4.43	3.99	7.06	27.44	22.1	4.5	0.0	3.41	17.51	3.76	0.84	0.0	5.73	8.65	974.5	1059.11
CENPE	181.28	111.99	109.66	2.46	21.16	105.15	13.42	21.47	2.01	5.54	23.76	37.32	11.82	67.59	10.08	29.27	10.55	23.76	87.03	10.08	127.89	38.67	18.7	8.13	1.79	3.44	4.1	0.55	1.13	1.71	3.5	7.88	9.63	2.27	1.83	0.78	1.71	5.82	0.37	0.88	0.41	2.76	112.77	176.29
CENPF	1127.35	1216.75	2148.82	13.93	195.72	234.57	129.69	209.84	19.68	30.78	193.01	371.22	83.45	194.36	25.54	307.69	57.89	358.54	674.59	35.5	902.89	293.07	190.34	44.25	18.29	13.12	9.56	6.31	5.23	5.36	3.38	44.57	48.87	11.47	7.88	0.74	23.42	17.9	2.51	4.28	5.19	12.36	612.11	1977.24
CENPI	138.1	180.02	93.35	3.08	23.76	84.04	21.63	30.12	1.08	1.51	46.84	37.85	18.97	68.55	10.24	47.17	16.15	84.63	59.97	13.12	106.63	39.79	13.42	6.46	2.39	2.36	4.17	0.0	0.61	1.73	5.28	5.59	9.13	3.11	2.18	5.28	4.82	6.11	0.79	0.33	1.95	1.66	353.59	201.25
CENPM	567.1	595.34	954.43	19.11	271.48	902.89	171.45	170.25	23.93	30.34	138.1	728.11	71.0	303.44	32.59	202.66	85.82	293.07	395.18	108.9	1044.52	435.55	260.38	17.64	17.0	12.45	6.78	10.0	15.0	21.63	15.0	38.12	69.52	6.31	10.08	8.45	30.34	18.03	21.94	0.0	0.0	31.22	1001.93	591.22
CHAF1B	329.84	232.94	759.08	6.84	45.53	214.27	37.32	40.64	5.59	13.52	26.28	42.11	17.13	106.63	8.38	46.5	23.76	92.05	97.36	28.86	206.94	72.01	33.78	11.38	5.77	5.92	8.45	2.58	8.45	6.36	4.21	10.79	19.39	4.86	3.59	2.12	8.38	2.73	2.1	3.92	0.27	8.32	432.53	136.19
CKAP2L	432.53	223.41	135.24	8.32	38.4	144.01	17.51	46.84	5.5	7.0	37.59	52.08	21.78	99.43	5.96	119.26	21.78	56.68	159.9	12.93	133.36	75.64	22.43	10.39	4.82	3.38	9.2	1.99	1.62	4.94	11.47	15.22	24.11	12.09	5.06	0.0	3.41	4.21	1.14	1.17	3.5	2.07	368.65	148.09
CSE1L	1427.22	1832.01	2090.03	363.56	988.12	595.34	483.38	674.59	441.64	476.71	836.53	1059.11	555.41	1104.13	490.14	791.35	470.14	780.44	1277.29	579.04	1359.57	909.17	638.15	612.11	616.37	476.71	476.71	293.07	379.04	379.04	426.57	521.76	406.31	575.03	629.35	403.5	363.56	293.07	463.65	483.38	309.83	412.0	1819.35	3039.3
CSNK2B	8134.41	6516.03	8479.89	3190.46	6699.25	6337.83	3955.48	4903.87	4639.29	5147.73	6652.97	6079.61	3540.14	8778.97	3794.3	9540.5	3874.05	5995.9	7130.55	4450.27	10808.41	8598.28	4972.34	5147.73	3982.99	3103.19	3349.13	3982.99	3325.99	3540.14	3614.55	3564.78	3901.01	3349.13	3419.52	3491.39	5329.3	3794.3	3349.13	3168.41	3419.52	3081.75	9945.68	5913.33
DEPDC1	181.28	161.02	251.48	2.36	53.95	155.5	18.43	28.45	2.39	4.94	34.26	57.08	9.7	105.89	7.75	131.51	21.78	83.45	182.55	8.25	198.47	94.67	26.47	10.55	2.25	0.57	0.59	0.0	1.08	1.1	1.73	13.62	14.03	3.59	1.04	0.99	8.51	4.31	0.54	1.64	0.59	2.03	198.47	176.29
DIAPH3	426.57	44.57	63.0	1.17	27.05	59.55	16.39	19.11	2.03	7.63	31.9	26.47	7.82	36.01	2.39	39.79	8.85	28.04	150.17	13.72	68.55	17.77	10.24	4.13	1.81	2.16	2.76	0.99	1.57	1.6	2.23	6.78	12.74	0.44	1.07	1.0	1.6	1.28	0.46	0.0	0.53	2.32	67.59	78.89
DLGAP5	728.11	212.78	299.25	4.03	55.89	178.77	54.72	57.08	4.94	9.85	93.35	72.52	28.86	165.57	4.78	71.0	29.48	62.12	226.54	20.86	165.57	94.01	33.78	18.16	3.17	3.23	3.32	2.86	0.51	2.1	4.98	23.25	25.17	10.08	4.13	0.0	13.32	3.5	1.91	0.0	2.73	6.73	698.41	591.22
DTYMK	808.0	1350.18	1216.75	287.01	540.19	759.08	525.39	753.83	417.77	409.15	915.51	1286.18	493.56	1259.69	379.04	595.34	426.57	836.53	1519.15	559.28	1697.45	802.41	748.61	490.14	334.46	237.86	197.09	341.51	277.2	366.09	248.0	279.14	264.03	269.6	265.87	320.8	343.89	205.5	205.5	217.27	206.94	262.2	1304.15	1127.35
EIF1AD	728.11	571.05	521.76	273.37	532.74	525.39	559.28	379.04	285.03	429.54	429.54	536.45	409.15	559.28	253.23	669.92	249.73	521.76	684.02	318.57	656.11	616.37	358.54	279.14	346.29	301.33	285.03	291.04	248.0	248.0	336.79	269.6	343.89	275.28	249.73	262.2	460.44	244.57	253.23	295.11	208.38	256.78	1233.75	620.67
EME1	61.68	135.24	132.44	16.39	43.02	114.36	27.25	27.84	12.93	22.43	41.22	58.3	15.11	121.79	16.51	77.25	51.35	65.26	206.94	11.13	142.01	80.57	34.26	17.0	11.13	3.72	7.88	5.11	2.27	4.94	5.87	14.03	15.22	0.95	3.59	3.59	8.78	3.47	9.34	0.0	3.29	5.11	130.6	381.68
ESCO2	81.14	147.06	111.99	5.32	15.68	35.0	23.08	30.78	3.99	6.01	38.67	21.01	15.45	43.32	9.56	25.72	19.68	57.49	31.67	15.56	38.4	73.54	15.91	13.72	6.26	9.56	1.71	1.46	7.46	1.07	23.08	20.26	10.39	7.51	10.47	0.0	8.13	6.67	0.0	11.91	3.66	7.46	108.14	108.9
EZH2	733.19	579.04	1467.37	29.7	115.97	551.56	169.07	166.73	50.63	105.89	183.82	208.38	119.26	182.55	33.06	170.25	173.85	384.34	457.25	94.67	571.05	183.82	130.6	78.34	27.64	28.86	32.36	20.11	21.63	19.39	33.06	43.02	67.59	21.01	47.5	63.45	24.99	15.56	19.53	21.63	6.67	28.24	587.13	450.94
FAM72B	232.94	117.6	204.07	21.63	51.35	52.45	32.59	81.71	6.21	17.77	34.51	54.72	18.29	58.71	22.59	57.49	19.82	86.43	151.22	24.11	140.04	76.71	33.78	25.54	23.76	17.77	13.93	11.47	16.39	8.71	28.45	14.89	66.65	20.71	21.63	13.52	36.27	36.27	13.12	4.21	9.13	33.54	169.07	175.07
FAM72D	194.36	191.67	122.64	3.76	34.75	133.36	16.88	31.22	0.0	3.59	30.56	46.5	23.76	68.55	1.41	79.45	4.98	72.52	165.57	7.28	142.01	63.89	33.06	11.82	6.01	0.0	4.78	0.0	3.41	1.25	1.89	9.27	9.27	3.82	1.45	3.66	2.68	8.58	1.48	0.0	3.35	7.46	111.99	143.01
FAM83D	723.08	698.41	651.58	17.51	273.37	620.67	102.97	237.86	21.94	85.82	305.55	417.77	100.13	420.68	43.32	1001.93	127.0	215.77	420.68	38.12	412.0	583.07	131.51	59.97	100.83	22.26	39.22	23.08	21.94	9.85	10.31	36.01	50.98	43.94	35.5	24.28	20.56	23.76	14.67	85.22	11.55	43.94	1216.75	791.35
FANCI	500.46	595.34	555.41	21.32	105.89	400.71	85.22	84.63	26.47	34.02	127.89	158.79	72.01	202.66	23.42	155.5	66.18	163.28	426.57	64.34	400.71	127.0	60.39	50.98	37.59	18.43	24.28	8.06	13.22	21.32	17.77	74.06	63.45	10.96	23.08	14.14	25.17	25.91	12.93	18.7	8.32	15.68	1104.13	486.75
FEN1	1950.0	1697.45	1733.13	100.13	536.45	1583.71	277.2	318.57	144.01	163.28	607.87	728.11	249.73	764.36	172.65	595.34	389.72	802.41	1111.82	244.57	1242.34	688.78	532.74	223.41	149.12	99.43	173.85	100.83	122.64	122.64	128.79	166.73	193.01	133.36	155.5	123.5	145.02	186.4	124.37	83.45	121.79	89.51	1639.59	1322.37
FLYWCH2	507.46	884.29	733.19	305.55	830.75	612.11	312.0	1023.0	384.34	414.87	563.18	460.44	353.59	603.67	417.77	1030.12	368.65	872.1	723.08	460.44	753.83	1498.22	591.22	497.0	423.61	237.86	242.88	242.88	228.13	366.09	221.86	246.28	291.04	106.63	81.14	420.68	368.65	177.53	392.44	37.05	177.53	389.72	579.04	1359.57
FOXM1	1508.65	1008.9	3794.3	21.32	279.14	1044.52	201.25	255.0	27.44	108.9	387.02	612.11	141.02	463.65	47.84	603.67	129.69	518.15	1242.34	98.04	1277.29	547.75	265.87	68.07	12.55	16.03	12.09	6.67	37.32	16.39	14.24	54.33	71.5	10.08	1.71	3.2	35.76	13.72	4.03	11.55	1.99	11.55	2148.82	1277.29
GINS1	275.28	587.13	470.14	7.51	61.25	244.57	65.26	65.26	5.28	12.55	73.54	94.67	19.39	149.12	15.91	125.24	52.45	146.03	281.09	27.25	234.57	113.56	56.68	28.65	9.56	11.55	10.71	2.73	7.88	5.82	6.67	20.86	29.48	6.26	4.94	5.06	8.78	5.96	3.59	4.7	1.48	6.67	395.18	429.54
GMPS	2537.92	1369.04	3235.01	336.79	1030.12	890.44	500.46	555.41	409.15	457.25	723.08	860.08	603.67	842.36	297.17	842.36	441.64	1008.9	947.83	616.37	1073.91	842.36	860.08	379.04	397.93	486.75	518.15	301.33	363.56	336.79	500.46	363.56	441.64	521.76	872.1	493.56	470.14	438.59	373.81	500.46	303.44	423.61	2537.92	1757.34
GOLT1B	842.36	595.34	587.13	356.05	1037.29	463.65	718.08	473.41	376.41	441.64	486.75	743.43	518.15	780.44	358.54	842.36	507.46	974.5	878.17	444.72	902.89	1127.35	624.99	575.03	429.54	368.65	314.17	195.72	269.6	279.14	457.25	371.22	265.87	253.23	363.56	346.29	332.14	356.05	285.03	297.17	220.32	305.55	1769.57	713.11
GPR19	113.56	77.79	78.89	1.27	19.82	12.93	2.92	11.38	1.07	7.63	19.97	19.97	3.29	10.39	1.81	25.91	11.82	15.22	31.67	2.66	13.62	23.25	12.55	1.03	2.34	0.0	1.79	0.0	3.26	0.0	1.22	1.91	0.3	7.46	0.0	0.0	2.18	22.43	0.29	0.82	0.0	1.23	72.01	57.49
GPSM2	733.19	571.05	769.69	27.44	318.57	253.23	38.95	58.3	23.93	23.76	46.18	97.36	39.79	109.66	30.78	108.9	49.91	157.68	301.33	32.36	490.14	135.24	81.14	40.07	20.56	20.71	20.56	15.0	19.25	10.96	22.59	45.85	16.15	13.32	8.0	12.36	15.0	6.21	10.0	16.15	6.11	9.48	1467.37	629.35
GTSE1	287.01	211.31	420.68	12.09	40.07	297.17	47.84	45.85	8.99	15.22	37.59	88.26	16.03	98.04	16.88	88.88	26.67	105.89	163.28	27.05	271.48	63.89	44.25	19.53	4.86	2.78	9.85	3.03	6.26	5.15	6.67	15.68	27.84	3.23	0.0	0.32	11.38	3.23	0.71	0.41	1.55	7.75	579.04	387.02
H2AFV	6426.31	8421.31	5403.7	1572.76	3395.89	3540.14	2555.58	2178.83	1594.73	1508.65	2609.3	2855.44	1617.0	3212.66	1844.76	3039.3	2032.85	2720.15	5041.77	2018.8	4903.87	3589.58	2018.8	1870.53	1685.71	1583.71	1685.71	1417.35	1540.37	1605.83	1467.37	1781.89	2417.67	1628.26	1832.01	1378.57	1457.23	1844.76	1233.75	1417.35	1477.58	2032.85	5913.33	7966.99
HMMR	547.75	249.73	232.94	11.13	194.36	191.67	76.17	177.53	27.64	39.5	149.12	157.68	78.34	178.77	44.89	323.03	74.06	223.41	447.82	44.57	239.52	371.22	126.12	53.19	7.0	9.85	5.19	6.62	12.27	7.28	7.06	49.91	51.71	12.74	2.56	3.08	10.16	3.08	2.61	7.63	2.51	6.26	339.14	202.66
INCENP	688.78	480.04	1044.52	50.27	155.5	293.07	116.78	105.15	42.71	68.07	167.9	151.22	100.13	202.66	103.69	214.27	132.44	153.34	309.83	72.01	229.72	232.94	101.54	111.21	73.54	70.51	80.01	34.26	39.5	33.06	66.65	62.56	96.01	85.82	104.42	32.36	65.72	93.35	19.39	73.03	31.0	30.56	813.63	493.56
KIF11	490.14	241.19	684.02	12.45	34.26	115.97	31.0	46.18	10.55	14.89	59.13	70.01	25.54	60.82	19.11	63.89	29.27	72.52	169.07	26.28	120.1	47.5	37.05	22.26	11.21	8.71	17.25	4.5	7.88	7.0	11.04	27.25	38.12	12.74	3.11	3.44	7.17	14.14	3.2	4.62	5.82	11.04	379.04	532.74
KIF14	120.94	103.69	144.01	3.72	14.35	21.16	12.55	24.63	2.29	4.1	18.29	33.78	15.11	25.91	4.98	75.11	10.08	26.1	45.85	4.7	74.58	34.02	14.24	8.19	2.05	2.97	2.46	1.14	1.77	1.81	4.7	6.16	7.22	0.0	0.0	0.0	4.5	1.77	0.44	0.96	0.54	1.35	71.5	90.14
KIF20A	961.07	454.09	624.99	9.56	111.99	327.56	41.81	143.01	12.27	38.4	152.28	149.12	26.1	178.77	8.78	239.52	37.85	249.73	733.19	35.76	753.83	171.45	64.8	25.35	2.97	8.45	5.73	3.41	2.63	6.52	3.99	16.63	45.53	2.86	3.41	0.0	12.74	16.51	2.97	1.97	5.41	4.28	638.15	743.43
KIF4A	353.59	255.0	551.56	3.35	91.41	275.28	65.72	102.97	2.27	10.16	114.36	154.42	32.36	133.36	7.4	136.19	29.06	325.29	234.57	14.45	381.68	119.26	53.19	9.27	3.69	4.17	2.68	1.38	3.5	2.03	4.28	14.03	29.91	2.68	2.07	0.78	10.0	2.41	2.78	0.85	1.6	4.54	547.75	356.05
KIFC1	1250.98	1051.79	1745.2	12.74	181.28	698.41	60.82	121.79	12.74	21.63	279.14	208.38	50.98	255.0	26.67	214.27	94.01	198.47	536.45	55.1	660.68	287.01	118.43	30.78	10.16	7.17	13.52	2.43	8.38	10.16	8.99	46.5	66.65	6.11	2.92	4.31	21.32	22.1	5.23	5.92	2.03	15.11	1151.06	1427.22
KPNA2	5441.3	2915.45	4066.71	277.2	1304.15	1437.15	791.35	791.35	371.22	483.38	941.27	1407.55	813.63	2224.63	327.56	813.63	329.84	1059.11	2255.7	563.18	2537.92	1709.26	1008.9	376.41	293.07	366.09	209.84	220.32	417.77	224.97	559.28	332.14	429.54	389.72	684.02	397.93	470.14	343.89	371.22	273.37	177.53	441.64	6652.97	5913.33
MAD2L1	769.69	995.0	967.76	31.9	255.0	483.38	134.3	83.45	27.44	44.89	255.0	381.68	119.26	363.56	43.32	363.56	101.54	748.61	780.44	93.35	460.44	273.37	84.63	42.71	32.13	32.59	24.28	9.63	13.93	27.64	24.28	63.89	87.65	23.59	41.52	22.1	53.57	19.68	18.97	13.12	12.83	29.91	447.82	878.17
MELK	1175.27	536.45	376.41	8.71	93.35	555.41	64.34	119.26	5.96	25.72	157.68	228.13	60.82	336.79	13.12	143.01	42.11	234.57	441.64	35.25	417.77	152.28	49.91	13.62	4.86	8.19	4.21	0.53	5.02	5.11	5.41	45.53	28.86	3.2	3.23	4.66	10.79	6.73	2.41	1.07	0.61	3.99	1119.56	1519.15
